Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-11 04:05,1010.45,100,-720.00,-0.71,-720.00,-0.72,135.00,0.13,945.00,0.94
1,Exit Long,BUY_SL_HIT,2021-01-11 04:50,1003.25,100,-720.00,-0.71,-720.00,-0.72,135.00,0.13,945.00,0.94
2,Entry Short,SELL,2021-01-11 06:05,998.20,100,-750.00,-0.75,-1470.00,-0.76,340.00,0.34,775.00,0.78
2,Exit Short,SELL_SL_HIT,2021-01-11 07:20,1005.70,100,-750.00,-0.75,-1470.00,-0.76,340.00,0.34,775.00,0.78
3,Entry Long,BUY,2021-01-11 07:25,1009.85,100,-535.00,-0.53,-2005.00,-0.54,245.00,0.24,625.00,0.62
3,Exit Long,BUY_SL_HIT,2021-01-11 08:35,1004.50,100,-535.00,-0.53,-2005.00,-0.54,245.00,0.24,625.00,0.62
4,Entry Long,BUY,2021-01-12 04:10,1019.90,100,-730.00,-0.72,-2735.00,-0.74,70.00,0.07,780.00,0.76
4,Exit Long,BUY_SL_HIT,2021-01-12 04:35,1012.60,100,-730.00,-0.72,-2735.00,-0.74,70.00,0.07,780.00,0.76
5,Entry Long,BUY,2021-01-12 04:50,1019.35,100,-825.00,-0.81,-3560.00,-0.85,65.00,0.06,845.00,0.83
5,Exit Long,SELL,2021-01-12 05:35,1011.10,100,-825.00,-0.81,-3560.00,-0.85,65.00,0.06,845.00,0.83
6,Entry Short,SELL,2021-01-12 05:35,1011.10,100,705.00,0.7,-2855.00,0.73,725.00,0.72,0,0
6,Exit Short,SELL_TG_HIT,2021-01-12 06:00,1004.05,100,705.00,0.7,-2855.00,0.73,725.00,0.72,0,0
7,Entry Short,SELL,2021-01-12 09:15,1010.25,100,5.00,0,-2850.00,0.01,25.00,0.02,315.00,0.31
7,Exit Short,INTRADAY_SExit,2021-01-12 09:35,1010.20,100,5.00,0,-2850.00,0.01,25.00,0.02,315.00,0.31
8,Entry Long,BUY,2021-01-13 04:15,1019.00,100,-260.00,-0.26,-3110.00,-0.27,600.00,0.59,620.00,0.61
8,Exit Long,SELL,2021-01-13 04:45,1016.40,100,-260.00,-0.26,-3110.00,-0.27,600.00,0.59,620.00,0.61
9,Entry Short,SELL,2021-01-13 04:45,1016.40,100,600.00,0.59,-2510.00,0.62,710.00,0.7,10.00,0.01
9,Exit Short,SELL_TG_HIT,2021-01-13 05:05,1010.40,100,600.00,0.59,-2510.00,0.62,710.00,0.7,10.00,0.01
10,Entry Short,SELL,2021-01-13 05:10,1011.20,100,-565.00,-0.56,-3075.00,-0.58,220.00,0.22,565.00,0.56
10,Exit Short,SELL_SL_HIT,2021-01-13 06:05,1016.85,100,-565.00,-0.56,-3075.00,-0.58,220.00,0.22,565.00,0.56
11,Entry Long,BUY,2021-01-13 06:10,1017.00,100,980.00,0.96,-2095.00,1.01,1000.00,0.98,300.00,0.29
11,Exit Long,BUY_TG_HIT,2021-01-13 07:35,1026.80,100,980.00,0.96,-2095.00,1.01,1000.00,0.98,300.00,0.29
12,Entry Long,BUY,2021-01-13 07:40,1029.55,100,-805.00,-0.78,-2900.00,-0.82,45.00,0.04,950.00,0.92
12,Exit Long,BUY_SL_HIT,2021-01-13 08:25,1021.50,100,-805.00,-0.78,-2900.00,-0.82,45.00,0.04,950.00,0.92
13,Entry Short,SELL,2021-01-13 08:35,1013.80,100,-1050.00,-1.04,-3950.00,-1.08,10.00,0.01,1095.00,1.08
13,Exit Short,SELL_SL_HIT,2021-01-13 08:45,1024.30,100,-1050.00,-1.04,-3950.00,-1.08,10.00,0.01,1095.00,1.08
14,Entry Long,BUY,2021-01-13 08:55,1026.00,100,915.00,0.89,-3035.00,0.95,1500.00,1.46,150.00,0.15
14,Exit Long,BUY_TG_HIT,2021-01-13 09:30,1035.15,100,915.00,0.89,-3035.00,0.95,1500.00,1.46,150.00,0.15
15,Entry Short,SELL,2021-01-14 04:10,1022.60,100,560.00,0.55,-2475.00,0.58,645.00,0.63,765.00,0.75
15,Exit Short,SELL_TG_HIT,2021-01-14 06:35,1017.00,100,560.00,0.55,-2475.00,0.58,645.00,0.63,765.00,0.75
16,Entry Long,BUY,2021-01-14 08:20,1024.90,100,-465.00,-0.45,-2940.00,-0.48,130.00,0.13,480.00,0.47
16,Exit Long,SELL,2021-01-14 08:40,1020.25,100,-465.00,-0.45,-2940.00,-0.48,130.00,0.13,480.00,0.47
17,Entry Short,SELL,2021-01-14 08:40,1020.25,100,-200.00,-0.2,-3140.00,-0.21,165.00,0.16,375.00,0.37
17,Exit Short,INTRADAY_SExit,2021-01-14 09:35,1022.25,100,-200.00,-0.2,-3140.00,-0.21,165.00,0.16,375.00,0.37
18,Entry Short,SELL,2021-01-15 04:10,1005.00,100,-530.00,-0.53,-3670.00,-0.55,340.00,0.34,700.00,0.7
