Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-15 07:00,2856.00,1,-2010.00,-0.23,-2010.00,-1,3720.00,0.43,3135.00,0.37
1,Exit Long,SELL,2021-02-15 08:05,2849.30,1,-2010.00,-0.23,-2010.00,-1,3720.00,0.43,3135.00,0.37
2,Entry Short,SELL,2021-02-15 08:05,2849.30,1,-2880.00,-0.34,-4890.00,-1.45,435.00,0.05,4050.00,0.47
2,Exit Short,BUY,2021-02-15 09:10,2858.90,1,-2880.00,-0.34,-4890.00,-1.45,435.00,0.05,4050.00,0.47
3,Entry Long,BUY,2021-02-15 09:10,2858.90,1,660.00,0.08,-4230.00,0.34,960.00,0.11,3225.00,0.38
3,Exit Long,INTRADAY_BExit,2021-02-15 09:35,2861.10,1,660.00,0.08,-4230.00,0.34,960.00,0.11,3225.00,0.38
4,Entry Short,SELL,2021-02-16 06:00,2865.80,1,-1260.00,-0.15,-5490.00,-0.64,2700.00,0.31,1575.00,0.18
4,Exit Short,BUY,2021-02-16 06:55,2870.00,1,-1260.00,-0.15,-5490.00,-0.64,2700.00,0.31,1575.00,0.18
5,Entry Long,BUY,2021-02-16 06:55,2870.00,1,-3300.00,-0.38,-8790.00,-1.7,675.00,0.08,3735.00,0.43
5,Exit Long,SELL,2021-02-16 07:15,2859.00,1,-3300.00,-0.38,-8790.00,-1.7,675.00,0.08,3735.00,0.43
6,Entry Short,SELL,2021-02-16 07:15,2859.00,1,-420.00,-0.05,-9210.00,-0.22,5385.00,0.63,1500.00,0.17
6,Exit Short,BUY,2021-02-16 08:15,2860.40,1,-420.00,-0.05,-9210.00,-0.22,5385.00,0.63,1500.00,0.17
7,Entry Long,BUY,2021-02-16 08:15,2860.40,1,-390.00,-0.05,-9600.00,-0.2,2880.00,0.34,2070.00,0.24
7,Exit Long,INTRADAY_BExit,2021-02-16 09:35,2859.10,1,-390.00,-0.05,-9600.00,-0.2,2880.00,0.34,2070.00,0.24
8,Entry Short,SELL,2021-02-17 04:05,2813.25,1,-6525.00,-0.77,-16125.00,-3.43,45.00,0.01,7800.00,0.92
8,Exit Short,SELL_SL_HIT,2021-02-17 04:40,2835.00,1,-6525.00,-0.77,-16125.00,-3.43,45.00,0.01,7800.00,0.92
9,Entry Long,BUY,2021-02-17 04:45,2839.65,1,-4335.00,-0.51,-20460.00,-2.36,1575.00,0.18,4335.00,0.51
9,Exit Long,BUY_SL_HIT,2021-02-17 05:05,2825.20,1,-4335.00,-0.51,-20460.00,-2.36,1575.00,0.18,4335.00,0.51
10,Entry Short,SELL,2021-02-17 06:00,2822.35,1,-945.00,-0.11,-21405.00,-0.53,3270.00,0.39,1395.00,0.16
10,Exit Short,BUY,2021-02-17 06:25,2825.50,1,-945.00,-0.11,-21405.00,-0.53,3270.00,0.39,1395.00,0.16
11,Entry Long,BUY,2021-02-17 06:25,2825.50,1,-2070.00,-0.24,-23475.00,-1.16,3570.00,0.42,2430.00,0.29
11,Exit Long,SELL,2021-02-17 07:35,2818.60,1,-2070.00,-0.24,-23475.00,-1.16,3570.00,0.42,2430.00,0.29
12,Entry Short,SELL,2021-02-17 07:35,2818.60,1,4815.00,0.57,-18660.00,2.73,5010.00,0.59,1305.00,0.15
12,Exit Short,SELL_TG_HIT,2021-02-17 08:10,2802.55,1,4815.00,0.57,-18660.00,2.73,5010.00,0.59,1305.00,0.15
13,Entry Long,BUY,2021-02-17 08:30,2817.35,1,-240.00,-0.03,-18900.00,-0.13,915.00,0.11,3450.00,0.41
13,Exit Long,INTRADAY_BExit,2021-02-17 09:35,2816.55,1,-240.00,-0.03,-18900.00,-0.13,915.00,0.11,3450.00,0.41
14,Entry Short,SELL,2021-02-18 04:05,2787.05,1,4500.00,0.54,-14400.00,2.48,5520.00,0.66,2370.00,0.28
14,Exit Short,SELL_TG_HIT,2021-02-18 04:20,2772.05,1,4500.00,0.54,-14400.00,2.48,5520.00,0.66,2370.00,0.28
15,Entry Long,BUY,2021-02-18 05:10,2787.35,1,-5070.00,-0.61,-19470.00,-2.73,2430.00,0.29,5730.00,0.69
