Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 10:00,2594.00,1,-5670.00,-0.73,-5670.00,-2.83,165.00,0.02,7110.00,0.91
1,Exit Long,SELL,2021-01-01 12:00,2575.10,1,-5670.00,-0.73,-5670.00,-2.83,165.00,0.02,7110.00,0.91
2,Entry Short,SELL,2021-01-01 12:00,2575.10,1,690.00,0.09,-4980.00,0.36,705.00,0.09,4530.00,0.59
2,Exit Short,INTRADAY_SExit,2021-01-01 15:15,2572.80,1,690.00,0.09,-4980.00,0.36,705.00,0.09,4530.00,0.59
3,Entry Long,BUY,2021-01-04 15:00,2587.70,1,-660.00,-0.09,-5640.00,-0.34,105.00,0.01,1860.00,0.24
3,Exit Long,INTRADAY_BExit,2021-01-04 15:15,2585.50,1,-660.00,-0.09,-5640.00,-0.34,105.00,0.01,1860.00,0.24
4,Entry Short,SELL,2021-01-08 09:45,2648.00,1,-5745.00,-0.72,-11385.00,-2.96,1380.00,0.17,7680.00,0.97
4,Exit Short,INTRADAY_SExit,2021-01-08 15:15,2667.15,1,-5745.00,-0.72,-11385.00,-2.96,1380.00,0.17,7680.00,0.97
5,Entry Long,BUY,2021-01-11 09:45,2695.75,1,16830.00,2.08,5445.00,8.92,17325.00,2.14,3120.00,0.39
5,Exit Long,INTRADAY_BExit,2021-01-11 15:15,2751.85,1,16830.00,2.08,5445.00,8.92,17325.00,2.14,3120.00,0.39
6,Entry Short,SELL,2021-01-12 11:15,2731.00,1,-6645.00,-0.81,-1200.00,-3.23,1635.00,0.2,7185.00,0.88
6,Exit Short,BUY,2021-01-12 14:15,2753.15,1,-6645.00,-0.81,-1200.00,-3.23,1635.00,0.2,7185.00,0.88
7,Entry Long,BUY,2021-01-12 14:15,2753.15,1,1395.00,0.17,195.00,0.7,2655.00,0.32,2745.00,0.33
7,Exit Long,INTRADAY_BExit,2021-01-12 15:15,2757.80,1,1395.00,0.17,195.00,0.7,2655.00,0.32,2745.00,0.33
8,Entry Short,SELL,2021-01-13 10:30,2734.25,1,17040.00,2.08,17235.00,8.51,18015.00,2.2,345.00,0.04
8,Exit Short,SELL_TG_HIT,2021-01-13 13:30,2677.45,1,17040.00,2.08,17235.00,8.51,18015.00,2.2,345.00,0.04
9,Entry Long,BUY,2021-01-14 12:45,2694.00,1,-75.00,-0.01,17160.00,-0.03,2610.00,0.32,5865.00,0.73
9,Exit Long,INTRADAY_BExit,2021-01-14 15:15,2693.75,1,-75.00,-0.01,17160.00,-0.03,2610.00,0.32,5865.00,0.73
10,Entry Short,SELL,2021-01-15 10:15,2675.90,1,8760.00,1.09,25920.00,4.03,15075.00,1.88,285.00,0.04
10,Exit Short,INTRADAY_SExit,2021-01-15 15:15,2646.70,1,8760.00,1.09,25920.00,4.03,15075.00,1.88,285.00,0.04
11,Entry Long,BUY,2021-01-19 09:45,2593.65,1,20745.00,2.67,46665.00,9.18,20760.00,2.67,2595.00,0.33
11,Exit Long,BUY_TG_HIT,2021-01-19 14:15,2662.80,1,20745.00,2.67,46665.00,9.18,20760.00,2.67,2595.00,0.33
12,Entry Short,SELL,2021-01-20 10:30,2652.00,1,-8160.00,-1.03,38505.00,-3.31,6885.00,0.87,8700.00,1.09
12,Exit Short,BUY,2021-01-20 14:15,2679.20,1,-8160.00,-1.03,38505.00,-3.31,6885.00,0.87,8700.00,1.09
13,Entry Long,BUY,2021-01-20 14:15,2679.20,1,2835.00,0.35,41340.00,1.19,10140.00,1.26,0,0
13,Exit Long,INTRADAY_BExit,2021-01-20 15:15,2688.65,1,2835.00,0.35,41340.00,1.19,10140.00,1.26,0,0
14,Entry Short,SELL,2021-01-21 09:45,2672.05,1,1335.00,0.17,42675.00,0.55,7695.00,0.96,9420.00,1.18
14,Exit Short,INTRADAY_SExit,2021-01-21 15:15,2667.60,1,1335.00,0.17,42675.00,0.55,7695.00,0.96,9420.00,1.18
15,Entry Long,BUY,2021-01-25 09:45,2654.50,1,-11715.00,-1.47,30960.00,-4.83,3450.00,0.43,13320.00,1.67
15,Exit Long,SELL,2021-01-25 13:15,2615.45,1,-11715.00,-1.47,30960.00,-4.83,3450.00,0.43,13320.00,1.67
16,Entry Short,SELL,2021-01-25 13:15,2615.45,1,17505.00,2.23,48465.00,7.58,19605.00,2.5,765.00,0.1
16,Exit Short,INTRADAY_SExit,2021-01-25 15:15,2557.10,1,17505.00,2.23,48465.00,7.58,19605.00,2.5,765.00,0.1
17,Entry Long,BUY,2021-01-28 10:00,2453.20,1,-3915.00,-0.53,44550.00,-1.58,2460.00,0.33,12495.00,1.7
17,Exit Long,SELL,2021-01-28 13:30,2440.15,1,-3915.00,-0.53,44550.00,-1.58,2460.00,0.33,12495.00,1.7
18,Entry Short,SELL,2021-01-28 13:30,2440.15,1,375.00,0.05,44925.00,0.15,6045.00,0.83,2265.00,0.31
18,Exit Short,INTRADAY_SExit,2021-01-28 15:15,2438.90,1,375.00,0.05,44925.00,0.15,6045.00,0.83,2265.00,0.31
19,Entry Long,BUY,2021-01-29 09:45,2460.00,1,-10245.00,-1.39,34680.00,-4.18,795.00,0.11,11565.00,1.57
19,Exit Long,SELL,2021-01-29 14:00,2425.85,1,-10245.00,-1.39,34680.00,-4.18,795.00,0.11,11565.00,1.57
20,Entry Short,SELL,2021-01-29 14:00,2425.85,1,12765.00,1.75,47445.00,5.44,12945.00,1.78,8445.00,1.16
20,Exit Short,INTRADAY_SExit,2021-01-29 15:15,2383.30,1,12765.00,1.75,47445.00,5.44,12945.00,1.78,8445.00,1.16
21,Entry Long,BUY,2021-02-01 09:45,2432.45,1,15435.00,2.12,62880.00,6.24,15750.00,2.16,2835.00,0.39
21,Exit Long,BUY_TG_HIT,2021-02-01 11:30,2483.90,1,15435.00,2.12,62880.00,6.24,15750.00,2.16,2835.00,0.39
22,Entry Short,SELL,2021-02-03 09:45,2666.45,1,-18165.00,-2.27,44715.00,-6.91,3105.00,0.39,22665.00,2.83
22,Exit Short,SELL_SL_HIT,2021-02-03 13:30,2727.00,1,-18165.00,-2.27,44715.00,-6.91,3105.00,0.39,22665.00,2.83
23,Entry Long,BUY,2021-02-03 13:45,2722.75,1,-4290.00,-0.53,40425.00,-1.75,1890.00,0.23,8220.00,1.01
23,Exit Long,INTRADAY_BExit,2021-02-03 15:15,2708.45,1,-4290.00,-0.53,40425.00,-1.75,1890.00,0.23,8220.00,1.01
