Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-01 06:00,1430.60,1,-9845.00,-1.25,-9845.00,-4.92,1045.00,0.13,10065.00,1.28
1,Exit Long,BUY_SL_HIT,2021-02-01 06:45,1412.70,1,-9845.00,-1.25,-9845.00,-4.92,1045.00,0.13,10065.00,1.28
2,Entry Long,BUY,2021-02-01 08:00,1455.80,1,10230.00,1.28,385.00,5.38,11055.00,1.38,1045.00,0.13
2,Exit Long,BUY_TG_HIT,2021-02-01 09:15,1474.40,1,10230.00,1.28,385.00,5.38,11055.00,1.38,1045.00,0.13
3,Entry Short,SELL,2021-02-02 06:15,1559.20,1,-9130.00,-1.06,-8745.00,-4.56,2887.50,0.34,10587.50,1.23
3,Exit Short,SELL_SL_HIT,2021-02-02 09:00,1575.80,1,-9130.00,-1.06,-8745.00,-4.56,2887.50,0.34,10587.50,1.23
4,Entry Long,BUY,2021-02-03 07:15,1574.10,1,1320.00,0.15,-7425.00,0.69,5665.00,0.65,1870.00,0.22
4,Exit Long,INTRADAY_BExit,2021-02-03 09:45,1576.50,1,1320.00,0.15,-7425.00,0.69,5665.00,0.65,1870.00,0.22
5,Entry Short,SELL,2021-02-04 04:15,1555.80,1,-8662.50,-1.01,-16087.50,-4.5,2887.50,0.34,8662.50,1.01
5,Exit Short,BUY,2021-02-04 06:45,1571.55,1,-8662.50,-1.01,-16087.50,-4.5,2887.50,0.34,8662.50,1.01
6,Entry Long,BUY,2021-02-04 06:45,1571.55,1,8827.50,1.02,-7260.00,4.8,9542.50,1.1,302.50,0.03
6,Exit Long,BUY_TG_HIT,2021-02-04 08:45,1587.60,1,8827.50,1.02,-7260.00,4.8,9542.50,1.1,302.50,0.03
7,Entry Long,BUY,2021-02-05 04:15,1603.35,1,-10065.00,-1.14,-17325.00,-5.22,2007.50,0.23,15042.50,1.71
7,Exit Long,SELL,2021-02-05 05:30,1585.05,1,-10065.00,-1.14,-17325.00,-5.22,2007.50,0.23,15042.50,1.71
8,Entry Short,SELL,2021-02-05 05:30,1585.05,1,-3162.50,-0.36,-20487.50,-1.73,2722.50,0.31,7535.00,0.86
