Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-16 10:00,1628.00,1,4950.00,0.55,4950.00,2.48,7975.00,0.89,1595.00,0.18
1,Exit Short,BUY,2021-02-16 13:40,1619.00,1,4950.00,0.55,4950.00,2.48,7975.00,0.89,1595.00,0.18
2,Entry Long,BUY,2021-02-16 13:40,1619.00,1,1292.50,0.15,6242.50,0.63,1815.00,0.2,1595.00,0.18
2,Exit Long,SELL,2021-02-16 14:05,1621.35,1,1292.50,0.15,6242.50,0.63,1815.00,0.2,1595.00,0.18
3,Entry Short,SELL,2021-02-16 14:05,1621.35,1,-4592.50,-0.52,1650.00,-2.23,1512.50,0.17,5280.00,0.59
3,Exit Short,BUY,2021-02-16 14:40,1629.70,1,-4592.50,-0.52,1650.00,-2.23,1512.50,0.17,5280.00,0.59
4,Entry Long,BUY,2021-02-16 14:40,1629.70,1,1127.50,0.13,2777.50,0.56,2227.50,0.25,2227.50,0.25
4,Exit Long,INTRADAY_BExit,2021-02-16 15:05,1631.75,1,1127.50,0.13,2777.50,0.56,2227.50,0.25,2227.50,0.25
5,Entry Short,SELL,2021-02-17 09:35,1615.20,1,-2585.00,-0.29,192.50,-1.27,3025.00,0.34,3850.00,0.43
5,Exit Short,BUY,2021-02-17 11:15,1619.90,1,-2585.00,-0.29,192.50,-1.27,3025.00,0.34,3850.00,0.43
6,Entry Long,BUY,2021-02-17 11:15,1619.90,1,-1485.00,-0.17,-1292.50,-0.74,275.00,0.03,3217.50,0.36
6,Exit Long,SELL,2021-02-17 11:40,1617.20,1,-1485.00,-0.17,-1292.50,-0.74,275.00,0.03,3217.50,0.36
7,Entry Short,SELL,2021-02-17 11:40,1617.20,1,11522.50,1.3,10230.00,5.8,13172.50,1.48,1292.50,0.15
7,Exit Short,INTRADAY_SExit,2021-02-17 15:05,1596.25,1,11522.50,1.3,10230.00,5.8,13172.50,1.48,1292.50,0.15
8,Entry Long,BUY,2021-02-18 10:35,1587.25,1,-5087.50,-0.58,5142.50,-2.42,1155.00,0.13,5500.00,0.63
8,Exit Long,SELL,2021-02-18 11:20,1578.00,1,-5087.50,-0.58,5142.50,-2.42,1155.00,0.13,5500.00,0.63
9,Entry Short,SELL,2021-02-18 11:20,1578.00,1,9350.00,1.08,14492.50,4.56,15895.00,1.83,1622.50,0.19
9,Exit Short,BUY,2021-02-18 14:15,1561.00,1,9350.00,1.08,14492.50,4.56,15895.00,1.83,1622.50,0.19
10,Entry Long,BUY,2021-02-18 14:15,1561.00,1,-4950.00,-0.58,9542.50,-2.31,1045.00,0.12,5582.50,0.65
10,Exit Long,SELL,2021-02-18 15:00,1552.00,1,-4950.00,-0.58,9542.50,-2.31,1045.00,0.12,5582.50,0.65
11,Entry Short,SELL,2021-02-18 15:00,1552.00,1,-1512.50,-0.18,8030.00,-0.72,0,0,1897.50,0.22
11,Exit Short,INTRADAY_SExit,2021-02-18 15:05,1554.75,1,-1512.50,-0.18,8030.00,-0.72,0,0,1897.50,0.22
12,Entry Long,BUY,2021-02-19 09:50,1555.25,1,-220.00,-0.03,7810.00,-0.11,5252.50,0.61,3355.00,0.39
12,Exit Long,SELL,2021-02-19 11:50,1554.85,1,-220.00,-0.03,7810.00,-0.11,5252.50,0.61,3355.00,0.39
13,Entry Short,SELL,2021-02-19 11:50,1554.85,1,10560.00,1.23,18370.00,5.08,11880.00,1.39,2200.00,0.26
13,Exit Short,INTRADAY_SExit,2021-02-19 15:05,1535.65,1,10560.00,1.23,18370.00,5.08,11880.00,1.39,2200.00,0.26
14,Entry Long,BUY,2021-02-22 09:35,1567.50,1,-5005.00,-0.58,13365.00,-2.29,2172.50,0.25,7232.50,0.84
14,Exit Long,SELL,2021-02-22 11:35,1558.40,1,-5005.00,-0.58,13365.00,-2.29,2172.50,0.25,7232.50,0.84
15,Entry Short,SELL,2021-02-22 11:35,1558.40,1,165.00,0.02,13530.00,0.08,1045.00,0.12,2695.00,0.31
15,Exit Short,BUY,2021-02-22 12:35,1558.10,1,165.00,0.02,13530.00,0.08,1045.00,0.12,2695.00,0.31
16,Entry Long,BUY,2021-02-22 12:35,1558.10,1,-3355.00,-0.39,10175.00,-1.57,4427.50,0.52,3712.50,0.43
16,Exit Long,SELL,2021-02-22 13:50,1552.00,1,-3355.00,-0.39,10175.00,-1.57,4427.50,0.52,3712.50,0.43
17,Entry Short,SELL,2021-02-22 13:50,1552.00,1,-275.00,-0.03,9900.00,-0.13,8195.00,0.96,2090.00,0.24
17,Exit Short,BUY,2021-02-22 14:55,1552.50,1,-275.00,-0.03,9900.00,-0.13,8195.00,0.96,2090.00,0.24
18,Entry Long,BUY,2021-02-22 14:55,1552.50,1,-3492.50,-0.41,6407.50,-1.66,137.50,0.02,3850.00,0.45
