Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 04:15,1443.50,1,-2420.00,-0.3,-2420.00,-1.21,1292.50,0.16,2530.00,0.32
1,Exit Long,SELL,2021-01-01 05:30,1439.10,1,-2420.00,-0.3,-2420.00,-1.21,1292.50,0.16,2530.00,0.32
2,Entry Short,SELL,2021-01-01 05:30,1439.10,1,4565.00,0.58,2145.00,2.31,4620.00,0.58,1732.50,0.22
2,Exit Short,INTRADAY_SExit,2021-01-01 09:45,1430.80,1,4565.00,0.58,2145.00,2.31,4620.00,0.58,1732.50,0.22
3,Entry Short,SELL,2021-01-04 04:15,1434.10,1,7370.00,0.93,9515.00,3.65,7535.00,0.96,1292.50,0.16
3,Exit Short,SELL_TG_HIT,2021-01-04 05:30,1420.70,1,7370.00,0.93,9515.00,3.65,7535.00,0.96,1292.50,0.16
4,Entry Short,SELL,2021-01-04 05:45,1415.85,1,-3547.50,-0.46,5967.50,-1.69,990.00,0.13,6655.00,0.85
4,Exit Short,INTRADAY_SExit,2021-01-04 09:45,1422.30,1,-3547.50,-0.46,5967.50,-1.69,990.00,0.13,6655.00,0.85
5,Entry Short,SELL,2021-01-05 04:15,1419.45,1,-1567.50,-0.2,4400.00,-0.76,2227.50,0.29,2860.00,0.37
5,Exit Short,BUY,2021-01-05 05:15,1422.30,1,-1567.50,-0.2,4400.00,-0.76,2227.50,0.29,2860.00,0.37
6,Entry Long,BUY,2021-01-05 05:15,1422.30,1,6462.50,0.83,10862.50,3.16,7452.50,0.95,1127.50,0.14
6,Exit Long,BUY_TG_HIT,2021-01-05 09:30,1434.05,1,6462.50,0.83,10862.50,3.16,7452.50,0.95,1127.50,0.14
7,Entry Long,BUY,2021-01-06 04:15,1426.50,1,1127.50,0.14,11990.00,0.53,3547.50,0.45,3190.00,0.41
7,Exit Long,INTRADAY_BExit,2021-01-06 09:45,1428.55,1,1127.50,0.14,11990.00,0.53,3547.50,0.45,3190.00,0.41
8,Entry Long,BUY,2021-01-07 05:00,1434.25,1,-1787.50,-0.23,10202.50,-0.84,2062.50,0.26,2557.50,0.32
8,Exit Long,SELL,2021-01-07 08:15,1431.00,1,-1787.50,-0.23,10202.50,-0.84,2062.50,0.26,2557.50,0.32
9,Entry Short,SELL,2021-01-07 08:15,1431.00,1,3052.50,0.39,13255.00,1.45,4922.50,0.63,412.50,0.05
9,Exit Short,INTRADAY_SExit,2021-01-07 09:45,1425.45,1,3052.50,0.39,13255.00,1.45,4922.50,0.63,412.50,0.05
10,Entry Long,BUY,2021-01-08 05:00,1436.30,1,247.50,0.03,13502.50,0.12,7287.50,0.92,1677.50,0.21
10,Exit Long,INTRADAY_BExit,2021-01-08 09:45,1436.75,1,247.50,0.03,13502.50,0.12,7287.50,0.92,1677.50,0.21
11,Entry Long,BUY,2021-01-11 04:15,1462.85,1,-4785.00,-0.59,8717.50,-2.24,4702.50,0.58,5142.50,0.64
11,Exit Long,SELL,2021-01-11 05:30,1454.15,1,-4785.00,-0.59,8717.50,-2.24,4702.50,0.58,5142.50,0.64
12,Entry Short,SELL,2021-01-11 05:30,1454.15,1,-935.00,-0.12,7782.50,-0.45,1072.50,0.13,5362.50,0.67
12,Exit Short,INTRADAY_SExit,2021-01-11 09:45,1455.85,1,-935.00,-0.12,7782.50,-0.45,1072.50,0.13,5362.50,0.67
13,Entry Long,BUY,2021-01-12 06:30,1463.10,1,10065.00,1.25,17847.50,4.84,11357.50,1.41,0,0
13,Exit Long,BUY_TG_HIT,2021-01-12 07:15,1481.40,1,10065.00,1.25,17847.50,4.84,11357.50,1.41,0,0
14,Entry Long,BUY,2021-01-12 07:30,1483.25,1,1127.50,0.14,18975.00,0.52,4400.00,0.54,1897.50,0.23
14,Exit Long,INTRADAY_BExit,2021-01-12 09:45,1485.30,1,1127.50,0.14,18975.00,0.52,4400.00,0.54,1897.50,0.23
15,Entry Short,SELL,2021-01-13 05:00,1484.65,1,7672.50,0.94,26647.50,3.5,7947.50,0.97,357.50,0.04
15,Exit Short,SELL_TG_HIT,2021-01-13 06:30,1470.70,1,7672.50,0.94,26647.50,3.5,7947.50,0.97,357.50,0.04
16,Entry Short,SELL,2021-01-13 06:45,1473.40,1,-1045.00,-0.13,25602.50,-0.46,4262.50,0.53,1925.00,0.24
16,Exit Short,INTRADAY_SExit,2021-01-13 09:45,1475.30,1,-1045.00,-0.13,25602.50,-0.46,4262.50,0.53,1925.00,0.24
17,Entry Short,SELL,2021-01-15 04:15,1463.45,1,6187.50,0.77,31790.00,2.74,7122.50,0.88,632.50,0.08
17,Exit Short,SELL_TG_HIT,2021-01-15 06:00,1452.20,1,6187.50,0.77,31790.00,2.74,7122.50,0.88,632.50,0.08
18,Entry Long,BUY,2021-01-15 06:30,1463.00,1,2337.50,0.29,34127.50,1.01,4400.00,0.55,4317.50,0.54
18,Exit Long,INTRADAY_BExit,2021-01-15 09:45,1467.25,1,2337.50,0.29,34127.50,1.01,4400.00,0.55,4317.50,0.54
19,Entry Long,BUY,2021-01-18 04:15,1490.75,1,-5912.50,-0.72,28215.00,-2.53,7452.50,0.91,7452.50,0.91
19,Exit Long,SELL,2021-01-18 06:15,1480.00,1,-5912.50,-0.72,28215.00,-2.53,7452.50,0.91,7452.50,0.91
20,Entry Short,SELL,2021-01-18 06:15,1480.00,1,-6682.50,-0.82,21532.50,-2.93,1430.00,0.18,8745.00,1.07
20,Exit Short,SELL_SL_HIT,2021-01-18 08:15,1492.15,1,-6682.50,-0.82,21532.50,-2.93,1430.00,0.18,8745.00,1.07
21,Entry Long,BUY,2021-01-18 08:45,1497.55,1,-8552.50,-1.04,12980.00,-3.86,990.00,0.12,8772.50,1.07
21,Exit Long,INTRADAY_BExit,2021-01-18 09:45,1482.00,1,-8552.50,-1.04,12980.00,-3.86,990.00,0.12,8772.50,1.07
22,Entry Short,SELL,2021-01-19 04:15,1474.55,1,-5115.00,-0.63,7865.00,-2.4,2117.50,0.26,5142.50,0.63
22,Exit Short,BUY,2021-01-19 05:15,1483.85,1,-5115.00,-0.63,7865.00,-2.4,2117.50,0.26,5142.50,0.63
23,Entry Long,BUY,2021-01-19 05:15,1483.85,1,7452.50,0.91,15317.50,3.59,8360.00,1.02,1815.00,0.22
23,Exit Long,BUY_TG_HIT,2021-01-19 08:30,1497.40,1,7452.50,0.91,15317.50,3.59,8360.00,1.02,1815.00,0.22
24,Entry Long,BUY,2021-01-20 05:30,1499.70,1,-2502.50,-0.3,12815.00,-1.16,165.00,0.02,2832.50,0.34
24,Exit Long,SELL,2021-01-20 06:15,1495.15,1,-2502.50,-0.3,12815.00,-1.16,165.00,0.02,2832.50,0.34
25,Entry Short,SELL,2021-01-20 06:15,1495.15,1,1265.00,0.15,14080.00,0.59,3382.50,0.41,1347.50,0.16
25,Exit Short,INTRADAY_SExit,2021-01-20 09:45,1492.85,1,1265.00,0.15,14080.00,0.59,3382.50,0.41,1347.50,0.16
26,Entry Short,SELL,2021-01-21 04:15,1487.50,1,6517.50,0.8,20597.50,3.04,6682.50,0.82,1870.00,0.23
26,Exit Short,SELL_TG_HIT,2021-01-21 05:00,1475.65,1,6517.50,0.8,20597.50,3.04,6682.50,0.82,1870.00,0.23
27,Entry Short,SELL,2021-01-21 05:15,1477.00,1,-4235.00,-0.52,16362.50,-1.92,1045.00,0.13,4950.00,0.61
27,Exit Short,BUY,2021-01-21 09:15,1484.70,1,-4235.00,-0.52,16362.50,-1.92,1045.00,0.13,4950.00,0.61
28,Entry Long,BUY,2021-01-21 09:15,1484.70,1,-5472.50,-0.67,10890.00,-2.53,687.50,0.08,8442.50,1.03
28,Exit Long,INTRADAY_BExit,2021-01-21 09:45,1474.75,1,-5472.50,-0.67,10890.00,-2.53,687.50,0.08,8442.50,1.03
