Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-01 06:00,1428.65,100,-1735.00,-1.21,-1735.00,-1.73,205.00,0.14,1735.00,1.21
1,Exit Long,BUY_SL_HIT,2021-02-01 06:45,1411.30,100,-1735.00,-1.21,-1735.00,-1.73,205.00,0.14,1735.00,1.21
2,Entry Long,BUY,2021-02-01 08:00,1455.00,100,1635.00,1.12,-100.00,1.66,1820.00,1.25,220.00,0.15
2,Exit Long,BUY_TG_HIT,2021-02-01 09:15,1471.35,100,1635.00,1.12,-100.00,1.66,1820.00,1.25,220.00,0.15
3,Entry Short,SELL,2021-02-02 06:00,1558.90,100,-810.00,-0.52,-910.00,-0.81,895.00,0.57,1110.00,0.71
3,Exit Short,BUY,2021-02-02 07:45,1567.00,100,-810.00,-0.52,-910.00,-0.81,895.00,0.57,1110.00,0.71
4,Entry Long,BUY,2021-02-02 07:45,1567.00,100,-720.00,-0.46,-1630.00,-0.73,490.00,0.31,1095.00,0.7
4,Exit Long,INTRADAY_BExit,2021-02-02 09:45,1559.80,100,-720.00,-0.46,-1630.00,-0.73,490.00,0.31,1095.00,0.7
5,Entry Long,BUY,2021-02-03 07:15,1571.65,100,840.00,0.53,-790.00,0.85,1005.00,0.64,420.00,0.27
5,Exit Long,BUY_TG_HIT,2021-02-03 09:00,1580.05,100,840.00,0.53,-790.00,0.85,1005.00,0.64,420.00,0.27
6,Entry Short,SELL,2021-02-04 04:15,1550.05,100,-1000.00,-0.65,-1790.00,-1.01,370.00,0.24,1215.00,0.78
6,Exit Short,SELL_SL_HIT,2021-02-04 06:00,1560.05,100,-1000.00,-0.65,-1790.00,-1.01,370.00,0.24,1215.00,0.78
7,Entry Long,BUY,2021-02-04 06:45,1565.70,100,895.00,0.57,-895.00,0.91,930.00,0.59,40.00,0.03
7,Exit Long,BUY_TG_HIT,2021-02-04 07:00,1574.65,100,895.00,0.57,-895.00,0.91,930.00,0.59,40.00,0.03
8,Entry Long,BUY,2021-02-05 04:15,1607.35,100,-810.00,-0.5,-1705.00,-0.82,265.00,0.16,980.00,0.61
8,Exit Long,BUY_SL_HIT,2021-02-05 04:45,1599.25,100,-810.00,-0.5,-1705.00,-0.82,265.00,0.16,980.00,0.61
9,Entry Short,SELL,2021-02-05 07:00,1593.50,100,-575.00,-0.36,-2280.00,-0.58,940.00,0.59,775.00,0.49
9,Exit Short,BUY,2021-02-05 09:30,1599.25,100,-575.00,-0.36,-2280.00,-0.58,940.00,0.59,775.00,0.49
10,Entry Long,BUY,2021-02-05 09:30,1599.25,100,-225.00,-0.14,-2505.00,-0.23,300.00,0.19,425.00,0.27
