Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 09:45,1440.50,100,-1650.00,-1.15,-1650.00,-1.65,250.00,0.17,1715.00,1.19
1,Exit Long,INTRADAY_BExit,2021-01-01 15:15,1424.00,100,-1650.00,-1.15,-1650.00,-1.65,250.00,0.17,1715.00,1.19
2,Entry Short,SELL,2021-01-04 09:45,1427.10,100,1260.00,0.88,-390.00,1.28,2810.00,1.97,270.00,0.19
2,Exit Short,INTRADAY_SExit,2021-01-04 15:15,1414.50,100,1260.00,0.88,-390.00,1.28,2810.00,1.97,270.00,0.19
3,Entry Long,BUY,2021-01-05 15:00,1428.90,100,-160.00,-0.11,-550.00,-0.16,25.00,0.02,625.00,0.44
3,Exit Long,INTRADAY_BExit,2021-01-05 15:15,1427.30,100,-160.00,-0.11,-550.00,-0.16,25.00,0.02,625.00,0.44
4,Entry Short,SELL,2021-01-07 15:00,1415.35,100,-215.00,-0.15,-765.00,-0.22,65.00,0.05,405.00,0.29
4,Exit Short,INTRADAY_SExit,2021-01-07 15:15,1417.50,100,-215.00,-0.15,-765.00,-0.22,65.00,0.05,405.00,0.29
5,Entry Long,BUY,2021-01-08 10:45,1429.60,100,-10.00,-0.01,-775.00,-0.01,1240.00,0.87,285.00,0.2
5,Exit Long,INTRADAY_BExit,2021-01-08 15:15,1429.50,100,-10.00,-0.01,-775.00,-0.01,1240.00,0.87,285.00,0.2
6,Entry Short,SELL,2021-01-13 12:15,1469.40,100,-165.00,-0.11,-940.00,-0.17,730.00,0.5,305.00,0.21
6,Exit Short,INTRADAY_SExit,2021-01-13 15:15,1471.05,100,-165.00,-0.11,-940.00,-0.17,730.00,0.5,305.00,0.21
7,Entry Long,BUY,2021-01-15 14:00,1461.45,100,280.00,0.19,-660.00,0.28,405.00,0.28,1040.00,0.71
7,Exit Long,INTRADAY_BExit,2021-01-15 15:15,1464.25,100,280.00,0.19,-660.00,0.28,405.00,0.28,1040.00,0.71
8,Entry Short,SELL,2021-01-19 10:00,1473.70,100,-1910.00,-1.3,-2570.00,-1.92,20.00,0.01,2330.00,1.58
8,Exit Short,BUY,2021-01-19 14:15,1492.80,100,-1910.00,-1.3,-2570.00,-1.92,20.00,0.01,2330.00,1.58
9,Entry Long,BUY,2021-01-19 14:15,1492.80,100,1220.00,0.82,-1350.00,1.25,1885.00,1.26,30.00,0.02
9,Exit Long,INTRADAY_BExit,2021-01-19 15:15,1505.00,100,1220.00,0.82,-1350.00,1.25,1885.00,1.26,30.00,0.02
10,Entry Short,SELL,2021-01-20 12:45,1491.55,100,-55.00,-0.04,-1405.00,-0.06,455.00,0.31,525.00,0.35
10,Exit Short,INTRADAY_SExit,2021-01-20 15:15,1492.10,100,-55.00,-0.04,-1405.00,-0.06,455.00,0.31,525.00,0.35
11,Entry Long,BUY,2021-01-25 09:45,1467.75,100,-420.00,-0.29,-1825.00,-0.43,1325.00,0.9,1260.00,0.86
11,Exit Long,INTRADAY_BExit,2021-01-25 15:15,1463.55,100,-420.00,-0.29,-1825.00,-0.43,1325.00,0.9,1260.00,0.86
12,Entry Short,SELL,2021-01-27 10:15,1449.90,100,3185.00,2.2,1360.00,3.24,3250.00,2.24,0,0
12,Exit Short,SELL_TG_HIT,2021-01-27 14:00,1418.05,100,3185.00,2.2,1360.00,3.24,3250.00,2.24,0,0
13,Entry Long,BUY,2021-01-29 09:45,1380.85,100,1020.00,0.74,2380.00,1.01,2790.00,2.02,1635.00,1.18
13,Exit Long,INTRADAY_BExit,2021-01-29 15:15,1391.05,100,1020.00,0.74,2380.00,1.01,2790.00,2.02,1635.00,1.18
14,Entry Short,SELL,2021-02-04 09:45,1550.05,100,-2370.00,-1.53,10.00,-2.31,370.00,0.24,3135.00,2.02
14,Exit Short,BUY,2021-02-04 12:45,1573.75,100,-2370.00,-1.53,10.00,-2.31,370.00,0.24,3135.00,2.02
15,Entry Long,BUY,2021-02-04 12:45,1573.75,100,475.00,0.3,485.00,0.47,1425.00,0.91,745.00,0.47
15,Exit Long,INTRADAY_BExit,2021-02-04 15:15,1578.50,100,475.00,0.3,485.00,0.47,1425.00,0.91,745.00,0.47
16,Entry Short,SELL,2021-02-08 12:45,1608.30,100,280.00,0.17,765.00,0.28,670.00,0.42,1320.00,0.82
16,Exit Short,INTRADAY_SExit,2021-02-08 15:15,1605.50,100,280.00,0.17,765.00,0.28,670.00,0.42,1320.00,0.82
17,Entry Long,BUY,2021-02-09 12:15,1618.95,100,-795.00,-0.49,-30.00,-0.79,905.00,0.56,1080.00,0.67
17,Exit Long,INTRADAY_BExit,2021-02-09 15:15,1611.00,100,-795.00,-0.49,-30.00,-0.79,905.00,0.56,1080.00,0.67
18,Entry Short,SELL,2021-02-10 09:45,1603.40,100,2340.00,1.46,2310.00,2.34,3640.00,2.27,760.00,0.47
18,Exit Short,INTRADAY_SExit,2021-02-10 15:15,1580.00,100,2340.00,1.46,2310.00,2.34,3640.00,2.27,760.00,0.47
19,Entry Long,BUY,2021-02-12 11:30,1588.65,100,-725.00,-0.46,1585.00,-0.71,310.00,0.2,1020.00,0.64
19,Exit Long,INTRADAY_BExit,2021-02-12 15:15,1581.40,100,-725.00,-0.46,1585.00,-0.71,310.00,0.2,1020.00,0.64
20,Entry Short,SELL,2021-02-16 10:45,1624.75,100,-200.00,-0.12,1385.00,-0.2,1630.00,1,495.00,0.3
20,Exit Short,INTRADAY_SExit,2021-02-16 15:15,1626.75,100,-200.00,-0.12,1385.00,-0.2,1630.00,1,495.00,0.3
21,Entry Long,BUY,2021-02-22 09:45,1567.25,100,-2360.00,-1.51,-975.00,-2.33,665.00,0.42,2725.00,1.74
21,Exit Long,SELL,2021-02-22 14:30,1543.65,100,-2360.00,-1.51,-975.00,-2.33,665.00,0.42,2725.00,1.74
22,Entry Short,SELL,2021-02-22 14:30,1543.65,100,-635.00,-0.41,-1610.00,-0.64,235.00,0.15,1605.00,1.04
22,Exit Short,INTRADAY_SExit,2021-02-22 15:15,1550.00,100,-635.00,-0.41,-1610.00,-0.64,235.00,0.15,1605.00,1.04
23,Entry Long,BUY,2021-02-24 11:30,1562.05,100,1555.00,1,-55.00,1.58,1630.00,1.04,560.00,0.36
23,Exit Long,INTRADAY_BExit,2021-02-24 16:00,1577.60,100,1555.00,1,-55.00,1.58,1630.00,1.04,560.00,0.36
24,Entry Short,SELL,2021-02-26 09:45,1564.40,100,3220.00,2.06,3165.00,3.22,3740.00,2.39,635.00,0.41
24,Exit Short,SELL_TG_HIT,2021-02-26 11:45,1532.20,100,3220.00,2.06,3165.00,3.22,3740.00,2.39,635.00,0.41
25,Entry Long,BUY,2021-03-01 09:45,1557.25,100,175.00,0.11,3340.00,0.17,1530.00,0.98,620.00,0.4
25,Exit Long,INTRADAY_BExit,2021-03-01 15:15,1559.00,100,175.00,0.11,3340.00,0.17,1530.00,0.98,620.00,0.4
26,Entry Short,SELL,2021-03-02 13:30,1554.55,100,-1575.00,-1.01,1765.00,-1.52,355.00,0.23,1575.00,1.01
26,Exit Short,INTRADAY_SExit,2021-03-02 15:15,1570.30,100,-1575.00,-1.01,1765.00,-1.52,355.00,0.23,1575.00,1.01
27,Entry Long,BUY,2021-03-03 13:15,1580.00,100,695.00,0.44,2460.00,0.68,1600.00,1.01,100.00,0.06
27,Exit Long,INTRADAY_BExit,2021-03-03 15:15,1586.95,100,695.00,0.44,2460.00,0.68,1600.00,1.01,100.00,0.06
28,Entry Short,SELL,2021-03-04 09:45,1546.15,100,-2195.00,-1.42,265.00,-2.14,545.00,0.35,2485.00,1.61
28,Exit Short,BUY,2021-03-04 13:15,1568.10,100,-2195.00,-1.42,265.00,-2.14,545.00,0.35,2485.00,1.61
29,Entry Long,BUY,2021-03-04 13:15,1568.10,100,-1495.00,-0.95,-1230.00,-1.49,40.00,0.03,1910.00,1.22
29,Exit Long,INTRADAY_BExit,2021-03-04 15:15,1553.15,100,-1495.00,-0.95,-1230.00,-1.49,40.00,0.03,1910.00,1.22
30,Entry Short,SELL,2021-03-05 09:45,1532.60,100,45.00,0.03,-1185.00,0.05,745.00,0.49,1300.00,0.85
30,Exit Short,INTRADAY_SExit,2021-03-05 15:15,1532.15,100,45.00,0.03,-1185.00,0.05,745.00,0.49,1300.00,0.85
31,Entry Long,BUY,2021-03-08 09:45,1545.95,100,-1880.00,-1.22,-3065.00,-1.9,905.00,0.59,2395.00,1.55
31,Exit Long,SELL,2021-03-08 12:15,1527.15,100,-1880.00,-1.22,-3065.00,-1.9,905.00,0.59,2395.00,1.55
32,Entry Short,SELL,2021-03-08 12:15,1527.15,100,640.00,0.42,-2425.00,0.66,1465.00,0.96,460.00,0.3
32,Exit Short,INTRADAY_SExit,2021-03-08 15:15,1520.75,100,640.00,0.42,-2425.00,0.66,1465.00,0.96,460.00,0.3
33,Entry Long,BUY,2021-03-09 09:45,1553.00,100,930.00,0.6,-1495.00,0.95,1200.00,0.77,600.00,0.39
33,Exit Long,INTRADAY_BExit,2021-03-09 15:15,1562.30,100,930.00,0.6,-1495.00,0.95,1200.00,0.77,600.00,0.39
34,Entry Short,SELL,2021-03-12 14:00,1554.35,100,50.00,0.03,-1445.00,0.05,1855.00,1.19,135.00,0.09
34,Exit Short,INTRADAY_SExit,2021-03-12 15:15,1553.85,100,50.00,0.03,-1445.00,0.05,1855.00,1.19,135.00,0.09
35,Entry Long,BUY,2021-03-17 11:45,1531.95,100,-1925.00,-1.26,-3370.00,-1.95,205.00,0.13,2195.00,1.43
35,Exit Long,SELL,2021-03-17 13:00,1512.70,100,-1925.00,-1.26,-3370.00,-1.95,205.00,0.13,2195.00,1.43
36,Entry Short,SELL,2021-03-17 13:00,1512.70,100,1970.00,1.3,-1400.00,2.04,2240.00,1.48,230.00,0.15
36,Exit Short,INTRADAY_SExit,2021-03-17 15:15,1493.00,100,1970.00,1.3,-1400.00,2.04,2240.00,1.48,230.00,0.15
37,Entry Long,BUY,2021-03-18 10:15,1514.30,100,-1530.00,-1.01,-2930.00,-1.55,775.00,0.51,1680.00,1.11
37,Exit Long,SELL,2021-03-18 13:45,1499.00,100,-1530.00,-1.01,-2930.00,-1.55,775.00,0.51,1680.00,1.11
38,Entry Short,SELL,2021-03-18 13:45,1499.00,100,445.00,0.3,-2485.00,0.46,1785.00,1.19,275.00,0.18
38,Exit Short,INTRADAY_SExit,2021-03-18 15:15,1494.55,100,445.00,0.3,-2485.00,0.46,1785.00,1.19,275.00,0.18
39,Entry Short,SELL,2021-03-22 11:45,1475.50,100,570.00,0.39,-1915.00,0.58,1510.00,1.02,500.00,0.34
39,Exit Short,INTRADAY_SExit,2021-03-22 15:15,1469.80,100,570.00,0.39,-1915.00,0.58,1510.00,1.02,500.00,0.34
40,Entry Long,BUY,2021-03-23 09:45,1483.35,100,1590.00,1.07,-325.00,1.62,2410.00,1.62,1420.00,0.96
40,Exit Long,INTRADAY_BExit,2021-03-23 15:15,1499.25,100,1590.00,1.07,-325.00,1.62,2410.00,1.62,1420.00,0.96
41,Entry Short,SELL,2021-03-25 09:45,1470.85,100,-580.00,-0.39,-905.00,-0.58,2060.00,1.4,2470.00,1.68
41,Exit Short,BUY,2021-03-25 15:00,1476.65,100,-580.00,-0.39,-905.00,-0.58,2060.00,1.4,2470.00,1.68
42,Entry Long,BUY,2021-03-25 15:00,1476.65,100,-1615.00,-1.09,-2520.00,-1.63,0,0,1865.00,1.26
42,Exit Long,INTRADAY_BExit,2021-03-25 15:15,1460.50,100,-1615.00,-1.09,-2520.00,-1.63,0,0,1865.00,1.26
43,Entry Short,SELL,2021-03-31 09:45,1508.75,100,1560.00,1.03,-960.00,1.6,2075.00,1.38,330.00,0.22
43,Exit Short,INTRADAY_SExit,2021-03-31 15:15,1493.15,100,1560.00,1.03,-960.00,1.6,2075.00,1.38,330.00,0.22
44,Entry Short,SELL,2021-04-05 09:45,1462.95,100,1325.00,0.91,365.00,1.34,3195.00,2.18,5.00,0
44,Exit Short,INTRADAY_SExit,2021-04-05 15:15,1449.70,100,1325.00,0.91,365.00,1.34,3195.00,2.18,5.00,0
45,Entry Long,BUY,2021-04-07 13:30,1449.65,100,-245.00,-0.17,120.00,-0.24,130.00,0.09,755.00,0.52
45,Exit Long,INTRADAY_BExit,2021-04-07 15:15,1447.20,100,-245.00,-0.17,120.00,-0.24,130.00,0.09,755.00,0.52
46,Entry Short,SELL,2021-04-09 09:45,1423.55,100,205.00,0.14,325.00,0.2,595.00,0.42,815.00,0.57
46,Exit Short,INTRADAY_SExit,2021-04-09 15:15,1421.50,100,205.00,0.14,325.00,0.2,595.00,0.42,815.00,0.57
47,Entry Long,BUY,2021-04-13 09:45,1372.70,100,2870.00,2.09,3195.00,2.86,3125.00,2.28,620.00,0.45
47,Exit Long,BUY_TG_HIT,2021-04-13 14:45,1401.40,100,2870.00,2.09,3195.00,2.86,3125.00,2.28,620.00,0.45
48,Entry Short,SELL,2021-04-19 09:45,1379.55,100,-3595.00,-2.61,-400.00,-3.48,105.00,0.08,3695.00,2.68
48,Exit Short,INTRADAY_SExit,2021-04-19 15:15,1415.50,100,-3595.00,-2.61,-400.00,-3.48,105.00,0.08,3695.00,2.68
49,Entry Long,BUY,2021-04-20 09:45,1417.55,100,-2305.00,-1.63,-2705.00,-2.31,95.00,0.07,2745.00,1.94
49,Exit Long,SELL,2021-04-20 14:45,1394.50,100,-2305.00,-1.63,-2705.00,-2.31,95.00,0.07,2745.00,1.94
50,Entry Short,SELL,2021-04-20 14:45,1394.50,100,110.00,0.08,-2595.00,0.11,1055.00,0.76,230.00,0.16
50,Exit Short,INTRADAY_SExit,2021-04-20 15:15,1393.40,100,110.00,0.08,-2595.00,0.11,1055.00,0.76,230.00,0.16
51,Entry Long,BUY,2021-04-22 13:15,1399.45,100,2355.00,1.68,-240.00,2.42,2555.00,1.83,85.00,0.06
51,Exit Long,INTRADAY_BExit,2021-04-22 15:15,1423.00,100,2355.00,1.68,-240.00,2.42,2555.00,1.83,85.00,0.06
52,Entry Short,SELL,2021-04-23 14:45,1409.50,100,-390.00,-0.28,-630.00,-0.39,50.00,0.04,850.00,0.6
52,Exit Short,INTRADAY_SExit,2021-04-23 15:15,1413.40,100,-390.00,-0.28,-630.00,-0.39,50.00,0.04,850.00,0.6
53,Entry Long,BUY,2021-04-27 10:15,1423.20,100,1600.00,1.12,970.00,1.61,1745.00,1.23,460.00,0.32
53,Exit Long,INTRADAY_BExit,2021-04-27 15:15,1439.20,100,1600.00,1.12,970.00,1.61,1745.00,1.23,460.00,0.32
54,Entry Short,SELL,2021-04-29 10:15,1479.95,100,680.00,0.46,1650.00,0.67,1895.00,1.28,955.00,0.65
54,Exit Short,INTRADAY_SExit,2021-04-29 15:15,1473.15,100,680.00,0.46,1650.00,0.67,1895.00,1.28,955.00,0.65
55,Entry Long,BUY,2021-05-03 15:00,1408.35,100,645.00,0.46,2295.00,0.63,1355.00,0.96,300.00,0.21
55,Exit Long,INTRADAY_BExit,2021-05-03 15:15,1414.80,100,645.00,0.46,2295.00,0.63,1355.00,0.96,300.00,0.21
56,Entry Short,SELL,2021-05-04 15:00,1385.15,100,-435.00,-0.31,1860.00,-0.43,25.00,0.02,520.00,0.38
56,Exit Short,INTRADAY_SExit,2021-05-04 15:15,1389.50,100,-435.00,-0.31,1860.00,-0.43,25.00,0.02,520.00,0.38
57,Entry Long,BUY,2021-05-06 13:30,1404.45,100,-445.00,-0.32,1415.00,-0.44,555.00,0.4,600.00,0.43
57,Exit Long,INTRADAY_BExit,2021-05-06 15:15,1400.00,100,-445.00,-0.32,1415.00,-0.44,555.00,0.4,600.00,0.43
58,Entry Short,SELL,2021-05-11 09:45,1407.55,100,350.00,0.25,1765.00,0.35,815.00,0.58,1665.00,1.18
58,Exit Short,INTRADAY_SExit,2021-05-11 15:15,1404.05,100,350.00,0.25,1765.00,0.35,815.00,0.58,1665.00,1.18
59,Entry Long,BUY,2021-05-12 12:45,1400.80,100,-105.00,-0.07,1660.00,-0.1,490.00,0.35,575.00,0.41
59,Exit Long,INTRADAY_BExit,2021-05-12 15:15,1399.75,100,-105.00,-0.07,1660.00,-0.1,490.00,0.35,575.00,0.41
60,Entry Short,SELL,2021-05-14 09:45,1390.00,100,350.00,0.25,2010.00,0.34,765.00,0.55,465.00,0.33
60,Exit Short,INTRADAY_SExit,2021-05-14 15:15,1386.50,100,350.00,0.25,2010.00,0.34,765.00,0.55,465.00,0.33
61,Entry Long,BUY,2021-05-17 09:45,1408.50,100,2915.00,2.07,4925.00,2.86,2965.00,2.11,245.00,0.17
61,Exit Long,BUY_TG_HIT,2021-05-17 14:45,1437.65,100,2915.00,2.07,4925.00,2.86,2965.00,2.11,245.00,0.17
62,Entry Short,SELL,2021-05-19 10:15,1464.55,100,595.00,0.41,5520.00,0.57,1200.00,0.82,535.00,0.37
62,Exit Short,INTRADAY_SExit,2021-05-19 15:15,1458.60,100,595.00,0.41,5520.00,0.57,1200.00,0.82,535.00,0.37
63,Entry Long,BUY,2021-05-21 09:45,1456.55,100,3120.00,2.14,8640.00,2.96,3245.00,2.23,0,0
63,Exit Long,BUY_TG_HIT,2021-05-21 14:45,1487.75,100,3120.00,2.14,8640.00,2.96,3245.00,2.23,0,0
64,Entry Short,SELL,2021-05-25 09:45,1491.95,100,1520.00,1.02,10160.00,1.4,2145.00,1.44,160.00,0.11
64,Exit Short,INTRADAY_SExit,2021-05-25 15:15,1476.75,100,1520.00,1.02,10160.00,1.4,2145.00,1.44,160.00,0.11
