Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-01 05:30,1436.00,100,1200.00,0.84,1200.00,1.2,1265.00,0.88,445.00,0.31
1,Exit Short,INTRADAY_SExit,2021-01-01 09:45,1424.00,100,1200.00,0.84,1200.00,1.2,1265.00,0.88,445.00,0.31
2,Entry Short,SELL,2021-01-04 04:15,1427.10,100,1210.00,0.85,2410.00,1.2,1360.00,0.95,270.00,0.19
2,Exit Short,SELL_TG_HIT,2021-01-04 05:30,1415.00,100,1210.00,0.85,2410.00,1.2,1360.00,0.95,270.00,0.19
3,Entry Short,SELL,2021-01-04 05:45,1408.50,100,-600.00,-0.43,1810.00,-0.59,120.00,0.09,1130.00,0.8
3,Exit Short,INTRADAY_SExit,2021-01-04 09:45,1414.50,100,-600.00,-0.43,1810.00,-0.59,120.00,0.09,1130.00,0.8
4,Entry Long,BUY,2021-01-05 05:15,1418.55,100,875.00,0.62,2685.00,0.86,1220.00,0.86,355.00,0.25
4,Exit Long,INTRADAY_BExit,2021-01-05 09:45,1427.30,100,875.00,0.62,2685.00,0.86,1220.00,0.86,355.00,0.25
5,Entry Long,BUY,2021-01-06 04:15,1423.00,100,-380.00,-0.27,2305.00,-0.37,610.00,0.43,990.00,0.7
5,Exit Long,SELL,2021-01-06 06:45,1419.20,100,-380.00,-0.27,2305.00,-0.37,610.00,0.43,990.00,0.7
6,Entry Short,SELL,2021-01-06 06:45,1419.20,100,-145.00,-0.1,2160.00,-0.14,320.00,0.23,570.00,0.4
6,Exit Short,INTRADAY_SExit,2021-01-06 09:45,1420.65,100,-145.00,-0.1,2160.00,-0.14,320.00,0.23,570.00,0.4
7,Entry Long,BUY,2021-01-07 05:15,1427.85,100,-490.00,-0.34,1670.00,-0.48,215.00,0.15,655.00,0.46
7,Exit Long,SELL,2021-01-07 08:30,1422.95,100,-490.00,-0.34,1670.00,-0.48,215.00,0.15,655.00,0.46
8,Entry Short,SELL,2021-01-07 08:30,1422.95,100,545.00,0.38,2215.00,0.54,895.00,0.63,0,0
8,Exit Short,INTRADAY_SExit,2021-01-07 09:45,1417.50,100,545.00,0.38,2215.00,0.54,895.00,0.63,0,0
9,Entry Long,BUY,2021-01-08 04:30,1428.00,100,1210.00,0.85,3425.00,1.18,1400.00,0.98,165.00,0.12
9,Exit Long,BUY_TG_HIT,2021-01-08 06:30,1440.10,100,1210.00,0.85,3425.00,1.18,1400.00,0.98,165.00,0.12
10,Entry Long,BUY,2021-01-08 06:45,1437.95,100,-845.00,-0.59,2580.00,-0.82,395.00,0.27,1070.00,0.74
10,Exit Long,INTRADAY_BExit,2021-01-08 09:45,1429.50,100,-845.00,-0.59,2580.00,-0.82,395.00,0.27,1070.00,0.74
11,Entry Long,BUY,2021-01-11 04:15,1458.35,100,-1030.00,-0.71,1550.00,-1,655.00,0.45,1035.00,0.71
11,Exit Long,SELL,2021-01-11 05:30,1448.05,100,-1030.00,-0.71,1550.00,-1,655.00,0.45,1035.00,0.71
12,Entry Short,SELL,2021-01-11 05:30,1448.05,100,-295.00,-0.2,1255.00,-0.29,180.00,0.12,1085.00,0.75
12,Exit Short,INTRADAY_SExit,2021-01-11 09:45,1451.00,100,-295.00,-0.2,1255.00,-0.29,180.00,0.12,1085.00,0.75
13,Entry Long,BUY,2021-01-12 04:45,1458.00,100,1045.00,0.72,2300.00,1.03,1100.00,0.75,400.00,0.27
13,Exit Long,BUY_TG_HIT,2021-01-12 07:00,1468.45,100,1045.00,0.72,2300.00,1.03,1100.00,0.75,400.00,0.27
14,Entry Long,BUY,2021-01-12 07:15,1477.75,100,360.00,0.24,2660.00,0.35,995.00,0.67,245.00,0.17
14,Exit Long,INTRADAY_BExit,2021-01-12 09:45,1481.35,100,360.00,0.24,2660.00,0.35,995.00,0.67,245.00,0.17
15,Entry Short,SELL,2021-01-13 05:00,1482.00,100,1085.00,0.73,3745.00,1.06,1490.00,1.01,90.00,0.06
15,Exit Short,SELL_TG_HIT,2021-01-13 06:15,1471.15,100,1085.00,0.73,3745.00,1.06,1490.00,1.01,90.00,0.06
16,Entry Short,SELL,2021-01-13 06:30,1466.60,100,-445.00,-0.3,3300.00,-0.43,450.00,0.31,585.00,0.4
16,Exit Short,INTRADAY_SExit,2021-01-13 09:45,1471.05,100,-445.00,-0.3,3300.00,-0.43,450.00,0.31,585.00,0.4
17,Entry Short,SELL,2021-01-14 04:45,1468.80,100,115.00,0.08,3415.00,0.11,1280.00,0.87,280.00,0.19
17,Exit Short,INTRADAY_SExit,2021-01-14 09:45,1467.65,100,115.00,0.08,3415.00,0.11,1280.00,0.87,280.00,0.19
18,Entry Short,SELL,2021-01-15 04:45,1453.00,100,-500.00,-0.34,2915.00,-0.48,800.00,0.55,660.00,0.45
18,Exit Short,BUY,2021-01-15 06:30,1458.00,100,-500.00,-0.34,2915.00,-0.48,800.00,0.55,660.00,0.45
19,Entry Long,BUY,2021-01-15 06:30,1458.00,100,625.00,0.43,3540.00,0.61,995.00,0.68,695.00,0.48
19,Exit Long,INTRADAY_BExit,2021-01-15 09:45,1464.25,100,625.00,0.43,3540.00,0.61,995.00,0.68,695.00,0.48
20,Entry Long,BUY,2021-01-18 04:15,1490.70,100,-1110.00,-0.74,2430.00,-1.07,1215.00,0.82,1460.00,0.98
20,Exit Long,SELL,2021-01-18 06:15,1479.60,100,-1110.00,-0.74,2430.00,-1.07,1215.00,0.82,1460.00,0.98
21,Entry Short,SELL,2021-01-18 06:15,1479.60,100,-950.00,-0.64,1480.00,-0.93,260.00,0.18,1190.00,0.8
21,Exit Short,BUY,2021-01-18 08:00,1489.10,100,-950.00,-0.64,1480.00,-0.93,260.00,0.18,1190.00,0.8
22,Entry Long,BUY,2021-01-18 08:00,1489.10,100,-770.00,-0.52,710.00,-0.76,915.00,0.61,810.00,0.54
22,Exit Long,INTRADAY_BExit,2021-01-18 09:45,1481.40,100,-770.00,-0.52,710.00,-0.76,915.00,0.61,810.00,0.54
23,Entry Short,SELL,2021-01-19 04:15,1471.10,100,-1325.00,-0.9,-615.00,-1.32,410.00,0.28,1390.00,0.94
23,Exit Short,BUY,2021-01-19 05:30,1484.35,100,-1325.00,-0.9,-615.00,-1.32,410.00,0.28,1390.00,0.94
24,Entry Long,BUY,2021-01-19 05:30,1484.35,100,1035.00,0.7,420.00,1.04,1265.00,0.85,635.00,0.43
24,Exit Long,BUY_TG_HIT,2021-01-19 08:30,1494.70,100,1035.00,0.7,420.00,1.04,1265.00,0.85,635.00,0.43
25,Entry Long,BUY,2021-01-19 08:45,1492.80,100,1520.00,1.02,1940.00,1.51,1520.00,1.02,30.00,0.02
25,Exit Long,BUY_TG_HIT,2021-01-19 09:15,1508.00,100,1520.00,1.02,1940.00,1.51,1520.00,1.02,30.00,0.02
26,Entry Long,BUY,2021-01-20 05:30,1499.30,100,-495.00,-0.33,1445.00,-0.49,0,0,630.00,0.42
26,Exit Long,SELL,2021-01-20 06:15,1494.35,100,-495.00,-0.33,1445.00,-0.49,0,0,630.00,0.42
27,Entry Short,SELL,2021-01-20 06:15,1494.35,100,225.00,0.15,1670.00,0.22,735.00,0.49,245.00,0.16
27,Exit Short,INTRADAY_SExit,2021-01-20 09:45,1492.10,100,225.00,0.15,1670.00,0.22,735.00,0.49,245.00,0.16
28,Entry Short,SELL,2021-01-21 04:15,1486.75,100,1245.00,0.84,2915.00,1.22,1270.00,0.85,275.00,0.18
28,Exit Short,SELL_TG_HIT,2021-01-21 05:00,1474.30,100,1245.00,0.84,2915.00,1.22,1270.00,0.85,275.00,0.18
