Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 09:45,679.00,1,1430.00,0.19,1430.00,0.72,3300.00,0.44,2475.00,0.33
1,Exit Long,INTRADAY_BExit,2021-01-01 15:15,680.30,1,1430.00,0.19,1430.00,0.72,3300.00,0.44,2475.00,0.33
2,Entry Short,SELL,2021-01-06 14:30,716.85,1,-3740.00,-0.47,-2310.00,-1.86,2035.00,0.26,5335.00,0.68
2,Exit Short,INTRADAY_SExit,2021-01-06 15:15,720.25,1,-3740.00,-0.47,-2310.00,-1.86,2035.00,0.26,5335.00,0.68
3,Entry Long,BUY,2021-01-08 11:00,715.50,1,3135.00,0.4,825.00,1.59,8195.00,1.04,1650.00,0.21
3,Exit Long,INTRADAY_BExit,2021-01-08 15:15,718.35,1,3135.00,0.4,825.00,1.59,8195.00,1.04,1650.00,0.21
4,Entry Short,SELL,2021-01-12 10:30,719.85,1,-2255.00,-0.28,-1430.00,-1.12,880.00,0.11,5610.00,0.71
4,Exit Short,INTRADAY_SExit,2021-01-12 15:15,721.90,1,-2255.00,-0.28,-1430.00,-1.12,880.00,0.11,5610.00,0.71
5,Entry Long,BUY,2021-01-15 09:45,711.85,1,-935.00,-0.12,-2365.00,-0.47,7370.00,0.94,5995.00,0.77
5,Exit Long,SELL,2021-01-15 11:45,711.00,1,-935.00,-0.12,-2365.00,-0.47,7370.00,0.94,5995.00,0.77
6,Entry Short,SELL,2021-01-15 11:45,711.00,1,5225.00,0.67,2860.00,2.64,9185.00,1.17,4510.00,0.58
6,Exit Short,INTRADAY_SExit,2021-01-15 15:15,706.25,1,5225.00,0.67,2860.00,2.64,9185.00,1.17,4510.00,0.58
7,Entry Long,BUY,2021-01-19 12:15,702.55,1,275.00,0.04,3135.00,0.14,1760.00,0.23,3080.00,0.4
7,Exit Long,INTRADAY_BExit,2021-01-19 15:15,702.80,1,275.00,0.04,3135.00,0.14,1760.00,0.23,3080.00,0.4
8,Entry Short,SELL,2021-01-22 09:45,702.35,1,10395.00,1.35,13530.00,5.12,11770.00,1.52,1430.00,0.19
8,Exit Short,SELL_TG_HIT,2021-01-22 11:30,692.90,1,10395.00,1.35,13530.00,5.12,11770.00,1.52,1430.00,0.19
9,Entry Long,BUY,2021-01-27 11:30,693.85,1,-8415.00,-1.1,5115.00,-3.94,990.00,0.13,9075.00,1.19
9,Exit Long,BUY_SL_HIT,2021-01-27 14:30,686.20,1,-8415.00,-1.1,5115.00,-3.94,990.00,0.13,9075.00,1.19
10,Entry Short,SELL,2021-01-28 09:45,682.80,1,9405.00,1.25,14520.00,4.59,10010.00,1.33,660.00,0.09
10,Exit Short,SELL_TG_HIT,2021-01-28 14:15,674.25,1,9405.00,1.25,14520.00,4.59,10010.00,1.33,660.00,0.09
11,Entry Long,BUY,2021-01-29 11:15,683.10,1,-9680.00,-1.29,4840.00,-4.51,330.00,0.04,10505.00,1.4
11,Exit Long,BUY_SL_HIT,2021-01-29 12:00,674.30,1,-9680.00,-1.29,4840.00,-4.51,330.00,0.04,10505.00,1.4
12,Entry Short,SELL,2021-02-02 12:00,681.05,1,-4620.00,-0.62,220.00,-2.26,3520.00,0.47,5885.00,0.79
12,Exit Short,INTRADAY_SExit,2021-02-02 15:15,685.25,1,-4620.00,-0.62,220.00,-2.26,3520.00,0.47,5885.00,0.79
13,Entry Long,BUY,2021-02-03 12:00,692.10,1,-1210.00,-0.16,-990.00,-0.6,7095.00,0.93,4455.00,0.59
13,Exit Long,INTRADAY_BExit,2021-02-03 15:15,691.00,1,-1210.00,-0.16,-990.00,-0.6,7095.00,0.93,4455.00,0.59
14,Entry Short,SELL,2021-02-04 14:45,684.00,1,605.00,0.08,-385.00,0.3,2035.00,0.27,880.00,0.12
14,Exit Short,INTRADAY_SExit,2021-02-04 15:15,683.45,1,605.00,0.08,-385.00,0.3,2035.00,0.27,880.00,0.12
