Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 09:45,676.90,100,150.00,0.22,150.00,0.15,310.00,0.46,150.00,0.22
1,Exit Long,INTRADAY_BExit,2021-01-01 15:15,678.40,100,150.00,0.22,150.00,0.15,310.00,0.46,150.00,0.22
2,Entry Short,SELL,2021-01-06 14:00,713.00,100,-545.00,-0.76,-395.00,-0.54,675.00,0.95,575.00,0.81
2,Exit Short,BUY,2021-01-06 14:45,718.45,100,-545.00,-0.76,-395.00,-0.54,675.00,0.95,575.00,0.81
3,Entry Long,BUY,2021-01-06 14:45,718.45,100,50.00,0.07,-345.00,0.05,200.00,0.28,145.00,0.2
3,Exit Long,INTRADAY_BExit,2021-01-06 15:15,718.95,100,50.00,0.07,-345.00,0.05,200.00,0.28,145.00,0.2
4,Entry Short,SELL,2021-01-07 12:00,708.20,100,-560.00,-0.79,-905.00,-0.56,570.00,0.8,650.00,0.92
4,Exit Short,SELL_SL_HIT,2021-01-07 12:45,713.80,100,-560.00,-0.79,-905.00,-0.56,570.00,0.8,650.00,0.92
5,Entry Long,BUY,2021-01-08 09:45,710.45,100,525.00,0.74,-380.00,0.53,640.00,0.9,235.00,0.33
5,Exit Long,BUY_TG_HIT,2021-01-08 10:45,715.70,100,525.00,0.74,-380.00,0.53,640.00,0.9,235.00,0.33
6,Entry Short,SELL,2021-01-11 13:00,722.05,100,-165.00,-0.23,-545.00,-0.17,140.00,0.19,385.00,0.53
6,Exit Short,INTRADAY_SExit,2021-01-11 15:15,723.70,100,-165.00,-0.23,-545.00,-0.17,140.00,0.19,385.00,0.53
7,Entry Long,BUY,2021-01-12 12:00,721.05,100,-160.00,-0.22,-705.00,-0.16,200.00,0.28,285.00,0.4
7,Exit Long,INTRADAY_BExit,2021-01-12 15:15,719.45,100,-160.00,-0.22,-705.00,-0.16,200.00,0.28,285.00,0.4
8,Entry Long,BUY,2021-01-13 09:45,721.55,100,-445.00,-0.62,-1150.00,-0.45,35.00,0.05,625.00,0.87
8,Exit Long,SELL,2021-01-13 11:15,717.10,100,-445.00,-0.62,-1150.00,-0.45,35.00,0.05,625.00,0.87
9,Entry Short,SELL,2021-01-13 11:15,717.10,100,545.00,0.76,-605.00,0.55,560.00,0.78,110.00,0.15
9,Exit Short,SELL_TG_HIT,2021-01-13 12:00,711.65,100,545.00,0.76,-605.00,0.55,560.00,0.78,110.00,0.15
10,Entry Long,BUY,2021-01-15 09:45,711.05,100,-375.00,-0.53,-980.00,-0.38,595.00,0.84,580.00,0.82
10,Exit Long,SELL,2021-01-15 11:30,707.30,100,-375.00,-0.53,-980.00,-0.38,595.00,0.84,580.00,0.82
11,Entry Short,SELL,2021-01-15 11:30,707.30,100,-590.00,-0.83,-1570.00,-0.6,165.00,0.23,620.00,0.88
11,Exit Short,SELL_SL_HIT,2021-01-15 12:30,713.20,100,-590.00,-0.83,-1570.00,-0.6,165.00,0.23,620.00,0.88
12,Entry Long,BUY,2021-01-19 12:00,700.65,100,-125.00,-0.18,-1695.00,-0.13,35.00,0.05,365.00,0.52
12,Exit Long,INTRADAY_BExit,2021-01-19 15:15,699.40,100,-125.00,-0.18,-1695.00,-0.13,35.00,0.05,365.00,0.52
13,Entry Short,SELL,2021-01-20 14:15,705.00,100,185.00,0.26,-1510.00,0.19,400.00,0.57,85.00,0.12
13,Exit Short,INTRADAY_SExit,2021-01-20 15:15,703.15,100,185.00,0.26,-1510.00,0.19,400.00,0.57,85.00,0.12
14,Entry Long,BUY,2021-01-21 09:45,708.10,100,-475.00,-0.67,-1985.00,-0.48,140.00,0.2,750.00,1.06
14,Exit Long,SELL,2021-01-21 11:30,703.35,100,-475.00,-0.67,-1985.00,-0.48,140.00,0.2,750.00,1.06
15,Entry Short,SELL,2021-01-21 11:30,703.35,100,335.00,0.48,-1650.00,0.34,435.00,0.62,525.00,0.75
15,Exit Short,INTRADAY_SExit,2021-01-21 15:15,700.00,100,335.00,0.48,-1650.00,0.34,435.00,0.62,525.00,0.75
16,Entry Long,BUY,2021-01-27 11:00,685.75,100,550.00,0.8,-1100.00,0.56,565.00,0.82,0,0
16,Exit Long,BUY_TG_HIT,2021-01-27 11:15,691.25,100,550.00,0.8,-1100.00,0.56,565.00,0.82,0,0
17,Entry Short,SELL,2021-01-27 14:30,686.75,100,265.00,0.39,-835.00,0.27,300.00,0.44,270.00,0.39
17,Exit Short,INTRADAY_SExit,2021-01-27 15:15,684.10,100,265.00,0.39,-835.00,0.27,300.00,0.44,270.00,0.39
18,Entry Long,BUY,2021-01-29 10:45,676.00,100,610.00,0.9,-225.00,0.62,800.00,1.18,120.00,0.18
18,Exit Long,BUY_TG_HIT,2021-01-29 11:15,682.10,100,610.00,0.9,-225.00,0.62,800.00,1.18,120.00,0.18
19,Entry Short,SELL,2021-01-29 12:00,672.75,100,-810.00,-1.2,-1035.00,-0.81,250.00,0.37,825.00,1.23
19,Exit Short,BUY,2021-01-29 14:00,680.85,100,-810.00,-1.2,-1035.00,-0.81,250.00,0.37,825.00,1.23
20,Entry Long,BUY,2021-01-29 14:00,680.85,100,-195.00,-0.29,-1230.00,-0.2,410.00,0.6,715.00,1.05
20,Exit Long,INTRADAY_BExit,2021-01-29 15:15,678.90,100,-195.00,-0.29,-1230.00,-0.2,410.00,0.6,715.00,1.05
21,Entry Short,SELL,2021-02-01 09:45,674.55,100,-515.00,-0.76,-1745.00,-0.52,55.00,0.08,645.00,0.96
21,Exit Short,SELL_SL_HIT,2021-02-01 10:30,679.70,100,-515.00,-0.76,-1745.00,-0.52,55.00,0.08,645.00,0.96
22,Entry Long,BUY,2021-02-01 11:30,685.75,100,525.00,0.77,-1220.00,0.53,2755.00,4.02,225.00,0.33
22,Exit Long,BUY_TG_HIT,2021-02-01 12:00,691.00,100,525.00,0.77,-1220.00,0.53,2755.00,4.02,225.00,0.33
23,Entry Short,SELL,2021-02-02 11:00,688.10,100,935.00,1.36,-285.00,0.95,1155.00,1.68,100.00,0.15
23,Exit Short,SELL_TG_HIT,2021-02-02 11:45,678.75,100,935.00,1.36,-285.00,0.95,1155.00,1.68,100.00,0.15
24,Entry Long,BUY,2021-02-03 10:00,688.20,100,510.00,0.74,225.00,0.51,580.00,0.84,280.00,0.41
24,Exit Long,BUY_TG_HIT,2021-02-03 12:30,693.30,100,510.00,0.74,225.00,0.51,580.00,0.84,280.00,0.41
25,Entry Short,SELL,2021-02-04 09:45,684.70,100,480.00,0.7,705.00,0.48,570.00,0.83,320.00,0.47
25,Exit Short,SELL_TG_HIT,2021-02-04 14:45,679.90,100,480.00,0.7,705.00,0.48,570.00,0.83,320.00,0.47
26,Entry Long,BUY,2021-02-05 14:15,678.65,100,395.00,0.58,1100.00,0.39,395.00,0.58,160.00,0.24
26,Exit Long,INTRADAY_BExit,2021-02-05 15:15,682.60,100,395.00,0.58,1100.00,0.39,395.00,0.58,160.00,0.24
27,Entry Long,BUY,2021-02-09 09:45,699.60,100,555.00,0.79,1655.00,0.55,630.00,0.9,0,0
27,Exit Long,BUY_TG_HIT,2021-02-09 10:15,705.15,100,555.00,0.79,1655.00,0.55,630.00,0.9,0,0
28,Entry Short,SELL,2021-02-11 14:00,715.50,100,30.00,0.04,1685.00,0.03,520.00,0.73,115.00,0.16
28,Exit Short,INTRADAY_SExit,2021-02-11 15:15,715.20,100,30.00,0.04,1685.00,0.03,520.00,0.73,115.00,0.16
29,Entry Long,BUY,2021-02-12 10:45,718.50,100,-500.00,-0.7,1185.00,-0.49,150.00,0.21,585.00,0.81
29,Exit Long,SELL,2021-02-12 14:00,713.50,100,-500.00,-0.7,1185.00,-0.49,150.00,0.21,585.00,0.81
30,Entry Short,SELL,2021-02-12 14:00,713.50,100,205.00,0.29,1390.00,0.2,340.00,0.48,180.00,0.25
30,Exit Short,INTRADAY_SExit,2021-02-12 15:15,711.45,100,205.00,0.29,1390.00,0.2,340.00,0.48,180.00,0.25
31,Entry Long,BUY,2021-02-15 09:45,716.80,100,-555.00,-0.77,835.00,-0.55,0,0,750.00,1.05
31,Exit Long,BUY_SL_HIT,2021-02-15 10:30,711.25,100,-555.00,-0.77,835.00,-0.55,0,0,750.00,1.05
32,Entry Short,SELL,2021-02-15 11:00,704.15,100,610.00,0.87,1445.00,0.6,615.00,0.87,85.00,0.12
32,Exit Short,SELL_TG_HIT,2021-02-15 13:00,698.05,100,610.00,0.87,1445.00,0.6,615.00,0.87,85.00,0.12
33,Entry Long,BUY,2021-02-16 09:45,702.50,100,-675.00,-0.96,770.00,-0.67,125.00,0.18,675.00,0.96
33,Exit Long,SELL,2021-02-16 11:15,695.75,100,-675.00,-0.96,770.00,-0.67,125.00,0.18,675.00,0.96
34,Entry Short,SELL,2021-02-16 11:15,695.75,100,70.00,0.1,840.00,0.07,880.00,1.26,215.00,0.31
34,Exit Short,INTRADAY_SExit,2021-02-16 15:15,695.05,100,70.00,0.1,840.00,0.07,880.00,1.26,215.00,0.31
35,Entry Long,BUY,2021-02-17 09:45,707.70,100,-470.00,-0.66,370.00,-0.47,380.00,0.54,650.00,0.92
35,Exit Long,INTRADAY_BExit,2021-02-17 15:15,703.00,100,-470.00,-0.66,370.00,-0.47,380.00,0.54,650.00,0.92
36,Entry Long,BUY,2021-02-18 09:45,709.45,100,565.00,0.8,935.00,0.56,640.00,0.9,5.00,0.01
