Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-01 06:30,3104.10,100,-210.00,-0.07,-210.00,-0.21,410.00,0.13,1090.00,0.35
1,Exit Short,INTRADAY_SExit,2021-01-01 09:45,3106.20,100,-210.00,-0.07,-210.00,-0.21,410.00,0.13,1090.00,0.35
2,Entry Short,SELL,2021-01-04 04:15,3079.00,100,3370.00,1.09,3160.00,3.38,4175.00,1.36,900.00,0.29
2,Exit Short,INTRADAY_SExit,2021-01-04 09:45,3045.30,100,3370.00,1.09,3160.00,3.38,4175.00,1.36,900.00,0.29
3,Entry Short,SELL,2021-01-05 04:15,3057.60,100,485.00,0.16,3645.00,0.47,2660.00,0.87,70.00,0.02
3,Exit Short,BUY,2021-01-05 08:15,3052.75,100,485.00,0.16,3645.00,0.47,2660.00,0.87,70.00,0.02
4,Entry Long,BUY,2021-01-05 08:15,3052.75,100,1940.00,0.64,5585.00,1.87,2125.00,0.7,420.00,0.14
4,Exit Long,INTRADAY_BExit,2021-01-05 09:45,3072.15,100,1940.00,0.64,5585.00,1.87,2125.00,0.7,420.00,0.14
5,Entry Long,BUY,2021-01-06 04:15,3094.30,100,-1235.00,-0.4,4350.00,-1.17,2930.00,0.95,1310.00,0.42
5,Exit Long,SELL,2021-01-06 07:45,3081.95,100,-1235.00,-0.4,4350.00,-1.17,2930.00,0.95,1310.00,0.42
6,Entry Short,SELL,2021-01-06 07:45,3081.95,100,-310.00,-0.1,4040.00,-0.3,3595.00,1.17,1660.00,0.54
6,Exit Short,INTRADAY_SExit,2021-01-06 09:45,3085.05,100,-310.00,-0.1,4040.00,-0.3,3595.00,1.17,1660.00,0.54
7,Entry Short,SELL,2021-01-07 04:45,3098.90,100,4130.00,1.33,8170.00,3.97,6490.00,2.09,300.00,0.1
7,Exit Short,INTRADAY_SExit,2021-01-07 09:45,3057.60,100,4130.00,1.33,8170.00,3.97,6490.00,2.09,300.00,0.1
8,Entry Long,BUY,2021-01-08 04:15,3095.00,100,-1000.00,-0.32,7170.00,-0.92,2000.00,0.65,1000.00,0.32
8,Exit Long,SELL,2021-01-08 06:00,3085.00,100,-1000.00,-0.32,7170.00,-0.92,2000.00,0.65,1000.00,0.32
9,Entry Short,SELL,2021-01-08 06:00,3085.00,100,-1700.00,-0.55,5470.00,-1.59,290.00,0.09,1800.00,0.58
9,Exit Short,BUY,2021-01-08 06:45,3102.00,100,-1700.00,-0.55,5470.00,-1.59,290.00,0.09,1800.00,0.58
10,Entry Long,BUY,2021-01-08 06:45,3102.00,100,6210.00,2,11680.00,5.89,6300.00,2.03,320.00,0.1
10,Exit Long,INTRADAY_BExit,2021-01-08 09:45,3164.10,100,6210.00,2,11680.00,5.89,6300.00,2.03,320.00,0.1
