Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:15,227.50,1,-4622.50,-1.89,-4622.50,-2.31,430.00,0.18,4730.00,1.93
1,Exit Short,BUY,2021-02-01 05:15,231.80,1,-4622.50,-1.89,-4622.50,-2.31,430.00,0.18,4730.00,1.93
2,Entry Long,BUY,2021-02-01 05:15,231.80,1,2580.00,1.04,-2042.50,1.32,2848.75,1.14,1451.25,0.58
2,Exit Long,BUY_TG_HIT,2021-02-01 06:15,234.20,1,2580.00,1.04,-2042.50,1.32,2848.75,1.14,1451.25,0.58
3,Entry Short,SELL,2021-02-02 09:15,255.40,1,-215.00,-0.08,-2257.50,-0.11,806.25,0.29,1451.25,0.53
3,Exit Short,INTRADAY_SExit,2021-02-02 09:45,255.60,1,-215.00,-0.08,-2257.50,-0.11,806.25,0.29,1451.25,0.53
4,Entry Short,SELL,2021-02-03 04:30,255.25,1,-3440.00,-1.25,-5697.50,-1.74,161.25,0.06,3440.00,1.25
4,Exit Short,SELL_SL_HIT,2021-02-03 04:45,258.45,1,-3440.00,-1.25,-5697.50,-1.74,161.25,0.06,3440.00,1.25
5,Entry Long,BUY,2021-02-03 08:30,260.95,1,3278.75,1.17,-2418.75,1.69,4138.75,1.48,0,0
5,Exit Long,BUY_TG_HIT,2021-02-03 09:00,264.00,1,3278.75,1.17,-2418.75,1.69,4138.75,1.48,0,0
6,Entry Short,SELL,2021-02-03 09:30,260.30,1,698.75,0.25,-1720.00,0.35,2418.75,0.86,215.00,0.08
6,Exit Short,INTRADAY_SExit,2021-02-03 09:45,259.65,1,698.75,0.25,-1720.00,0.35,2418.75,0.86,215.00,0.08
7,Entry Long,BUY,2021-02-04 05:00,267.20,1,-1558.75,-0.54,-3278.75,-0.79,1451.25,0.51,1612.50,0.56
7,Exit Long,SELL,2021-02-04 06:15,265.75,1,-1558.75,-0.54,-3278.75,-0.79,1451.25,0.51,1612.50,0.56
8,Entry Short,SELL,2021-02-04 06:15,265.75,1,2848.75,1,-430.00,1.45,3332.50,1.17,698.75,0.24
8,Exit Short,SELL_TG_HIT,2021-02-04 09:30,263.10,1,2848.75,1,-430.00,1.45,3332.50,1.17,698.75,0.24
9,Entry Long,BUY,2021-02-05 06:45,266.80,1,-4353.75,-1.52,-4783.75,-2.18,215.00,0.07,4515.00,1.57
9,Exit Long,BUY_SL_HIT,2021-02-05 07:45,262.75,1,-4353.75,-1.52,-4783.75,-2.18,215.00,0.07,4515.00,1.57
10,Entry Short,SELL,2021-02-05 08:00,262.30,1,-322.50,-0.11,-5106.25,-0.17,2311.25,0.82,1881.25,0.67
10,Exit Short,INTRADAY_SExit,2021-02-05 09:45,262.60,1,-322.50,-0.11,-5106.25,-0.17,2311.25,0.82,1881.25,0.67
11,Entry Long,BUY,2021-02-08 04:15,272.25,1,2418.75,0.83,-2687.50,1.24,3332.50,1.14,3063.75,1.05
11,Exit Long,BUY_TG_HIT,2021-02-08 06:15,274.50,1,2418.75,0.83,-2687.50,1.24,3332.50,1.14,3063.75,1.05
12,Entry Short,SELL,2021-02-09 06:15,282.35,1,4300.00,1.42,1612.50,2.18,4515.00,1.49,2096.25,0.69
12,Exit Short,SELL_TG_HIT,2021-02-09 09:30,278.35,1,4300.00,1.42,1612.50,2.18,4515.00,1.49,2096.25,0.69
13,Entry Short,SELL,2021-02-10 06:15,279.10,1,-2042.50,-0.68,-430.00,-1.01,53.75,0.02,2472.50,0.82
13,Exit Short,BUY,2021-02-10 06:30,281.00,1,-2042.50,-0.68,-430.00,-1.01,53.75,0.02,2472.50,0.82
14,Entry Long,BUY,2021-02-10 06:30,281.00,1,-1290.00,-0.43,-1720.00,-0.65,1827.50,0.6,1988.75,0.66
14,Exit Long,SELL,2021-02-10 08:15,279.80,1,-1290.00,-0.43,-1720.00,-0.65,1827.50,0.6,1988.75,0.66
15,Entry Short,SELL,2021-02-10 08:15,279.80,1,-322.50,-0.11,-2042.50,-0.16,2526.25,0.84,3977.50,1.32
15,Exit Short,INTRADAY_SExit,2021-02-10 09:45,280.10,1,-322.50,-0.11,-2042.50,-0.16,2526.25,0.84,3977.50,1.32
16,Entry Long,BUY,2021-02-11 04:15,292.65,1,-4461.25,-1.42,-6503.75,-2.25,591.25,0.19,6450.00,2.05
16,Exit Long,BUY_SL_HIT,2021-02-11 05:15,288.50,1,-4461.25,-1.42,-6503.75,-2.25,591.25,0.19,6450.00,2.05
17,Entry Short,SELL,2021-02-11 07:45,289.80,1,-3440.00,-1.1,-9943.75,-1.78,645.00,0.21,3547.50,1.14
17,Exit Short,SELL_SL_HIT,2021-02-11 09:15,293.00,1,-3440.00,-1.1,-9943.75,-1.78,645.00,0.21,3547.50,1.14
18,Entry Long,BUY,2021-02-11 09:30,297.00,1,376.25,0.12,-9567.50,0.2,1720.00,0.54,806.25,0.25
18,Exit Long,INTRADAY_BExit,2021-02-11 09:45,297.35,1,376.25,0.12,-9567.50,0.2,1720.00,0.54,806.25,0.25
19,Entry Short,SELL,2021-02-12 08:15,291.10,1,3010.00,0.96,-6557.50,1.58,3225.00,1.03,215.00,0.07
19,Exit Short,SELL_TG_HIT,2021-02-12 08:30,288.30,1,3010.00,0.96,-6557.50,1.58,3225.00,1.03,215.00,0.07
20,Entry Long,BUY,2021-02-15 05:15,293.65,1,-53.75,-0.02,-6611.25,-0.03,2203.75,0.7,1021.25,0.32
20,Exit Long,SELL,2021-02-15 08:30,293.60,1,-53.75,-0.02,-6611.25,-0.03,2203.75,0.7,1021.25,0.32
21,Entry Short,SELL,2021-02-15 08:30,293.60,1,1182.50,0.37,-5428.75,0.61,1881.25,0.6,1128.75,0.36
21,Exit Short,INTRADAY_SExit,2021-02-15 09:45,292.50,1,1182.50,0.37,-5428.75,0.61,1881.25,0.6,1128.75,0.36
22,Entry Short,SELL,2021-02-16 08:15,303.80,1,2687.50,0.82,-2741.25,1.38,3171.25,0.97,0,0
22,Exit Short,SELL_TG_HIT,2021-02-16 08:30,301.30,1,2687.50,0.82,-2741.25,1.38,3171.25,0.97,0,0
23,Entry Long,BUY,2021-02-17 04:30,306.80,1,-2795.00,-0.85,-5536.25,-1.42,2257.50,0.68,3171.25,0.96
23,Exit Long,SELL,2021-02-17 05:00,304.20,1,-2795.00,-0.85,-5536.25,-1.42,2257.50,0.68,3171.25,0.96
24,Entry Short,SELL,2021-02-17 05:00,304.20,1,-3386.25,-1.04,-8922.50,-1.74,215.00,0.07,3655.00,1.12
24,Exit Short,SELL_SL_HIT,2021-02-17 06:00,307.35,1,-3386.25,-1.04,-8922.50,-1.74,215.00,0.07,3655.00,1.12
25,Entry Short,SELL,2021-02-17 07:15,304.80,1,1021.25,0.31,-7901.25,0.53,3708.75,1.13,483.75,0.15
25,Exit Short,INTRADAY_SExit,2021-02-17 09:45,303.85,1,1021.25,0.31,-7901.25,0.53,3708.75,1.13,483.75,0.15
26,Entry Long,BUY,2021-02-18 04:15,310.35,1,-3010.00,-0.9,-10911.25,-1.57,1720.00,0.52,3225.00,0.97
26,Exit Long,SELL,2021-02-18 06:15,307.55,1,-3010.00,-0.9,-10911.25,-1.57,1720.00,0.52,3225.00,0.97
27,Entry Short,SELL,2021-02-18 06:15,307.55,1,-3063.75,-0.93,-13975.00,-1.62,268.75,0.08,3278.75,0.99
27,Exit Short,BUY,2021-02-18 06:45,310.40,1,-3063.75,-0.93,-13975.00,-1.62,268.75,0.08,3278.75,0.99
28,Entry Long,BUY,2021-02-18 06:45,310.40,1,-1773.75,-0.53,-15748.75,-0.95,591.25,0.18,2042.50,0.61
28,Exit Long,SELL,2021-02-18 08:30,308.75,1,-1773.75,-0.53,-15748.75,-0.95,591.25,0.18,2042.50,0.61
29,Entry Short,SELL,2021-02-18 08:30,308.75,1,-3762.50,-1.13,-19511.25,-2.04,107.50,0.03,4300.00,1.3
29,Exit Short,SELL_SL_HIT,2021-02-18 09:15,312.25,1,-3762.50,-1.13,-19511.25,-2.04,107.50,0.03,4300.00,1.3
30,Entry Short,SELL,2021-02-19 04:15,305.15,1,-3117.50,-0.95,-22628.75,-1.73,967.50,0.29,3655.00,1.11
30,Exit Short,SELL_SL_HIT,2021-02-19 06:00,308.05,1,-3117.50,-0.95,-22628.75,-1.73,967.50,0.29,3655.00,1.11
31,Entry Long,BUY,2021-02-19 06:30,310.00,1,-2365.00,-0.71,-24993.75,-1.33,3386.25,1.02,3225.00,0.97
31,Exit Long,SELL,2021-02-19 08:15,307.80,1,-2365.00,-0.71,-24993.75,-1.33,3386.25,1.02,3225.00,0.97
32,Entry Short,SELL,2021-02-19 08:15,307.80,1,5160.00,1.56,-19833.75,2.95,5590.00,1.69,752.50,0.23
32,Exit Short,SELL_TG_HIT,2021-02-19 08:45,303.00,1,5160.00,1.56,-19833.75,2.95,5590.00,1.69,752.50,0.23
33,Entry Long,BUY,2021-02-22 04:15,321.70,1,3977.50,1.15,-15856.25,2.21,5213.75,1.51,483.75,0.14
33,Exit Long,BUY_TG_HIT,2021-02-22 06:15,325.40,1,3977.50,1.15,-15856.25,2.21,5213.75,1.51,483.75,0.14
34,Entry Short,SELL,2021-02-22 07:45,318.95,1,3063.75,0.89,-12792.50,1.66,3708.75,1.08,1397.50,0.41
34,Exit Short,INTRADAY_SExit,2021-02-22 09:45,316.10,1,3063.75,0.89,-12792.50,1.66,3708.75,1.08,1397.50,0.41
35,Entry Long,BUY,2021-02-23 04:45,322.30,1,4622.50,1.33,-8170.00,2.47,6557.50,1.89,322.50,0.09
