Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:15,227.00,100,-410.00,-1.81,-410.00,-0.41,45.00,0.2,450.00,1.98
1,Exit Short,BUY,2021-02-01 05:15,231.10,100,-410.00,-1.81,-410.00,-0.41,45.00,0.2,450.00,1.98
2,Entry Long,BUY,2021-02-01 05:15,231.10,100,280.00,1.21,-130.00,0.28,285.00,1.23,110.00,0.48
2,Exit Long,BUY_TG_HIT,2021-02-01 06:15,233.90,100,280.00,1.21,-130.00,0.28,285.00,1.23,110.00,0.48
3,Entry Short,SELL,2021-02-02 09:15,254.90,100,-5.00,-0.02,-135.00,-0.01,100.00,0.39,130.00,0.51
3,Exit Short,INTRADAY_SExit,2021-02-02 09:45,254.95,100,-5.00,-0.02,-135.00,-0.01,100.00,0.39,130.00,0.51
4,Entry Long,BUY,2021-02-03 08:45,261.70,100,-290.00,-1.11,-425.00,-0.29,125.00,0.48,460.00,1.76
4,Exit Long,SELL,2021-02-03 09:30,258.80,100,-290.00,-1.11,-425.00,-0.29,125.00,0.48,460.00,1.76
5,Entry Short,SELL,2021-02-03 09:30,258.80,100,65.00,0.25,-360.00,0.07,215.00,0.83,10.00,0.04
5,Exit Short,INTRADAY_SExit,2021-02-03 09:45,258.15,100,65.00,0.25,-360.00,0.07,215.00,0.83,10.00,0.04
6,Entry Long,BUY,2021-02-04 04:45,265.90,100,-170.00,-0.64,-530.00,-0.17,150.00,0.56,265.00,1
6,Exit Long,SELL,2021-02-04 06:45,264.20,100,-170.00,-0.64,-530.00,-0.17,150.00,0.56,265.00,1
7,Entry Short,SELL,2021-02-04 06:45,264.20,100,285.00,1.08,-245.00,0.29,300.00,1.14,50.00,0.19
7,Exit Short,SELL_TG_HIT,2021-02-04 09:30,261.35,100,285.00,1.08,-245.00,0.29,300.00,1.14,50.00,0.19
8,Entry Long,BUY,2021-02-05 06:15,263.80,100,-205.00,-0.78,-450.00,-0.21,220.00,0.83,230.00,0.87
8,Exit Long,SELL,2021-02-05 08:00,261.75,100,-205.00,-0.78,-450.00,-0.21,220.00,0.83,230.00,0.87
9,Entry Short,SELL,2021-02-05 08:00,261.75,100,10.00,0.04,-440.00,0.01,210.00,0.8,155.00,0.59
9,Exit Short,INTRADAY_SExit,2021-02-05 09:45,261.65,100,10.00,0.04,-440.00,0.01,210.00,0.8,155.00,0.59
10,Entry Long,BUY,2021-02-08 04:15,271.30,100,235.00,0.87,-205.00,0.24,315.00,1.16,255.00,0.94
10,Exit Long,BUY_TG_HIT,2021-02-08 06:15,273.65,100,235.00,0.87,-205.00,0.24,315.00,1.16,255.00,0.94
11,Entry Short,SELL,2021-02-09 06:45,280.95,100,295.00,1.05,90.00,0.3,340.00,1.21,295.00,1.05
11,Exit Short,SELL_TG_HIT,2021-02-09 09:30,278.00,100,295.00,1.05,90.00,0.3,340.00,1.21,295.00,1.05
12,Entry Long,BUY,2021-02-10 06:30,280.45,100,-210.00,-0.75,-120.00,-0.21,290.00,1.03,310.00,1.11
12,Exit Long,SELL,2021-02-10 09:30,278.35,100,-210.00,-0.75,-120.00,-0.21,290.00,1.03,310.00,1.11
13,Entry Short,SELL,2021-02-10 09:30,278.35,100,-95.00,-0.34,-215.00,-0.1,20.00,0.07,155.00,0.56
13,Exit Short,INTRADAY_SExit,2021-02-10 09:45,279.30,100,-95.00,-0.34,-215.00,-0.1,20.00,0.07,155.00,0.56
14,Entry Long,BUY,2021-02-11 04:15,291.50,100,-420.00,-1.44,-635.00,-0.42,60.00,0.21,575.00,1.97
14,Exit Long,BUY_SL_HIT,2021-02-11 05:15,287.30,100,-420.00,-1.44,-635.00,-0.42,60.00,0.21,575.00,1.97
