Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-06-21 11:21,365.05,100,0,0,0,0,220.00,0.6,125.00,0.34
1,Exit Short,BUY,2021-06-21 11:57,365.05,100,0,0,0,0,220.00,0.6,125.00,0.34
2,Entry Long,BUY,2021-06-21 11:57,365.05,100,-25.00,-0.07,-25.00,-0.02,190.00,0.52,175.00,0.48
2,Exit Long,SELL,2021-06-21 13:51,364.80,100,-25.00,-0.07,-25.00,-0.02,190.00,0.52,175.00,0.48
3,Entry Short,SELL,2021-06-21 13:51,364.80,100,-200.00,-0.55,-225.00,-0.2,80.00,0.22,255.00,0.7
3,Exit Short,BUY,2021-06-21 14:36,366.80,100,-200.00,-0.55,-225.00,-0.2,80.00,0.22,255.00,0.7
4,Entry Long,BUY,2021-06-21 14:36,366.80,100,280.00,0.76,55.00,0.28,315.00,0.86,75.00,0.2
4,Exit Long,BUY_TG_HIT,2021-06-21 14:54,369.60,100,280.00,0.76,55.00,0.28,315.00,0.86,75.00,0.2
5,Entry Long,BUY,2021-06-22 09:33,369.95,100,-150.00,-0.41,-95.00,-0.15,45.00,0.12,165.00,0.45
5,Exit Long,SELL,2021-06-22 10:42,368.45,100,-150.00,-0.41,-95.00,-0.15,45.00,0.12,165.00,0.45
6,Entry Short,SELL,2021-06-22 10:42,368.45,100,0,0,-95.00,0,175.00,0.47,70.00,0.19
6,Exit Short,BUY,2021-06-22 12:00,368.45,100,0,0,-95.00,0,175.00,0.47,70.00,0.19
7,Entry Long,BUY,2021-06-22 12:00,368.45,100,20.00,0.05,-75.00,0.02,200.00,0.54,10.00,0.03
7,Exit Long,SELL,2021-06-22 12:48,368.65,100,20.00,0.05,-75.00,0.02,200.00,0.54,10.00,0.03
8,Entry Short,SELL,2021-06-22 12:48,368.65,100,-40.00,-0.11,-115.00,-0.04,130.00,0.35,85.00,0.23
