Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:15,2263.75,1,7380.00,1.09,7380.00,3.69,7830.00,1.15,1410.00,0.21
1,Exit Short,SELL_TG_HIT,2021-02-01 05:00,2239.15,1,7380.00,1.09,7380.00,3.69,7830.00,1.15,1410.00,0.21
2,Entry Long,BUY,2021-02-01 06:30,2268.45,1,7305.00,1.07,14685.00,3.52,7590.00,1.12,4230.00,0.62
2,Exit Long,BUY_TG_HIT,2021-02-01 07:30,2292.80,1,7305.00,1.07,14685.00,3.52,7590.00,1.12,4230.00,0.62
3,Entry Short,SELL,2021-02-02 05:00,2249.30,1,1740.00,0.26,16425.00,0.81,8280.00,1.23,210.00,0.03
3,Exit Short,BUY,2021-02-02 08:15,2243.50,1,1740.00,0.26,16425.00,0.81,8280.00,1.23,210.00,0.03
4,Entry Long,BUY,2021-02-02 08:15,2243.50,1,720.00,0.11,17145.00,0.33,1830.00,0.27,1095.00,0.16
4,Exit Long,INTRADAY_BExit,2021-02-02 09:45,2245.90,1,720.00,0.11,17145.00,0.33,1830.00,0.27,1095.00,0.16
5,Entry Long,BUY,2021-02-03 04:15,2251.95,1,-2940.00,-0.44,14205.00,-1.35,3735.00,0.55,3075.00,0.46
5,Exit Long,INTRADAY_BExit,2021-02-03 09:45,2242.15,1,-2940.00,-0.44,14205.00,-1.35,3735.00,0.55,3075.00,0.46
6,Entry Short,SELL,2021-02-04 04:15,2239.30,1,-4560.00,-0.68,9645.00,-2.13,390.00,0.06,4710.00,0.7
6,Exit Short,BUY,2021-02-04 05:45,2254.50,1,-4560.00,-0.68,9645.00,-2.13,390.00,0.06,4710.00,0.7
7,Entry Long,BUY,2021-02-04 05:45,2254.50,1,-3630.00,-0.54,6015.00,-1.73,3135.00,0.46,4050.00,0.6
7,Exit Long,SELL,2021-02-04 07:15,2242.40,1,-3630.00,-0.54,6015.00,-1.73,3135.00,0.46,4050.00,0.6
8,Entry Short,SELL,2021-02-04 07:15,2242.40,1,-3150.00,-0.47,2865.00,-1.53,1275.00,0.19,3480.00,0.52
8,Exit Short,BUY,2021-02-04 08:30,2252.90,1,-3150.00,-0.47,2865.00,-1.53,1275.00,0.19,3480.00,0.52
9,Entry Long,BUY,2021-02-04 08:30,2252.90,1,-1065.00,-0.16,1800.00,-0.52,2070.00,0.31,1350.00,0.2
9,Exit Long,INTRADAY_BExit,2021-02-04 09:45,2249.35,1,-1065.00,-0.16,1800.00,-0.52,2070.00,0.31,1350.00,0.2
10,Entry Long,BUY,2021-02-05 05:15,2262.00,1,6000.00,0.88,7800.00,2.97,8100.00,1.19,2805.00,0.41
10,Exit Long,BUY_TG_HIT,2021-02-05 07:30,2282.00,1,6000.00,0.88,7800.00,2.97,8100.00,1.19,2805.00,0.41
11,Entry Short,SELL,2021-02-08 05:45,2274.25,1,6345.00,0.93,14145.00,3.05,7050.00,1.03,525.00,0.08
11,Exit Short,SELL_TG_HIT,2021-02-08 08:15,2253.10,1,6345.00,0.93,14145.00,3.05,7050.00,1.03,525.00,0.08
12,Entry Short,SELL,2021-02-09 06:15,2250.50,1,6525.00,0.97,20670.00,3.05,8550.00,1.27,750.00,0.11
12,Exit Short,INTRADAY_SExit,2021-02-09 09:45,2228.75,1,6525.00,0.97,20670.00,3.05,8550.00,1.27,750.00,0.11
13,Entry Long,BUY,2021-02-10 06:30,2235.00,1,2445.00,0.36,23115.00,1.11,3900.00,0.58,855.00,0.13
13,Exit Long,INTRADAY_BExit,2021-02-10 09:45,2243.15,1,2445.00,0.36,23115.00,1.11,3900.00,0.58,855.00,0.13
14,Entry Short,SELL,2021-02-12 04:15,2257.25,1,3195.00,0.47,26310.00,1.43,6645.00,0.98,2280.00,0.34
14,Exit Short,INTRADAY_SExit,2021-02-12 09:45,2246.60,1,3195.00,0.47,26310.00,1.43,6645.00,0.98,2280.00,0.34
