Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-15 11:20,2247.80,1,-510.00,-0.08,-510.00,-0.25,1335.00,0.2,1050.00,0.16
1,Exit Short,BUY,2021-02-15 13:10,2249.50,1,-510.00,-0.08,-510.00,-0.25,1335.00,0.2,1050.00,0.16
2,Entry Long,BUY,2021-02-15 13:10,2249.50,1,-5310.00,-0.79,-5820.00,-2.66,1470.00,0.22,5520.00,0.82
2,Exit Long,SELL,2021-02-15 13:50,2231.80,1,-5310.00,-0.79,-5820.00,-2.66,1470.00,0.22,5520.00,0.82
3,Entry Short,SELL,2021-02-15 13:50,2231.80,1,2400.00,0.36,-3420.00,1.24,3240.00,0.48,915.00,0.14
3,Exit Short,INTRADAY_SExit,2021-02-15 15:05,2223.80,1,2400.00,0.36,-3420.00,1.24,3240.00,0.48,915.00,0.14
4,Entry Short,SELL,2021-02-16 09:35,2225.70,1,6615.00,0.99,3195.00,3.37,8730.00,1.31,1545.00,0.23
4,Exit Short,BUY,2021-02-16 14:50,2203.65,1,6615.00,0.99,3195.00,3.37,8730.00,1.31,1545.00,0.23
5,Entry Long,BUY,2021-02-16 14:50,2203.65,1,0,0,3195.00,0,405.00,0.06,495.00,0.07
5,Exit Long,INTRADAY_BExit,2021-02-16 15:05,2203.65,1,0,0,3195.00,0,405.00,0.06,495.00,0.07
6,Entry Short,SELL,2021-02-17 09:35,2182.50,1,-2850.00,-0.44,345.00,-1.4,2220.00,0.34,3150.00,0.48
6,Exit Short,BUY,2021-02-17 10:00,2192.00,1,-2850.00,-0.44,345.00,-1.4,2220.00,0.34,3150.00,0.48
7,Entry Long,BUY,2021-02-17 10:00,2192.00,1,-945.00,-0.14,-600.00,-0.47,1770.00,0.27,1920.00,0.29
7,Exit Long,SELL,2021-02-17 11:45,2188.85,1,-945.00,-0.14,-600.00,-0.47,1770.00,0.27,1920.00,0.29
8,Entry Short,SELL,2021-02-17 11:45,2188.85,1,5430.00,0.83,4830.00,2.72,6765.00,1.03,270.00,0.04
8,Exit Short,INTRADAY_SExit,2021-02-17 15:05,2170.75,1,5430.00,0.83,4830.00,2.72,6765.00,1.03,270.00,0.04
9,Entry Long,BUY,2021-02-19 09:35,2179.00,1,315.00,0.05,5145.00,0.15,5370.00,0.82,630.00,0.1
9,Exit Long,SELL,2021-02-19 10:25,2180.05,1,315.00,0.05,5145.00,0.15,5370.00,0.82,630.00,0.1
10,Entry Short,SELL,2021-02-19 10:25,2180.05,1,1005.00,0.15,6150.00,0.49,4695.00,0.72,585.00,0.09
10,Exit Short,BUY,2021-02-19 11:45,2176.70,1,1005.00,0.15,6150.00,0.49,4695.00,0.72,585.00,0.09
11,Entry Long,BUY,2021-02-19 11:45,2176.70,1,270.00,0.04,6420.00,0.13,3885.00,0.59,465.00,0.07
11,Exit Long,SELL,2021-02-19 13:40,2177.60,1,270.00,0.04,6420.00,0.13,3885.00,0.59,465.00,0.07
12,Entry Short,SELL,2021-02-19 13:40,2177.60,1,-495.00,-0.08,5925.00,-0.24,1980.00,0.3,2175.00,0.33
12,Exit Short,INTRADAY_SExit,2021-02-19 15:05,2179.25,1,-495.00,-0.08,5925.00,-0.24,1980.00,0.3,2175.00,0.33
13,Entry Long,BUY,2021-02-22 09:35,2192.90,1,-4005.00,-0.61,1920.00,-1.94,150.00,0.02,4005.00,0.61
13,Exit Long,SELL,2021-02-22 10:15,2179.55,1,-4005.00,-0.61,1920.00,-1.94,150.00,0.02,4005.00,0.61
14,Entry Short,SELL,2021-02-22 10:15,2179.55,1,1185.00,0.18,3105.00,0.59,4845.00,0.74,1905.00,0.29
14,Exit Short,BUY,2021-02-22 12:05,2175.60,1,1185.00,0.18,3105.00,0.59,4845.00,0.74,1905.00,0.29
15,Entry Long,BUY,2021-02-22 12:05,2175.60,1,-2715.00,-0.42,390.00,-1.34,30.00,0,2820.00,0.43
15,Exit Long,SELL,2021-02-22 12:35,2166.55,1,-2715.00,-0.42,390.00,-1.34,30.00,0,2820.00,0.43
16,Entry Short,SELL,2021-02-22 12:35,2166.55,1,-1305.00,-0.2,-915.00,-0.65,960.00,0.15,2535.00,0.39
16,Exit Short,BUY,2021-02-22 13:35,2170.90,1,-1305.00,-0.2,-915.00,-0.65,960.00,0.15,2535.00,0.39
17,Entry Long,BUY,2021-02-22 13:35,2170.90,1,-1245.00,-0.19,-2160.00,-0.63,1020.00,0.16,2055.00,0.32
17,Exit Long,INTRADAY_BExit,2021-02-22 15:05,2166.75,1,-1245.00,-0.19,-2160.00,-0.63,1020.00,0.16,2055.00,0.32
18,Entry Long,BUY,2021-02-23 09:35,2179.25,1,975.00,0.15,-1185.00,0.49,3555.00,0.54,2265.00,0.35
18,Exit Long,SELL,2021-02-23 11:20,2182.50,1,975.00,0.15,-1185.00,0.49,3555.00,0.54,2265.00,0.35
19,Entry Short,SELL,2021-02-23 11:20,2182.50,1,2190.00,0.33,1005.00,1.1,2610.00,0.4,1140.00,0.17
19,Exit Short,INTRADAY_SExit,2021-02-23 15:05,2175.20,1,2190.00,0.33,1005.00,1.1,2610.00,0.4,1140.00,0.17
20,Entry Long,BUY,2021-02-24 11:35,2174.15,1,-2190.00,-0.34,-1185.00,-1.09,465.00,0.07,12045.00,1.85
20,Exit Long,INTRADAY_BExit,2021-02-24 15:50,2166.85,1,-2190.00,-0.34,-1185.00,-1.09,465.00,0.07,12045.00,1.85
21,Entry Short,SELL,2021-02-25 09:40,2179.20,1,285.00,0.04,-900.00,0.14,1920.00,0.29,1965.00,0.3
21,Exit Short,BUY,2021-02-25 14:00,2178.25,1,285.00,0.04,-900.00,0.14,1920.00,0.29,1965.00,0.3
22,Entry Long,BUY,2021-02-25 14:00,2178.25,1,-300.00,-0.05,-1200.00,-0.15,1110.00,0.17,675.00,0.1
22,Exit Long,INTRADAY_BExit,2021-02-25 15:05,2177.25,1,-300.00,-0.05,-1200.00,-0.15,1110.00,0.17,675.00,0.1
23,Entry Long,BUY,2021-02-26 09:35,2181.85,1,-3405.00,-0.52,-4605.00,-1.71,1560.00,0.24,3405.00,0.52
23,Exit Long,SELL,2021-02-26 10:15,2170.50,1,-3405.00,-0.52,-4605.00,-1.71,1560.00,0.24,3405.00,0.52
