Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-01 04:15,2401.30,1,870.00,0.12,870.00,0.43,3150.00,0.44,180.00,0.02
1,Exit Short,INTRADAY_SExit,2021-01-01 09:45,2398.40,1,870.00,0.12,870.00,0.43,3150.00,0.44,180.00,0.02
2,Entry Long,BUY,2021-01-04 04:15,2417.80,1,3045.00,0.42,3915.00,1.52,6285.00,0.87,825.00,0.11
2,Exit Long,INTRADAY_BExit,2021-01-04 09:45,2427.95,1,3045.00,0.42,3915.00,1.52,6285.00,0.87,825.00,0.11
3,Entry Long,BUY,2021-01-05 04:15,2437.00,1,-3345.00,-0.46,570.00,-1.64,1140.00,0.16,3915.00,0.54
3,Exit Long,SELL,2021-01-05 05:15,2425.85,1,-3345.00,-0.46,570.00,-1.64,1140.00,0.16,3915.00,0.54
4,Entry Short,SELL,2021-01-05 05:15,2425.85,1,-3645.00,-0.5,-3075.00,-1.82,2025.00,0.28,3915.00,0.54
4,Exit Short,BUY,2021-01-05 07:00,2438.00,1,-3645.00,-0.5,-3075.00,-1.82,2025.00,0.28,3915.00,0.54
5,Entry Long,BUY,2021-01-05 07:00,2438.00,1,5220.00,0.71,2145.00,2.65,5220.00,0.71,1410.00,0.19
5,Exit Long,INTRADAY_BExit,2021-01-05 09:45,2455.40,1,5220.00,0.71,2145.00,2.65,5220.00,0.71,1410.00,0.19
6,Entry Short,SELL,2021-01-06 04:15,2433.00,1,-1710.00,-0.23,435.00,-0.85,2400.00,0.33,1845.00,0.25
6,Exit Short,BUY,2021-01-06 06:00,2438.70,1,-1710.00,-0.23,435.00,-0.85,2400.00,0.33,1845.00,0.25
7,Entry Long,BUY,2021-01-06 06:00,2438.70,1,-2910.00,-0.4,-2475.00,-1.45,2520.00,0.34,3465.00,0.47
7,Exit Long,SELL,2021-01-06 08:15,2429.00,1,-2910.00,-0.4,-2475.00,-1.45,2520.00,0.34,3465.00,0.47
8,Entry Short,SELL,2021-01-06 08:15,2429.00,1,225.00,0.03,-2250.00,0.11,5070.00,0.7,1290.00,0.18
8,Exit Short,INTRADAY_SExit,2021-01-06 09:45,2428.25,1,225.00,0.03,-2250.00,0.11,5070.00,0.7,1290.00,0.18
9,Entry Short,SELL,2021-01-07 04:15,2413.10,1,7965.00,1.1,5715.00,4.03,8715.00,1.2,210.00,0.03
9,Exit Short,SELL_TG_HIT,2021-01-07 08:00,2386.55,1,7965.00,1.1,5715.00,4.03,8715.00,1.2,210.00,0.03
10,Entry Short,SELL,2021-01-07 08:15,2382.75,1,270.00,0.04,5985.00,0.13,1575.00,0.22,2100.00,0.29
10,Exit Short,INTRADAY_SExit,2021-01-07 09:45,2381.85,1,270.00,0.04,5985.00,0.13,1575.00,0.22,2100.00,0.29
11,Entry Short,SELL,2021-01-08 05:15,2380.00,1,-7185.00,-1.01,-1200.00,-3.49,2040.00,0.29,7185.00,1.01
11,Exit Short,INTRADAY_SExit,2021-01-08 09:45,2403.95,1,-7185.00,-1.01,-1200.00,-3.49,2040.00,0.29,7185.00,1.01
12,Entry Long,BUY,2021-01-11 04:15,2433.70,1,-3765.00,-0.52,-4965.00,-1.89,3690.00,0.51,3810.00,0.52
12,Exit Long,SELL,2021-01-11 09:15,2421.15,1,-3765.00,-0.52,-4965.00,-1.89,3690.00,0.51,3810.00,0.52
13,Entry Short,SELL,2021-01-11 09:15,2421.15,1,-2880.00,-0.4,-7845.00,-1.48,735.00,0.1,2970.00,0.41
13,Exit Short,INTRADAY_SExit,2021-01-11 09:45,2430.75,1,-2880.00,-0.4,-7845.00,-1.48,735.00,0.1,2970.00,0.41
14,Entry Short,SELL,2021-01-12 04:15,2408.35,1,5940.00,0.82,-1905.00,3.09,6945.00,0.96,960.00,0.13
14,Exit Short,INTRADAY_SExit,2021-01-12 09:45,2388.55,1,5940.00,0.82,-1905.00,3.09,6945.00,0.96,960.00,0.13
15,Entry Short,SELL,2021-01-13 04:15,2379.95,1,-3915.00,-0.55,-5820.00,-1.98,570.00,0.08,4170.00,0.58
15,Exit Short,BUY,2021-01-13 05:00,2393.00,1,-3915.00,-0.55,-5820.00,-1.98,570.00,0.08,4170.00,0.58
16,Entry Long,BUY,2021-01-13 05:00,2393.00,1,-3465.00,-0.48,-9285.00,-1.78,3255.00,0.45,3615.00,0.5
16,Exit Long,SELL,2021-01-13 08:45,2381.45,1,-3465.00,-0.48,-9285.00,-1.78,3255.00,0.45,3615.00,0.5
17,Entry Short,SELL,2021-01-13 08:45,2381.45,1,-360.00,-0.05,-9645.00,-0.19,1935.00,0.27,1125.00,0.16
17,Exit Short,INTRADAY_SExit,2021-01-13 09:45,2382.65,1,-360.00,-0.05,-9645.00,-0.19,1935.00,0.27,1125.00,0.16
