Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:05,2260.70,100,2505.00,1.11,2505.00,2.51,2690.00,1.19,0,0
1,Exit Short,SELL_TG_HIT,2021-02-01 04:50,2235.65,100,2505.00,1.11,2505.00,2.51,2690.00,1.19,0,0
2,Entry Long,BUY,2021-02-01 05:35,2237.10,100,1990.00,0.89,4495.00,1.94,2190.00,0.98,125.00,0.06
2,Exit Long,BUY_TG_HIT,2021-02-01 06:05,2257.00,100,1990.00,0.89,4495.00,1.94,2190.00,0.98,125.00,0.06
3,Entry Long,BUY,2021-02-01 07:00,2258.00,100,2300.00,1.02,6795.00,2.2,2500.00,1.11,240.00,0.11
3,Exit Long,BUY_TG_HIT,2021-02-01 07:30,2281.00,100,2300.00,1.02,6795.00,2.2,2500.00,1.11,240.00,0.11
4,Entry Short,SELL,2021-02-01 08:10,2261.90,100,1385.00,0.61,8180.00,1.3,1690.00,0.75,1310.00,0.58
4,Exit Short,INTRADAY_SExit,2021-02-01 09:35,2248.05,100,1385.00,0.61,8180.00,1.3,1690.00,0.75,1310.00,0.58
5,Entry Short,SELL,2021-02-02 04:05,2240.00,100,-930.00,-0.42,7250.00,-0.86,95.00,0.04,1130.00,0.5
5,Exit Short,BUY,2021-02-02 04:15,2249.30,100,-930.00,-0.42,7250.00,-0.86,95.00,0.04,1130.00,0.5
6,Entry Long,BUY,2021-02-02 04:15,2249.30,100,-1420.00,-0.63,5830.00,-1.32,70.00,0.03,1430.00,0.64
6,Exit Long,SELL,2021-02-02 05:00,2235.10,100,-1420.00,-0.63,5830.00,-1.32,70.00,0.03,1430.00,0.64
7,Entry Short,SELL,2021-02-02 05:00,2235.10,100,710.00,0.32,6540.00,0.67,3010.00,1.35,195.00,0.09
7,Exit Short,BUY,2021-02-02 07:30,2228.00,100,710.00,0.32,6540.00,0.67,3010.00,1.35,195.00,0.09
8,Entry Long,BUY,2021-02-02 07:30,2228.00,100,140.00,0.06,6680.00,0.13,850.00,0.38,960.00,0.43
8,Exit Long,SELL,2021-02-02 09:20,2229.40,100,140.00,0.06,6680.00,0.13,850.00,0.38,960.00,0.43
9,Entry Short,SELL,2021-02-02 09:20,2229.40,100,-325.00,-0.15,6355.00,-0.3,320.00,0.14,580.00,0.26
9,Exit Short,INTRADAY_SExit,2021-02-02 09:35,2232.65,100,-325.00,-0.15,6355.00,-0.3,320.00,0.14,580.00,0.26
10,Entry Long,BUY,2021-02-03 04:05,2242.00,100,-770.00,-0.34,5585.00,-0.72,1500.00,0.67,890.00,0.4
10,Exit Long,SELL,2021-02-03 05:00,2234.30,100,-770.00,-0.34,5585.00,-0.72,1500.00,0.67,890.00,0.4
11,Entry Short,SELL,2021-02-03 05:00,2234.30,100,-1775.00,-0.79,3810.00,-1.68,95.00,0.04,1975.00,0.88
11,Exit Short,BUY,2021-02-03 06:30,2252.05,100,-1775.00,-0.79,3810.00,-1.68,95.00,0.04,1975.00,0.88
12,Entry Long,BUY,2021-02-03 06:30,2252.05,100,-205.00,-0.09,3605.00,-0.2,230.00,0.1,305.00,0.14
12,Exit Long,SELL,2021-02-03 07:15,2250.00,100,-205.00,-0.09,3605.00,-0.2,230.00,0.1,305.00,0.14
13,Entry Short,SELL,2021-02-03 07:15,2250.00,100,585.00,0.26,4190.00,0.56,1355.00,0.6,90.00,0.04
13,Exit Short,BUY,2021-02-03 08:25,2244.15,100,585.00,0.26,4190.00,0.56,1355.00,0.6,90.00,0.04
14,Entry Long,BUY,2021-02-03 08:25,2244.15,100,-445.00,-0.2,3745.00,-0.43,245.00,0.11,615.00,0.27
14,Exit Long,SELL,2021-02-03 08:45,2239.70,100,-445.00,-0.2,3745.00,-0.43,245.00,0.11,615.00,0.27
15,Entry Short,SELL,2021-02-03 08:45,2239.70,100,335.00,0.15,4080.00,0.32,470.00,0.21,310.00,0.14
15,Exit Short,INTRADAY_SExit,2021-02-03 09:35,2236.35,100,335.00,0.15,4080.00,0.32,470.00,0.21,310.00,0.14
16,Entry Long,BUY,2021-02-04 04:05,2236.00,100,-660.00,-0.3,3420.00,-0.63,400.00,0.18,980.00,0.44
16,Exit Long,SELL,2021-02-04 04:15,2229.40,100,-660.00,-0.3,3420.00,-0.63,400.00,0.18,980.00,0.44
17,Entry Short,SELL,2021-02-04 04:15,2229.40,100,-460.00,-0.21,2960.00,-0.44,145.00,0.07,840.00,0.38
17,Exit Short,BUY,2021-02-04 04:25,2234.00,100,-460.00,-0.21,2960.00,-0.44,145.00,0.07,840.00,0.38
18,Entry Long,BUY,2021-02-04 04:25,2234.00,100,2300.00,1.03,5260.00,2.23,2500.00,1.12,250.00,0.11
18,Exit Long,BUY_TG_HIT,2021-02-04 06:05,2257.00,100,2300.00,1.03,5260.00,2.23,2500.00,1.12,250.00,0.11
19,Entry Short,SELL,2021-02-04 06:35,2244.55,100,345.00,0.15,5605.00,0.33,1440.00,0.64,45.00,0.02
19,Exit Short,BUY,2021-02-04 07:45,2241.10,100,345.00,0.15,5605.00,0.33,1440.00,0.64,45.00,0.02
20,Entry Long,BUY,2021-02-04 07:45,2241.10,100,670.00,0.3,6275.00,0.63,1385.00,0.62,80.00,0.04
20,Exit Long,INTRADAY_BExit,2021-02-04 09:35,2247.80,100,670.00,0.3,6275.00,0.63,1385.00,0.62,80.00,0.04
21,Entry Long,BUY,2021-02-05 04:30,2253.80,100,-30.00,-0.01,6245.00,-0.03,1300.00,0.58,780.00,0.35
21,Exit Long,SELL,2021-02-05 05:25,2253.50,100,-30.00,-0.01,6245.00,-0.03,1300.00,0.58,780.00,0.35
22,Entry Short,SELL,2021-02-05 05:25,2253.50,100,-205.00,-0.09,6040.00,-0.19,750.00,0.33,350.00,0.16
22,Exit Short,BUY,2021-02-05 06:20,2255.55,100,-205.00,-0.09,6040.00,-0.19,750.00,0.33,350.00,0.16
23,Entry Long,BUY,2021-02-05 06:20,2255.55,100,2440.00,1.08,8480.00,2.3,2635.00,1.17,155.00,0.07
23,Exit Long,BUY_TG_HIT,2021-02-05 07:10,2279.95,100,2440.00,1.08,8480.00,2.3,2635.00,1.17,155.00,0.07
24,Entry Short,SELL,2021-02-05 07:45,2267.90,100,-910.00,-0.4,7570.00,-0.84,390.00,0.17,950.00,0.42
24,Exit Short,BUY,2021-02-05 08:50,2277.00,100,-910.00,-0.4,7570.00,-0.84,390.00,0.17,950.00,0.42
25,Entry Long,BUY,2021-02-05 08:50,2277.00,100,-150.00,-0.07,7420.00,-0.14,290.00,0.13,500.00,0.22
25,Exit Long,INTRADAY_BExit,2021-02-05 09:35,2275.50,100,-150.00,-0.07,7420.00,-0.14,290.00,0.13,500.00,0.22
26,Entry Short,SELL,2021-02-08 04:05,2274.10,100,0,0,7420.00,0,710.00,0.31,95.00,0.04
26,Exit Short,BUY,2021-02-08 04:25,2274.10,100,0,0,7420.00,0,710.00,0.31,95.00,0.04
27,Entry Long,BUY,2021-02-08 04:25,2274.10,100,-220.00,-0.1,7200.00,-0.2,90.00,0.04,410.00,0.18
27,Exit Long,SELL,2021-02-08 04:45,2271.90,100,-220.00,-0.1,7200.00,-0.2,90.00,0.04,410.00,0.18
28,Entry Short,SELL,2021-02-08 04:45,2271.90,100,-520.00,-0.23,6680.00,-0.49,25.00,0.01,580.00,0.26
28,Exit Short,BUY,2021-02-08 04:55,2277.10,100,-520.00,-0.23,6680.00,-0.49,25.00,0.01,580.00,0.26
29,Entry Long,BUY,2021-02-08 04:55,2277.10,100,-555.00,-0.24,6125.00,-0.52,385.00,0.17,610.00,0.27
29,Exit Long,SELL,2021-02-08 05:35,2271.55,100,-555.00,-0.24,6125.00,-0.52,385.00,0.17,610.00,0.27
30,Entry Short,SELL,2021-02-08 05:35,2271.55,100,2175.00,0.96,8300.00,2.05,2345.00,1.03,50.00,0.02
30,Exit Short,SELL_TG_HIT,2021-02-08 06:55,2249.80,100,2175.00,0.96,8300.00,2.05,2345.00,1.03,50.00,0.02
31,Entry Long,BUY,2021-02-08 07:35,2253.95,100,-575.00,-0.26,7725.00,-0.53,45.00,0.02,770.00,0.34
31,Exit Long,SELL,2021-02-08 07:55,2248.20,100,-575.00,-0.26,7725.00,-0.53,45.00,0.02,770.00,0.34
32,Entry Short,SELL,2021-02-08 07:55,2248.20,100,670.00,0.3,8395.00,0.62,1000.00,0.44,80.00,0.04
32,Exit Short,BUY,2021-02-08 09:00,2241.50,100,670.00,0.3,8395.00,0.62,1000.00,0.44,80.00,0.04
33,Entry Long,BUY,2021-02-08 09:00,2241.50,100,-200.00,-0.09,8195.00,-0.18,100.00,0.04,250.00,0.11
33,Exit Long,INTRADAY_BExit,2021-02-08 09:35,2239.50,100,-200.00,-0.09,8195.00,-0.18,100.00,0.04,250.00,0.11
34,Entry Long,BUY,2021-02-09 04:05,2246.70,100,-425.00,-0.19,7770.00,-0.39,800.00,0.36,670.00,0.3
34,Exit Long,SELL,2021-02-09 04:55,2242.45,100,-425.00,-0.19,7770.00,-0.39,800.00,0.36,670.00,0.3
35,Entry Short,SELL,2021-02-09 04:55,2242.45,100,2050.00,0.91,9820.00,1.9,2145.00,0.96,250.00,0.11
35,Exit Short,SELL_TG_HIT,2021-02-09 09:30,2221.95,100,2050.00,0.91,9820.00,1.9,2145.00,0.96,250.00,0.11
36,Entry Long,BUY,2021-02-10 04:05,2224.90,100,-885.00,-0.4,8935.00,-0.81,800.00,0.36,1215.00,0.55
36,Exit Long,SELL,2021-02-10 05:00,2216.05,100,-885.00,-0.4,8935.00,-0.81,800.00,0.36,1215.00,0.55
37,Entry Short,SELL,2021-02-10 05:00,2216.05,100,-840.00,-0.38,8095.00,-0.77,290.00,0.13,1090.00,0.49
37,Exit Short,BUY,2021-02-10 05:15,2224.45,100,-840.00,-0.38,8095.00,-0.77,290.00,0.13,1090.00,0.49
38,Entry Long,BUY,2021-02-10 05:15,2224.45,100,-545.00,-0.25,7550.00,-0.5,255.00,0.11,545.00,0.25
38,Exit Long,SELL,2021-02-10 06:00,2219.00,100,-545.00,-0.25,7550.00,-0.5,255.00,0.11,545.00,0.25
39,Entry Short,SELL,2021-02-10 06:00,2219.00,100,-810.00,-0.37,6740.00,-0.75,0,0,985.00,0.44
39,Exit Short,BUY,2021-02-10 06:35,2227.10,100,-810.00,-0.37,6740.00,-0.75,0,0,985.00,0.44
40,Entry Long,BUY,2021-02-10 06:35,2227.10,100,0,0,6740.00,0,770.00,0.35,90.00,0.04
40,Exit Long,SELL,2021-02-10 07:25,2227.10,100,0,0,6740.00,0,770.00,0.35,90.00,0.04
41,Entry Short,SELL,2021-02-10 07:25,2227.10,100,-305.00,-0.14,6435.00,-0.29,75.00,0.03,365.00,0.16
41,Exit Short,BUY,2021-02-10 08:05,2230.15,100,-305.00,-0.14,6435.00,-0.29,75.00,0.03,365.00,0.16
42,Entry Long,BUY,2021-02-10 08:05,2230.15,100,-540.00,-0.24,5895.00,-0.51,0,0,600.00,0.27
42,Exit Long,SELL,2021-02-10 08:15,2224.75,100,-540.00,-0.24,5895.00,-0.51,0,0,600.00,0.27
43,Entry Short,SELL,2021-02-10 08:15,2224.75,100,-365.00,-0.16,5530.00,-0.34,230.00,0.1,765.00,0.34
43,Exit Short,BUY,2021-02-10 08:45,2228.40,100,-365.00,-0.16,5530.00,-0.34,230.00,0.1,765.00,0.34
44,Entry Long,BUY,2021-02-10 08:45,2228.40,100,-335.00,-0.15,5195.00,-0.32,340.00,0.15,430.00,0.19
44,Exit Long,SELL,2021-02-10 09:00,2225.05,100,-335.00,-0.15,5195.00,-0.32,340.00,0.15,430.00,0.19
45,Entry Short,SELL,2021-02-10 09:00,2225.05,100,-215.00,-0.1,4980.00,-0.2,95.00,0.04,370.00,0.17
45,Exit Short,BUY,2021-02-10 09:25,2227.20,100,-215.00,-0.1,4980.00,-0.2,95.00,0.04,370.00,0.17
46,Entry Long,BUY,2021-02-10 09:25,2227.20,100,845.00,0.38,5825.00,0.8,1080.00,0.48,85.00,0.04
46,Exit Long,INTRADAY_BExit,2021-02-10 09:35,2235.65,100,845.00,0.38,5825.00,0.8,1080.00,0.48,85.00,0.04
47,Entry Long,BUY,2021-02-11 07:45,2262.20,100,-65.00,-0.03,5760.00,-0.06,580.00,0.26,220.00,0.1
47,Exit Long,SELL,2021-02-11 08:35,2261.55,100,-65.00,-0.03,5760.00,-0.06,580.00,0.26,220.00,0.1
48,Entry Short,SELL,2021-02-11 08:35,2261.55,100,130.00,0.06,5890.00,0.12,345.00,0.15,345.00,0.15
48,Exit Short,INTRADAY_SExit,2021-02-11 09:35,2260.25,100,130.00,0.06,5890.00,0.12,345.00,0.15,345.00,0.15
49,Entry Short,SELL,2021-02-12 04:15,2253.30,100,-235.00,-0.1,5655.00,-0.22,790.00,0.35,345.00,0.15
49,Exit Short,BUY,2021-02-12 05:00,2255.65,100,-235.00,-0.1,5655.00,-0.22,790.00,0.35,345.00,0.15
50,Entry Long,BUY,2021-02-12 05:00,2255.65,100,-445.00,-0.2,5210.00,-0.42,570.00,0.25,545.00,0.24
50,Exit Long,SELL,2021-02-12 06:00,2251.20,100,-445.00,-0.2,5210.00,-0.42,570.00,0.25,545.00,0.24
51,Entry Short,SELL,2021-02-12 06:00,2251.20,100,-290.00,-0.13,4920.00,-0.28,145.00,0.06,380.00,0.17
51,Exit Short,BUY,2021-02-12 06:35,2254.10,100,-290.00,-0.13,4920.00,-0.28,145.00,0.06,380.00,0.17
52,Entry Long,BUY,2021-02-12 06:35,2254.10,100,-30.00,-0.01,4890.00,-0.03,140.00,0.06,110.00,0.05
52,Exit Long,SELL,2021-02-12 07:10,2253.80,100,-30.00,-0.01,4890.00,-0.03,140.00,0.06,110.00,0.05
53,Entry Short,SELL,2021-02-12 07:10,2253.80,100,-365.00,-0.16,4525.00,-0.35,115.00,0.05,365.00,0.16
