Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-11 12:00,2421.75,100,-1005.00,-0.41,-1005.00,-1,480.00,0.2,1325.00,0.55
1,Exit Short,BUY,2021-01-11 12:15,2431.80,100,-1005.00,-0.41,-1005.00,-1,480.00,0.2,1325.00,0.55
2,Entry Long,BUY,2021-01-11 12:15,2431.80,100,-505.00,-0.21,-1510.00,-0.51,420.00,0.17,905.00,0.37
2,Exit Long,SELL,2021-01-11 13:55,2426.75,100,-505.00,-0.21,-1510.00,-0.51,420.00,0.17,905.00,0.37
3,Entry Short,SELL,2021-01-11 13:55,2426.75,100,-845.00,-0.35,-2355.00,-0.86,5.00,0,850.00,0.35
3,Exit Short,BUY,2021-01-11 14:10,2435.20,100,-845.00,-0.35,-2355.00,-0.86,5.00,0,850.00,0.35
4,Entry Long,BUY,2021-01-11 14:10,2435.20,100,-920.00,-0.38,-3275.00,-0.94,40.00,0.02,1410.00,0.58
4,Exit Long,SELL,2021-01-11 14:40,2426.00,100,-920.00,-0.38,-3275.00,-0.94,40.00,0.02,1410.00,0.58
5,Entry Short,SELL,2021-01-11 14:40,2426.00,100,205.00,0.08,-3070.00,0.21,890.00,0.37,220.00,0.09
5,Exit Short,INTRADAY_SExit,2021-01-11 15:05,2423.95,100,205.00,0.08,-3070.00,0.21,890.00,0.37,220.00,0.09
6,Entry Short,SELL,2021-01-12 09:35,2408.90,100,1320.00,0.55,-1750.00,1.36,1590.00,0.66,110.00,0.05
6,Exit Short,SELL_TG_HIT,2021-01-12 10:10,2395.70,100,1320.00,0.55,-1750.00,1.36,1590.00,0.66,110.00,0.05
7,Entry Long,BUY,2021-01-12 13:45,2388.85,100,-490.00,-0.21,-2240.00,-0.5,10.00,0,585.00,0.24
7,Exit Long,SELL,2021-01-12 14:00,2383.95,100,-490.00,-0.21,-2240.00,-0.5,10.00,0,585.00,0.24
8,Entry Short,SELL,2021-01-12 14:00,2383.95,100,520.00,0.22,-1720.00,0.53,755.00,0.32,105.00,0.04
8,Exit Short,INTRADAY_SExit,2021-01-12 15:05,2378.75,100,520.00,0.22,-1720.00,0.53,755.00,0.32,105.00,0.04
9,Entry Short,SELL,2021-01-13 09:35,2371.00,100,-1210.00,-0.51,-2930.00,-1.23,100.00,0.04,1215.00,0.51
9,Exit Short,BUY,2021-01-13 10:25,2383.10,100,-1210.00,-0.51,-2930.00,-1.23,100.00,0.04,1215.00,0.51
10,Entry Long,BUY,2021-01-13 10:25,2383.10,100,1320.00,0.55,-1610.00,1.36,1490.00,0.63,255.00,0.11
10,Exit Long,BUY_TG_HIT,2021-01-13 10:55,2396.30,100,1320.00,0.55,-1610.00,1.36,1490.00,0.63,255.00,0.11
11,Entry Short,SELL,2021-01-13 11:45,2385.35,100,1270.00,0.53,-340.00,1.29,1275.00,0.53,465.00,0.19
11,Exit Short,SELL_TG_HIT,2021-01-13 14:10,2372.65,100,1270.00,0.53,-340.00,1.29,1275.00,0.53,465.00,0.19
12,Entry Short,SELL,2021-01-14 09:35,2369.00,100,-1200.00,-0.51,-1540.00,-1.2,500.00,0.21,1215.00,0.51
12,Exit Short,BUY,2021-01-14 10:00,2381.00,100,-1200.00,-0.51,-1540.00,-1.2,500.00,0.21,1215.00,0.51
13,Entry Long,BUY,2021-01-14 10:00,2381.00,100,1405.00,0.59,-135.00,1.43,1420.00,0.6,440.00,0.18
13,Exit Long,BUY_TG_HIT,2021-01-14 10:40,2395.05,100,1405.00,0.59,-135.00,1.43,1420.00,0.6,440.00,0.18
14,Entry Short,SELL,2021-01-14 12:45,2387.00,100,-385.00,-0.16,-520.00,-0.39,1340.00,0.56,500.00,0.21
14,Exit Short,BUY,2021-01-14 13:35,2390.85,100,-385.00,-0.16,-520.00,-0.39,1340.00,0.56,500.00,0.21
15,Entry Long,BUY,2021-01-14 13:35,2390.85,100,1405.00,0.59,885.00,1.41,1405.00,0.59,385.00,0.16
15,Exit Long,BUY_TG_HIT,2021-01-14 14:50,2404.90,100,1405.00,0.59,885.00,1.41,1405.00,0.59,385.00,0.16
16,Entry Short,SELL,2021-01-15 09:35,2383.55,100,1255.00,0.53,2140.00,1.24,1560.00,0.65,465.00,0.2
16,Exit Short,SELL_TG_HIT,2021-01-15 13:10,2371.00,100,1255.00,0.53,2140.00,1.24,1560.00,0.65,465.00,0.2
17,Entry Short,SELL,2021-01-18 09:35,2342.00,100,-1300.00,-0.56,840.00,-1.27,300.00,0.13,1395.00,0.6
17,Exit Short,SELL_SL_HIT,2021-01-18 10:05,2355.00,100,-1300.00,-0.56,840.00,-1.27,300.00,0.13,1395.00,0.6
18,Entry Long,BUY,2021-01-18 11:30,2354.30,100,-605.00,-0.26,235.00,-0.6,875.00,0.37,605.00,0.26
18,Exit Long,SELL,2021-01-18 14:35,2348.25,100,-605.00,-0.26,235.00,-0.6,875.00,0.37,605.00,0.26
19,Entry Short,SELL,2021-01-18 14:35,2348.25,100,1330.00,0.57,1565.00,1.33,1560.00,0.66,305.00,0.13
19,Exit Short,SELL_TG_HIT,2021-01-18 14:55,2334.95,100,1330.00,0.57,1565.00,1.33,1560.00,0.66,305.00,0.13
20,Entry Long,BUY,2021-01-19 09:35,2333.05,100,1490.00,0.64,3055.00,1.47,1595.00,0.68,980.00,0.42
20,Exit Long,BUY_TG_HIT,2021-01-19 11:35,2347.95,100,1490.00,0.64,3055.00,1.47,1595.00,0.68,980.00,0.42
21,Entry Short,SELL,2021-01-20 09:35,2352.70,100,-870.00,-0.37,2185.00,-0.84,570.00,0.24,930.00,0.4
21,Exit Short,BUY,2021-01-20 10:40,2361.40,100,-870.00,-0.37,2185.00,-0.84,570.00,0.24,930.00,0.4
22,Entry Long,BUY,2021-01-20 10:40,2361.40,100,180.00,0.08,2365.00,0.18,1255.00,0.53,340.00,0.14
22,Exit Long,SELL,2021-01-20 13:45,2363.20,100,180.00,0.08,2365.00,0.18,1255.00,0.53,340.00,0.14
23,Entry Short,SELL,2021-01-20 13:45,2363.20,100,715.00,0.3,3080.00,0.7,1280.00,0.54,430.00,0.18
