Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-11 04:05,2429.00,100,-225.00,-0.09,-225.00,-0.22,1295.00,0.53,1205.00,0.5
1,Exit Long,SELL,2021-01-11 08:25,2426.75,100,-225.00,-0.09,-225.00,-0.22,1295.00,0.53,1205.00,0.5
2,Entry Short,SELL,2021-01-11 08:25,2426.75,100,-845.00,-0.35,-1070.00,-0.85,5.00,0,850.00,0.35
2,Exit Short,BUY,2021-01-11 08:40,2435.20,100,-845.00,-0.35,-1070.00,-0.85,5.00,0,850.00,0.35
3,Entry Long,BUY,2021-01-11 08:40,2435.20,100,-920.00,-0.38,-1990.00,-0.93,40.00,0.02,1410.00,0.58
3,Exit Long,SELL,2021-01-11 09:10,2426.00,100,-920.00,-0.38,-1990.00,-0.93,40.00,0.02,1410.00,0.58
4,Entry Short,SELL,2021-01-11 09:10,2426.00,100,205.00,0.08,-1785.00,0.21,890.00,0.37,220.00,0.09
4,Exit Short,INTRADAY_SExit,2021-01-11 09:35,2423.95,100,205.00,0.08,-1785.00,0.21,890.00,0.37,220.00,0.09
5,Entry Short,SELL,2021-01-12 04:05,2408.90,100,2590.00,1.08,805.00,2.64,2690.00,1.12,110.00,0.05
5,Exit Short,SELL_TG_HIT,2021-01-12 08:00,2383.00,100,2590.00,1.08,805.00,2.64,2690.00,1.12,110.00,0.05
6,Entry Short,SELL,2021-01-13 04:05,2371.00,100,-910.00,-0.38,-105.00,-0.9,100.00,0.04,1145.00,0.48
6,Exit Short,BUY,2021-01-13 04:25,2380.10,100,-910.00,-0.38,-105.00,-0.9,100.00,0.04,1145.00,0.48
7,Entry Long,BUY,2021-01-13 04:25,2380.10,100,370.00,0.16,265.00,0.37,1790.00,0.75,605.00,0.25
7,Exit Long,SELL,2021-01-13 06:20,2383.80,100,370.00,0.16,265.00,0.37,1790.00,0.75,605.00,0.25
8,Entry Short,SELL,2021-01-13 06:20,2383.80,100,-280.00,-0.12,-15.00,-0.28,330.00,0.14,280.00,0.12
8,Exit Short,BUY,2021-01-13 06:25,2386.60,100,-280.00,-0.12,-15.00,-0.28,330.00,0.14,280.00,0.12
9,Entry Long,BUY,2021-01-13 06:25,2386.60,100,-755.00,-0.32,-770.00,-0.76,340.00,0.14,760.00,0.32
