Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-01 06:00,573.65,1,28187.50,3.57,28187.50,14.09,28325.00,3.59,9762.50,1.24
1,Exit Long,BUY_TG_HIT,2021-02-01 07:30,594.15,1,28187.50,3.57,28187.50,14.09,28325.00,3.59,9762.50,1.24
2,Entry Long,BUY,2021-02-01 07:45,594.95,1,11481.25,1.4,39668.75,5.03,14300.00,1.75,1787.50,0.22
2,Exit Long,BUY_TG_HIT,2021-02-01 08:15,603.30,1,11481.25,1.4,39668.75,5.03,14300.00,1.75,1787.50,0.22
3,Entry Long,BUY,2021-02-01 09:15,605.50,1,756.25,0.09,40425.00,0.32,6875.00,0.83,1375.00,0.17
3,Exit Long,INTRADAY_BExit,2021-02-01 09:45,606.05,1,756.25,0.09,40425.00,0.32,6875.00,0.83,1375.00,0.17
4,Entry Short,SELL,2021-02-02 05:00,615.10,1,10518.75,1.24,50943.75,4.38,12856.25,1.52,3712.50,0.44
4,Exit Short,SELL_TG_HIT,2021-02-02 06:15,607.45,1,10518.75,1.24,50943.75,4.38,12856.25,1.52,3712.50,0.44
5,Entry Long,BUY,2021-02-03 05:00,628.75,1,-6943.75,-0.8,44000.00,-2.77,1100.00,0.13,7562.50,0.87
5,Exit Long,SELL,2021-02-03 05:45,623.70,1,-6943.75,-0.8,44000.00,-2.77,1100.00,0.13,7562.50,0.87
6,Entry Short,SELL,2021-02-03 05:45,623.70,1,-3368.75,-0.39,40631.25,-1.38,5500.00,0.64,9693.75,1.13
6,Exit Short,INTRADAY_SExit,2021-02-03 09:45,626.15,1,-3368.75,-0.39,40631.25,-1.38,5500.00,0.64,9693.75,1.13
7,Entry Short,SELL,2021-02-04 04:15,617.05,1,-7493.75,-0.88,33137.50,-3.11,6875.00,0.81,10518.75,1.24
7,Exit Short,BUY,2021-02-04 06:45,622.50,1,-7493.75,-0.88,33137.50,-3.11,6875.00,0.81,10518.75,1.24
8,Entry Long,BUY,2021-02-04 06:45,622.50,1,10175.00,1.19,43312.50,4.36,10175.00,1.19,550.00,0.06
8,Exit Long,BUY_TG_HIT,2021-02-04 08:45,629.90,1,10175.00,1.19,43312.50,4.36,10175.00,1.19,550.00,0.06
9,Entry Long,BUY,2021-02-05 04:15,634.10,1,-8387.50,-0.96,34925.00,-3.45,4881.25,0.56,12237.50,1.4
9,Exit Long,SELL,2021-02-05 05:00,628.00,1,-8387.50,-0.96,34925.00,-3.45,4881.25,0.56,12237.50,1.4
10,Entry Short,SELL,2021-02-05 05:00,628.00,1,8868.75,1.03,43793.75,3.78,11481.25,1.33,4331.25,0.5
10,Exit Short,SELL_TG_HIT,2021-02-05 07:00,621.55,1,8868.75,1.03,43793.75,3.78,11481.25,1.33,4331.25,0.5
11,Entry Long,BUY,2021-02-08 04:15,634.90,1,-5568.75,-0.64,38225.00,-2.28,3368.75,0.39,9900.00,1.13
11,Exit Long,SELL,2021-02-08 09:00,630.85,1,-5568.75,-0.64,38225.00,-2.28,3368.75,0.39,9900.00,1.13
12,Entry Short,SELL,2021-02-08 09:00,630.85,1,-3300.00,-0.38,34925.00,-1.39,2475.00,0.29,4193.75,0.48
12,Exit Short,INTRADAY_SExit,2021-02-08 09:45,633.25,1,-3300.00,-0.38,34925.00,-1.39,2475.00,0.29,4193.75,0.48
13,Entry Long,BUY,2021-02-09 04:45,634.40,1,9350.00,1.07,44275.00,3.98,10381.25,1.19,1443.75,0.17
13,Exit Long,BUY_TG_HIT,2021-02-09 06:30,641.20,1,9350.00,1.07,44275.00,3.98,10381.25,1.19,1443.75,0.17
14,Entry Short,SELL,2021-02-09 09:30,637.80,1,3093.75,0.35,47368.75,1.27,5981.25,0.68,962.50,0.11
14,Exit Short,INTRADAY_SExit,2021-02-09 09:45,635.55,1,3093.75,0.35,47368.75,1.27,5981.25,0.68,962.50,0.11
15,Entry Long,BUY,2021-02-10 06:30,638.95,1,-8593.75,-0.98,38775.00,-3.47,1306.25,0.15,9831.25,1.12
15,Exit Long,SELL,2021-02-10 08:15,632.70,1,-8593.75,-0.98,38775.00,-3.47,1306.25,0.15,9831.25,1.12
