Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-16 09:35,672.60,1,9487.50,1.03,9487.50,4.74,9900.00,1.07,1512.50,0.16
1,Exit Short,SELL_TG_HIT,2021-02-16 11:05,665.70,1,9487.50,1.03,9487.50,4.74,9900.00,1.07,1512.50,0.16
2,Entry Long,BUY,2021-02-16 14:40,657.05,1,5568.75,0.62,15056.25,2.66,7356.25,0.81,1375.00,0.15
2,Exit Long,INTRADAY_BExit,2021-02-16 15:05,661.10,1,5568.75,0.62,15056.25,2.66,7356.25,0.81,1375.00,0.15
3,Entry Short,SELL,2021-02-17 09:35,653.00,1,-9831.25,-1.09,5225.00,-4.57,1031.25,0.11,10037.50,1.12
3,Exit Short,SELL_SL_HIT,2021-02-17 10:20,660.15,1,-9831.25,-1.09,5225.00,-4.57,1031.25,0.11,10037.50,1.12
4,Entry Long,BUY,2021-02-17 10:25,659.00,1,8937.50,0.99,14162.50,4.35,9831.25,1.08,2543.75,0.28
4,Exit Long,BUY_TG_HIT,2021-02-17 12:35,665.50,1,8937.50,0.99,14162.50,4.35,9831.25,1.08,2543.75,0.28
5,Entry Short,SELL,2021-02-17 12:55,661.00,1,11550.00,1.27,25712.50,5.39,12375.00,1.36,206.25,0.02
5,Exit Short,SELL_TG_HIT,2021-02-17 13:40,652.60,1,11550.00,1.27,25712.50,5.39,12375.00,1.36,206.25,0.02
6,Entry Long,BUY,2021-02-17 14:35,659.00,1,3643.75,0.4,29356.25,1.61,3918.75,0.43,2062.50,0.23
6,Exit Long,INTRADAY_BExit,2021-02-17 15:05,661.65,1,3643.75,0.4,29356.25,1.61,3918.75,0.43,2062.50,0.23
7,Entry Short,SELL,2021-02-18 09:35,647.95,1,9968.75,1.12,39325.00,4.35,10587.50,1.19,4881.25,0.55
7,Exit Short,SELL_TG_HIT,2021-02-18 12:20,640.70,1,9968.75,1.12,39325.00,4.35,10587.50,1.19,4881.25,0.55
8,Entry Long,BUY,2021-02-18 14:15,642.70,1,5500.00,0.62,44825.00,2.3,5568.75,0.63,481.25,0.05
8,Exit Long,INTRADAY_BExit,2021-02-18 15:05,646.70,1,5500.00,0.62,44825.00,2.3,5568.75,0.63,481.25,0.05
9,Entry Short,SELL,2021-02-19 09:35,629.85,1,-8868.75,-1.02,35956.25,-3.62,1306.25,0.15,8937.50,1.03
9,Exit Short,BUY,2021-02-19 10:40,636.30,1,-8868.75,-1.02,35956.25,-3.62,1306.25,0.15,8937.50,1.03
10,Entry Long,BUY,2021-02-19 10:40,636.30,1,-7562.50,-0.86,28393.75,-3.21,687.50,0.08,7562.50,0.86
10,Exit Long,SELL,2021-02-19 11:10,630.80,1,-7562.50,-0.86,28393.75,-3.21,687.50,0.08,7562.50,0.86
11,Entry Short,SELL,2021-02-19 11:10,630.80,1,12237.50,1.41,40631.25,5.36,12512.50,1.44,5431.25,0.63
11,Exit Short,SELL_TG_HIT,2021-02-19 14:10,621.90,1,12237.50,1.41,40631.25,5.36,12512.50,1.44,5431.25,0.63
12,Entry Long,BUY,2021-02-22 09:35,628.65,1,-9487.50,-1.1,31143.75,-3.94,2681.25,0.31,10175.00,1.18
12,Exit Long,SELL,2021-02-22 10:10,621.75,1,-9487.50,-1.1,31143.75,-3.94,2681.25,0.31,10175.00,1.18
13,Entry Short,SELL,2021-02-22 10:10,621.75,1,8731.25,1.02,39875.00,3.78,10312.50,1.21,3162.50,0.37
13,Exit Short,SELL_TG_HIT,2021-02-22 11:25,615.40,1,8731.25,1.02,39875.00,3.78,10312.50,1.21,3162.50,0.37
14,Entry Long,BUY,2021-02-22 14:45,614.90,1,-1787.50,-0.21,38087.50,-0.75,3575.00,0.42,1925.00,0.23
14,Exit Long,INTRADAY_BExit,2021-02-22 15:05,613.60,1,-1787.50,-0.21,38087.50,-0.75,3575.00,0.42,1925.00,0.23
15,Entry Long,BUY,2021-02-23 09:35,619.90,1,825.00,0.1,38912.50,0.35,6806.25,0.8,6943.75,0.81
