Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-01 04:30,534.70,1,5775.00,0.79,5775.00,2.89,7081.25,0.96,412.50,0.06
1,Exit Short,SELL_TG_HIT,2021-01-01 08:15,530.50,1,5775.00,0.79,5775.00,2.89,7081.25,0.96,412.50,0.06
2,Entry Long,BUY,2021-01-04 04:30,536.10,1,-7012.50,-0.95,-1237.50,-3.41,1237.50,0.17,8043.75,1.09
2,Exit Long,SELL,2021-01-04 05:30,531.00,1,-7012.50,-0.95,-1237.50,-3.41,1237.50,0.17,8043.75,1.09
3,Entry Short,SELL,2021-01-04 05:30,531.00,1,-2750.00,-0.38,-3987.50,-1.38,7150.00,0.98,3987.50,0.55
3,Exit Short,INTRADAY_SExit,2021-01-04 09:45,533.00,1,-2750.00,-0.38,-3987.50,-1.38,7150.00,0.98,3987.50,0.55
4,Entry Short,SELL,2021-01-05 04:15,527.15,1,-3093.75,-0.43,-7081.25,-1.58,2131.25,0.29,4606.25,0.64
4,Exit Short,BUY,2021-01-05 06:00,529.40,1,-3093.75,-0.43,-7081.25,-1.58,2131.25,0.29,4606.25,0.64
5,Entry Long,BUY,2021-01-05 06:00,529.40,1,6187.50,0.85,-893.75,3.21,7081.25,0.97,1787.50,0.25
5,Exit Long,BUY_TG_HIT,2021-01-05 08:15,533.90,1,6187.50,0.85,-893.75,3.21,7081.25,0.97,1787.50,0.25
6,Entry Long,BUY,2021-01-05 08:30,534.80,1,7700.00,1.05,6806.25,3.87,8112.50,1.1,0,0
6,Exit Long,BUY_TG_HIT,2021-01-05 09:00,540.40,1,7700.00,1.05,6806.25,3.87,8112.50,1.1,0,0
7,Entry Short,SELL,2021-01-06 05:00,541.00,1,-7012.50,-0.94,-206.25,-3.39,1993.75,0.27,7631.25,1.03
7,Exit Short,BUY,2021-01-06 06:45,546.10,1,-7012.50,-0.94,-206.25,-3.39,1993.75,0.27,7631.25,1.03
8,Entry Long,BUY,2021-01-06 06:45,546.10,1,6187.50,0.82,5981.25,3.1,6462.50,0.86,7562.50,1.01
8,Exit Long,BUY_TG_HIT,2021-01-06 09:15,550.60,1,6187.50,0.82,5981.25,3.1,6462.50,0.86,7562.50,1.01
9,Entry Long,BUY,2021-01-06 09:30,551.70,1,-3712.50,-0.49,2268.75,-1.8,412.50,0.05,4468.75,0.59
9,Exit Long,INTRADAY_BExit,2021-01-06 09:45,549.00,1,-3712.50,-0.49,2268.75,-1.8,412.50,0.05,4468.75,0.59
10,Entry Short,SELL,2021-01-07 04:45,550.05,1,8800.00,1.16,11068.75,4.35,9556.25,1.26,1168.75,0.15
10,Exit Short,INTRADAY_SExit,2021-01-07 09:45,543.65,1,8800.00,1.16,11068.75,4.35,9556.25,1.26,1168.75,0.15
11,Entry Short,SELL,2021-01-08 04:15,544.10,1,-481.25,-0.06,10587.50,-0.23,6668.75,0.89,1168.75,0.16
11,Exit Short,INTRADAY_SExit,2021-01-08 09:45,544.45,1,-481.25,-0.06,10587.50,-0.23,6668.75,0.89,1168.75,0.16
12,Entry Short,SELL,2021-01-11 05:00,538.55,1,-5981.25,-0.81,4606.25,-2.84,2062.50,0.28,6875.00,0.93
12,Exit Short,BUY,2021-01-11 07:00,542.90,1,-5981.25,-0.81,4606.25,-2.84,2062.50,0.28,6875.00,0.93
13,Entry Long,BUY,2021-01-11 07:00,542.90,1,5637.50,0.76,10243.75,2.76,6118.75,0.82,2750.00,0.37
13,Exit Long,INTRADAY_BExit,2021-01-11 09:45,547.00,1,5637.50,0.76,10243.75,2.76,6118.75,0.82,2750.00,0.37
14,Entry Long,BUY,2021-01-12 04:15,543.95,1,-4468.75,-0.6,5775.00,-2.13,206.25,0.03,4881.25,0.65
14,Exit Long,SELL,2021-01-12 05:30,540.70,1,-4468.75,-0.6,5775.00,-2.13,206.25,0.03,4881.25,0.65
15,Entry Short,SELL,2021-01-12 05:30,540.70,1,-7012.50,-0.94,-1237.50,-3.41,1581.25,0.21,8662.50,1.17
15,Exit Short,BUY,2021-01-12 06:45,545.80,1,-7012.50,-0.94,-1237.50,-3.41,1581.25,0.21,8662.50,1.17
16,Entry Long,BUY,2021-01-12 06:45,545.80,1,6668.75,0.89,5431.25,3.36,9075.00,1.21,962.50,0.13
16,Exit Long,BUY_TG_HIT,2021-01-12 07:45,550.65,1,6668.75,0.89,5431.25,3.36,9075.00,1.21,962.50,0.13
17,Entry Short,SELL,2021-01-13 05:45,557.45,1,-1100.00,-0.14,4331.25,-0.54,8731.25,1.14,2131.25,0.28
17,Exit Short,BUY,2021-01-13 09:30,558.25,1,-1100.00,-0.14,4331.25,-0.54,8731.25,1.14,2131.25,0.28
