Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-01 06:00,570.35,100,2035.00,3.57,2035.00,2.04,2035.00,3.57,670.00,1.17
1,Exit Long,BUY_TG_HIT,2021-02-01 07:30,590.70,100,2035.00,3.57,2035.00,2.04,2035.00,3.57,670.00,1.17
2,Entry Long,BUY,2021-02-01 07:45,592.75,100,945.00,1.59,2980.00,0.93,1375.00,2.32,205.00,0.35
2,Exit Long,INTRADAY_BExit,2021-02-01 09:45,602.20,100,945.00,1.59,2980.00,0.93,1375.00,2.32,205.00,0.35
3,Entry Short,SELL,2021-02-02 05:15,607.00,100,-1045.00,-1.72,1935.00,-1.01,830.00,1.37,1195.00,1.97
3,Exit Short,INTRADAY_SExit,2021-02-02 09:45,617.45,100,-1045.00,-1.72,1935.00,-1.01,830.00,1.37,1195.00,1.97
4,Entry Long,BUY,2021-02-03 04:15,619.30,100,200.00,0.32,2135.00,0.2,750.00,1.21,200.00,0.32
4,Exit Long,SELL,2021-02-03 05:45,621.30,100,200.00,0.32,2135.00,0.2,750.00,1.21,200.00,0.32
5,Entry Short,SELL,2021-02-03 05:45,621.30,100,-105.00,-0.17,2030.00,-0.1,515.00,0.83,620.00,1
5,Exit Short,INTRADAY_SExit,2021-02-03 09:45,622.35,100,-105.00,-0.17,2030.00,-0.1,515.00,0.83,620.00,1
6,Entry Short,SELL,2021-02-04 04:15,614.20,100,-505.00,-0.82,1525.00,-0.49,520.00,0.85,740.00,1.2
6,Exit Short,BUY,2021-02-04 06:45,619.25,100,-505.00,-0.82,1525.00,-0.49,520.00,0.85,740.00,1.2
7,Entry Long,BUY,2021-02-04 06:45,619.25,100,820.00,1.32,2345.00,0.81,1240.00,2,15.00,0.02
7,Exit Long,INTRADAY_BExit,2021-02-04 09:45,627.45,100,820.00,1.32,2345.00,0.81,1240.00,2,15.00,0.02
8,Entry Short,SELL,2021-02-05 05:00,625.45,100,1375.00,2.2,3720.00,1.34,1445.00,2.31,305.00,0.49
8,Exit Short,SELL_TG_HIT,2021-02-05 09:30,611.70,100,1375.00,2.2,3720.00,1.34,1445.00,2.31,305.00,0.49
9,Entry Long,BUY,2021-02-08 04:15,631.70,100,-410.00,-0.65,3310.00,-0.4,225.00,0.36,685.00,1.08
9,Exit Long,SELL,2021-02-08 09:00,627.60,100,-410.00,-0.65,3310.00,-0.4,225.00,0.36,685.00,1.08
10,Entry Short,SELL,2021-02-08 09:00,627.60,100,-250.00,-0.4,3060.00,-0.24,155.00,0.25,310.00,0.49
10,Exit Short,INTRADAY_SExit,2021-02-08 09:45,630.10,100,-250.00,-0.4,3060.00,-0.24,155.00,0.25,310.00,0.49
11,Entry Long,BUY,2021-02-09 04:30,631.35,100,485.00,0.77,3545.00,0.47,1185.00,1.88,50.00,0.08
11,Exit Long,SELL,2021-02-09 09:30,636.20,100,485.00,0.77,3545.00,0.47,1185.00,1.88,50.00,0.08
12,Entry Short,SELL,2021-02-09 09:30,636.20,100,240.00,0.38,3785.00,0.23,430.00,0.68,40.00,0.06
12,Exit Short,INTRADAY_SExit,2021-02-09 09:45,633.80,100,240.00,0.38,3785.00,0.23,430.00,0.68,40.00,0.06
13,Entry Long,BUY,2021-02-10 06:30,636.50,100,-550.00,-0.86,3235.00,-0.53,150.00,0.24,665.00,1.04
13,Exit Long,SELL,2021-02-10 08:15,631.00,100,-550.00,-0.86,3235.00,-0.53,150.00,0.24,665.00,1.04
14,Entry Short,SELL,2021-02-10 08:15,631.00,100,-200.00,-0.32,3035.00,-0.19,460.00,0.73,200.00,0.32
14,Exit Short,INTRADAY_SExit,2021-02-10 09:45,633.00,100,-200.00,-0.32,3035.00,-0.19,460.00,0.73,200.00,0.32
15,Entry Short,SELL,2021-02-11 05:30,629.60,100,105.00,0.17,3140.00,0.1,550.00,0.87,130.00,0.21
15,Exit Short,BUY,2021-02-11 09:30,628.55,100,105.00,0.17,3140.00,0.1,550.00,0.87,130.00,0.21
16,Entry Long,BUY,2021-02-11 09:30,628.55,100,220.00,0.35,3360.00,0.21,320.00,0.51,55.00,0.09
16,Exit Long,INTRADAY_BExit,2021-02-11 09:45,630.75,100,220.00,0.35,3360.00,0.21,320.00,0.51,55.00,0.09
17,Entry Long,BUY,2021-02-12 09:30,646.35,100,95.00,0.15,3455.00,0.09,145.00,0.22,90.00,0.14
17,Exit Long,INTRADAY_BExit,2021-02-12 09:45,647.30,100,95.00,0.15,3455.00,0.09,145.00,0.22,90.00,0.14
18,Entry Long,BUY,2021-02-15 07:00,665.20,100,835.00,1.26,4290.00,0.81,950.00,1.43,30.00,0.05
18,Exit Long,INTRADAY_BExit,2021-02-15 09:45,673.55,100,835.00,1.26,4290.00,0.81,950.00,1.43,30.00,0.05
19,Entry Short,SELL,2021-02-16 04:30,666.15,100,1635.00,2.45,5925.00,1.57,1660.00,2.49,235.00,0.35
19,Exit Short,SELL_TG_HIT,2021-02-16 08:30,649.80,100,1635.00,2.45,5925.00,1.57,1660.00,2.49,235.00,0.35
20,Entry Long,BUY,2021-02-17 05:15,658.95,100,-295.00,-0.45,5630.00,-0.28,600.00,0.91,345.00,0.52
20,Exit Long,SELL,2021-02-17 07:45,656.00,100,-295.00,-0.45,5630.00,-0.28,600.00,0.91,345.00,0.52
21,Entry Short,SELL,2021-02-17 07:45,656.00,100,-270.00,-0.41,5360.00,-0.26,500.00,0.76,320.00,0.49
21,Exit Short,BUY,2021-02-17 09:30,658.70,100,-270.00,-0.41,5360.00,-0.26,500.00,0.76,320.00,0.49
22,Entry Long,BUY,2021-02-17 09:30,658.70,100,-30.00,-0.05,5330.00,-0.03,80.00,0.12,160.00,0.24
22,Exit Long,INTRADAY_BExit,2021-02-17 09:45,658.40,100,-30.00,-0.05,5330.00,-0.03,80.00,0.12,160.00,0.24
23,Entry Short,SELL,2021-02-18 04:15,647.15,100,430.00,0.66,5760.00,0.41,955.00,1.48,320.00,0.49
23,Exit Short,BUY,2021-02-18 09:00,642.85,100,430.00,0.66,5760.00,0.41,955.00,1.48,320.00,0.49
24,Entry Long,BUY,2021-02-18 09:00,642.85,100,165.00,0.26,5925.00,0.16,255.00,0.4,15.00,0.02
24,Exit Long,INTRADAY_BExit,2021-02-18 09:45,644.50,100,165.00,0.26,5925.00,0.16,255.00,0.4,15.00,0.02
25,Entry Short,SELL,2021-02-19 05:45,630.00,100,450.00,0.71,6375.00,0.42,1100.00,1.75,280.00,0.44
25,Exit Short,INTRADAY_SExit,2021-02-19 09:45,625.50,100,450.00,0.71,6375.00,0.42,1100.00,1.75,280.00,0.44
26,Entry Long,BUY,2021-02-22 04:15,627.55,100,-1230.00,-1.96,5145.00,-1.16,35.00,0.06,1395.00,2.22
26,Exit Long,SELL,2021-02-22 05:45,615.25,100,-1230.00,-1.96,5145.00,-1.16,35.00,0.06,1395.00,2.22
27,Entry Short,SELL,2021-02-22 05:45,615.25,100,215.00,0.35,5360.00,0.2,675.00,1.1,120.00,0.2
27,Exit Short,BUY,2021-02-22 09:15,613.10,100,215.00,0.35,5360.00,0.2,675.00,1.1,120.00,0.2
28,Entry Long,BUY,2021-02-22 09:15,613.10,100,-355.00,-0.58,5005.00,-0.34,240.00,0.39,355.00,0.58
28,Exit Long,INTRADAY_BExit,2021-02-22 09:45,609.55,100,-355.00,-0.58,5005.00,-0.34,240.00,0.39,355.00,0.58
29,Entry Long,BUY,2021-02-23 05:15,621.95,100,-345.00,-0.55,4660.00,-0.33,20.00,0.03,1290.00,2.07
29,Exit Long,INTRADAY_BExit,2021-02-23 09:45,618.50,100,-345.00,-0.55,4660.00,-0.33,20.00,0.03,1290.00,2.07
30,Entry Long,BUY,2021-02-24 04:30,622.95,100,-15.00,-0.02,4645.00,-0.01,305.00,0.49,590.00,0.95
30,Exit Long,INTRADAY_BExit,2021-02-24 10:30,622.80,100,-15.00,-0.02,4645.00,-0.01,305.00,0.49,590.00,0.95
31,Entry Short,SELL,2021-02-25 06:15,635.10,100,745.00,1.17,5390.00,0.71,810.00,1.28,360.00,0.57
31,Exit Short,INTRADAY_SExit,2021-02-25 09:45,627.65,100,745.00,1.17,5390.00,0.71,810.00,1.28,360.00,0.57
32,Entry Long,BUY,2021-02-26 08:00,597.90,100,265.00,0.44,5655.00,0.25,590.00,0.99,235.00,0.39
32,Exit Long,INTRADAY_BExit,2021-02-26 09:45,600.55,100,265.00,0.44,5655.00,0.25,590.00,0.99,235.00,0.39
33,Entry Short,SELL,2021-03-01 07:00,601.45,100,-560.00,-0.93,5095.00,-0.53,60.00,0.1,685.00,1.14
33,Exit Short,BUY,2021-03-01 08:00,607.05,100,-560.00,-0.93,5095.00,-0.53,60.00,0.1,685.00,1.14
34,Entry Long,BUY,2021-03-01 08:00,607.05,100,225.00,0.37,5320.00,0.21,265.00,0.44,255.00,0.42
