Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-12 09:35,541.10,100,-190.00,-0.35,-190.00,-0.19,400.00,0.74,270.00,0.5
1,Exit Short,BUY,2021-01-12 12:05,543.00,100,-190.00,-0.35,-190.00,-0.19,400.00,0.74,270.00,0.5
2,Entry Long,BUY,2021-01-12 12:05,543.00,100,625.00,1.15,435.00,0.63,650.00,1.2,50.00,0.09
2,Exit Long,BUY_TG_HIT,2021-01-12 13:05,549.25,100,625.00,1.15,435.00,0.63,650.00,1.2,50.00,0.09
3,Entry Short,SELL,2021-01-13 11:25,553.55,100,-130.00,-0.23,305.00,-0.13,530.00,0.96,145.00,0.26
3,Exit Short,BUY,2021-01-13 14:30,554.85,100,-130.00,-0.23,305.00,-0.13,530.00,0.96,145.00,0.26
4,Entry Long,BUY,2021-01-13 14:30,554.85,100,245.00,0.44,550.00,0.24,255.00,0.46,125.00,0.23
4,Exit Long,INTRADAY_BExit,2021-01-13 15:05,557.30,100,245.00,0.44,550.00,0.24,255.00,0.46,125.00,0.23
5,Entry Short,SELL,2021-01-14 10:55,552.30,100,-10.00,-0.02,540.00,-0.01,170.00,0.31,295.00,0.53
5,Exit Short,INTRADAY_SExit,2021-01-14 15:05,552.40,100,-10.00,-0.02,540.00,-0.01,170.00,0.31,295.00,0.53
6,Entry Short,SELL,2021-01-15 09:35,548.75,100,555.00,1.01,1095.00,0.55,575.00,1.05,150.00,0.27
6,Exit Short,SELL_TG_HIT,2021-01-15 11:20,543.20,100,555.00,1.01,1095.00,0.55,575.00,1.05,150.00,0.27
7,Entry Long,BUY,2021-01-18 09:40,546.00,100,-575.00,-1.05,520.00,-0.57,240.00,0.44,650.00,1.19
7,Exit Long,BUY_SL_HIT,2021-01-18 11:05,540.25,100,-575.00,-1.05,520.00,-0.57,240.00,0.44,650.00,1.19
8,Entry Short,SELL,2021-01-18 11:45,539.00,100,-20.00,-0.04,500.00,-0.02,640.00,1.19,50.00,0.09
8,Exit Short,BUY,2021-01-18 14:00,539.20,100,-20.00,-0.04,500.00,-0.02,640.00,1.19,50.00,0.09
9,Entry Long,BUY,2021-01-18 14:00,539.20,100,-345.00,-0.64,155.00,-0.34,265.00,0.49,440.00,0.82
9,Exit Long,SELL,2021-01-18 14:50,535.75,100,-345.00,-0.64,155.00,-0.34,265.00,0.49,440.00,0.82
10,Entry Short,SELL,2021-01-18 14:50,535.75,100,-110.00,-0.21,45.00,-0.11,125.00,0.23,115.00,0.21
10,Exit Short,INTRADAY_SExit,2021-01-18 15:05,536.85,100,-110.00,-0.21,45.00,-0.11,125.00,0.23,115.00,0.21
11,Entry Long,BUY,2021-01-19 09:35,537.00,100,595.00,1.11,640.00,0.59,600.00,1.12,250.00,0.47
