Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-01 05:30,927.00,1,13410.00,1.61,13410.00,6.71,15570.00,1.87,3060.00,0.37
1,Exit Long,BUY_TG_HIT,2021-02-01 07:00,941.90,1,13410.00,1.61,13410.00,6.71,15570.00,1.87,3060.00,0.37
2,Entry Long,BUY,2021-02-02 04:15,989.00,1,-7740.00,-0.87,5670.00,-3.63,0,0,9090.00,1.02
2,Exit Long,SELL,2021-02-02 04:45,980.40,1,-7740.00,-0.87,5670.00,-3.63,0,0,9090.00,1.02
3,Entry Short,SELL,2021-02-02 04:45,980.40,1,10170.00,1.15,15840.00,4.94,13860.00,1.57,810.00,0.09
3,Exit Short,SELL_TG_HIT,2021-02-02 05:00,969.10,1,10170.00,1.15,15840.00,4.94,13860.00,1.57,810.00,0.09
4,Entry Long,BUY,2021-02-02 08:45,987.95,1,-7335.00,-0.82,8505.00,-3.4,5580.00,0.63,7605.00,0.86
4,Exit Long,INTRADAY_BExit,2021-02-02 09:45,979.80,1,-7335.00,-0.82,8505.00,-3.4,5580.00,0.63,7605.00,0.86
5,Entry Long,BUY,2021-02-03 04:15,1029.55,1,18225.00,1.97,26730.00,8.74,18225.00,1.97,5085.00,0.55
5,Exit Long,BUY_TG_HIT,2021-02-03 04:30,1049.80,1,18225.00,1.97,26730.00,8.74,18225.00,1.97,5085.00,0.55
6,Entry Short,SELL,2021-02-03 08:45,1068.00,1,12555.00,1.31,39285.00,5.54,14265.00,1.48,9720.00,1.01
6,Exit Short,INTRADAY_SExit,2021-02-03 09:45,1054.05,1,12555.00,1.31,39285.00,5.54,14265.00,1.48,9720.00,1.01
7,Entry Short,SELL,2021-02-04 07:45,1031.50,1,-3330.00,-0.36,35955.00,-1.39,8055.00,0.87,4365.00,0.47
7,Exit Short,BUY,2021-02-04 09:30,1035.20,1,-3330.00,-0.36,35955.00,-1.39,8055.00,0.87,4365.00,0.47
8,Entry Long,BUY,2021-02-04 09:30,1035.20,1,-90.00,-0.01,35865.00,-0.04,3285.00,0.35,1260.00,0.14
8,Exit Long,INTRADAY_BExit,2021-02-04 09:45,1035.10,1,-90.00,-0.01,35865.00,-0.04,3285.00,0.35,1260.00,0.14
9,Entry Long,BUY,2021-02-05 06:15,1053.50,1,-8955.00,-0.94,26910.00,-3.8,5805.00,0.61,11520.00,1.21
9,Exit Long,BUY_SL_HIT,2021-02-05 07:00,1043.55,1,-8955.00,-0.94,26910.00,-3.8,5805.00,0.61,11520.00,1.21
10,Entry Short,SELL,2021-02-05 07:30,1037.85,1,7740.00,0.83,34650.00,3.41,12420.00,1.33,5535.00,0.59
10,Exit Short,SELL_TG_HIT,2021-02-05 09:30,1029.25,1,7740.00,0.83,34650.00,3.41,12420.00,1.33,5535.00,0.59
11,Entry Short,SELL,2021-02-08 08:00,1040.60,1,990.00,0.11,35640.00,0.42,8100.00,0.86,6300.00,0.67
11,Exit Short,INTRADAY_SExit,2021-02-08 09:45,1039.50,1,990.00,0.11,35640.00,0.42,8100.00,0.86,6300.00,0.67
12,Entry Long,BUY,2021-02-09 05:15,1047.00,1,-9900.00,-1.05,25740.00,-4.2,5220.00,0.55,11295.00,1.2
12,Exit Long,SELL,2021-02-09 08:30,1036.00,1,-9900.00,-1.05,25740.00,-4.2,5220.00,0.55,11295.00,1.2
13,Entry Short,SELL,2021-02-09 08:30,1036.00,1,7335.00,0.79,33075.00,3.25,12960.00,1.39,5580.00,0.6
13,Exit Short,INTRADAY_SExit,2021-02-09 09:45,1027.85,1,7335.00,0.79,33075.00,3.25,12960.00,1.39,5580.00,0.6
14,Entry Long,BUY,2021-02-10 06:30,1026.25,1,-9675.00,-1.05,23400.00,-4.15,0,0,10935.00,1.18
14,Exit Long,BUY_SL_HIT,2021-02-10 08:15,1015.50,1,-9675.00,-1.05,23400.00,-4.15,0,0,10935.00,1.18
15,Entry Long,BUY,2021-02-10 09:15,1022.70,1,4590.00,0.5,27990.00,2.05,4590.00,0.5,8370.00,0.91
15,Exit Long,INTRADAY_BExit,2021-02-10 09:45,1027.80,1,4590.00,0.5,27990.00,2.05,4590.00,0.5,8370.00,0.91
16,Entry Long,BUY,2021-02-11 06:15,1027.85,1,-2475.00,-0.27,25515.00,-1.09,4095.00,0.44,5625.00,0.61
16,Exit Long,INTRADAY_BExit,2021-02-11 09:45,1025.10,1,-2475.00,-0.27,25515.00,-1.09,4095.00,0.44,5625.00,0.61
17,Entry Long,BUY,2021-02-12 05:00,1038.50,1,15525.00,1.66,41040.00,6.88,18090.00,1.94,855.00,0.09
17,Exit Long,BUY_TG_HIT,2021-02-12 05:15,1055.75,1,15525.00,1.66,41040.00,6.88,18090.00,1.94,855.00,0.09
18,Entry Short,SELL,2021-02-12 08:30,1044.65,1,13230.00,1.41,54270.00,5.49,19350.00,2.06,135.00,0.01
18,Exit Short,INTRADAY_SExit,2021-02-12 09:45,1029.95,1,13230.00,1.41,54270.00,5.49,19350.00,2.06,135.00,0.01
19,Entry Short,SELL,2021-02-15 05:00,1050.20,1,-4050.00,-0.43,50220.00,-1.59,4815.00,0.51,5220.00,0.55
19,Exit Short,BUY,2021-02-15 06:00,1054.70,1,-4050.00,-0.43,50220.00,-1.59,4815.00,0.51,5220.00,0.55
20,Entry Long,BUY,2021-02-15 06:00,1054.70,1,10890.00,1.15,61110.00,4.35,11475.00,1.21,2070.00,0.22
20,Exit Long,INTRADAY_BExit,2021-02-15 09:45,1066.80,1,10890.00,1.15,61110.00,4.35,11475.00,1.21,2070.00,0.22
21,Entry Long,BUY,2021-02-16 04:15,1083.85,1,-11565.00,-1.19,49545.00,-4.43,1440.00,0.15,13275.00,1.36
21,Exit Long,BUY_SL_HIT,2021-02-16 04:30,1071.00,1,-11565.00,-1.19,49545.00,-4.43,1440.00,0.15,13275.00,1.36
22,Entry Short,SELL,2021-02-16 05:45,1066.40,1,6930.00,0.72,56475.00,2.78,7605.00,0.79,3240.00,0.34
22,Exit Short,SELL_TG_HIT,2021-02-16 07:15,1058.70,1,6930.00,0.72,56475.00,2.78,7605.00,0.79,3240.00,0.34
23,Entry Short,SELL,2021-02-17 04:15,1048.90,1,10440.00,1.11,66915.00,4.07,13860.00,1.47,3465.00,0.37
23,Exit Short,SELL_TG_HIT,2021-02-17 04:30,1037.30,1,10440.00,1.11,66915.00,4.07,13860.00,1.47,3465.00,0.37
24,Entry Short,SELL,2021-02-17 06:45,1040.30,1,4050.00,0.43,70965.00,1.52,9720.00,1.04,3375.00,0.36
24,Exit Short,INTRADAY_SExit,2021-02-17 09:45,1035.80,1,4050.00,0.43,70965.00,1.52,9720.00,1.04,3375.00,0.36
25,Entry Long,BUY,2021-02-18 08:45,1048.70,1,-585.00,-0.06,70380.00,-0.22,3375.00,0.36,1710.00,0.18
25,Exit Long,INTRADAY_BExit,2021-02-18 09:45,1048.05,1,-585.00,-0.06,70380.00,-0.22,3375.00,0.36,1710.00,0.18
26,Entry Long,BUY,2021-02-19 04:45,1063.00,1,-15075.00,-1.58,55305.00,-5.58,8010.00,0.84,22185.00,2.32
26,Exit Long,SELL,2021-02-19 08:45,1046.25,1,-15075.00,-1.58,55305.00,-5.58,8010.00,0.84,22185.00,2.32
27,Entry Short,SELL,2021-02-19 08:45,1046.25,1,-7875.00,-0.84,47430.00,-3.08,360.00,0.04,9495.00,1.01
27,Exit Short,SELL_SL_HIT,2021-02-19 09:00,1055.00,1,-7875.00,-0.84,47430.00,-3.08,360.00,0.04,9495.00,1.01
28,Entry Short,SELL,2021-02-22 04:30,1053.00,1,12195.00,1.29,59625.00,4.93,13410.00,1.42,10305.00,1.09
28,Exit Short,SELL_TG_HIT,2021-02-22 07:30,1039.45,1,12195.00,1.29,59625.00,4.93,13410.00,1.42,10305.00,1.09
29,Entry Long,BUY,2021-02-23 04:45,1031.30,1,9180.00,0.99,68805.00,3.54,10845.00,1.17,1170.00,0.13
29,Exit Long,BUY_TG_HIT,2021-02-23 05:15,1041.50,1,9180.00,0.99,68805.00,3.54,10845.00,1.17,1170.00,0.13
30,Entry Long,BUY,2021-02-24 04:45,1060.55,1,7920.00,0.83,76725.00,2.95,9630.00,1.01,3420.00,0.36
30,Exit Long,BUY_TG_HIT,2021-02-24 05:45,1069.35,1,7920.00,0.83,76725.00,2.95,9630.00,1.01,3420.00,0.36
31,Entry Long,BUY,2021-02-25 04:15,1113.00,1,8460.00,0.84,85185.00,3.06,13095.00,1.31,6210.00,0.62
31,Exit Long,BUY_TG_HIT,2021-02-25 06:00,1122.40,1,8460.00,0.84,85185.00,3.06,13095.00,1.31,6210.00,0.62
32,Entry Short,SELL,2021-02-25 08:30,1113.00,1,-4590.00,-0.46,80595.00,-1.61,675.00,0.07,6210.00,0.62
32,Exit Short,INTRADAY_SExit,2021-02-25 09:45,1118.10,1,-4590.00,-0.46,80595.00,-1.61,675.00,0.07,6210.00,0.62
33,Entry Long,BUY,2021-02-26 08:30,1067.55,1,8820.00,0.92,89415.00,3.14,10575.00,1.1,2700.00,0.28
33,Exit Long,BUY_TG_HIT,2021-02-26 09:15,1077.35,1,8820.00,0.92,89415.00,3.14,10575.00,1.1,2700.00,0.28
34,Entry Short,SELL,2021-03-01 07:00,1067.00,1,-7200.00,-0.75,82215.00,-2.49,765.00,0.08,11880.00,1.24
34,Exit Short,SELL_SL_HIT,2021-03-01 09:15,1075.00,1,-7200.00,-0.75,82215.00,-2.49,765.00,0.08,11880.00,1.24
