Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-01 10:15,897.35,1,-14445.00,-1.79,-14445.00,-7.22,540.00,0.07,14445.00,1.79
1,Exit Short,INTRADAY_SExit,2021-01-04 09:15,913.40,1,-14445.00,-1.79,-14445.00,-7.22,540.00,0.07,14445.00,1.79
2,Entry Long,BUY,2021-01-04 11:15,898.65,1,8415.00,1.04,-6030.00,4.54,9090.00,1.12,1260.00,0.16
2,Exit Long,BUY_TG_HIT,2021-01-04 13:45,908.00,1,8415.00,1.04,-6030.00,4.54,9090.00,1.12,1260.00,0.16
3,Entry Short,SELL,2021-01-05 10:15,896.10,1,-8820.00,-1.09,-14850.00,-4.55,4320.00,0.54,9360.00,1.16
3,Exit Short,SELL_SL_HIT,2021-01-05 11:15,905.90,1,-8820.00,-1.09,-14850.00,-4.55,4320.00,0.54,9360.00,1.16
4,Entry Long,BUY,2021-01-05 14:45,925.50,1,2835.00,0.34,-12015.00,1.53,2835.00,0.34,1530.00,0.18
4,Exit Long,INTRADAY_BExit,2021-01-06 09:15,928.65,1,2835.00,0.34,-12015.00,1.53,2835.00,0.34,1530.00,0.18
5,Entry Short,SELL,2021-01-11 10:15,937.05,1,13275.00,1.57,1260.00,7.06,13275.00,1.57,2385.00,0.28
5,Exit Short,INTRADAY_SExit,2021-01-12 09:15,922.30,1,13275.00,1.57,1260.00,7.06,13275.00,1.57,2385.00,0.28
6,Entry Long,BUY,2021-01-12 13:15,940.50,1,-3420.00,-0.4,-2160.00,-1.7,1575.00,0.19,12015.00,1.42
6,Exit Long,INTRADAY_BExit,2021-01-13 09:15,936.70,1,-3420.00,-0.4,-2160.00,-1.7,1575.00,0.19,12015.00,1.42
7,Entry Short,SELL,2021-01-18 10:15,941.70,1,10530.00,1.24,8370.00,5.32,12015.00,1.42,0,0
7,Exit Short,SELL_TG_HIT,2021-01-18 11:45,930.00,1,10530.00,1.24,8370.00,5.32,12015.00,1.42,0,0
8,Entry Long,BUY,2021-01-20 11:45,952.50,1,3195.00,0.37,11565.00,1.53,4005.00,0.47,7920.00,0.92
8,Exit Long,INTRADAY_BExit,2021-01-21 09:15,956.05,1,3195.00,0.37,11565.00,1.53,4005.00,0.47,7920.00,0.92
9,Entry Short,SELL,2021-01-21 15:15,923.30,1,-4230.00,-0.51,7335.00,-2,1170.00,0.14,5400.00,0.65
9,Exit Short,INTRADAY_SExit,2021-01-22 09:15,928.00,1,-4230.00,-0.51,7335.00,-2,1170.00,0.14,5400.00,0.65
10,Entry Long,BUY,2021-01-29 10:45,838.25,1,13185.00,1.75,20520.00,6.36,16470.00,2.18,2475.00,0.33
10,Exit Long,BUY_TG_HIT,2021-01-29 12:45,852.90,1,13185.00,1.75,20520.00,6.36,16470.00,2.18,2475.00,0.33
11,Entry Short,SELL,2021-02-04 10:15,1027.30,1,-10980.00,-1.19,9540.00,-4.98,1125.00,0.12,18540.00,2.01
11,Exit Short,SELL_SL_HIT,2021-02-04 12:45,1039.50,1,-10980.00,-1.19,9540.00,-4.98,1125.00,0.12,18540.00,2.01
12,Entry Long,BUY,2021-02-05 10:15,1056.95,1,-10935.00,-1.15,-1395.00,-5.22,4590.00,0.48,23355.00,2.46
12,Exit Long,BUY_SL_HIT,2021-02-05 11:15,1044.80,1,-10935.00,-1.15,-1395.00,-5.22,4590.00,0.48,23355.00,2.46
13,Entry Short,SELL,2021-02-10 10:45,1012.50,1,-8865.00,-0.97,-10260.00,-4.46,225.00,0.02,12780.00,1.4
13,Exit Short,SELL_SL_HIT,2021-02-10 12:45,1022.35,1,-8865.00,-0.97,-10260.00,-4.46,225.00,0.02,12780.00,1.4
14,Entry Long,BUY,2021-02-12 11:15,1053.05,1,-12825.00,-1.35,-23085.00,-6.76,9675.00,1.02,18045.00,1.9
14,Exit Long,BUY_SL_HIT,2021-02-12 14:15,1038.80,1,-12825.00,-1.35,-23085.00,-6.76,9675.00,1.02,18045.00,1.9
15,Entry Short,SELL,2021-02-17 10:45,1049.00,1,12915.00,1.37,-10170.00,7.3,17550.00,1.86,1665.00,0.18
15,Exit Short,SELL_TG_HIT,2021-02-17 13:45,1034.65,1,12915.00,1.37,-10170.00,7.3,17550.00,1.86,1665.00,0.18
16,Entry Long,BUY,2021-02-19 10:45,1065.70,1,-17505.00,-1.83,-27675.00,-9.22,45.00,0,24615.00,2.57
16,Exit Long,BUY_SL_HIT,2021-02-19 14:15,1046.25,1,-17505.00,-1.83,-27675.00,-9.22,45.00,0,24615.00,2.57
17,Entry Short,SELL,2021-02-22 14:15,1025.60,1,-3645.00,-0.39,-31320.00,-2.12,7515.00,0.81,7425.00,0.8
17,Exit Short,INTRADAY_SExit,2021-02-23 09:15,1029.65,1,-3645.00,-0.39,-31320.00,-2.12,7515.00,0.81,7425.00,0.8
18,Entry Long,BUY,2021-02-24 10:45,1058.40,1,9855.00,1.03,-21465.00,5.84,11565.00,1.21,810.00,0.09
18,Exit Long,BUY_TG_HIT,2021-02-24 11:15,1069.35,1,9855.00,1.03,-21465.00,5.84,11565.00,1.21,810.00,0.09
19,Entry Short,SELL,2021-02-26 10:15,1073.00,1,10170.00,1.05,-11295.00,5.7,15255.00,1.58,0,0
19,Exit Short,SELL_TG_HIT,2021-02-26 12:15,1061.70,1,10170.00,1.05,-11295.00,5.7,15255.00,1.58,0,0
20,Entry Long,BUY,2021-03-03 11:15,1091.40,1,13635.00,1.39,2340.00,7.23,13950.00,1.42,2970.00,0.3
20,Exit Long,BUY_TG_HIT,2021-03-03 14:45,1106.55,1,13635.00,1.39,2340.00,7.23,13950.00,1.42,2970.00,0.3
21,Entry Short,SELL,2021-03-04 10:15,1087.90,1,-11340.00,-1.16,-9000.00,-5.6,6210.00,0.63,11655.00,1.19
21,Exit Short,SELL_SL_HIT,2021-03-04 11:45,1100.50,1,-11340.00,-1.16,-9000.00,-5.6,6210.00,0.63,11655.00,1.19
22,Entry Long,BUY,2021-03-04 13:15,1113.05,1,-14445.00,-1.44,-23445.00,-7.56,810.00,0.08,17730.00,1.77
22,Exit Long,BUY_SL_HIT,2021-03-04 15:15,1097.00,1,-14445.00,-1.44,-23445.00,-7.56,810.00,0.08,17730.00,1.77
23,Entry Short,SELL,2021-03-05 10:15,1068.35,1,16470.00,1.71,-6975.00,9.33,17865.00,1.86,180.00,0.02
23,Exit Short,SELL_TG_HIT,2021-03-05 10:45,1050.05,1,16470.00,1.71,-6975.00,9.33,17865.00,1.86,180.00,0.02
24,Entry Long,BUY,2021-03-10 10:15,1049.30,1,6390.00,0.68,-585.00,3.31,6390.00,0.68,10215.00,1.08
24,Exit Long,INTRADAY_BExit,2021-03-12 09:15,1056.40,1,6390.00,0.68,-585.00,3.31,6390.00,0.68,10215.00,1.08
25,Entry Short,SELL,2021-03-12 14:15,1025.35,1,-2250.00,-0.24,-2835.00,-1.13,6840.00,0.74,5040.00,0.55
25,Exit Short,INTRADAY_SExit,2021-03-15 09:15,1027.85,1,-2250.00,-0.24,-2835.00,-1.13,6840.00,0.74,5040.00,0.55
26,Entry Long,BUY,2021-03-16 10:15,1040.80,1,-6030.00,-0.64,-8865.00,-3.06,7380.00,0.79,8190.00,0.87
26,Exit Long,INTRADAY_BExit,2021-03-17 09:15,1034.10,1,-6030.00,-0.64,-8865.00,-3.06,7380.00,0.79,8190.00,0.87
