Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-15 04:55,1053.75,1,-2340.00,-0.25,-2340.00,-1.17,8010.00,0.84,3690.00,0.39
1,Exit Short,BUY,2021-02-15 06:15,1056.35,1,-2340.00,-0.25,-2340.00,-1.17,8010.00,0.84,3690.00,0.39
2,Entry Long,BUY,2021-02-15 06:15,1056.35,1,-450.00,-0.05,-2790.00,-0.23,5445.00,0.57,3555.00,0.37
2,Exit Long,INTRADAY_BExit,2021-02-15 09:35,1055.85,1,-450.00,-0.05,-2790.00,-0.23,5445.00,0.57,3555.00,0.37
3,Entry Short,SELL,2021-02-16 04:10,1084.55,1,13230.00,1.36,10440.00,6.71,13905.00,1.42,1575.00,0.16
3,Exit Short,SELL_TG_HIT,2021-02-16 04:25,1069.85,1,13230.00,1.36,10440.00,6.71,13905.00,1.42,1575.00,0.16
4,Entry Short,SELL,2021-02-16 04:30,1071.00,1,7020.00,0.73,17460.00,3.34,9900.00,1.03,9000.00,0.93
4,Exit Short,SELL_TG_HIT,2021-02-16 05:55,1063.20,1,7020.00,0.73,17460.00,3.34,9900.00,1.03,9000.00,0.93
5,Entry Short,SELL,2021-02-17 04:10,1046.85,1,9495.00,1.01,26955.00,4.37,9765.00,1.04,5310.00,0.56
5,Exit Short,SELL_TG_HIT,2021-02-17 04:25,1036.30,1,9495.00,1.01,26955.00,4.37,9765.00,1.04,5310.00,0.56
6,Entry Short,SELL,2021-02-18 04:10,1035.85,1,-7110.00,-0.76,19845.00,-3.13,1035.00,0.11,8505.00,0.91
6,Exit Short,SELL_SL_HIT,2021-02-18 04:50,1043.75,1,-7110.00,-0.76,19845.00,-3.13,1035.00,0.11,8505.00,0.91
7,Entry Long,BUY,2021-02-18 04:55,1045.85,1,-2160.00,-0.23,17685.00,-0.98,11295.00,1.2,3555.00,0.38
7,Exit Long,SELL,2021-02-18 06:15,1043.45,1,-2160.00,-0.23,17685.00,-0.98,11295.00,1.2,3555.00,0.38
8,Entry Short,SELL,2021-02-18 06:15,1043.45,1,-4995.00,-0.53,12690.00,-2.29,1350.00,0.14,5850.00,0.62
8,Exit Short,BUY,2021-02-18 06:35,1049.00,1,-4995.00,-0.53,12690.00,-2.29,1350.00,0.14,5850.00,0.62
9,Entry Long,BUY,2021-02-18 06:35,1049.00,1,-6300.00,-0.67,6390.00,-2.96,270.00,0.03,7110.00,0.75
9,Exit Long,BUY_SL_HIT,2021-02-18 06:50,1042.00,1,-6300.00,-0.67,6390.00,-2.96,270.00,0.03,7110.00,0.75
10,Entry Short,SELL,2021-02-18 06:55,1041.10,1,-6840.00,-0.73,-450.00,-3.31,3330.00,0.36,6840.00,0.73
10,Exit Short,BUY,2021-02-18 08:45,1048.70,1,-6840.00,-0.73,-450.00,-3.31,3330.00,0.36,6840.00,0.73
11,Entry Long,BUY,2021-02-18 08:45,1048.70,1,450.00,0.05,0,0.23,3375.00,0.36,1710.00,0.18
11,Exit Long,INTRADAY_BExit,2021-02-18 09:35,1049.20,1,450.00,0.05,0,0.23,3375.00,0.36,1710.00,0.18
12,Entry Short,SELL,2021-02-19 04:05,1046.40,1,-4590.00,-0.49,-4590.00,-2.3,1710.00,0.18,5940.00,0.63
12,Exit Short,BUY,2021-02-19 04:15,1051.50,1,-4590.00,-0.49,-4590.00,-2.3,1710.00,0.18,5940.00,0.63
13,Entry Long,BUY,2021-02-19 04:15,1051.50,1,10350.00,1.09,5760.00,5.3,11520.00,1.22,5985.00,0.63
13,Exit Long,BUY_TG_HIT,2021-02-19 04:45,1063.00,1,10350.00,1.09,5760.00,5.3,11520.00,1.22,5985.00,0.63
14,Entry Short,SELL,2021-02-19 08:40,1039.50,1,-12645.00,-1.35,-6885.00,-6.15,1035.00,0.11,12870.00,1.38
14,Exit Short,SELL_SL_HIT,2021-02-19 08:50,1053.55,1,-12645.00,-1.35,-6885.00,-6.15,1035.00,0.11,12870.00,1.38
