Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-01 05:30,921.70,100,2615.00,2.84,2615.00,2.62,2730.00,2.96,290.00,0.31
1,Exit Long,BUY_TG_HIT,2021-02-01 07:30,947.85,100,2615.00,2.84,2615.00,2.62,2730.00,2.96,290.00,0.31
2,Entry Short,SELL,2021-02-01 08:45,939.45,100,-2005.00,-2.13,610.00,-1.95,330.00,0.35,2155.00,2.29
2,Exit Short,BUY,2021-02-01 09:15,959.50,100,-2005.00,-2.13,610.00,-1.95,330.00,0.35,2155.00,2.29
3,Entry Long,BUY,2021-02-01 09:15,959.50,100,1350.00,1.41,1960.00,1.34,1350.00,1.41,615.00,0.64
3,Exit Long,INTRADAY_BExit,2021-02-01 09:45,973.00,100,1350.00,1.41,1960.00,1.34,1350.00,1.41,615.00,0.64
4,Entry Long,BUY,2021-02-02 04:15,984.25,100,-2025.00,-2.06,-65.00,-1.99,0,0,2590.00,2.63
4,Exit Long,SELL,2021-02-02 05:00,964.00,100,-2025.00,-2.06,-65.00,-1.99,0,0,2590.00,2.63
5,Entry Short,SELL,2021-02-02 05:00,964.00,100,-1840.00,-1.91,-1905.00,-1.84,1470.00,1.52,1850.00,1.92
5,Exit Short,BUY,2021-02-02 08:45,982.40,100,-1840.00,-1.91,-1905.00,-1.84,1470.00,1.52,1850.00,1.92
6,Entry Long,BUY,2021-02-02 08:45,982.40,100,-645.00,-0.66,-2550.00,-0.66,630.00,0.64,775.00,0.79
6,Exit Long,INTRADAY_BExit,2021-02-02 09:45,975.95,100,-645.00,-0.66,-2550.00,-0.66,630.00,0.64,775.00,0.79
7,Entry Long,BUY,2021-02-03 04:15,1023.90,100,3465.00,3.38,915.00,3.56,4555.00,4.45,585.00,0.57
7,Exit Long,BUY_TG_HIT,2021-02-03 04:45,1058.55,100,3465.00,3.38,915.00,3.56,4555.00,4.45,585.00,0.57
8,Entry Short,SELL,2021-02-03 07:00,1050.40,100,-2780.00,-2.65,-1865.00,-2.75,20.00,0.02,2855.00,2.72
8,Exit Short,BUY,2021-02-03 08:15,1078.20,100,-2780.00,-2.65,-1865.00,-2.75,20.00,0.02,2855.00,2.72
9,Entry Long,BUY,2021-02-03 08:15,1078.20,100,-1560.00,-1.45,-3425.00,-1.59,260.00,0.24,1755.00,1.63
9,Exit Long,SELL,2021-02-03 08:45,1062.60,100,-1560.00,-1.45,-3425.00,-1.59,260.00,0.24,1755.00,1.63
10,Entry Short,SELL,2021-02-03 08:45,1062.60,100,1455.00,1.37,-1970.00,1.51,1710.00,1.61,925.00,0.87
10,Exit Short,INTRADAY_SExit,2021-02-03 09:45,1048.05,100,1455.00,1.37,-1970.00,1.51,1710.00,1.61,925.00,0.87
11,Entry Short,SELL,2021-02-04 07:30,1026.80,100,-425.00,-0.41,-2395.00,-0.43,980.00,0.95,720.00,0.7
11,Exit Short,INTRADAY_SExit,2021-02-04 09:45,1031.05,100,-425.00,-0.41,-2395.00,-0.43,980.00,0.95,720.00,0.7
12,Entry Long,BUY,2021-02-05 04:15,1062.30,100,-2675.00,-2.52,-5070.00,-2.74,350.00,0.33,3465.00,3.26
12,Exit Long,BUY_SL_HIT,2021-02-05 05:30,1035.55,100,-2675.00,-2.52,-5070.00,-2.74,350.00,0.33,3465.00,3.26
13,Entry Long,BUY,2021-02-05 06:15,1050.10,100,-1600.00,-1.52,-6670.00,-1.69,635.00,0.6,1825.00,1.74
13,Exit Long,SELL,2021-02-05 07:30,1034.10,100,-1600.00,-1.52,-6670.00,-1.69,635.00,0.6,1825.00,1.74
14,Entry Short,SELL,2021-02-05 07:30,1034.10,100,1020.00,0.99,-5650.00,1.09,1780.00,1.72,590.00,0.57
14,Exit Short,INTRADAY_SExit,2021-02-05 09:45,1023.90,100,1020.00,0.99,-5650.00,1.09,1780.00,1.72,590.00,0.57
15,Entry Short,SELL,2021-02-08 08:00,1037.70,100,250.00,0.24,-5400.00,0.26,970.00,0.93,530.00,0.51
15,Exit Short,INTRADAY_SExit,2021-02-08 09:45,1035.20,100,250.00,0.24,-5400.00,0.26,970.00,0.93,530.00,0.51
16,Entry Short,SELL,2021-02-09 04:15,1026.50,100,-1560.00,-1.52,-6960.00,-1.65,550.00,0.54,1790.00,1.74
16,Exit Short,BUY,2021-02-09 05:15,1042.10,100,-1560.00,-1.52,-6960.00,-1.65,550.00,0.54,1790.00,1.74
17,Entry Long,BUY,2021-02-09 05:15,1042.10,100,-935.00,-0.9,-7895.00,-1,650.00,0.62,1040.00,1
17,Exit Long,SELL,2021-02-09 08:30,1032.75,100,-935.00,-0.9,-7895.00,-1,650.00,0.62,1040.00,1
18,Entry Short,SELL,2021-02-09 08:30,1032.75,100,730.00,0.71,-7165.00,0.79,1275.00,1.23,630.00,0.61
18,Exit Short,INTRADAY_SExit,2021-02-09 09:45,1025.45,100,730.00,0.71,-7165.00,0.79,1275.00,1.23,630.00,0.61
19,Entry Long,BUY,2021-02-10 06:30,1019.60,100,230.00,0.23,-6935.00,0.25,230.00,0.23,1195.00,1.17
19,Exit Long,INTRADAY_BExit,2021-02-10 09:45,1021.90,100,230.00,0.23,-6935.00,0.25,230.00,0.23,1195.00,1.17
20,Entry Long,BUY,2021-02-11 06:15,1024.80,100,-350.00,-0.34,-7285.00,-0.38,370.00,0.36,580.00,0.57
20,Exit Long,INTRADAY_BExit,2021-02-11 09:45,1021.30,100,-350.00,-0.34,-7285.00,-0.38,370.00,0.36,580.00,0.57
21,Entry Long,BUY,2021-02-12 05:00,1034.30,100,2180.00,2.11,-5105.00,2.35,2520.00,2.44,95.00,0.09
21,Exit Long,BUY_TG_HIT,2021-02-12 06:15,1056.10,100,2180.00,2.11,-5105.00,2.35,2520.00,2.44,95.00,0.09
22,Entry Long,BUY,2021-02-12 07:45,1054.80,100,-1295.00,-1.23,-6400.00,-1.36,375.00,0.36,1380.00,1.31
22,Exit Long,SELL,2021-02-12 08:30,1041.85,100,-1295.00,-1.23,-6400.00,-1.36,375.00,0.36,1380.00,1.31
23,Entry Short,SELL,2021-02-12 08:30,1041.85,100,1485.00,1.43,-4915.00,1.59,2045.00,1.96,15.00,0.01
23,Exit Short,INTRADAY_SExit,2021-02-12 09:45,1027.00,100,1485.00,1.43,-4915.00,1.59,2045.00,1.96,15.00,0.01
24,Entry Short,SELL,2021-02-15 05:15,1044.15,100,-690.00,-0.66,-5605.00,-0.73,285.00,0.27,850.00,0.81
24,Exit Short,BUY,2021-02-15 06:00,1051.05,100,-690.00,-0.66,-5605.00,-0.73,285.00,0.27,850.00,0.81
25,Entry Long,BUY,2021-02-15 06:00,1051.05,100,20.00,0.02,-5585.00,0.02,695.00,0.66,285.00,0.27
25,Exit Long,SELL,2021-02-15 09:00,1051.25,100,20.00,0.02,-5585.00,0.02,695.00,0.66,285.00,0.27
26,Entry Short,SELL,2021-02-15 09:00,1051.25,100,-1080.00,-1.03,-6665.00,-1.14,195.00,0.19,1175.00,1.12
26,Exit Short,INTRADAY_SExit,2021-02-15 09:45,1062.05,100,-1080.00,-1.03,-6665.00,-1.14,195.00,0.19,1175.00,1.12
27,Entry Long,BUY,2021-02-16 04:15,1082.05,100,-1705.00,-1.58,-8370.00,-1.83,140.00,0.13,1945.00,1.8
27,Exit Long,SELL,2021-02-16 05:45,1065.00,100,-1705.00,-1.58,-8370.00,-1.83,140.00,0.13,1945.00,1.8
28,Entry Short,SELL,2021-02-16 05:45,1065.00,100,505.00,0.47,-7865.00,0.55,2390.00,2.24,265.00,0.25
28,Exit Short,INTRADAY_SExit,2021-02-16 09:45,1059.95,100,505.00,0.47,-7865.00,0.55,2390.00,2.24,265.00,0.25
29,Entry Short,SELL,2021-02-17 04:15,1048.65,100,1305.00,1.24,-6560.00,1.42,2245.00,2.14,375.00,0.36
29,Exit Short,INTRADAY_SExit,2021-02-17 09:45,1035.60,100,1305.00,1.24,-6560.00,1.42,2245.00,2.14,375.00,0.36
30,Entry Long,BUY,2021-02-18 08:45,1046.00,100,120.00,0.11,-6440.00,0.13,350.00,0.33,180.00,0.17
30,Exit Long,INTRADAY_BExit,2021-02-18 09:45,1047.20,100,120.00,0.11,-6440.00,0.13,350.00,0.33,180.00,0.17
31,Entry Long,BUY,2021-02-19 04:45,1062.00,100,-475.00,-0.45,-6915.00,-0.51,790.00,0.74,645.00,0.61
31,Exit Long,SELL,2021-02-19 08:00,1057.25,100,-475.00,-0.45,-6915.00,-0.51,790.00,0.74,645.00,0.61
32,Entry Short,SELL,2021-02-19 08:00,1057.25,100,-1575.00,-1.49,-8490.00,-1.69,1825.00,1.73,1715.00,1.62
32,Exit Short,INTRADAY_SExit,2021-02-19 09:45,1073.00,100,-1575.00,-1.49,-8490.00,-1.69,1825.00,1.73,1715.00,1.62
33,Entry Short,SELL,2021-02-22 04:30,1051.90,100,2575.00,2.45,-5915.00,2.81,2675.00,2.54,1110.00,1.06
33,Exit Short,SELL_TG_HIT,2021-02-22 08:15,1026.15,100,2575.00,2.45,-5915.00,2.81,2675.00,2.54,1110.00,1.06
34,Entry Long,BUY,2021-02-23 04:45,1032.40,100,1745.00,1.69,-4170.00,1.85,2155.00,2.09,180.00,0.17
34,Exit Long,INTRADAY_BExit,2021-02-23 09:45,1049.85,100,1745.00,1.69,-4170.00,1.85,2155.00,2.09,180.00,0.17
35,Entry Long,BUY,2021-02-25 04:15,1106.45,100,40.00,0.04,-4130.00,0.04,1305.00,1.18,760.00,0.69
35,Exit Long,SELL,2021-02-25 07:30,1106.85,100,40.00,0.04,-4130.00,0.04,1305.00,1.18,760.00,0.69
36,Entry Short,SELL,2021-02-25 07:30,1106.85,100,-320.00,-0.29,-4450.00,-0.33,255.00,0.23,565.00,0.51
36,Exit Short,INTRADAY_SExit,2021-02-25 09:45,1110.05,100,-320.00,-0.29,-4450.00,-0.33,255.00,0.23,565.00,0.51
37,Entry Long,BUY,2021-02-26 08:45,1068.60,100,-445.00,-0.42,-4895.00,-0.47,710.00,0.66,810.00,0.76
37,Exit Long,INTRADAY_BExit,2021-02-26 09:45,1064.15,100,-445.00,-0.42,-4895.00,-0.47,710.00,0.66,810.00,0.76
38,Entry Long,BUY,2021-03-01 07:45,1072.35,100,-575.00,-0.54,-5470.00,-0.6,370.00,0.35,735.00,0.69
38,Exit Long,SELL,2021-03-01 09:30,1066.60,100,-575.00,-0.54,-5470.00,-0.6,370.00,0.35,735.00,0.69
39,Entry Short,SELL,2021-03-01 09:30,1066.60,100,-275.00,-0.26,-5745.00,-0.29,45.00,0.04,365.00,0.34
39,Exit Short,INTRADAY_SExit,2021-03-01 09:45,1069.35,100,-275.00,-0.26,-5745.00,-0.29,45.00,0.04,365.00,0.34
40,Entry Long,BUY,2021-03-02 04:15,1077.35,100,-1035.00,-0.96,-6780.00,-1.1,160.00,0.15,1220.00,1.13
40,Exit Long,SELL,2021-03-02 05:45,1067.00,100,-1035.00,-0.96,-6780.00,-1.1,160.00,0.15,1220.00,1.13
41,Entry Short,SELL,2021-03-02 05:45,1067.00,100,-350.00,-0.33,-7130.00,-0.38,700.00,0.66,615.00,0.58
