Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 09:45,897.60,100,220.00,0.25,220.00,0.22,640.00,0.71,260.00,0.29
1,Exit Long,INTRADAY_BExit,2021-01-01 15:15,899.80,100,220.00,0.25,220.00,0.22,640.00,0.71,260.00,0.29
2,Entry Short,SELL,2021-01-04 10:15,906.45,100,410.00,0.45,630.00,0.41,1900.00,2.1,345.00,0.38
2,Exit Short,BUY,2021-01-04 12:45,902.35,100,410.00,0.45,630.00,0.41,1900.00,2.1,345.00,0.38
3,Entry Long,BUY,2021-01-04 12:45,902.35,100,-280.00,-0.31,350.00,-0.28,325.00,0.36,330.00,0.37
3,Exit Long,SELL,2021-01-04 14:15,899.55,100,-280.00,-0.31,350.00,-0.28,325.00,0.36,330.00,0.37
4,Entry Short,SELL,2021-01-04 14:15,899.55,100,155.00,0.17,505.00,0.15,405.00,0.45,180.00,0.2
4,Exit Short,INTRADAY_SExit,2021-01-04 15:15,898.00,100,155.00,0.17,505.00,0.15,405.00,0.45,180.00,0.2
5,Entry Long,BUY,2021-01-05 11:00,895.50,100,1860.00,2.08,2365.00,1.85,1930.00,2.16,10.00,0.01
5,Exit Long,BUY_TG_HIT,2021-01-05 14:00,914.10,100,1860.00,2.08,2365.00,1.85,1930.00,2.16,10.00,0.01
6,Entry Short,SELL,2021-01-05 15:00,920.00,100,-95.00,-0.1,2270.00,-0.09,40.00,0.04,200.00,0.22
6,Exit Short,INTRADAY_SExit,2021-01-05 15:15,920.95,100,-95.00,-0.1,2270.00,-0.09,40.00,0.04,200.00,0.22
7,Entry Long,BUY,2021-01-06 09:45,926.50,100,495.00,0.53,2765.00,0.48,1025.00,1.11,450.00,0.49
7,Exit Long,SELL,2021-01-06 13:15,931.45,100,495.00,0.53,2765.00,0.48,1025.00,1.11,450.00,0.49
8,Entry Short,SELL,2021-01-06 13:15,931.45,100,845.00,0.91,3610.00,0.82,2205.00,2.37,95.00,0.1
8,Exit Short,BUY,2021-01-06 14:45,923.00,100,845.00,0.91,3610.00,0.82,2205.00,2.37,95.00,0.1
9,Entry Long,BUY,2021-01-06 14:45,923.00,100,60.00,0.07,3670.00,0.06,450.00,0.49,70.00,0.08
9,Exit Long,INTRADAY_BExit,2021-01-06 15:15,923.60,100,60.00,0.07,3670.00,0.06,450.00,0.49,70.00,0.08
10,Entry Long,BUY,2021-01-07 09:45,941.00,100,880.00,0.94,4550.00,0.85,2065.00,2.19,465.00,0.49
10,Exit Long,SELL,2021-01-07 13:45,949.80,100,880.00,0.94,4550.00,0.85,2065.00,2.19,465.00,0.49
