Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-01 04:15,897.60,100,-270.00,-0.3,-270.00,-0.27,260.00,0.29,390.00,0.43
1,Exit Short,BUY,2021-01-01 05:30,900.30,100,-270.00,-0.3,-270.00,-0.27,260.00,0.29,390.00,0.43
2,Entry Long,BUY,2021-01-01 05:30,900.30,100,-50.00,-0.06,-320.00,-0.05,370.00,0.41,365.00,0.41
2,Exit Long,INTRADAY_BExit,2021-01-01 09:45,899.80,100,-50.00,-0.06,-320.00,-0.05,370.00,0.41,365.00,0.41
3,Entry Long,BUY,2021-01-04 04:15,908.20,100,-175.00,-0.19,-495.00,-0.18,140.00,0.15,260.00,0.29
3,Exit Long,SELL,2021-01-04 04:45,906.45,100,-175.00,-0.19,-495.00,-0.18,140.00,0.15,260.00,0.29
4,Entry Short,SELL,2021-01-04 04:45,906.45,100,845.00,0.93,350.00,0.85,1900.00,2.1,345.00,0.38
4,Exit Short,INTRADAY_SExit,2021-01-04 09:45,898.00,100,845.00,0.93,350.00,0.85,1900.00,2.1,345.00,0.38
5,Entry Long,BUY,2021-01-05 04:15,893.60,100,80.00,0.09,430.00,0.08,540.00,0.6,15.00,0.02
5,Exit Long,SELL,2021-01-05 04:30,894.40,100,80.00,0.09,430.00,0.08,540.00,0.6,15.00,0.02
6,Entry Short,SELL,2021-01-05 04:30,894.40,100,-1410.00,-1.58,-980.00,-1.4,540.00,0.6,1550.00,1.73
6,Exit Short,BUY,2021-01-05 06:00,908.50,100,-1410.00,-1.58,-980.00,-1.4,540.00,0.6,1550.00,1.73
7,Entry Long,BUY,2021-01-05 06:00,908.50,100,1245.00,1.37,265.00,1.26,1885.00,2.07,740.00,0.81
7,Exit Long,INTRADAY_BExit,2021-01-05 09:45,920.95,100,1245.00,1.37,265.00,1.26,1885.00,2.07,740.00,0.81
8,Entry Long,BUY,2021-01-06 05:30,927.30,100,-775.00,-0.84,-510.00,-0.77,945.00,1.02,1530.00,1.65
