Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-15 06:55,1318.00,1,1890.00,0.48,1890.00,0.95,2175.00,0.55,285.00,0.07
1,Exit Short,SELL_TG_HIT,2021-02-15 08:45,1311.70,1,1890.00,0.48,1890.00,0.95,2175.00,0.55,285.00,0.07
2,Entry Short,SELL,2021-02-15 09:05,1312.20,1,600.00,0.15,2490.00,0.3,1200.00,0.3,510.00,0.13
2,Exit Short,INTRADAY_SExit,2021-02-15 09:35,1310.20,1,600.00,0.15,2490.00,0.3,1200.00,0.3,510.00,0.13
3,Entry Long,BUY,2021-02-16 04:05,1314.70,1,-1410.00,-0.36,1080.00,-0.7,1785.00,0.45,1815.00,0.46
3,Exit Long,SELL,2021-02-16 04:50,1310.00,1,-1410.00,-0.36,1080.00,-0.7,1785.00,0.45,1815.00,0.46
4,Entry Short,SELL,2021-02-16 04:50,1310.00,1,3210.00,0.82,4290.00,1.6,3405.00,0.87,1170.00,0.3
4,Exit Short,SELL_TG_HIT,2021-02-16 07:00,1299.30,1,3210.00,0.82,4290.00,1.6,3405.00,0.87,1170.00,0.3
5,Entry Long,BUY,2021-02-16 08:00,1300.60,1,-1635.00,-0.42,2655.00,-0.8,330.00,0.08,1815.00,0.47
5,Exit Long,SELL,2021-02-16 08:25,1295.15,1,-1635.00,-0.42,2655.00,-0.8,330.00,0.08,1815.00,0.47
6,Entry Short,SELL,2021-02-16 08:25,1295.15,1,495.00,0.13,3150.00,0.24,1230.00,0.32,525.00,0.14
6,Exit Short,INTRADAY_SExit,2021-02-16 09:35,1293.50,1,495.00,0.13,3150.00,0.24,1230.00,0.32,525.00,0.14
7,Entry Short,SELL,2021-02-17 04:05,1284.85,1,-1275.00,-0.33,1875.00,-0.63,1410.00,0.37,1905.00,0.49
7,Exit Short,BUY,2021-02-17 04:45,1289.10,1,-1275.00,-0.33,1875.00,-0.63,1410.00,0.37,1905.00,0.49
8,Entry Long,BUY,2021-02-17 04:45,1289.10,1,-1470.00,-0.38,405.00,-0.73,0,0,1470.00,0.38
8,Exit Long,SELL,2021-02-17 05:10,1284.20,1,-1470.00,-0.38,405.00,-0.73,0,0,1470.00,0.38
9,Entry Short,SELL,2021-02-17 05:10,1284.20,1,-1500.00,-0.39,-1095.00,-0.75,255.00,0.07,1575.00,0.41
9,Exit Short,BUY,2021-02-17 05:30,1289.20,1,-1500.00,-0.39,-1095.00,-0.75,255.00,0.07,1575.00,0.41
