Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 09:45,1265.80,1,-1500.00,-0.4,-1500.00,-0.75,660.00,0.17,1710.00,0.45
1,Exit Long,INTRADAY_BExit,2021-01-01 15:15,1260.80,1,-1500.00,-0.4,-1500.00,-0.75,660.00,0.17,1710.00,0.45
2,Entry Short,SELL,2021-01-06 13:30,1288.30,1,3510.00,0.91,2010.00,1.77,5115.00,1.32,765.00,0.2
2,Exit Short,SELL_TG_HIT,2021-01-06 14:15,1276.60,1,3510.00,0.91,2010.00,1.77,5115.00,1.32,765.00,0.2
3,Entry Long,BUY,2021-01-08 09:45,1290.85,1,4395.00,1.13,6405.00,2.18,4545.00,1.17,1590.00,0.41
3,Exit Long,BUY_TG_HIT,2021-01-08 14:00,1305.50,1,4395.00,1.13,6405.00,2.18,4545.00,1.17,1590.00,0.41
4,Entry Short,SELL,2021-01-13 10:00,1377.00,1,-690.00,-0.17,5715.00,-0.33,1050.00,0.25,3600.00,0.87
4,Exit Short,BUY,2021-01-13 10:45,1379.30,1,-690.00,-0.17,5715.00,-0.33,1050.00,0.25,3600.00,0.87
5,Entry Long,BUY,2021-01-13 10:45,1379.30,1,4020.00,0.97,9735.00,1.95,4845.00,1.17,390.00,0.09
5,Exit Long,BUY_TG_HIT,2021-01-13 13:00,1392.70,1,4020.00,0.97,9735.00,1.95,4845.00,1.17,390.00,0.09
6,Entry Short,SELL,2021-01-14 09:45,1347.35,1,-3885.00,-0.96,5850.00,-1.85,4245.00,1.05,5295.00,1.31
6,Exit Short,SELL_SL_HIT,2021-01-14 11:00,1360.30,1,-3885.00,-0.96,5850.00,-1.85,4245.00,1.05,5295.00,1.31
7,Entry Long,BUY,2021-01-20 09:45,1345.60,1,-1665.00,-0.41,4185.00,-0.81,1905.00,0.47,3480.00,0.86
7,Exit Long,INTRADAY_BExit,2021-01-20 15:15,1340.05,1,-1665.00,-0.41,4185.00,-0.81,1905.00,0.47,3480.00,0.86
8,Entry Short,SELL,2021-01-22 09:45,1344.80,1,-1350.00,-0.33,2835.00,-0.66,1545.00,0.38,2910.00,0.72
8,Exit Short,BUY,2021-01-22 12:15,1349.30,1,-1350.00,-0.33,2835.00,-0.66,1545.00,0.38,2910.00,0.72
9,Entry Long,BUY,2021-01-22 12:15,1349.30,1,-2865.00,-0.71,-30.00,-1.41,540.00,0.13,3345.00,0.83
9,Exit Long,INTRADAY_BExit,2021-01-22 15:15,1339.75,1,-2865.00,-0.71,-30.00,-1.41,540.00,0.13,3345.00,0.83
10,Entry Short,SELL,2021-01-25 09:45,1339.90,1,6060.00,1.51,6030.00,3.03,8070.00,2.01,1980.00,0.49
10,Exit Short,INTRADAY_SExit,2021-01-25 15:15,1319.70,1,6060.00,1.51,6030.00,3.03,8070.00,2.01,1980.00,0.49
11,Entry Long,BUY,2021-02-01 13:15,1250.50,1,4065.00,1.08,10095.00,1.97,4770.00,1.27,1035.00,0.28
11,Exit Long,BUY_TG_HIT,2021-02-01 14:30,1264.05,1,4065.00,1.08,10095.00,1.97,4770.00,1.27,1035.00,0.28
12,Entry Short,SELL,2021-02-04 09:45,1288.25,1,1980.00,0.51,12075.00,0.94,3975.00,1.03,450.00,0.12
12,Exit Short,INTRADAY_SExit,2021-02-04 15:15,1281.65,1,1980.00,0.51,12075.00,0.94,3975.00,1.03,450.00,0.12
13,Entry Long,BUY,2021-02-08 09:45,1284.90,1,4830.00,1.25,16905.00,2.28,5385.00,1.4,1170.00,0.3
13,Exit Long,BUY_TG_HIT,2021-02-08 12:45,1301.00,1,4830.00,1.25,16905.00,2.28,5385.00,1.4,1170.00,0.3
14,Entry Short,SELL,2021-02-10 09:45,1303.95,1,3945.00,1.01,20850.00,1.82,3945.00,1.01,75.00,0.02
14,Exit Short,SELL_TG_HIT,2021-02-10 10:30,1290.80,1,3945.00,1.01,20850.00,1.82,3945.00,1.01,75.00,0.02
15,Entry Long,BUY,2021-02-12 09:45,1327.20,1,-3780.00,-0.95,17070.00,-1.71,15.00,0,3990.00,1
15,Exit Long,BUY_SL_HIT,2021-02-12 10:30,1314.60,1,-3780.00,-0.95,17070.00,-1.71,15.00,0,3990.00,1
16,Entry Short,SELL,2021-02-12 11:45,1312.40,1,315.00,0.08,17385.00,0.15,1965.00,0.5,1980.00,0.5
16,Exit Short,INTRADAY_SExit,2021-02-12 15:15,1311.35,1,315.00,0.08,17385.00,0.15,1965.00,0.5,1980.00,0.5
17,Entry Long,BUY,2021-02-15 10:00,1327.20,1,-3630.00,-0.91,13755.00,-1.67,540.00,0.14,3960.00,0.99
17,Exit Long,BUY_SL_HIT,2021-02-15 12:45,1315.10,1,-3630.00,-0.91,13755.00,-1.67,540.00,0.14,3960.00,0.99
18,Entry Short,SELL,2021-02-16 09:45,1319.00,1,4320.00,1.09,18075.00,2.02,4590.00,1.16,30.00,0.01
18,Exit Short,SELL_TG_HIT,2021-02-16 11:30,1304.60,1,4320.00,1.09,18075.00,2.02,4590.00,1.16,30.00,0.01
19,Entry Long,BUY,2021-02-18 09:45,1304.45,1,-3435.00,-0.88,14640.00,-1.58,360.00,0.09,3645.00,0.93
19,Exit Long,BUY_SL_HIT,2021-02-18 11:00,1293.00,1,-3435.00,-0.88,14640.00,-1.58,360.00,0.09,3645.00,0.93
20,Entry Short,SELL,2021-02-18 12:00,1286.05,1,-1800.00,-0.47,12840.00,-0.84,1470.00,0.38,2625.00,0.68
20,Exit Short,INTRADAY_SExit,2021-02-18 15:15,1292.05,1,-1800.00,-0.47,12840.00,-0.84,1470.00,0.38,2625.00,0.68
21,Entry Long,BUY,2021-02-22 09:45,1300.45,1,-4260.00,-1.09,8580.00,-2,225.00,0.06,4260.00,1.09
21,Exit Long,BUY_SL_HIT,2021-02-22 11:45,1286.25,1,-4260.00,-1.09,8580.00,-2,225.00,0.06,4260.00,1.09
22,Entry Short,SELL,2021-02-22 12:30,1275.55,1,2895.00,0.76,11475.00,1.39,3795.00,0.99,1215.00,0.32
22,Exit Short,INTRADAY_SExit,2021-02-22 15:15,1265.90,1,2895.00,0.76,11475.00,1.39,3795.00,0.99,1215.00,0.32
23,Entry Long,BUY,2021-02-23 11:00,1283.30,1,-3690.00,-0.96,7785.00,-1.74,1680.00,0.44,4140.00,1.08
23,Exit Long,BUY_SL_HIT,2021-02-23 13:00,1271.00,1,-3690.00,-0.96,7785.00,-1.74,1680.00,0.44,4140.00,1.08
24,Entry Short,SELL,2021-02-24 09:45,1259.45,1,-4710.00,-1.25,3075.00,-2.27,15.00,0,4815.00,1.27
24,Exit Short,SELL_SL_HIT,2021-02-24 10:15,1275.15,1,-4710.00,-1.25,3075.00,-2.27,15.00,0,4815.00,1.27
25,Entry Long,BUY,2021-02-25 09:45,1296.90,1,-4620.00,-1.19,-1545.00,-2.28,2730.00,0.7,4620.00,1.19
25,Exit Long,INTRADAY_BExit,2021-02-25 15:15,1281.50,1,-4620.00,-1.19,-1545.00,-2.28,2730.00,0.7,4620.00,1.19
26,Entry Short,SELL,2021-02-26 09:45,1270.95,1,4320.00,1.13,2775.00,2.18,5115.00,1.34,915.00,0.24
26,Exit Short,SELL_TG_HIT,2021-02-26 11:15,1256.55,1,4320.00,1.13,2775.00,2.18,5115.00,1.34,915.00,0.24
27,Entry Long,BUY,2021-03-01 09:45,1279.25,1,3675.00,0.96,6450.00,1.81,3825.00,1,555.00,0.14
27,Exit Long,BUY_TG_HIT,2021-03-01 10:45,1291.50,1,3675.00,0.96,6450.00,1.81,3825.00,1,555.00,0.14
28,Entry Short,SELL,2021-03-05 09:45,1342.85,1,4440.00,1.1,10890.00,2.15,4740.00,1.18,435.00,0.11
28,Exit Short,SELL_TG_HIT,2021-03-05 10:30,1328.05,1,4440.00,1.1,10890.00,2.15,4740.00,1.18,435.00,0.11
29,Entry Long,BUY,2021-03-08 10:15,1337.70,1,240.00,0.06,11130.00,0.11,3390.00,0.84,1665.00,0.41
29,Exit Long,INTRADAY_BExit,2021-03-08 15:15,1338.50,1,240.00,0.06,11130.00,0.11,3390.00,0.84,1665.00,0.41
30,Entry Short,SELL,2021-03-09 12:30,1328.15,1,-3900.00,-0.98,7230.00,-1.85,915.00,0.23,4290.00,1.08
30,Exit Short,SELL_SL_HIT,2021-03-09 14:15,1341.15,1,-3900.00,-0.98,7230.00,-1.85,915.00,0.23,4290.00,1.08
31,Entry Long,BUY,2021-03-10 09:45,1368.40,1,1335.00,0.33,8565.00,0.64,3615.00,0.88,2115.00,0.52
31,Exit Long,INTRADAY_BExit,2021-03-10 15:15,1372.85,1,1335.00,0.33,8565.00,0.64,3615.00,0.88,2115.00,0.52
32,Entry Short,SELL,2021-03-15 09:45,1364.40,1,-4455.00,-1.09,4110.00,-2.14,0,0,5805.00,1.42
32,Exit Short,SELL_SL_HIT,2021-03-15 10:30,1379.25,1,-4455.00,-1.09,4110.00,-2.14,0,0,5805.00,1.42
33,Entry Long,BUY,2021-03-15 12:15,1380.25,1,-375.00,-0.09,3735.00,-0.18,1065.00,0.26,3585.00,0.87
33,Exit Long,INTRADAY_BExit,2021-03-15 15:15,1379.00,1,-375.00,-0.09,3735.00,-0.18,1065.00,0.26,3585.00,0.87
34,Entry Short,SELL,2021-03-16 13:30,1394.95,1,1485.00,0.35,5220.00,0.73,2085.00,0.5,315.00,0.08
34,Exit Short,INTRADAY_SExit,2021-03-16 15:15,1390.00,1,1485.00,0.35,5220.00,0.73,2085.00,0.5,315.00,0.08
35,Entry Long,BUY,2021-03-19 11:15,1344.35,1,1065.00,0.26,6285.00,0.52,4095.00,1.02,3795.00,0.94
35,Exit Long,INTRADAY_BExit,2021-03-19 15:15,1347.90,1,1065.00,0.26,6285.00,0.52,4095.00,1.02,3795.00,0.94
36,Entry Short,SELL,2021-03-24 09:45,1367.65,1,5295.00,1.29,11580.00,2.57,5430.00,1.32,1215.00,0.3
36,Exit Short,SELL_TG_HIT,2021-03-24 11:30,1350.00,1,5295.00,1.29,11580.00,2.57,5430.00,1.32,1215.00,0.3
37,Entry Long,BUY,2021-03-26 13:00,1365.00,1,-4125.00,-1.01,7455.00,-1.95,120.00,0.03,4470.00,1.09
37,Exit Long,BUY_SL_HIT,2021-03-26 13:45,1351.25,1,-4125.00,-1.01,7455.00,-1.95,120.00,0.03,4470.00,1.09
38,Entry Short,SELL,2021-03-30 09:45,1358.95,1,-2715.00,-0.67,4740.00,-1.31,210.00,0.05,2715.00,0.67
38,Exit Short,BUY,2021-03-30 10:15,1368.00,1,-2715.00,-0.67,4740.00,-1.31,210.00,0.05,2715.00,0.67
39,Entry Long,BUY,2021-03-30 10:15,1368.00,1,3765.00,0.92,8505.00,1.84,3930.00,0.96,600.00,0.15
39,Exit Long,BUY_TG_HIT,2021-03-30 13:00,1380.55,1,3765.00,0.92,8505.00,1.84,3930.00,0.96,600.00,0.15
40,Entry Short,SELL,2021-03-31 09:45,1383.35,1,1620.00,0.39,10125.00,0.78,2985.00,0.72,3795.00,0.91
40,Exit Short,INTRADAY_SExit,2021-03-31 15:15,1377.95,1,1620.00,0.39,10125.00,0.78,2985.00,0.72,3795.00,0.91
41,Entry Long,BUY,2021-04-01 09:45,1395.25,1,-825.00,-0.2,9300.00,-0.39,1050.00,0.25,4275.00,1.02
41,Exit Long,INTRADAY_BExit,2021-04-01 15:15,1392.50,1,-825.00,-0.2,9300.00,-0.39,1050.00,0.25,4275.00,1.02
42,Entry Short,SELL,2021-04-05 11:45,1404.85,1,-4335.00,-1.03,4965.00,-2.07,855.00,0.2,4335.00,1.03
42,Exit Short,SELL_SL_HIT,2021-04-05 13:45,1419.30,1,-4335.00,-1.03,4965.00,-2.07,855.00,0.2,4335.00,1.03
43,Entry Long,BUY,2021-04-06 10:00,1425.40,1,-1980.00,-0.46,2985.00,-0.97,735.00,0.17,3585.00,0.84
43,Exit Long,INTRADAY_BExit,2021-04-06 15:15,1418.80,1,-1980.00,-0.46,2985.00,-0.97,735.00,0.17,3585.00,0.84
44,Entry Short,SELL,2021-04-12 10:30,1438.00,1,4050.00,0.94,7035.00,2,4350.00,1.01,2040.00,0.47
44,Exit Short,SELL_TG_HIT,2021-04-12 12:00,1424.50,1,4050.00,0.94,7035.00,2,4350.00,1.01,2040.00,0.47
45,Entry Long,BUY,2021-04-19 11:45,1365.05,1,-1140.00,-0.28,5895.00,-0.55,4335.00,1.06,2085.00,0.51
45,Exit Long,INTRADAY_BExit,2021-04-19 15:15,1361.25,1,-1140.00,-0.28,5895.00,-0.55,4335.00,1.06,2085.00,0.51
46,Entry Short,SELL,2021-04-20 11:45,1354.90,1,450.00,0.11,6345.00,0.22,2790.00,0.69,2205.00,0.54
46,Exit Short,INTRADAY_SExit,2021-04-20 15:15,1353.40,1,450.00,0.11,6345.00,0.22,2790.00,0.69,2205.00,0.54
47,Entry Long,BUY,2021-04-26 09:45,1344.90,1,-615.00,-0.15,5730.00,-0.3,1485.00,0.37,2235.00,0.55
47,Exit Long,INTRADAY_BExit,2021-04-26 15:15,1342.85,1,-615.00,-0.15,5730.00,-0.3,1485.00,0.37,2235.00,0.55
