Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-01 04:05,1245.20,100,980.00,0.79,980.00,0.98,980.00,0.79,220.00,0.18
1,Exit Long,BUY_TG_HIT,2021-02-01 04:35,1255.00,100,980.00,0.79,980.00,0.98,980.00,0.79,220.00,0.18
2,Entry Short,SELL,2021-02-01 05:30,1249.45,100,-405.00,-0.32,575.00,-0.4,445.00,0.36,405.00,0.32
2,Exit Short,BUY,2021-02-01 05:55,1253.50,100,-405.00,-0.32,575.00,-0.4,445.00,0.36,405.00,0.32
3,Entry Long,BUY,2021-02-01 05:55,1253.50,100,920.00,0.73,1495.00,0.91,1005.00,0.8,50.00,0.04
3,Exit Long,BUY_TG_HIT,2021-02-01 06:25,1262.70,100,920.00,0.73,1495.00,0.91,1005.00,0.8,50.00,0.04
4,Entry Short,SELL,2021-02-01 06:45,1249.75,100,-1040.00,-0.83,455.00,-1.02,195.00,0.16,1110.00,0.89
4,Exit Short,SELL_SL_HIT,2021-02-01 07:00,1260.15,100,-1040.00,-0.83,455.00,-1.02,195.00,0.16,1110.00,0.89
5,Entry Long,BUY,2021-02-01 07:05,1262.00,100,-670.00,-0.53,-215.00,-0.67,0,0,825.00,0.65
5,Exit Long,SELL,2021-02-01 07:20,1255.30,100,-670.00,-0.53,-215.00,-0.67,0,0,825.00,0.65
6,Entry Short,SELL,2021-02-01 07:20,1255.30,100,-1100.00,-0.88,-1315.00,-1.1,95.00,0.08,1210.00,0.96
6,Exit Short,BUY,2021-02-01 07:30,1266.30,100,-1100.00,-0.88,-1315.00,-1.1,95.00,0.08,1210.00,0.96
7,Entry Long,BUY,2021-02-01 07:30,1266.30,100,-1155.00,-0.91,-2470.00,-1.17,165.00,0.13,1215.00,0.96
7,Exit Long,BUY_SL_HIT,2021-02-01 07:40,1254.75,100,-1155.00,-0.91,-2470.00,-1.17,165.00,0.13,1215.00,0.96
8,Entry Short,SELL,2021-02-01 07:45,1246.10,100,-1100.00,-0.88,-3570.00,-1.13,455.00,0.37,1290.00,1.04
8,Exit Short,SELL_SL_HIT,2021-02-01 08:20,1257.10,100,-1100.00,-0.88,-3570.00,-1.13,455.00,0.37,1290.00,1.04
9,Entry Short,SELL,2021-02-01 08:30,1248.75,100,-345.00,-0.28,-3915.00,-0.36,540.00,0.43,480.00,0.38
9,Exit Short,BUY,2021-02-01 08:55,1252.20,100,-345.00,-0.28,-3915.00,-0.36,540.00,0.43,480.00,0.38
10,Entry Long,BUY,2021-02-01 08:55,1252.20,100,2180.00,1.74,-1735.00,2.27,2255.00,1.8,120.00,0.1
10,Exit Long,BUY_TG_HIT,2021-02-01 09:05,1274.00,100,2180.00,1.74,-1735.00,2.27,2255.00,1.8,120.00,0.1
11,Entry Long,BUY,2021-02-02 04:05,1283.00,100,-725.00,-0.57,-2460.00,-0.74,360.00,0.28,725.00,0.57
11,Exit Long,SELL,2021-02-02 04:25,1275.75,100,-725.00,-0.57,-2460.00,-0.74,360.00,0.28,725.00,0.57
12,Entry Short,SELL,2021-02-02 04:25,1275.75,100,1070.00,0.84,-1390.00,1.1,1135.00,0.89,170.00,0.13
12,Exit Short,SELL_TG_HIT,2021-02-02 05:05,1265.05,100,1070.00,0.84,-1390.00,1.1,1135.00,0.89,170.00,0.13
13,Entry Long,BUY,2021-02-02 05:55,1274.70,100,20.00,0.02,-1370.00,0.02,415.00,0.33,270.00,0.21
13,Exit Long,SELL,2021-02-02 06:55,1274.90,100,20.00,0.02,-1370.00,0.02,415.00,0.33,270.00,0.21
14,Entry Short,SELL,2021-02-02 06:55,1274.90,100,-320.00,-0.25,-1690.00,-0.32,40.00,0.03,410.00,0.32
14,Exit Short,BUY,2021-02-02 07:05,1278.10,100,-320.00,-0.25,-1690.00,-0.32,40.00,0.03,410.00,0.32
15,Entry Long,BUY,2021-02-02 07:05,1278.10,100,220.00,0.17,-1470.00,0.22,685.00,0.54,260.00,0.2
15,Exit Long,SELL,2021-02-02 08:30,1280.30,100,220.00,0.17,-1470.00,0.22,685.00,0.54,260.00,0.2
16,Entry Short,SELL,2021-02-02 08:30,1280.30,100,990.00,0.77,-480.00,1,1130.00,0.88,100.00,0.08
16,Exit Short,SELL_TG_HIT,2021-02-02 09:25,1270.40,100,990.00,0.77,-480.00,1,1130.00,0.88,100.00,0.08
