Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 09:45,1264.20,100,-520.00,-0.41,-520.00,-0.52,130.00,0.1,620.00,0.49
1,Exit Long,INTRADAY_BExit,2021-01-01 15:15,1259.00,100,-520.00,-0.41,-520.00,-0.52,130.00,0.1,620.00,0.49
2,Entry Long,BUY,2021-01-04 09:45,1272.40,100,-505.00,-0.4,-1025.00,-0.51,35.00,0.03,730.00,0.57
2,Exit Long,SELL,2021-01-04 10:30,1267.35,100,-505.00,-0.4,-1025.00,-0.51,35.00,0.03,730.00,0.57
3,Entry Short,SELL,2021-01-04 10:30,1267.35,100,-465.00,-0.37,-1490.00,-0.47,620.00,0.49,565.00,0.45
3,Exit Short,BUY,2021-01-04 12:15,1272.00,100,-465.00,-0.37,-1490.00,-0.47,620.00,0.49,565.00,0.45
4,Entry Long,BUY,2021-01-04 12:15,1272.00,100,980.00,0.77,-510.00,0.99,1050.00,0.83,125.00,0.1
4,Exit Long,BUY_TG_HIT,2021-01-04 13:15,1281.80,100,980.00,0.77,-510.00,0.99,1050.00,0.83,125.00,0.1
5,Entry Short,SELL,2021-01-04 14:15,1284.00,100,-350.00,-0.27,-860.00,-0.35,100.00,0.08,565.00,0.44
5,Exit Short,INTRADAY_SExit,2021-01-04 15:15,1287.50,100,-350.00,-0.27,-860.00,-0.35,100.00,0.08,565.00,0.44
6,Entry Long,BUY,2021-01-05 11:00,1290.00,100,740.00,0.57,-120.00,0.75,900.00,0.7,490.00,0.38
6,Exit Long,BUY_TG_HIT,2021-01-05 14:00,1297.40,100,740.00,0.57,-120.00,0.75,900.00,0.7,490.00,0.38
7,Entry Short,SELL,2021-01-05 15:00,1291.80,100,-345.00,-0.27,-465.00,-0.35,0,0,400.00,0.31
7,Exit Short,INTRADAY_SExit,2021-01-05 15:15,1295.25,100,-345.00,-0.27,-465.00,-0.35,0,0,400.00,0.31
8,Entry Long,BUY,2021-01-06 10:30,1296.90,100,-250.00,-0.19,-715.00,-0.25,510.00,0.39,375.00,0.29
8,Exit Long,SELL,2021-01-06 12:15,1294.40,100,-250.00,-0.19,-715.00,-0.25,510.00,0.39,375.00,0.29
