Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-01 04:15,95.10,1,-1300.00,-0.21,-1300.00,-0.65,4225.00,0.68,1625.00,0.26
1,Exit Long,SELL,2021-02-01 06:45,94.90,1,-1300.00,-0.21,-1300.00,-0.65,4225.00,0.68,1625.00,0.26
2,Entry Short,SELL,2021-02-01 06:45,94.90,1,-11050.00,-1.79,-12350.00,-5.56,0,0,12025.00,1.95
2,Exit Short,SELL_SL_HIT,2021-02-01 07:30,96.60,1,-11050.00,-1.79,-12350.00,-5.56,0,0,12025.00,1.95
3,Entry Long,BUY,2021-02-02 04:15,98.80,1,2275.00,0.35,-10075.00,1.21,6175.00,0.96,7475.00,1.16
3,Exit Long,SELL,2021-02-02 08:30,99.15,1,2275.00,0.35,-10075.00,1.21,6175.00,0.96,7475.00,1.16
4,Entry Short,SELL,2021-02-02 08:30,99.15,1,-975.00,-0.15,-11050.00,-0.51,0,0,4875.00,0.76
4,Exit Short,INTRADAY_SExit,2021-02-02 09:45,99.30,1,-975.00,-0.15,-11050.00,-0.51,0,0,4875.00,0.76
5,Entry Short,SELL,2021-02-03 05:30,100.80,1,-6175.00,-0.94,-17225.00,-3.27,1625.00,0.25,6825.00,1.04
5,Exit Short,SELL_SL_HIT,2021-02-03 09:15,101.75,1,-6175.00,-0.94,-17225.00,-3.27,1625.00,0.25,6825.00,1.04
6,Entry Long,BUY,2021-02-04 04:15,103.95,1,0,0,-17225.00,0,3575.00,0.53,3900.00,0.58
6,Exit Long,SELL,2021-02-04 07:45,103.95,1,0,0,-17225.00,0,3575.00,0.53,3900.00,0.58
7,Entry Short,SELL,2021-02-04 07:45,103.95,1,-975.00,-0.14,-18200.00,-0.53,2275.00,0.34,2600.00,0.38
7,Exit Short,INTRADAY_SExit,2021-02-04 09:45,104.10,1,-975.00,-0.14,-18200.00,-0.53,2275.00,0.34,2600.00,0.38
8,Entry Short,SELL,2021-02-05 04:15,103.50,1,4225.00,0.63,-13975.00,2.32,5850.00,0.87,1950.00,0.29
8,Exit Short,INTRADAY_SExit,2021-02-05 09:45,102.85,1,4225.00,0.63,-13975.00,2.32,5850.00,0.87,1950.00,0.29
9,Entry Long,BUY,2021-02-08 05:30,104.00,1,1300.00,0.19,-12675.00,0.7,5850.00,0.87,1300.00,0.19
9,Exit Long,SELL,2021-02-08 09:00,104.20,1,1300.00,0.19,-12675.00,0.7,5850.00,0.87,1300.00,0.19
10,Entry Short,SELL,2021-02-08 09:00,104.20,1,-2925.00,-0.43,-15600.00,-1.56,1950.00,0.29,3575.00,0.53
10,Exit Short,INTRADAY_SExit,2021-02-08 09:45,104.65,1,-2925.00,-0.43,-15600.00,-1.56,1950.00,0.29,3575.00,0.53
11,Entry Short,SELL,2021-02-09 09:30,97.80,1,-2925.00,-0.46,-18525.00,-1.59,3250.00,0.51,2925.00,0.46
11,Exit Short,INTRADAY_SExit,2021-02-09 09:45,98.25,1,-2925.00,-0.46,-18525.00,-1.59,3250.00,0.51,2925.00,0.46
12,Entry Short,SELL,2021-02-10 08:15,96.50,1,-1950.00,-0.31,-20475.00,-1.07,1625.00,0.26,2600.00,0.41
12,Exit Short,BUY,2021-02-10 08:45,96.80,1,-1950.00,-0.31,-20475.00,-1.07,1625.00,0.26,2600.00,0.41
13,Entry Long,BUY,2021-02-10 08:45,96.80,1,1950.00,0.31,-18525.00,1.09,2275.00,0.36,1625.00,0.26
13,Exit Long,INTRADAY_BExit,2021-02-10 09:45,97.10,1,1950.00,0.31,-18525.00,1.09,2275.00,0.36,1625.00,0.26
14,Entry Short,SELL,2021-02-12 05:00,96.15,1,7800.00,1.25,-10725.00,4.3,7800.00,1.25,325.00,0.05
14,Exit Short,SELL_TG_HIT,2021-02-12 08:30,94.95,1,7800.00,1.25,-10725.00,4.3,7800.00,1.25,325.00,0.05
15,Entry Short,SELL,2021-02-15 09:30,94.55,1,0,0,-10725.00,0,1625.00,0.26,325.00,0.05
15,Exit Short,INTRADAY_SExit,2021-02-15 09:45,94.55,1,0,0,-10725.00,0,1625.00,0.26,325.00,0.05
16,Entry Long,BUY,2021-02-16 05:30,95.90,1,2275.00,0.36,-8450.00,1.2,6500.00,1.04,2925.00,0.47
16,Exit Long,INTRADAY_BExit,2021-02-16 09:45,96.25,1,2275.00,0.36,-8450.00,1.2,6500.00,1.04,2925.00,0.47
17,Entry Short,SELL,2021-02-17 04:15,95.30,1,-1950.00,-0.31,-10400.00,-1.02,1300.00,0.21,3575.00,0.58
17,Exit Short,BUY,2021-02-17 09:30,95.60,1,-1950.00,-0.31,-10400.00,-1.02,1300.00,0.21,3575.00,0.58
18,Entry Long,BUY,2021-02-17 09:30,95.60,1,-1300.00,-0.21,-11700.00,-0.69,0,0,2275.00,0.37
18,Exit Long,INTRADAY_BExit,2021-02-17 09:45,95.40,1,-1300.00,-0.21,-11700.00,-0.69,0,0,2275.00,0.37
19,Entry Long,BUY,2021-02-18 04:15,97.05,1,6175.00,0.98,-5525.00,3.28,7475.00,1.18,650.00,0.1
19,Exit Long,BUY_TG_HIT,2021-02-18 05:00,98.00,1,6175.00,0.98,-5525.00,3.28,7475.00,1.18,650.00,0.1
20,Entry Short,SELL,2021-02-18 08:15,98.85,1,-3575.00,-0.56,-9100.00,-1.84,1950.00,0.3,6825.00,1.06
20,Exit Short,INTRADAY_SExit,2021-02-18 09:45,99.40,1,-3575.00,-0.56,-9100.00,-1.84,1950.00,0.3,6825.00,1.06
21,Entry Long,BUY,2021-02-19 06:45,99.65,1,-3250.00,-0.5,-12350.00,-1.7,6500.00,1,4225.00,0.65
21,Exit Long,SELL,2021-02-19 07:45,99.15,1,-3250.00,-0.5,-12350.00,-1.7,6500.00,1,4225.00,0.65
22,Entry Short,SELL,2021-02-19 07:45,99.15,1,18525.00,2.87,6175.00,9.87,18850.00,2.92,650.00,0.1
22,Exit Short,SELL_TG_HIT,2021-02-19 08:45,96.30,1,18525.00,2.87,6175.00,9.87,18850.00,2.92,650.00,0.1
23,Entry Short,SELL,2021-02-22 04:30,97.65,1,6175.00,0.97,12350.00,3,6500.00,1.02,650.00,0.1
23,Exit Short,SELL_TG_HIT,2021-02-22 06:15,96.70,1,6175.00,0.97,12350.00,3,6500.00,1.02,650.00,0.1
24,Entry Short,SELL,2021-02-22 08:00,96.45,1,4225.00,0.67,16575.00,1.99,4225.00,0.67,1300.00,0.21
24,Exit Short,INTRADAY_SExit,2021-02-22 09:45,95.80,1,4225.00,0.67,16575.00,1.99,4225.00,0.67,1300.00,0.21
25,Entry Long,BUY,2021-02-23 04:30,97.85,1,4875.00,0.77,21450.00,2.25,9100.00,1.43,1950.00,0.31
25,Exit Long,BUY_TG_HIT,2021-02-23 07:45,98.60,1,4875.00,0.77,21450.00,2.25,9100.00,1.43,1950.00,0.31
26,Entry Short,SELL,2021-02-23 09:30,98.05,1,1300.00,0.2,22750.00,0.59,2275.00,0.36,650.00,0.1
26,Exit Short,INTRADAY_SExit,2021-02-23 09:45,97.85,1,1300.00,0.2,22750.00,0.59,2275.00,0.36,650.00,0.1
27,Entry Long,BUY,2021-02-24 04:15,99.60,1,-6175.00,-0.95,16575.00,-2.77,975.00,0.15,6500.00,1
