Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 09:45,91.70,1,1625.00,0.27,1625.00,0.81,2600.00,0.44,2600.00,0.44
1,Exit Long,INTRADAY_BExit,2021-01-01 15:15,91.95,1,1625.00,0.27,1625.00,0.81,2600.00,0.44,2600.00,0.44
2,Entry Short,SELL,2021-01-04 10:45,93.20,1,0,0,1625.00,0,6825.00,1.13,975.00,0.16
2,Exit Short,BUY,2021-01-04 12:30,93.20,1,0,0,1625.00,0,6825.00,1.13,975.00,0.16
3,Entry Long,BUY,2021-01-04 12:30,93.20,1,6175.00,1.02,7800.00,3.06,7150.00,1.18,0,0
3,Exit Long,INTRADAY_BExit,2021-01-04 15:15,94.15,1,6175.00,1.02,7800.00,3.06,7150.00,1.18,0,0
4,Entry Short,SELL,2021-01-05 09:45,92.65,1,325.00,0.05,8125.00,0.16,4225.00,0.7,1625.00,0.27
4,Exit Short,BUY,2021-01-05 11:30,92.60,1,325.00,0.05,8125.00,0.16,4225.00,0.7,1625.00,0.27
5,Entry Long,BUY,2021-01-05 11:30,92.60,1,4225.00,0.7,12350.00,2.03,5200.00,0.86,650.00,0.11
5,Exit Long,INTRADAY_BExit,2021-01-05 15:15,93.25,1,4225.00,0.7,12350.00,2.03,5200.00,0.86,650.00,0.11
6,Entry Long,BUY,2021-01-06 09:45,95.20,1,-1625.00,-0.26,10725.00,-0.77,3250.00,0.53,4225.00,0.68
6,Exit Long,SELL,2021-01-06 12:15,94.95,1,-1625.00,-0.26,10725.00,-0.77,3250.00,0.53,4225.00,0.68
7,Entry Short,SELL,2021-01-06 12:15,94.95,1,7150.00,1.16,17875.00,3.39,8775.00,1.42,975.00,0.16
7,Exit Short,SELL_TG_HIT,2021-01-06 14:00,93.85,1,7150.00,1.16,17875.00,3.39,8775.00,1.42,975.00,0.16
