Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 04:15,91.70,1,1625.00,0.27,1625.00,0.81,2600.00,0.44,2600.00,0.44
1,Exit Long,INTRADAY_BExit,2021-01-01 09:45,91.95,1,1625.00,0.27,1625.00,0.81,2600.00,0.44,2600.00,0.44
2,Entry Long,BUY,2021-01-04 04:15,92.90,1,-325.00,-0.05,1300.00,-0.16,3900.00,0.65,1625.00,0.27
2,Exit Long,SELL,2021-01-04 05:30,92.85,1,-325.00,-0.05,1300.00,-0.16,3900.00,0.65,1625.00,0.27
3,Entry Short,SELL,2021-01-04 05:30,92.85,1,-2275.00,-0.38,-975.00,-1.13,4550.00,0.75,3250.00,0.54
3,Exit Short,BUY,2021-01-04 07:00,93.20,1,-2275.00,-0.38,-975.00,-1.13,4550.00,0.75,3250.00,0.54
4,Entry Long,BUY,2021-01-04 07:00,93.20,1,6175.00,1.02,5200.00,3.1,7150.00,1.18,0,0
4,Exit Long,INTRADAY_BExit,2021-01-04 09:45,94.15,1,6175.00,1.02,5200.00,3.1,7150.00,1.18,0,0
5,Entry Short,SELL,2021-01-05 04:45,92.45,1,-4225.00,-0.7,975.00,-2.06,2925.00,0.49,4550.00,0.76
5,Exit Short,BUY,2021-01-05 06:45,93.10,1,-4225.00,-0.7,975.00,-2.06,2925.00,0.49,4550.00,0.76
6,Entry Long,BUY,2021-01-05 06:45,93.10,1,975.00,0.16,1950.00,0.49,1950.00,0.32,3575.00,0.59
6,Exit Long,INTRADAY_BExit,2021-01-05 09:45,93.25,1,975.00,0.16,1950.00,0.49,1950.00,0.32,3575.00,0.59
7,Entry Long,BUY,2021-01-06 04:15,95.20,1,-1950.00,-0.32,0,-0.97,3250.00,0.53,4225.00,0.68
7,Exit Long,SELL,2021-01-06 07:00,94.90,1,-1950.00,-0.32,0,-0.97,3250.00,0.53,4225.00,0.68
8,Entry Short,SELL,2021-01-06 07:00,94.90,1,9100.00,1.48,9100.00,4.55,11050.00,1.79,1300.00,0.21
8,Exit Short,SELL_TG_HIT,2021-01-06 08:45,93.50,1,9100.00,1.48,9100.00,4.55,11050.00,1.79,1300.00,0.21
9,Entry Short,SELL,2021-01-06 09:00,94.00,1,-975.00,-0.16,8125.00,-0.47,2275.00,0.37,2925.00,0.48
9,Exit Short,INTRADAY_SExit,2021-01-06 09:45,94.15,1,-975.00,-0.16,8125.00,-0.47,2275.00,0.37,2925.00,0.48
10,Entry Long,BUY,2021-01-07 07:15,95.50,1,-3575.00,-0.58,4550.00,-1.72,650.00,0.1,6175.00,0.99
10,Exit Long,INTRADAY_BExit,2021-01-07 09:45,94.95,1,-3575.00,-0.58,4550.00,-1.72,650.00,0.1,6175.00,0.99
11,Entry Long,BUY,2021-01-08 05:00,96.35,1,-2600.00,-0.42,1950.00,-1.27,2925.00,0.47,3250.00,0.52
11,Exit Long,SELL,2021-01-08 08:15,95.95,1,-2600.00,-0.42,1950.00,-1.27,2925.00,0.47,3250.00,0.52
12,Entry Short,SELL,2021-01-08 08:15,95.95,1,-1300.00,-0.21,650.00,-0.64,3575.00,0.57,1950.00,0.31
12,Exit Short,INTRADAY_SExit,2021-01-08 09:45,96.15,1,-1300.00,-0.21,650.00,-0.64,3575.00,0.57,1950.00,0.31
13,Entry Short,SELL,2021-01-11 04:30,95.85,1,-1300.00,-0.21,-650.00,-0.65,8125.00,1.3,1300.00,0.21
13,Exit Short,BUY,2021-01-11 06:45,96.05,1,-1300.00,-0.21,-650.00,-0.65,8125.00,1.3,1300.00,0.21
14,Entry Long,BUY,2021-01-11 06:45,96.05,1,1300.00,0.21,650.00,0.65,2275.00,0.36,2275.00,0.36
14,Exit Long,INTRADAY_BExit,2021-01-11 09:45,96.25,1,1300.00,0.21,650.00,0.65,2275.00,0.36,2275.00,0.36
15,Entry Long,BUY,2021-01-12 04:15,97.15,1,12350.00,1.96,13000.00,6.15,15275.00,2.42,1300.00,0.21
15,Exit Long,BUY_TG_HIT,2021-01-12 04:45,99.05,1,12350.00,1.96,13000.00,6.15,15275.00,2.42,1300.00,0.21
16,Entry Long,BUY,2021-01-12 05:00,99.25,1,-5850.00,-0.91,7150.00,-2.75,2925.00,0.45,6500.00,1.01
16,Exit Long,INTRADAY_BExit,2021-01-12 09:45,98.35,1,-5850.00,-0.91,7150.00,-2.75,2925.00,0.45,6500.00,1.01
17,Entry Long,BUY,2021-01-13 04:15,101.15,1,7800.00,1.19,14950.00,3.77,11375.00,1.73,2275.00,0.35
17,Exit Long,BUY_TG_HIT,2021-01-13 04:45,102.35,1,7800.00,1.19,14950.00,3.77,11375.00,1.73,2275.00,0.35
18,Entry Long,BUY,2021-01-13 09:30,101.60,1,-650.00,-0.1,14300.00,-0.3,325.00,0.05,1625.00,0.25
18,Exit Long,INTRADAY_BExit,2021-01-13 09:45,101.50,1,-650.00,-0.1,14300.00,-0.3,325.00,0.05,1625.00,0.25
19,Entry Short,SELL,2021-01-14 04:15,101.30,1,-4875.00,-0.74,9425.00,-2.27,3250.00,0.49,5850.00,0.89
19,Exit Short,BUY,2021-01-14 05:15,102.05,1,-4875.00,-0.74,9425.00,-2.27,3250.00,0.49,5850.00,0.89
20,Entry Long,BUY,2021-01-14 05:15,102.05,1,12350.00,1.86,21775.00,5.9,13000.00,1.96,2925.00,0.44
20,Exit Long,INTRADAY_BExit,2021-01-14 09:45,103.95,1,12350.00,1.86,21775.00,5.9,13000.00,1.96,2925.00,0.44
21,Entry Long,BUY,2021-01-15 04:15,102.90,1,1300.00,0.19,23075.00,0.59,7800.00,1.17,1625.00,0.24
21,Exit Long,SELL,2021-01-15 05:45,103.10,1,1300.00,0.19,23075.00,0.59,7800.00,1.17,1625.00,0.24
22,Entry Short,SELL,2021-01-15 05:45,103.10,1,12675.00,1.89,35750.00,5.68,12675.00,1.89,1625.00,0.24
22,Exit Short,SELL_TG_HIT,2021-01-15 08:45,101.15,1,12675.00,1.89,35750.00,5.68,12675.00,1.89,1625.00,0.24
23,Entry Short,SELL,2021-01-15 09:00,101.85,1,650.00,0.1,36400.00,0.28,2600.00,0.39,3250.00,0.49
23,Exit Short,INTRADAY_SExit,2021-01-15 09:45,101.75,1,650.00,0.1,36400.00,0.28,2600.00,0.39,3250.00,0.49
24,Entry Short,SELL,2021-01-18 04:30,99.50,1,5200.00,0.8,41600.00,2.2,7475.00,1.16,4225.00,0.65
24,Exit Short,SELL_TG_HIT,2021-01-18 05:30,98.70,1,5200.00,0.8,41600.00,2.2,7475.00,1.16,4225.00,0.65
25,Entry Short,SELL,2021-01-18 05:45,99.15,1,2275.00,0.35,43875.00,0.94,8450.00,1.31,3900.00,0.61
25,Exit Short,INTRADAY_SExit,2021-01-18 09:45,98.80,1,2275.00,0.35,43875.00,0.94,8450.00,1.31,3900.00,0.61
26,Entry Long,BUY,2021-01-19 05:00,100.35,1,-5200.00,-0.8,38675.00,-2.13,1950.00,0.3,6500.00,1
26,Exit Long,SELL,2021-01-19 07:30,99.55,1,-5200.00,-0.8,38675.00,-2.13,1950.00,0.3,6500.00,1
27,Entry Short,SELL,2021-01-19 07:30,99.55,1,2600.00,0.4,41275.00,1.09,7475.00,1.16,325.00,0.05
27,Exit Short,INTRADAY_SExit,2021-01-19 09:45,99.15,1,2600.00,0.4,41275.00,1.09,7475.00,1.16,325.00,0.05
28,Entry Short,SELL,2021-01-20 04:15,98.60,1,-2600.00,-0.41,38675.00,-1.08,4225.00,0.66,4550.00,0.71
28,Exit Short,BUY,2021-01-20 08:45,99.00,1,-2600.00,-0.41,38675.00,-1.08,4225.00,0.66,4550.00,0.71
29,Entry Long,BUY,2021-01-20 08:45,99.00,1,-2600.00,-0.4,36075.00,-1.09,1300.00,0.2,2600.00,0.4
29,Exit Long,INTRADAY_BExit,2021-01-20 09:45,98.60,1,-2600.00,-0.4,36075.00,-1.09,1300.00,0.2,2600.00,0.4
30,Entry Short,SELL,2021-01-21 04:15,98.50,1,-5200.00,-0.81,30875.00,-2.2,4225.00,0.66,5525.00,0.86
30,Exit Short,BUY,2021-01-21 04:45,99.30,1,-5200.00,-0.81,30875.00,-2.2,4225.00,0.66,5525.00,0.86
31,Entry Long,BUY,2021-01-21 04:45,99.30,1,-4225.00,-0.65,26650.00,-1.83,2925.00,0.45,5200.00,0.81
31,Exit Long,SELL,2021-01-21 08:30,98.65,1,-4225.00,-0.65,26650.00,-1.83,2925.00,0.45,5200.00,0.81
32,Entry Short,SELL,2021-01-21 08:30,98.65,1,6825.00,1.06,33475.00,3.01,9750.00,1.52,0,0
32,Exit Short,SELL_TG_HIT,2021-01-21 09:30,97.60,1,6825.00,1.06,33475.00,3.01,9750.00,1.52,0,0
33,Entry Short,SELL,2021-01-22 05:45,96.00,1,1950.00,0.31,35425.00,0.84,4225.00,0.68,4875.00,0.78
33,Exit Short,INTRADAY_SExit,2021-01-22 09:45,95.70,1,1950.00,0.31,35425.00,0.84,4225.00,0.68,4875.00,0.78
34,Entry Short,SELL,2021-01-25 04:15,94.70,1,6175.00,1,41600.00,2.62,6825.00,1.11,2600.00,0.42
34,Exit Short,SELL_TG_HIT,2021-01-25 06:00,93.75,1,6175.00,1,41600.00,2.62,6825.00,1.11,2600.00,0.42
35,Entry Short,SELL,2021-01-25 06:15,93.90,1,1950.00,0.32,43550.00,0.81,2600.00,0.43,3900.00,0.64
35,Exit Short,INTRADAY_SExit,2021-01-25 09:45,93.60,1,1950.00,0.32,43550.00,0.81,2600.00,0.43,3900.00,0.64
36,Entry Short,SELL,2021-01-27 05:00,90.65,1,-5850.00,-0.99,37700.00,-2.4,1625.00,0.28,7150.00,1.21
36,Exit Short,SELL_SL_HIT,2021-01-27 06:45,91.55,1,-5850.00,-0.99,37700.00,-2.4,1625.00,0.28,7150.00,1.21
37,Entry Long,BUY,2021-01-27 07:00,91.75,1,-4550.00,-0.76,33150.00,-1.91,325.00,0.05,5525.00,0.93
37,Exit Long,SELL,2021-01-27 09:00,91.05,1,-4550.00,-0.76,33150.00,-1.91,325.00,0.05,5525.00,0.93
38,Entry Short,SELL,2021-01-27 09:00,91.05,1,-2600.00,-0.44,30550.00,-1.12,975.00,0.16,2600.00,0.44
38,Exit Short,INTRADAY_SExit,2021-01-27 09:45,91.45,1,-2600.00,-0.44,30550.00,-1.12,975.00,0.16,2600.00,0.44
39,Entry Long,BUY,2021-01-28 05:00,91.70,1,7800.00,1.31,38350.00,3.38,8125.00,1.36,2925.00,0.49
39,Exit Long,BUY_TG_HIT,2021-01-28 08:00,92.90,1,7800.00,1.31,38350.00,3.38,8125.00,1.36,2925.00,0.49
40,Entry Long,BUY,2021-01-29 05:45,94.10,1,12350.00,2.02,50700.00,5.18,14300.00,2.34,2275.00,0.37
40,Exit Long,BUY_TG_HIT,2021-01-29 08:00,96.00,1,12350.00,2.02,50700.00,5.18,14300.00,2.34,2275.00,0.37
41,Entry Long,BUY,2021-02-01 07:30,96.60,1,-16900.00,-2.69,33800.00,-6.74,650.00,0.1,18850.00,3
41,Exit Long,SELL,2021-02-01 07:45,94.00,1,-16900.00,-2.69,33800.00,-6.74,650.00,0.1,18850.00,3
42,Entry Short,SELL,2021-02-01 07:45,94.00,1,-9750.00,-1.6,24050.00,-4.17,1950.00,0.32,12350.00,2.02
42,Exit Short,SELL_SL_HIT,2021-02-01 08:00,95.50,1,-9750.00,-1.6,24050.00,-4.17,1950.00,0.32,12350.00,2.02
43,Entry Long,BUY,2021-02-01 09:15,95.80,1,4550.00,0.73,28600.00,2.03,4550.00,0.73,975.00,0.16
43,Exit Long,INTRADAY_BExit,2021-02-01 09:45,96.50,1,4550.00,0.73,28600.00,2.03,4550.00,0.73,975.00,0.16
44,Entry Long,BUY,2021-02-02 04:15,98.80,1,7150.00,1.11,35750.00,3.13,7150.00,1.11,7475.00,1.16
44,Exit Long,BUY_TG_HIT,2021-02-02 08:45,99.90,1,7150.00,1.11,35750.00,3.13,7150.00,1.11,7475.00,1.16
45,Entry Long,BUY,2021-02-03 04:15,101.60,1,-3575.00,-0.54,32175.00,-1.52,1300.00,0.2,4875.00,0.74
45,Exit Long,SELL,2021-02-03 05:00,101.05,1,-3575.00,-0.54,32175.00,-1.52,1300.00,0.2,4875.00,0.74
46,Entry Short,SELL,2021-02-03 05:00,101.05,1,-11700.00,-1.78,20475.00,-5.04,3250.00,0.49,12675.00,1.93
46,Exit Short,INTRADAY_SExit,2021-02-03 09:45,102.85,1,-11700.00,-1.78,20475.00,-5.04,3250.00,0.49,12675.00,1.93
47,Entry Long,BUY,2021-02-04 04:15,103.95,1,-325.00,-0.05,20150.00,-0.15,3575.00,0.53,3900.00,0.58
47,Exit Long,SELL,2021-02-04 08:30,103.90,1,-325.00,-0.05,20150.00,-0.15,3575.00,0.53,3900.00,0.58
48,Entry Short,SELL,2021-02-04 08:30,103.90,1,-1300.00,-0.19,18850.00,-0.59,1300.00,0.19,2925.00,0.43
48,Exit Short,INTRADAY_SExit,2021-02-04 09:45,104.10,1,-1300.00,-0.19,18850.00,-0.59,1300.00,0.19,2925.00,0.43
49,Entry Short,SELL,2021-02-05 04:15,103.50,1,4225.00,0.63,23075.00,1.93,5850.00,0.87,1950.00,0.29
49,Exit Short,INTRADAY_SExit,2021-02-05 09:45,102.85,1,4225.00,0.63,23075.00,1.93,5850.00,0.87,1950.00,0.29
50,Entry Long,BUY,2021-02-08 05:30,104.00,1,4225.00,0.63,27300.00,1.89,5850.00,0.87,1300.00,0.19
50,Exit Long,INTRADAY_BExit,2021-02-08 09:45,104.65,1,4225.00,0.63,27300.00,1.89,5850.00,0.87,1300.00,0.19
51,Entry Long,BUY,2021-02-09 07:45,99.25,1,-2925.00,-0.45,24375.00,-1.29,0,0,3575.00,0.55
51,Exit Long,SELL,2021-02-09 09:00,98.80,1,-2925.00,-0.45,24375.00,-1.29,0,0,3575.00,0.55
52,Entry Short,SELL,2021-02-09 09:00,98.80,1,3575.00,0.56,27950.00,1.59,9750.00,1.52,325.00,0.05
52,Exit Short,INTRADAY_SExit,2021-02-09 09:45,98.25,1,3575.00,0.56,27950.00,1.59,9750.00,1.52,325.00,0.05
53,Entry Short,SELL,2021-02-10 04:45,97.30,1,1300.00,0.21,29250.00,0.57,6825.00,1.08,650.00,0.1
53,Exit Short,INTRADAY_SExit,2021-02-10 09:45,97.10,1,1300.00,0.21,29250.00,0.57,6825.00,1.08,650.00,0.1
54,Entry Long,BUY,2021-02-11 05:00,97.15,1,-2925.00,-0.46,26325.00,-1.28,4225.00,0.67,2925.00,0.46
54,Exit Long,SELL,2021-02-11 09:30,96.70,1,-2925.00,-0.46,26325.00,-1.28,4225.00,0.67,2925.00,0.46
55,Entry Short,SELL,2021-02-11 09:30,96.70,1,-975.00,-0.16,25350.00,-0.43,325.00,0.05,1625.00,0.26
55,Exit Short,INTRADAY_SExit,2021-02-11 09:45,96.85,1,-975.00,-0.16,25350.00,-0.43,325.00,0.05,1625.00,0.26
56,Entry Short,SELL,2021-02-12 04:30,96.25,1,8450.00,1.35,33800.00,3.75,8450.00,1.35,1300.00,0.21
56,Exit Short,SELL_TG_HIT,2021-02-12 08:30,94.95,1,8450.00,1.35,33800.00,3.75,8450.00,1.35,1300.00,0.21
57,Entry Short,SELL,2021-02-15 05:30,94.75,1,1300.00,0.21,35100.00,0.56,2925.00,0.47,1950.00,0.32
57,Exit Short,INTRADAY_SExit,2021-02-15 09:45,94.55,1,1300.00,0.21,35100.00,0.56,2925.00,0.47,1950.00,0.32
58,Entry Long,BUY,2021-02-16 05:30,95.90,1,2275.00,0.36,37375.00,0.97,6500.00,1.04,2925.00,0.47
58,Exit Long,INTRADAY_BExit,2021-02-16 09:45,96.25,1,2275.00,0.36,37375.00,0.97,6500.00,1.04,2925.00,0.47
59,Entry Short,SELL,2021-02-17 07:45,95.40,1,0,0,37375.00,0,1950.00,0.31,1300.00,0.21
59,Exit Short,INTRADAY_SExit,2021-02-17 09:45,95.40,1,0,0,37375.00,0,1950.00,0.31,1300.00,0.21
60,Entry Long,BUY,2021-02-18 04:15,97.05,1,6175.00,0.98,43550.00,2.6,7475.00,1.18,650.00,0.1
60,Exit Long,BUY_TG_HIT,2021-02-18 05:00,98.00,1,6175.00,0.98,43550.00,2.6,7475.00,1.18,650.00,0.1
61,Entry Long,BUY,2021-02-18 05:15,98.65,1,7800.00,1.22,51350.00,3.2,10725.00,1.67,975.00,0.15
61,Exit Long,BUY_TG_HIT,2021-02-18 06:45,99.85,1,7800.00,1.22,51350.00,3.2,10725.00,1.67,975.00,0.15
62,Entry Short,SELL,2021-02-19 04:15,98.55,1,-3575.00,-0.56,47775.00,-1.42,2925.00,0.46,3575.00,0.56
62,Exit Short,BUY,2021-02-19 06:15,99.10,1,-3575.00,-0.56,47775.00,-1.42,2925.00,0.46,3575.00,0.56
63,Entry Long,BUY,2021-02-19 06:15,99.10,1,7800.00,1.21,55575.00,3.15,7800.00,1.21,650.00,0.1
63,Exit Long,BUY_TG_HIT,2021-02-19 07:00,100.30,1,7800.00,1.21,55575.00,3.15,7800.00,1.21,650.00,0.1
64,Entry Long,BUY,2021-02-19 07:15,100.45,1,-8450.00,-1.29,47125.00,-3.31,650.00,0.1,9425.00,1.44
64,Exit Long,BUY_SL_HIT,2021-02-19 07:45,99.15,1,-8450.00,-1.29,47125.00,-3.31,650.00,0.1,9425.00,1.44
65,Entry Short,SELL,2021-02-19 08:30,98.35,1,13325.00,2.08,60450.00,5.39,13650.00,2.14,0,0
65,Exit Short,SELL_TG_HIT,2021-02-19 08:45,96.30,1,13325.00,2.08,60450.00,5.39,13650.00,2.14,0,0
66,Entry Short,SELL,2021-02-22 04:45,97.15,1,6175.00,0.98,66625.00,2.37,6825.00,1.08,3575.00,0.57
