Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-15 14:20,214.20,1,-320.00,-0.05,-320.00,-0.16,640.00,0.09,1760.00,0.26
1,Exit Short,INTRADAY_SExit,2021-02-15 15:05,214.30,1,-320.00,-0.05,-320.00,-0.16,640.00,0.09,1760.00,0.26
2,Entry Long,BUY,2021-02-16 09:35,215.40,1,-3200.00,-0.46,-3520.00,-1.6,0,0,4800.00,0.7
2,Exit Long,SELL,2021-02-16 10:00,214.40,1,-3200.00,-0.46,-3520.00,-1.6,0,0,4800.00,0.7
3,Entry Short,SELL,2021-02-16 10:00,214.40,1,-7200.00,-1.05,-10720.00,-3.66,1760.00,0.26,7680.00,1.12
3,Exit Short,BUY,2021-02-16 10:40,216.65,1,-7200.00,-1.05,-10720.00,-3.66,1760.00,0.26,7680.00,1.12
4,Entry Long,BUY,2021-02-16 10:40,216.65,1,-6240.00,-0.9,-16960.00,-3.3,1760.00,0.25,6880.00,0.99
4,Exit Long,SELL,2021-02-16 12:55,214.70,1,-6240.00,-0.9,-16960.00,-3.3,1760.00,0.25,6880.00,0.99
5,Entry Short,SELL,2021-02-16 12:55,214.70,1,1120.00,0.16,-15840.00,0.61,5280.00,0.77,0,0
5,Exit Short,INTRADAY_SExit,2021-02-16 15:05,214.35,1,1120.00,0.16,-15840.00,0.61,5280.00,0.77,0,0
6,Entry Long,BUY,2021-02-18 09:35,213.70,1,6720.00,0.98,-9120.00,3.65,8000.00,1.17,800.00,0.12
6,Exit Long,BUY_TG_HIT,2021-02-18 11:10,215.80,1,6720.00,0.98,-9120.00,3.65,8000.00,1.17,800.00,0.12
7,Entry Short,SELL,2021-02-18 12:35,214.50,1,-320.00,-0.05,-9440.00,-0.17,2560.00,0.37,2240.00,0.33
7,Exit Short,BUY,2021-02-18 14:50,214.60,1,-320.00,-0.05,-9440.00,-0.17,2560.00,0.37,2240.00,0.33
8,Entry Long,BUY,2021-02-18 14:50,214.60,1,-480.00,-0.07,-9920.00,-0.25,160.00,0.02,1600.00,0.23
8,Exit Long,INTRADAY_BExit,2021-02-18 15:05,214.45,1,-480.00,-0.07,-9920.00,-0.25,160.00,0.02,1600.00,0.23
9,Entry Short,SELL,2021-02-19 09:35,213.70,1,-960.00,-0.14,-10880.00,-0.51,3840.00,0.56,1760.00,0.26
9,Exit Short,BUY,2021-02-19 12:50,214.00,1,-960.00,-0.14,-10880.00,-0.51,3840.00,0.56,1760.00,0.26
10,Entry Long,BUY,2021-02-19 12:50,214.00,1,-4320.00,-0.63,-15200.00,-2.28,160.00,0.02,4480.00,0.65
10,Exit Long,SELL,2021-02-19 13:35,212.65,1,-4320.00,-0.63,-15200.00,-2.28,160.00,0.02,4480.00,0.65
11,Entry Short,SELL,2021-02-19 13:35,212.65,1,10080.00,1.48,-5120.00,5.45,10560.00,1.55,800.00,0.12
11,Exit Short,SELL_TG_HIT,2021-02-19 14:15,209.50,1,10080.00,1.48,-5120.00,5.45,10560.00,1.55,800.00,0.12
12,Entry Short,SELL,2021-02-22 09:50,210.00,1,8000.00,1.19,2880.00,4.11,8640.00,1.29,0,0
12,Exit Short,SELL_TG_HIT,2021-02-22 10:10,207.50,1,8000.00,1.19,2880.00,4.11,8640.00,1.29,0,0
13,Entry Long,BUY,2021-02-22 14:45,207.90,1,-800.00,-0.12,2080.00,-0.39,800.00,0.12,1280.00,0.19
13,Exit Long,INTRADAY_BExit,2021-02-22 15:05,207.65,1,-800.00,-0.12,2080.00,-0.39,800.00,0.12,1280.00,0.19
14,Entry Short,SELL,2021-02-23 14:00,208.55,1,1600.00,0.24,3680.00,0.79,2240.00,0.34,480.00,0.07
14,Exit Short,INTRADAY_SExit,2021-02-23 15:05,208.05,1,1600.00,0.24,3680.00,0.79,2240.00,0.34,480.00,0.07
15,Entry Long,BUY,2021-02-24 09:50,208.50,1,-2080.00,-0.31,1600.00,-1.02,2880.00,0.43,22400.00,3.36
15,Exit Long,INTRADAY_BExit,2021-02-24 15:50,207.85,1,-2080.00,-0.31,1600.00,-1.02,2880.00,0.43,22400.00,3.36
16,Entry Long,BUY,2021-02-25 09:35,210.75,1,320.00,0.05,1920.00,0.16,4320.00,0.64,1280.00,0.19
16,Exit Long,SELL,2021-02-25 13:10,210.85,1,320.00,0.05,1920.00,0.16,4320.00,0.64,1280.00,0.19
17,Entry Short,SELL,2021-02-25 13:10,210.85,1,1600.00,0.24,3520.00,0.79,2080.00,0.31,1120.00,0.17
17,Exit Short,INTRADAY_SExit,2021-02-25 15:05,210.35,1,1600.00,0.24,3520.00,0.79,2080.00,0.31,1120.00,0.17
18,Entry Long,BUY,2021-03-01 10:20,206.95,1,1280.00,0.19,4800.00,0.63,5120.00,0.77,3680.00,0.56
18,Exit Long,SELL,2021-03-01 15:00,207.35,1,1280.00,0.19,4800.00,0.63,5120.00,0.77,3680.00,0.56
19,Entry Short,SELL,2021-03-01 15:00,207.35,1,-640.00,-0.1,4160.00,-0.31,160.00,0.02,960.00,0.14
19,Exit Short,INTRADAY_SExit,2021-03-01 15:05,207.55,1,-640.00,-0.1,4160.00,-0.31,160.00,0.02,960.00,0.14
20,Entry Long,BUY,2021-03-02 09:40,210.05,1,2720.00,0.4,6880.00,1.33,6240.00,0.93,1440.00,0.21
20,Exit Long,INTRADAY_BExit,2021-03-02 15:05,210.90,1,2720.00,0.4,6880.00,1.33,6240.00,0.93,1440.00,0.21
21,Entry Short,SELL,2021-03-03 13:55,211.00,1,-320.00,-0.05,6560.00,-0.15,2080.00,0.31,800.00,0.12
21,Exit Short,BUY,2021-03-03 14:30,211.10,1,-320.00,-0.05,6560.00,-0.15,2080.00,0.31,800.00,0.12
22,Entry Long,BUY,2021-03-03 14:30,211.10,1,1440.00,0.21,8000.00,0.7,2240.00,0.33,1280.00,0.19
22,Exit Long,INTRADAY_BExit,2021-03-03 15:05,211.55,1,1440.00,0.21,8000.00,0.7,2240.00,0.33,1280.00,0.19
23,Entry Short,SELL,2021-03-04 09:35,209.45,1,-5920.00,-0.88,2080.00,-2.85,3360.00,0.5,6240.00,0.93
23,Exit Short,BUY,2021-03-04 11:15,211.30,1,-5920.00,-0.88,2080.00,-2.85,3360.00,0.5,6240.00,0.93
24,Entry Long,BUY,2021-03-04 11:15,211.30,1,-1440.00,-0.21,640.00,-0.71,3360.00,0.5,2720.00,0.4
24,Exit Long,INTRADAY_BExit,2021-03-04 15:05,210.85,1,-1440.00,-0.21,640.00,-0.71,3360.00,0.5,2720.00,0.4
25,Entry Short,SELL,2021-03-05 09:35,209.50,1,-1600.00,-0.24,-960.00,-0.8,3040.00,0.45,2720.00,0.41
25,Exit Short,BUY,2021-03-05 13:05,210.00,1,-1600.00,-0.24,-960.00,-0.8,3040.00,0.45,2720.00,0.41
26,Entry Long,BUY,2021-03-05 13:05,210.00,1,-3360.00,-0.5,-4320.00,-1.69,640.00,0.1,3840.00,0.57
26,Exit Long,SELL,2021-03-05 14:00,208.95,1,-3360.00,-0.5,-4320.00,-1.69,640.00,0.1,3840.00,0.57
27,Entry Short,SELL,2021-03-05 14:00,208.95,1,-320.00,-0.05,-4640.00,-0.16,2880.00,0.43,800.00,0.12
27,Exit Short,INTRADAY_SExit,2021-03-05 15:05,209.05,1,-320.00,-0.05,-4640.00,-0.16,2880.00,0.43,800.00,0.12
28,Entry Long,BUY,2021-03-08 09:35,209.50,1,-960.00,-0.14,-5600.00,-0.49,5120.00,0.76,1920.00,0.29
