Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-15 04:40,214.50,1,640.00,0.09,640.00,0.32,6880.00,1,0,0
1,Exit Long,SELL,2021-02-15 07:05,214.70,1,640.00,0.09,640.00,0.32,6880.00,1,0,0
2,Entry Short,SELL,2021-02-15 07:05,214.70,1,-800.00,-0.12,-160.00,-0.4,480.00,0.07,1440.00,0.21
2,Exit Short,BUY,2021-02-15 08:05,214.95,1,-800.00,-0.12,-160.00,-0.4,480.00,0.07,1440.00,0.21
3,Entry Long,BUY,2021-02-15 08:05,214.95,1,-1120.00,-0.16,-1280.00,-0.56,1440.00,0.21,1280.00,0.19
3,Exit Long,SELL,2021-02-15 08:40,214.60,1,-1120.00,-0.16,-1280.00,-0.56,1440.00,0.21,1280.00,0.19
4,Entry Short,SELL,2021-02-15 08:40,214.60,1,960.00,0.14,-320.00,0.48,1920.00,0.28,640.00,0.09
4,Exit Short,INTRADAY_SExit,2021-02-15 09:35,214.30,1,960.00,0.14,-320.00,0.48,1920.00,0.28,640.00,0.09
5,Entry Short,SELL,2021-02-16 04:25,214.15,1,-4000.00,-0.58,-4320.00,-2,960.00,0.14,4000.00,0.58
5,Exit Short,BUY,2021-02-16 05:00,215.40,1,-4000.00,-0.58,-4320.00,-2,960.00,0.14,4000.00,0.58
6,Entry Long,BUY,2021-02-16 05:00,215.40,1,-640.00,-0.09,-4960.00,-0.33,5760.00,0.84,1760.00,0.26
6,Exit Long,SELL,2021-02-16 07:10,215.20,1,-640.00,-0.09,-4960.00,-0.33,5760.00,0.84,1760.00,0.26
7,Entry Short,SELL,2021-02-16 07:10,215.20,1,2720.00,0.39,-2240.00,1.39,6880.00,1,160.00,0.02
7,Exit Short,INTRADAY_SExit,2021-02-16 09:35,214.35,1,2720.00,0.39,-2240.00,1.39,6880.00,1,160.00,0.02
8,Entry Short,SELL,2021-02-17 04:45,212.90,1,-1760.00,-0.26,-4000.00,-0.89,640.00,0.09,2080.00,0.31
8,Exit Short,BUY,2021-02-17 05:30,213.45,1,-1760.00,-0.26,-4000.00,-0.89,640.00,0.09,2080.00,0.31
9,Entry Long,BUY,2021-02-17 05:30,213.45,1,-1120.00,-0.16,-5120.00,-0.57,1440.00,0.21,1440.00,0.21
9,Exit Long,SELL,2021-02-17 06:20,213.10,1,-1120.00,-0.16,-5120.00,-0.57,1440.00,0.21,1440.00,0.21
10,Entry Short,SELL,2021-02-17 06:20,213.10,1,0,0,-5120.00,0,3200.00,0.47,960.00,0.14
10,Exit Short,INTRADAY_SExit,2021-02-17 09:35,213.10,1,0,0,-5120.00,0,3200.00,0.47,960.00,0.14
11,Entry Long,BUY,2021-02-18 04:05,213.70,1,2560.00,0.37,-2560.00,1.31,8000.00,1.17,800.00,0.12
11,Exit Long,SELL,2021-02-18 07:05,214.50,1,2560.00,0.37,-2560.00,1.31,8000.00,1.17,800.00,0.12
12,Entry Short,SELL,2021-02-18 07:05,214.50,1,160.00,0.02,-2400.00,0.08,2560.00,0.37,2240.00,0.33
12,Exit Short,INTRADAY_SExit,2021-02-18 09:35,214.45,1,160.00,0.02,-2400.00,0.08,2560.00,0.37,2240.00,0.33
13,Entry Short,SELL,2021-02-19 04:05,213.70,1,-1600.00,-0.23,-4000.00,-0.81,160.00,0.02,1600.00,0.23
13,Exit Short,BUY,2021-02-19 04:20,214.20,1,-1600.00,-0.23,-4000.00,-0.81,160.00,0.02,1600.00,0.23
14,Entry Long,BUY,2021-02-19 04:20,214.20,1,-3360.00,-0.49,-7360.00,-1.71,160.00,0.02,3360.00,0.49
14,Exit Long,SELL,2021-02-19 05:30,213.15,1,-3360.00,-0.49,-7360.00,-1.71,160.00,0.02,3360.00,0.49
15,Entry Short,SELL,2021-02-19 05:30,213.15,1,-2720.00,-0.4,-10080.00,-1.41,2080.00,0.3,3520.00,0.52
15,Exit Short,BUY,2021-02-19 07:20,214.00,1,-2720.00,-0.4,-10080.00,-1.41,2080.00,0.3,3520.00,0.52
16,Entry Long,BUY,2021-02-19 07:20,214.00,1,-2720.00,-0.4,-12800.00,-1.43,160.00,0.02,2880.00,0.42
16,Exit Long,SELL,2021-02-19 07:50,213.15,1,-2720.00,-0.4,-12800.00,-1.43,160.00,0.02,2880.00,0.42
17,Entry Short,SELL,2021-02-19 07:50,213.15,1,6880.00,1.01,-5920.00,3.68,12160.00,1.78,480.00,0.07
17,Exit Short,INTRADAY_SExit,2021-02-19 09:35,211.00,1,6880.00,1.01,-5920.00,3.68,12160.00,1.78,480.00,0.07
18,Entry Short,SELL,2021-02-22 04:15,209.70,1,6560.00,0.98,640.00,3.38,10400.00,1.55,960.00,0.14
18,Exit Short,INTRADAY_SExit,2021-02-22 09:35,207.65,1,6560.00,0.98,640.00,3.38,10400.00,1.55,960.00,0.14
19,Entry Long,BUY,2021-02-23 04:30,208.60,1,960.00,0.14,1600.00,0.48,6880.00,1.03,800.00,0.12
19,Exit Long,SELL,2021-02-23 07:10,208.90,1,960.00,0.14,1600.00,0.48,6880.00,1.03,800.00,0.12
20,Entry Short,SELL,2021-02-23 07:10,208.90,1,-2400.00,-0.36,-800.00,-1.19,0,0,2880.00,0.43
20,Exit Short,BUY,2021-02-23 07:25,209.65,1,-2400.00,-0.36,-800.00,-1.19,0,0,2880.00,0.43
21,Entry Long,BUY,2021-02-23 07:25,209.65,1,-2240.00,-0.33,-3040.00,-1.12,2400.00,0.36,2240.00,0.33
21,Exit Long,SELL,2021-02-23 08:20,208.95,1,-2240.00,-0.33,-3040.00,-1.12,2400.00,0.36,2240.00,0.33
22,Entry Short,SELL,2021-02-23 08:20,208.95,1,2880.00,0.43,-160.00,1.46,3520.00,0.53,480.00,0.07
22,Exit Short,INTRADAY_SExit,2021-02-23 09:35,208.05,1,2880.00,0.43,-160.00,1.46,3520.00,0.53,480.00,0.07
23,Entry Long,BUY,2021-02-24 04:55,209.00,1,-24000.00,-3.59,-24160.00,-12.01,1280.00,0.19,24000.00,3.59
23,Exit Long,SELL,2021-02-24 10:15,201.50,1,-24000.00,-3.59,-24160.00,-12.01,1280.00,0.19,24000.00,3.59
24,Entry Short,SELL,2021-02-24 10:15,201.50,1,-20320.00,-3.15,-44480.00,-11.56,0,0,20800.00,3.23
24,Exit Short,INTRADAY_SExit,2021-02-24 10:20,207.85,1,-20320.00,-3.15,-44480.00,-11.56,0,0,20800.00,3.23
