Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-15 14:55,403.25,1,-1620.00,-0.3,-1620.00,-0.81,1147.50,0.21,1620.00,0.3
1,Exit Short,INTRADAY_SExit,2021-02-15 15:05,404.45,1,-1620.00,-0.3,-1620.00,-0.81,1147.50,0.21,1620.00,0.3
2,Entry Long,BUY,2021-02-16 09:35,422.30,1,-4050.00,-0.71,-5670.00,-2.04,0,0,4657.50,0.82
2,Exit Long,BUY_SL_HIT,2021-02-16 09:40,419.30,1,-4050.00,-0.71,-5670.00,-2.04,0,0,4657.50,0.82
3,Entry Short,SELL,2021-02-16 11:25,413.15,1,-2632.50,-0.47,-8302.50,-1.35,2430.00,0.44,3577.50,0.64
3,Exit Short,SELL_SL_HIT,2021-02-16 12:15,415.10,1,-2632.50,-0.47,-8302.50,-1.35,2430.00,0.44,3577.50,0.64
4,Entry Long,BUY,2021-02-16 14:50,411.95,1,-3037.50,-0.55,-11340.00,-1.58,0,0,3645.00,0.66
4,Exit Long,BUY_SL_HIT,2021-02-16 15:00,409.70,1,-3037.50,-0.55,-11340.00,-1.58,0,0,3645.00,0.66
5,Entry Short,SELL,2021-02-17 09:35,405.90,1,3240.00,0.59,-8100.00,1.72,3240.00,0.59,1890.00,0.34
5,Exit Short,SELL_TG_HIT,2021-02-17 10:05,403.50,1,3240.00,0.59,-8100.00,1.72,3240.00,0.59,1890.00,0.34
6,Entry Long,BUY,2021-02-17 11:25,410.50,1,-5062.50,-0.91,-13162.50,-2.64,0,0,5265.00,0.95
6,Exit Long,BUY_SL_HIT,2021-02-17 12:45,406.75,1,-5062.50,-0.91,-13162.50,-2.64,0,0,5265.00,0.95
7,Entry Short,SELL,2021-02-17 12:55,405.40,1,3442.50,0.63,-9720.00,1.84,3442.50,0.63,2632.50,0.48
7,Exit Short,SELL_TG_HIT,2021-02-17 13:40,402.85,1,3442.50,0.63,-9720.00,1.84,3442.50,0.63,2632.50,0.48
8,Entry Long,BUY,2021-02-17 14:20,406.30,1,3780.00,0.69,-5940.00,1.99,4117.50,0.75,0,0
8,Exit Long,BUY_TG_HIT,2021-02-17 14:40,409.10,1,3780.00,0.69,-5940.00,1.99,4117.50,0.75,0,0
9,Entry Short,SELL,2021-02-18 10:45,408.75,1,2362.50,0.43,-3577.50,1.22,2700.00,0.49,1282.50,0.23
9,Exit Short,SELL_TG_HIT,2021-02-18 11:45,407.00,1,2362.50,0.43,-3577.50,1.22,2700.00,0.49,1282.50,0.23
10,Entry Long,BUY,2021-02-18 13:05,408.90,1,-3645.00,-0.66,-7222.50,-1.86,1957.50,0.35,3847.50,0.7
