Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:05,364.85,100,-290.00,-0.79,-290.00,-0.29,85.00,0.23,310.00,0.85
1,Exit Short,BUY,2021-02-01 04:50,367.75,100,-290.00,-0.79,-290.00,-0.29,85.00,0.23,310.00,0.85
2,Entry Long,BUY,2021-02-01 04:50,367.75,100,265.00,0.72,-25.00,0.27,715.00,1.94,215.00,0.58
2,Exit Long,SELL,2021-02-01 06:50,370.40,100,265.00,0.72,-25.00,0.27,715.00,1.94,215.00,0.58
3,Entry Short,SELL,2021-02-01 06:50,370.40,100,-300.00,-0.81,-325.00,-0.3,640.00,1.73,320.00,0.86
3,Exit Short,BUY,2021-02-01 07:25,373.40,100,-300.00,-0.81,-325.00,-0.3,640.00,1.73,320.00,0.86
4,Entry Long,BUY,2021-02-01 07:25,373.40,100,1020.00,2.73,695.00,1.02,1100.00,2.95,170.00,0.46
4,Exit Long,BUY_TG_HIT,2021-02-01 09:25,383.60,100,1020.00,2.73,695.00,1.02,1100.00,2.95,170.00,0.46
5,Entry Long,BUY,2021-02-02 04:05,386.10,100,-275.00,-0.71,420.00,-0.27,160.00,0.41,295.00,0.76
5,Exit Long,SELL,2021-02-02 04:50,383.35,100,-275.00,-0.71,420.00,-0.27,160.00,0.41,295.00,0.76
6,Entry Short,SELL,2021-02-02 04:50,383.35,100,145.00,0.38,565.00,0.14,665.00,1.73,115.00,0.3
6,Exit Short,BUY,2021-02-02 05:55,381.90,100,145.00,0.38,565.00,0.14,665.00,1.73,115.00,0.3
7,Entry Long,BUY,2021-02-02 05:55,381.90,100,110.00,0.29,675.00,0.11,375.00,0.98,85.00,0.22
7,Exit Long,SELL,2021-02-02 07:15,383.00,100,110.00,0.29,675.00,0.11,375.00,0.98,85.00,0.22
8,Entry Short,SELL,2021-02-02 07:15,383.00,100,-180.00,-0.47,495.00,-0.18,135.00,0.35,230.00,0.6
8,Exit Short,BUY,2021-02-02 07:35,384.80,100,-180.00,-0.47,495.00,-0.18,135.00,0.35,230.00,0.6
9,Entry Long,BUY,2021-02-02 07:35,384.80,100,345.00,0.9,840.00,0.34,690.00,1.79,65.00,0.17
9,Exit Long,SELL,2021-02-02 09:15,388.25,100,345.00,0.9,840.00,0.34,690.00,1.79,65.00,0.17
10,Entry Short,SELL,2021-02-02 09:15,388.25,100,-85.00,-0.22,755.00,-0.08,150.00,0.39,190.00,0.49
10,Exit Short,INTRADAY_SExit,2021-02-02 09:35,389.10,100,-85.00,-0.22,755.00,-0.08,150.00,0.39,190.00,0.49
11,Entry Short,SELL,2021-02-03 04:05,388.25,100,-550.00,-1.42,205.00,-0.55,295.00,0.76,555.00,1.43
11,Exit Short,BUY,2021-02-03 04:50,393.75,100,-550.00,-1.42,205.00,-0.55,295.00,0.76,555.00,1.43
12,Entry Long,BUY,2021-02-03 04:50,393.75,100,20.00,0.05,225.00,0.02,455.00,1.16,75.00,0.19
12,Exit Long,SELL,2021-02-03 06:15,393.95,100,20.00,0.05,225.00,0.02,455.00,1.16,75.00,0.19
13,Entry Short,SELL,2021-02-03 06:15,393.95,100,-40.00,-0.1,185.00,-0.04,170.00,0.43,105.00,0.27
13,Exit Short,BUY,2021-02-03 08:05,394.35,100,-40.00,-0.1,185.00,-0.04,170.00,0.43,105.00,0.27
14,Entry Long,BUY,2021-02-03 08:05,394.35,100,-35.00,-0.09,150.00,-0.03,410.00,1.04,115.00,0.29
14,Exit Long,SELL,2021-02-03 09:25,394.00,100,-35.00,-0.09,150.00,-0.03,410.00,1.04,115.00,0.29
15,Entry Short,SELL,2021-02-03 09:25,394.00,100,60.00,0.15,210.00,0.06,105.00,0.27,145.00,0.37
15,Exit Short,INTRADAY_SExit,2021-02-03 09:35,393.40,100,60.00,0.15,210.00,0.06,105.00,0.27,145.00,0.37
16,Entry Long,BUY,2021-02-04 04:20,395.50,100,310.00,0.78,520.00,0.31,540.00,1.37,140.00,0.35
16,Exit Long,SELL,2021-02-04 06:25,398.60,100,310.00,0.78,520.00,0.31,540.00,1.37,140.00,0.35
17,Entry Short,SELL,2021-02-04 06:25,398.60,100,-195.00,-0.49,325.00,-0.19,10.00,0.03,265.00,0.66
17,Exit Short,BUY,2021-02-04 07:10,400.55,100,-195.00,-0.49,325.00,-0.19,10.00,0.03,265.00,0.66
18,Entry Long,BUY,2021-02-04 07:10,400.55,100,-105.00,-0.26,220.00,-0.1,145.00,0.36,170.00,0.42
18,Exit Long,SELL,2021-02-04 07:45,399.50,100,-105.00,-0.26,220.00,-0.1,145.00,0.36,170.00,0.42
19,Entry Short,SELL,2021-02-04 07:45,399.50,100,-150.00,-0.38,70.00,-0.15,65.00,0.16,190.00,0.48
19,Exit Short,BUY,2021-02-04 08:45,401.00,100,-150.00,-0.38,70.00,-0.15,65.00,0.16,190.00,0.48
20,Entry Long,BUY,2021-02-04 08:45,401.00,100,-290.00,-0.72,-220.00,-0.29,0,0,290.00,0.72
20,Exit Long,SELL,2021-02-04 09:30,398.10,100,-290.00,-0.72,-220.00,-0.29,0,0,290.00,0.72
21,Entry Short,SELL,2021-02-04 09:30,398.10,100,-180.00,-0.45,-400.00,-0.18,0,0,200.00,0.5
21,Exit Short,INTRADAY_SExit,2021-02-04 09:35,399.90,100,-180.00,-0.45,-400.00,-0.18,0,0,200.00,0.5
22,Entry Short,SELL,2021-02-05 04:05,396.70,100,320.00,0.81,-80.00,0.32,755.00,1.9,115.00,0.29
22,Exit Short,BUY,2021-02-05 05:40,393.50,100,320.00,0.81,-80.00,0.32,755.00,1.9,115.00,0.29
23,Entry Long,BUY,2021-02-05 05:40,393.50,100,885.00,2.25,805.00,0.89,1120.00,2.85,50.00,0.13
23,Exit Long,BUY_TG_HIT,2021-02-05 06:10,402.35,100,885.00,2.25,805.00,0.89,1120.00,2.85,50.00,0.13
24,Entry Short,SELL,2021-02-05 07:45,401.10,100,-235.00,-0.59,570.00,-0.23,340.00,0.85,240.00,0.6
24,Exit Short,BUY,2021-02-05 08:50,403.45,100,-235.00,-0.59,570.00,-0.23,340.00,0.85,240.00,0.6
