Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-01 09:45,387.40,100,-105.00,-0.27,-105.00,-0.1,280.00,0.72,150.00,0.39
1,Exit Short,BUY,2021-01-01 11:00,388.45,100,-105.00,-0.27,-105.00,-0.1,280.00,0.72,150.00,0.39
2,Entry Long,BUY,2021-01-01 11:00,388.45,100,120.00,0.31,15.00,0.12,305.00,0.79,175.00,0.45
2,Exit Long,INTRADAY_BExit,2021-01-01 15:15,389.65,100,120.00,0.31,15.00,0.12,305.00,0.79,175.00,0.45
3,Entry Long,BUY,2021-01-04 09:45,395.50,100,35.00,0.09,50.00,0.03,440.00,1.11,0,0
3,Exit Long,SELL,2021-01-04 11:00,395.85,100,35.00,0.09,50.00,0.03,440.00,1.11,0,0
4,Entry Short,SELL,2021-01-04 11:00,395.85,100,-215.00,-0.54,-165.00,-0.21,185.00,0.47,265.00,0.67
4,Exit Short,BUY,2021-01-04 11:30,398.00,100,-215.00,-0.54,-165.00,-0.21,185.00,0.47,265.00,0.67
5,Entry Long,BUY,2021-01-04 11:30,398.00,100,-105.00,-0.26,-270.00,-0.11,245.00,0.62,150.00,0.38
5,Exit Long,SELL,2021-01-04 14:00,396.95,100,-105.00,-0.26,-270.00,-0.11,245.00,0.62,150.00,0.38
6,Entry Short,SELL,2021-01-04 14:00,396.95,100,-285.00,-0.72,-555.00,-0.29,130.00,0.33,405.00,1.02
6,Exit Short,BUY,2021-01-04 15:00,399.80,100,-285.00,-0.72,-555.00,-0.29,130.00,0.33,405.00,1.02
7,Entry Long,BUY,2021-01-04 15:00,399.80,100,450.00,1.13,-105.00,0.45,470.00,1.18,0,0
7,Exit Long,INTRADAY_BExit,2021-01-04 15:15,404.30,100,450.00,1.13,-105.00,0.45,470.00,1.18,0,0
8,Entry Short,SELL,2021-01-05 09:45,395.50,100,40.00,0.1,-65.00,0.04,390.00,0.99,410.00,1.04
8,Exit Short,BUY,2021-01-05 13:45,395.10,100,40.00,0.1,-65.00,0.04,390.00,0.99,410.00,1.04
9,Entry Long,BUY,2021-01-05 13:45,395.10,100,40.00,0.1,-25.00,0.04,100.00,0.25,195.00,0.49
9,Exit Long,INTRADAY_BExit,2021-01-05 15:15,395.50,100,40.00,0.1,-25.00,0.04,100.00,0.25,195.00,0.49
10,Entry Short,SELL,2021-01-06 10:15,397.45,100,-215.00,-0.54,-240.00,-0.22,170.00,0.43,215.00,0.54
