Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-01 07:45,1754.00,1,9040.00,1.29,9040.00,4.52,10780.00,1.54,240.00,0.03
1,Exit Long,BUY_TG_HIT,2021-02-01 08:15,1776.60,1,9040.00,1.29,9040.00,4.52,10780.00,1.54,240.00,0.03
2,Entry Short,SELL,2021-02-03 04:45,1835.60,1,-14600.00,-1.99,-5560.00,-6.98,0,0,19760.00,2.69
2,Exit Short,SELL_SL_HIT,2021-02-03 06:15,1872.10,1,-14600.00,-1.99,-5560.00,-6.98,0,0,19760.00,2.69
3,Entry Long,BUY,2021-02-04 06:45,1897.50,1,7380.00,0.97,1820.00,3.8,7380.00,0.97,540.00,0.07
3,Exit Long,INTRADAY_BExit,2021-02-05 03:45,1915.95,1,7380.00,0.97,1820.00,3.8,7380.00,0.97,540.00,0.07
4,Entry Short,SELL,2021-02-08 05:45,1979.00,1,7860.00,0.99,9680.00,3.89,8440.00,1.07,1080.00,0.14
4,Exit Short,SELL_TG_HIT,2021-02-08 06:15,1959.35,1,7860.00,0.99,9680.00,3.89,8440.00,1.07,1080.00,0.14
5,Entry Short,SELL,2021-02-09 09:15,1959.10,1,2480.00,0.32,12160.00,1.18,6620.00,0.84,660.00,0.08
5,Exit Short,INTRADAY_SExit,2021-02-10 03:45,1952.90,1,2480.00,0.32,12160.00,1.18,6620.00,0.84,660.00,0.08
6,Entry Short,SELL,2021-02-10 08:15,1940.15,1,-2700.00,-0.35,9460.00,-1.27,1340.00,0.17,8680.00,1.12
6,Exit Short,INTRADAY_SExit,2021-02-11 03:45,1946.90,1,-2700.00,-0.35,9460.00,-1.27,1340.00,0.17,8680.00,1.12
7,Entry Long,BUY,2021-02-11 04:45,1955.65,1,9160.00,1.17,18620.00,4.37,10900.00,1.39,0,0
7,Exit Long,BUY_TG_HIT,2021-02-11 07:15,1978.55,1,9160.00,1.17,18620.00,4.37,10900.00,1.39,0,0
8,Entry Short,SELL,2021-02-12 07:15,1961.40,1,-2440.00,-0.31,16180.00,-1.12,4960.00,0.63,3220.00,0.41
8,Exit Short,INTRADAY_SExit,2021-02-15 03:45,1967.50,1,-2440.00,-0.31,16180.00,-1.12,4960.00,0.63,3220.00,0.41
9,Entry Long,BUY,2021-02-15 06:15,1995.15,1,2740.00,0.34,18920.00,1.27,2740.00,0.34,6920.00,0.87
9,Exit Long,INTRADAY_BExit,2021-02-16 03:45,2002.00,1,2740.00,0.34,18920.00,1.27,2740.00,0.34,6920.00,0.87
10,Entry Short,SELL,2021-02-16 07:45,2016.20,1,-2720.00,-0.34,16200.00,-1.24,2280.00,0.28,5500.00,0.68
10,Exit Short,INTRADAY_SExit,2021-02-17 03:45,2023.00,1,-2720.00,-0.34,16200.00,-1.24,2280.00,0.28,5500.00,0.68
11,Entry Long,BUY,2021-02-19 05:15,1963.75,1,-8900.00,-1.13,7300.00,-4.12,460.00,0.06,10320.00,1.31
11,Exit Long,BUY_SL_HIT,2021-02-19 08:45,1941.50,1,-8900.00,-1.13,7300.00,-4.12,460.00,0.06,10320.00,1.31
12,Entry Long,BUY,2021-02-22 04:45,1948.10,1,-4040.00,-0.52,3260.00,-1.95,4500.00,0.58,6500.00,0.83
12,Exit Long,SELL,2021-02-22 07:45,1938.00,1,-4040.00,-0.52,3260.00,-1.95,4500.00,0.58,6500.00,0.83
13,Entry Short,SELL,2021-02-22 07:45,1938.00,1,-3260.00,-0.42,0,-1.6,4500.00,0.58,5520.00,0.71
13,Exit Short,BUY,2021-02-22 09:45,1946.15,1,-3260.00,-0.42,0,-1.6,4500.00,0.58,5520.00,0.71
