Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-15 13:25,1990.00,1,240.00,0.03,240.00,0.12,4860.00,0.61,1820.00,0.23
1,Exit Short,BUY,2021-02-15 14:50,1989.40,1,240.00,0.03,240.00,0.12,4860.00,0.61,1820.00,0.23
2,Entry Long,BUY,2021-02-15 14:50,1989.40,1,-420.00,-0.05,-180.00,-0.21,200.00,0.03,2300.00,0.29
2,Exit Long,INTRADAY_BExit,2021-02-15 15:05,1988.35,1,-420.00,-0.05,-180.00,-0.21,200.00,0.03,2300.00,0.29
3,Entry Short,SELL,2021-02-16 10:00,2026.15,1,2380.00,0.29,2200.00,1.19,6260.00,0.77,4740.00,0.58
3,Exit Short,BUY,2021-02-16 14:40,2020.20,1,2380.00,0.29,2200.00,1.19,6260.00,0.77,4740.00,0.58
4,Entry Long,BUY,2021-02-16 14:40,2020.20,1,-980.00,-0.12,1220.00,-0.48,100.00,0.01,2480.00,0.31
4,Exit Long,INTRADAY_BExit,2021-02-16 15:05,2017.75,1,-980.00,-0.12,1220.00,-0.48,100.00,0.01,2480.00,0.31
5,Entry Short,SELL,2021-02-17 09:35,2014.10,1,9840.00,1.22,11060.00,4.89,9840.00,1.22,1980.00,0.25
5,Exit Short,SELL_TG_HIT,2021-02-17 09:40,1989.50,1,9840.00,1.22,11060.00,4.89,9840.00,1.22,1980.00,0.25
6,Entry Long,BUY,2021-02-17 10:45,1992.85,1,7060.00,0.89,18120.00,3.35,8280.00,1.04,1740.00,0.22
6,Exit Long,BUY_TG_HIT,2021-02-17 12:25,2010.50,1,7060.00,0.89,18120.00,3.35,8280.00,1.04,1740.00,0.22
7,Entry Short,SELL,2021-02-17 13:00,1994.45,1,-3320.00,-0.42,14800.00,-1.52,1400.00,0.18,3680.00,0.46
7,Exit Short,BUY,2021-02-17 13:25,2002.75,1,-3320.00,-0.42,14800.00,-1.52,1400.00,0.18,3680.00,0.46
8,Entry Long,BUY,2021-02-17 13:25,2002.75,1,-3060.00,-0.38,11740.00,-1.42,860.00,0.11,4780.00,0.6
8,Exit Long,SELL,2021-02-17 14:50,1995.10,1,-3060.00,-0.38,11740.00,-1.42,860.00,0.11,4780.00,0.6
9,Entry Short,SELL,2021-02-17 14:50,1995.10,1,2620.00,0.33,14360.00,1.24,3220.00,0.4,300.00,0.04
9,Exit Short,INTRADAY_SExit,2021-02-17 15:05,1988.55,1,2620.00,0.33,14360.00,1.24,3220.00,0.4,300.00,0.04
10,Entry Long,BUY,2021-02-18 14:15,1952.80,1,-2500.00,-0.32,11860.00,-1.17,380.00,0.05,3220.00,0.41
10,Exit Long,INTRADAY_BExit,2021-02-18 15:05,1946.55,1,-2500.00,-0.32,11860.00,-1.17,380.00,0.05,3220.00,0.41
11,Entry Short,SELL,2021-02-19 09:35,1937.80,1,-3600.00,-0.46,8260.00,-1.7,340.00,0.04,4100.00,0.53
11,Exit Short,BUY,2021-02-19 09:45,1946.80,1,-3600.00,-0.46,8260.00,-1.7,340.00,0.04,4100.00,0.53
12,Entry Long,BUY,2021-02-19 09:45,1946.80,1,7100.00,0.91,15360.00,3.41,7780.00,1,380.00,0.05
12,Exit Long,BUY_TG_HIT,2021-02-19 10:35,1964.55,1,7100.00,0.91,15360.00,3.41,7780.00,1,380.00,0.05
13,Entry Short,SELL,2021-02-19 11:05,1947.50,1,-1140.00,-0.15,14220.00,-0.53,1800.00,0.23,4360.00,0.56
13,Exit Short,BUY,2021-02-19 12:00,1950.35,1,-1140.00,-0.15,14220.00,-0.53,1800.00,0.23,4360.00,0.56
14,Entry Long,BUY,2021-02-19 12:00,1950.35,1,-1800.00,-0.23,12420.00,-0.84,0,0,2680.00,0.34
14,Exit Long,SELL,2021-02-19 12:25,1945.85,1,-1800.00,-0.23,12420.00,-0.84,0,0,2680.00,0.34
15,Entry Short,SELL,2021-02-19 12:25,1945.85,1,-3460.00,-0.44,8960.00,-1.63,800.00,0.1,4880.00,0.63
15,Exit Short,BUY,2021-02-19 13:30,1954.50,1,-3460.00,-0.44,8960.00,-1.63,800.00,0.1,4880.00,0.63
16,Entry Long,BUY,2021-02-19 13:30,1954.50,1,-6400.00,-0.82,2560.00,-3.06,1200.00,0.15,6620.00,0.85
16,Exit Long,SELL,2021-02-19 14:10,1938.50,1,-6400.00,-0.82,2560.00,-3.06,1200.00,0.15,6620.00,0.85
17,Entry Short,SELL,2021-02-19 14:10,1938.50,1,5000.00,0.64,7560.00,2.47,6460.00,0.83,2700.00,0.35
17,Exit Short,INTRADAY_SExit,2021-02-19 15:05,1926.00,1,5000.00,0.64,7560.00,2.47,6460.00,0.83,2700.00,0.35
18,Entry Long,BUY,2021-02-22 09:35,1947.00,1,-620.00,-0.08,6940.00,-0.3,4940.00,0.63,3520.00,0.45
18,Exit Long,SELL,2021-02-22 12:15,1945.45,1,-620.00,-0.08,6940.00,-0.3,4940.00,0.63,3520.00,0.45
19,Entry Short,SELL,2021-02-22 12:15,1945.45,1,6720.00,0.86,13660.00,3.25,7480.00,0.96,900.00,0.12
19,Exit Short,SELL_TG_HIT,2021-02-22 14:20,1928.65,1,6720.00,0.86,13660.00,3.25,7480.00,0.96,900.00,0.12
20,Entry Long,BUY,2021-02-22 14:50,1947.80,1,-2280.00,-0.29,11380.00,-1.07,1180.00,0.15,2520.00,0.32
20,Exit Long,INTRADAY_BExit,2021-02-22 15:05,1942.10,1,-2280.00,-0.29,11380.00,-1.07,1180.00,0.15,2520.00,0.32
21,Entry Short,SELL,2021-02-23 09:35,1912.70,1,6760.00,0.88,18140.00,3.2,6960.00,0.91,5880.00,0.77
21,Exit Short,SELL_TG_HIT,2021-02-23 11:20,1895.80,1,6760.00,0.88,18140.00,3.2,6960.00,0.91,5880.00,0.77
22,Entry Long,BUY,2021-02-23 13:15,1891.95,1,-2780.00,-0.37,15360.00,-1.27,780.00,0.1,6360.00,0.84
22,Exit Long,SELL,2021-02-23 13:45,1885.00,1,-2780.00,-0.37,15360.00,-1.27,780.00,0.1,6360.00,0.84
23,Entry Short,SELL,2021-02-23 13:45,1885.00,1,3340.00,0.44,18700.00,1.55,3960.00,0.53,1380.00,0.18
23,Exit Short,INTRADAY_SExit,2021-02-23 15:05,1876.65,1,3340.00,0.44,18700.00,1.55,3960.00,0.53,1380.00,0.18
24,Entry Long,BUY,2021-02-24 10:10,1875.60,1,-240.00,-0.03,18460.00,-0.11,7120.00,0.95,3840.00,0.51
24,Exit Long,INTRADAY_BExit,2021-02-24 15:50,1875.00,1,-240.00,-0.03,18460.00,-0.11,7120.00,0.95,3840.00,0.51
25,Entry Long,BUY,2021-02-25 09:35,1967.30,1,-7440.00,-0.95,11020.00,-3.41,2740.00,0.35,8160.00,1.04
25,Exit Long,BUY_SL_HIT,2021-02-25 10:00,1948.70,1,-7440.00,-0.95,11020.00,-3.41,2740.00,0.35,8160.00,1.04
26,Entry Short,SELL,2021-02-25 10:15,1943.25,1,7300.00,0.94,18320.00,3.46,8340.00,1.07,1180.00,0.15
26,Exit Short,SELL_TG_HIT,2021-02-25 11:25,1925.00,1,7300.00,0.94,18320.00,3.46,8340.00,1.07,1180.00,0.15
27,Entry Long,BUY,2021-02-25 14:35,1910.35,1,1400.00,0.18,19720.00,0.64,3340.00,0.44,1620.00,0.21
27,Exit Long,INTRADAY_BExit,2021-02-25 15:05,1913.85,1,1400.00,0.18,19720.00,0.64,3340.00,0.44,1620.00,0.21
28,Entry Short,SELL,2021-02-26 09:35,1857.55,1,6860.00,0.92,26580.00,3.12,9380.00,1.26,2860.00,0.38
28,Exit Short,SELL_TG_HIT,2021-02-26 10:30,1840.40,1,6860.00,0.92,26580.00,3.12,9380.00,1.26,2860.00,0.38
29,Entry Long,BUY,2021-02-26 14:35,1803.20,1,-4340.00,-0.6,22240.00,-1.92,2960.00,0.41,4680.00,0.65
29,Exit Long,INTRADAY_BExit,2021-02-26 15:05,1792.35,1,-4340.00,-0.6,22240.00,-1.92,2960.00,0.41,4680.00,0.65
30,Entry Long,BUY,2021-03-01 09:35,1815.15,1,7180.00,0.99,29420.00,3.23,8420.00,1.16,0,0
30,Exit Long,BUY_TG_HIT,2021-03-01 09:50,1833.10,1,7180.00,0.99,29420.00,3.23,8420.00,1.16,0,0
31,Entry Short,SELL,2021-03-01 11:35,1834.45,1,-20.00,0,29400.00,-0.01,5420.00,0.74,1740.00,0.24
31,Exit Short,BUY,2021-03-01 12:55,1834.50,1,-20.00,0,29400.00,-0.01,5420.00,0.74,1740.00,0.24
32,Entry Long,BUY,2021-03-01 12:55,1834.50,1,7800.00,1.06,37200.00,3.4,8040.00,1.1,680.00,0.09
32,Exit Long,BUY_TG_HIT,2021-03-01 13:35,1854.00,1,7800.00,1.06,37200.00,3.4,8040.00,1.1,680.00,0.09
