Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-01 04:15,1999.00,1,3900.00,0.49,3900.00,1.95,5520.00,0.69,600.00,0.08
1,Exit Short,INTRADAY_SExit,2021-01-01 09:45,1989.25,1,3900.00,0.49,3900.00,1.95,5520.00,0.69,600.00,0.08
2,Entry Short,SELL,2021-01-04 04:15,1993.75,1,5460.00,0.68,9360.00,2.68,5840.00,0.73,0,0
2,Exit Short,SELL_TG_HIT,2021-01-04 05:00,1980.10,1,5460.00,0.68,9360.00,2.68,5840.00,0.73,0,0
3,Entry Short,SELL,2021-01-04 05:30,1967.95,1,1960.00,0.25,11320.00,0.94,5420.00,0.69,2800.00,0.36
3,Exit Short,INTRADAY_SExit,2021-01-04 09:45,1963.05,1,1960.00,0.25,11320.00,0.94,5420.00,0.69,2800.00,0.36
4,Entry Short,SELL,2021-01-05 04:45,1938.05,1,-5180.00,-0.67,6140.00,-2.45,580.00,0.07,5180.00,0.67
4,Exit Short,SELL_SL_HIT,2021-01-05 05:30,1951.00,1,-5180.00,-0.67,6140.00,-2.45,580.00,0.07,5180.00,0.67
5,Entry Long,BUY,2021-01-05 05:45,1955.60,1,-4080.00,-0.52,2060.00,-1.98,960.00,0.12,4640.00,0.59
5,Exit Long,SELL,2021-01-05 07:45,1945.40,1,-4080.00,-0.52,2060.00,-1.98,960.00,0.12,4640.00,0.59
6,Entry Short,SELL,2021-01-05 07:45,1945.40,1,-4960.00,-0.64,-2900.00,-2.45,680.00,0.09,5560.00,0.71
6,Exit Short,BUY,2021-01-05 09:00,1957.80,1,-4960.00,-0.64,-2900.00,-2.45,680.00,0.09,5560.00,0.71
7,Entry Long,BUY,2021-01-05 09:00,1957.80,1,1760.00,0.22,-1140.00,0.89,4140.00,0.53,1520.00,0.19
7,Exit Long,INTRADAY_BExit,2021-01-05 09:45,1962.20,1,1760.00,0.22,-1140.00,0.89,4140.00,0.53,1520.00,0.19
8,Entry Short,SELL,2021-01-06 04:15,1950.60,1,-4220.00,-0.54,-5360.00,-2.12,240.00,0.03,4380.00,0.56
8,Exit Short,BUY,2021-01-06 04:45,1961.15,1,-4220.00,-0.54,-5360.00,-2.12,240.00,0.03,4380.00,0.56
9,Entry Long,BUY,2021-01-06 04:45,1961.15,1,3940.00,0.5,-1420.00,2.02,4440.00,0.57,60.00,0.01
9,Exit Long,BUY_TG_HIT,2021-01-06 06:15,1971.00,1,3940.00,0.5,-1420.00,2.02,4440.00,0.57,60.00,0.01
10,Entry Long,BUY,2021-01-06 06:30,1967.90,1,4180.00,0.53,2760.00,2.1,6360.00,0.81,760.00,0.1
