Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:05,1716.35,100,1705.00,0.99,1705.00,1.7,2030.00,1.18,195.00,0.11
1,Exit Short,SELL_TG_HIT,2021-02-01 04:15,1699.30,100,1705.00,0.99,1705.00,1.7,2030.00,1.18,195.00,0.11
2,Entry Long,BUY,2021-02-01 05:20,1706.30,100,2255.00,1.32,3960.00,2.22,2270.00,1.33,15.00,0.01
2,Exit Long,BUY_TG_HIT,2021-02-01 06:00,1728.85,100,2255.00,1.32,3960.00,2.22,2270.00,1.33,15.00,0.01
3,Entry Long,BUY,2021-02-01 07:25,1738.00,100,3145.00,1.81,7105.00,3.03,3715.00,2.14,0,0
3,Exit Long,BUY_TG_HIT,2021-02-01 07:30,1769.45,100,3145.00,1.81,7105.00,3.03,3715.00,2.14,0,0
4,Entry Long,BUY,2021-02-01 08:55,1773.85,100,2025.00,1.14,9130.00,1.89,2250.00,1.27,385.00,0.22
4,Exit Long,BUY_TG_HIT,2021-02-01 09:15,1794.10,100,2025.00,1.14,9130.00,1.89,2250.00,1.27,385.00,0.22
5,Entry Long,BUY,2021-02-02 08:45,1862.70,100,500.00,0.27,9630.00,0.46,1640.00,0.88,25.00,0.01
5,Exit Long,INTRADAY_BExit,2021-02-02 09:35,1867.70,100,500.00,0.27,9630.00,0.46,1640.00,0.88,25.00,0.01
6,Entry Short,SELL,2021-02-03 04:05,1825.55,100,-1600.00,-0.88,8030.00,-1.46,430.00,0.24,1740.00,0.95
6,Exit Short,BUY,2021-02-03 05:10,1841.55,100,-1600.00,-0.88,8030.00,-1.46,430.00,0.24,1740.00,0.95
7,Entry Long,BUY,2021-02-03 05:10,1841.55,100,3360.00,1.82,11390.00,3.11,4160.00,2.26,155.00,0.08
7,Exit Long,BUY_TG_HIT,2021-02-03 06:05,1875.15,100,3360.00,1.82,11390.00,3.11,4160.00,2.26,155.00,0.08
8,Entry Short,SELL,2021-02-03 07:00,1855.70,100,-880.00,-0.47,10510.00,-0.79,10.00,0.01,950.00,0.51
8,Exit Short,BUY,2021-02-03 07:20,1864.50,100,-880.00,-0.47,10510.00,-0.79,10.00,0.01,950.00,0.51
9,Entry Long,BUY,2021-02-03 07:20,1864.50,100,-670.00,-0.36,9840.00,-0.61,135.00,0.07,1035.00,0.56
9,Exit Long,SELL,2021-02-03 07:35,1857.80,100,-670.00,-0.36,9840.00,-0.61,135.00,0.07,1035.00,0.56
10,Entry Short,SELL,2021-02-03 07:35,1857.80,100,500.00,0.27,10340.00,0.46,975.00,0.52,920.00,0.5
10,Exit Short,INTRADAY_SExit,2021-02-03 09:35,1852.80,100,500.00,0.27,10340.00,0.46,975.00,0.52,920.00,0.5
11,Entry Short,SELL,2021-02-04 04:05,1841.00,100,50.00,0.03,10390.00,0.05,1000.00,0.54,260.00,0.14
11,Exit Short,BUY,2021-02-04 05:30,1840.50,100,50.00,0.03,10390.00,0.05,1000.00,0.54,260.00,0.14
12,Entry Long,BUY,2021-02-04 05:30,1840.50,100,1830.00,0.99,12220.00,1.66,1950.00,1.06,100.00,0.05
12,Exit Long,BUY_TG_HIT,2021-02-04 05:50,1858.80,100,1830.00,0.99,12220.00,1.66,1950.00,1.06,100.00,0.05
13,Entry Short,SELL,2021-02-04 09:05,1907.45,100,-415.00,-0.22,11805.00,-0.37,210.00,0.11,725.00,0.38
