Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-06-22 10:39,1774.00,100,1500.00,0.85,1500.00,1.5,1700.00,0.96,915.00,0.52
1,Exit Short,SELL_TG_HIT,2021-06-22 14:00,1759.00,100,1500.00,0.85,1500.00,1.5,1700.00,0.96,915.00,0.52
2,Entry Long,BUY,2021-06-22 14:30,1767.30,100,-830.00,-0.47,670.00,-0.82,170.00,0.1,1120.00,0.63
2,Exit Long,INTRADAY_BExit,2021-06-22 15:03,1759.00,100,-830.00,-0.47,670.00,-0.82,170.00,0.1,1120.00,0.63
3,Entry Short,SELL,2021-06-23 09:33,1747.00,100,1645.00,0.94,2315.00,1.63,1645.00,0.94,300.00,0.17
3,Exit Short,SELL_TG_HIT,2021-06-23 13:12,1730.55,100,1645.00,0.94,2315.00,1.63,1645.00,0.94,300.00,0.17
4,Entry Long,BUY,2021-06-23 13:30,1735.80,100,-240.00,-0.14,2075.00,-0.23,500.00,0.29,280.00,0.16
4,Exit Long,SELL,2021-06-23 14:39,1733.40,100,-240.00,-0.14,2075.00,-0.23,500.00,0.29,280.00,0.16
5,Entry Short,SELL,2021-06-23 14:39,1733.40,100,-160.00,-0.09,1915.00,-0.16,180.00,0.1,260.00,0.15
5,Exit Short,INTRADAY_SExit,2021-06-23 15:03,1735.00,100,-160.00,-0.09,1915.00,-0.16,180.00,0.1,260.00,0.15
6,Entry Long,BUY,2021-06-24 09:33,1736.60,100,-305.00,-0.18,1610.00,-0.3,40.00,0.02,435.00,0.25
6,Exit Long,SELL,2021-06-24 10:09,1733.55,100,-305.00,-0.18,1610.00,-0.3,40.00,0.02,435.00,0.25
7,Entry Short,SELL,2021-06-24 10:09,1733.55,100,75.00,0.04,1685.00,0.07,555.00,0.32,145.00,0.08
7,Exit Short,BUY,2021-06-24 13:12,1732.80,100,75.00,0.04,1685.00,0.07,555.00,0.32,145.00,0.08
8,Entry Long,BUY,2021-06-24 13:12,1732.80,100,-55.00,-0.03,1630.00,-0.05,425.00,0.25,65.00,0.04
8,Exit Long,SELL,2021-06-24 14:24,1732.25,100,-55.00,-0.03,1630.00,-0.05,425.00,0.25,65.00,0.04
9,Entry Short,SELL,2021-06-24 14:24,1732.25,100,-445.00,-0.26,1185.00,-0.44,250.00,0.14,475.00,0.27
9,Exit Short,BUY,2021-06-24 14:33,1736.70,100,-445.00,-0.26,1185.00,-0.44,250.00,0.14,475.00,0.27
10,Entry Long,BUY,2021-06-24 14:33,1736.70,100,105.00,0.06,1290.00,0.1,130.00,0.07,330.00,0.19
10,Exit Long,INTRADAY_BExit,2021-06-24 15:03,1737.75,100,105.00,0.06,1290.00,0.1,130.00,0.07,330.00,0.19
11,Entry Short,SELL,2021-06-25 09:33,1727.90,100,40.00,0.02,1330.00,0.04,700.00,0.41,85.00,0.05
11,Exit Short,BUY,2021-06-25 12:03,1727.50,100,40.00,0.02,1330.00,0.04,700.00,0.41,85.00,0.05
12,Entry Long,BUY,2021-06-25 12:03,1727.50,100,2110.00,1.22,3440.00,2.08,2150.00,1.24,255.00,0.15
12,Exit Long,BUY_TG_HIT,2021-06-25 14:06,1748.60,100,2110.00,1.22,3440.00,2.08,2150.00,1.24,255.00,0.15
13,Entry Short,SELL,2021-06-25 14:42,1734.20,100,55.00,0.03,3495.00,0.05,410.00,0.24,105.00,0.06
13,Exit Short,INTRADAY_SExit,2021-06-25 15:03,1733.65,100,55.00,0.03,3495.00,0.05,410.00,0.24,105.00,0.06
14,Entry Long,BUY,2021-06-28 09:33,1743.60,100,-940.00,-0.54,2555.00,-0.91,140.00,0.08,1060.00,0.61
14,Exit Long,SELL,2021-06-28 10:48,1734.20,100,-940.00,-0.54,2555.00,-0.91,140.00,0.08,1060.00,0.61
15,Entry Short,SELL,2021-06-28 10:48,1734.20,100,-235.00,-0.14,2320.00,-0.23,420.00,0.24,280.00,0.16
15,Exit Short,BUY,2021-06-28 11:39,1736.55,100,-235.00,-0.14,2320.00,-0.23,420.00,0.24,280.00,0.16
16,Entry Long,BUY,2021-06-28 11:39,1736.55,100,-820.00,-0.47,1500.00,-0.8,235.00,0.14,955.00,0.55
16,Exit Long,SELL,2021-06-28 12:27,1728.35,100,-820.00,-0.47,1500.00,-0.8,235.00,0.14,955.00,0.55
17,Entry Short,SELL,2021-06-28 12:27,1728.35,100,-645.00,-0.37,855.00,-0.64,615.00,0.36,645.00,0.37
17,Exit Short,BUY,2021-06-28 13:00,1734.80,100,-645.00,-0.37,855.00,-0.64,615.00,0.36,645.00,0.37
18,Entry Long,BUY,2021-06-28 13:00,1734.80,100,-220.00,-0.13,635.00,-0.22,520.00,0.3,280.00,0.16
18,Exit Long,INTRADAY_BExit,2021-06-28 15:03,1732.60,100,-220.00,-0.13,635.00,-0.22,520.00,0.3,280.00,0.16
19,Entry Short,SELL,2021-06-29 09:33,1722.90,100,1590.00,0.92,2225.00,1.58,1740.00,1.01,10.00,0.01
19,Exit Short,SELL_TG_HIT,2021-06-29 10:39,1707.00,100,1590.00,0.92,2225.00,1.58,1740.00,1.01,10.00,0.01
20,Entry Long,BUY,2021-06-29 13:24,1714.65,100,-500.00,-0.29,1725.00,-0.49,325.00,0.19,820.00,0.48
20,Exit Long,SELL,2021-06-29 14:03,1709.65,100,-500.00,-0.29,1725.00,-0.49,325.00,0.19,820.00,0.48
21,Entry Short,SELL,2021-06-29 14:03,1709.65,100,530.00,0.31,2255.00,0.52,645.00,0.38,335.00,0.2
21,Exit Short,INTRADAY_SExit,2021-06-29 15:03,1704.35,100,530.00,0.31,2255.00,0.52,645.00,0.38,335.00,0.2
