Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 09:45,1300.15,1,1552.50,0.21,1552.50,0.78,3421.25,0.46,5606.25,0.75
1,Exit Long,INTRADAY_BExit,2021-01-01 15:15,1302.85,1,1552.50,0.21,1552.50,0.78,3421.25,0.46,5606.25,0.75
2,Entry Long,BUY,2021-01-06 09:45,1320.55,1,7590.00,1,9142.50,3.77,8711.25,1.15,4542.50,0.6
2,Exit Long,BUY_TG_HIT,2021-01-06 11:15,1333.75,1,7590.00,1,9142.50,3.77,8711.25,1.15,4542.50,0.6
3,Entry Short,SELL,2021-01-06 14:30,1314.65,1,-4025.00,-0.53,5117.50,-1.92,2098.75,0.28,4226.25,0.56
3,Exit Short,INTRADAY_SExit,2021-01-06 15:15,1321.65,1,-4025.00,-0.53,5117.50,-1.92,2098.75,0.28,4226.25,0.56
4,Entry Long,BUY,2021-01-07 09:45,1344.95,1,-460.00,-0.06,4657.50,-0.22,5146.25,0.67,2530.00,0.33
4,Exit Long,INTRADAY_BExit,2021-01-07 15:15,1344.15,1,-460.00,-0.06,4657.50,-0.22,5146.25,0.67,2530.00,0.33
5,Entry Short,SELL,2021-01-11 10:45,1367.05,1,8251.25,1.05,12908.75,4.03,9113.75,1.16,0,0
5,Exit Short,SELL_TG_HIT,2021-01-11 11:30,1352.70,1,8251.25,1.05,12908.75,4.03,9113.75,1.16,0,0
6,Entry Long,BUY,2021-01-12 09:45,1364.60,1,-4025.00,-0.51,8883.75,-1.89,2846.25,0.36,8366.25,1.07
6,Exit Long,INTRADAY_BExit,2021-01-12 15:15,1357.60,1,-4025.00,-0.51,8883.75,-1.89,2846.25,0.36,8366.25,1.07
7,Entry Short,SELL,2021-01-13 14:00,1354.00,1,-3392.50,-0.44,5491.25,-1.62,2041.25,0.26,4140.00,0.53
7,Exit Short,INTRADAY_SExit,2021-01-13 15:15,1359.90,1,-3392.50,-0.44,5491.25,-1.62,2041.25,0.26,4140.00,0.53
8,Entry Long,BUY,2021-01-14 10:30,1379.45,1,7705.00,0.97,13196.25,3.75,10033.75,1.26,1121.25,0.14
8,Exit Long,BUY_TG_HIT,2021-01-14 11:30,1392.85,1,7705.00,0.97,13196.25,3.75,10033.75,1.26,1121.25,0.14
9,Entry Short,SELL,2021-01-15 11:15,1367.35,1,3737.50,0.48,16933.75,1.75,10522.50,1.34,1322.50,0.17
9,Exit Short,INTRADAY_SExit,2021-01-15 15:15,1360.85,1,3737.50,0.48,16933.75,1.75,10522.50,1.34,1322.50,0.17
10,Entry Long,BUY,2021-01-19 10:00,1368.50,1,10350.00,1.32,27283.75,4.77,10637.50,1.35,3335.00,0.42
10,Exit Long,BUY_TG_HIT,2021-01-19 12:00,1386.50,1,10350.00,1.32,27283.75,4.77,10637.50,1.35,3335.00,0.42
11,Entry Short,SELL,2021-01-21 15:00,1378.80,1,1178.75,0.15,28462.50,0.52,7906.25,1,345.00,0.04
11,Exit Short,INTRADAY_SExit,2021-01-21 15:15,1376.75,1,1178.75,0.15,28462.50,0.52,7906.25,1,345.00,0.04
12,Entry Long,BUY,2021-01-25 09:45,1353.00,1,16675.00,2.14,45137.50,7.3,16675.00,2.14,5175.00,0.67
12,Exit Long,BUY_TG_HIT,2021-01-25 10:30,1382.00,1,16675.00,2.14,45137.50,7.3,16675.00,2.14,5175.00,0.67
13,Entry Short,SELL,2021-01-27 09:45,1380.10,1,22597.50,2.85,67735.00,9.22,26478.75,3.34,1610.00,0.2
13,Exit Short,SELL_TG_HIT,2021-01-27 10:30,1340.80,1,22597.50,2.85,67735.00,9.22,26478.75,3.34,1610.00,0.2
14,Entry Long,BUY,2021-01-27 14:15,1365.70,1,-2242.50,-0.29,65492.50,-0.84,2041.25,0.26,4197.50,0.53
14,Exit Long,INTRADAY_BExit,2021-01-27 15:15,1361.80,1,-2242.50,-0.29,65492.50,-0.84,2041.25,0.26,4197.50,0.53
15,Entry Short,SELL,2021-01-29 12:15,1336.05,1,-3133.75,-0.41,62358.75,-1.18,2903.75,0.38,10292.50,1.34
15,Exit Short,INTRADAY_SExit,2021-01-29 15:15,1341.50,1,-3133.75,-0.41,62358.75,-1.18,2903.75,0.38,10292.50,1.34
16,Entry Long,BUY,2021-02-01 10:30,1363.85,1,8912.50,1.14,71271.25,3.4,13483.75,1.72,7848.75,1
16,Exit Long,BUY_TG_HIT,2021-02-01 11:45,1379.35,1,8912.50,1.14,71271.25,3.4,13483.75,1.72,7848.75,1
17,Entry Short,SELL,2021-02-04 09:45,1536.20,1,-8481.25,-0.96,62790.00,-3.13,1380.00,0.16,10005.00,1.13
17,Exit Short,SELL_SL_HIT,2021-02-04 11:45,1550.95,1,-8481.25,-0.96,62790.00,-3.13,1380.00,0.16,10005.00,1.13
18,Entry Long,BUY,2021-02-08 09:45,1536.90,1,9832.50,1.11,72622.50,3.74,10407.50,1.18,2645.00,0.3
18,Exit Long,BUY_TG_HIT,2021-02-08 10:45,1554.00,1,9832.50,1.11,72622.50,3.74,10407.50,1.18,2645.00,0.3
19,Entry Short,SELL,2021-02-10 10:45,1550.20,1,-3335.00,-0.37,69287.50,-1.22,10407.50,1.17,4312.50,0.48
19,Exit Short,INTRADAY_SExit,2021-02-10 15:15,1556.00,1,-3335.00,-0.37,69287.50,-1.22,10407.50,1.17,4312.50,0.48
20,Entry Long,BUY,2021-02-11 09:45,1557.95,1,-11528.75,-1.29,57758.75,-4.28,2558.75,0.29,12276.25,1.37
20,Exit Long,BUY_SL_HIT,2021-02-11 11:15,1537.90,1,-11528.75,-1.29,57758.75,-4.28,2558.75,0.29,12276.25,1.37
21,Entry Short,SELL,2021-02-11 11:30,1536.10,1,1782.50,0.2,59541.25,0.69,4600.00,0.52,2156.25,0.24
21,Exit Short,INTRADAY_SExit,2021-02-11 15:15,1533.00,1,1782.50,0.2,59541.25,0.69,4600.00,0.52,2156.25,0.24
22,Entry Long,BUY,2021-02-15 11:00,1534.00,1,4571.25,0.52,64112.50,1.76,6123.75,0.69,1897.50,0.22
22,Exit Long,INTRADAY_BExit,2021-02-15 15:15,1541.95,1,4571.25,0.52,64112.50,1.76,6123.75,0.69,1897.50,0.22
23,Entry Short,SELL,2021-02-16 14:30,1546.00,1,-3737.50,-0.42,60375.00,-1.42,287.50,0.03,4772.50,0.54
23,Exit Short,INTRADAY_SExit,2021-02-16 15:15,1552.50,1,-3737.50,-0.42,60375.00,-1.42,287.50,0.03,4772.50,0.54
24,Entry Long,BUY,2021-02-17 11:45,1566.65,1,-11011.25,-1.22,49363.75,-4.23,0,0,11557.50,1.28
24,Exit Long,BUY_SL_HIT,2021-02-17 14:45,1547.50,1,-11011.25,-1.22,49363.75,-4.23,0,0,11557.50,1.28
25,Entry Short,SELL,2021-02-18 12:00,1535.15,1,8970.00,1.02,58333.75,3.6,11787.50,1.34,575.00,0.07
25,Exit Short,SELL_TG_HIT,2021-02-18 13:45,1519.55,1,8970.00,1.02,58333.75,3.6,11787.50,1.34,575.00,0.07
26,Entry Long,BUY,2021-02-19 10:15,1541.70,1,-13627.50,-1.54,44706.25,-5.28,3047.50,0.34,14202.50,1.6
26,Exit Long,BUY_SL_HIT,2021-02-19 13:30,1518.00,1,-13627.50,-1.54,44706.25,-5.28,3047.50,0.34,14202.50,1.6
27,Entry Short,SELL,2021-02-19 13:45,1517.75,1,10120.00,1.16,54826.25,4.14,11040.00,1.27,6382.50,0.73
27,Exit Short,SELL_TG_HIT,2021-02-19 15:00,1500.15,1,10120.00,1.16,54826.25,4.14,11040.00,1.27,6382.50,0.73
28,Entry Long,BUY,2021-02-23 10:00,1482.65,1,4111.25,0.48,58937.50,1.61,10695.00,1.25,3133.75,0.37
28,Exit Long,INTRADAY_BExit,2021-02-23 15:15,1489.80,1,4111.25,0.48,58937.50,1.61,10695.00,1.25,3133.75,0.37
29,Entry Short,SELL,2021-02-26 09:45,1491.75,1,15381.25,1.79,74318.75,5.94,15870.00,1.85,5635.00,0.66
29,Exit Short,SELL_TG_HIT,2021-02-26 11:30,1465.00,1,15381.25,1.79,74318.75,5.94,15870.00,1.85,5635.00,0.66
30,Entry Long,BUY,2021-03-01 11:00,1477.00,1,9200.00,1.08,83518.75,3.35,10350.00,1.22,1753.75,0.21
30,Exit Long,BUY_TG_HIT,2021-03-01 13:45,1493.00,1,9200.00,1.08,83518.75,3.35,10350.00,1.22,1753.75,0.21
31,Entry Short,SELL,2021-03-04 09:45,1467.80,1,-546.25,-0.06,82972.50,-0.19,2415.00,0.29,8165.00,0.97
31,Exit Short,INTRADAY_SExit,2021-03-04 15:15,1468.75,1,-546.25,-0.06,82972.50,-0.19,2415.00,0.29,8165.00,0.97
32,Entry Long,BUY,2021-03-05 13:00,1475.40,1,-3105.00,-0.37,79867.50,-1.1,1552.50,0.18,6871.25,0.81
32,Exit Long,INTRADAY_BExit,2021-03-05 15:15,1470.00,1,-3105.00,-0.37,79867.50,-1.1,1552.50,0.18,6871.25,0.81
33,Entry Short,SELL,2021-03-09 13:45,1500.10,1,-5692.50,-0.66,74175.00,-2.03,661.25,0.08,6296.25,0.73
33,Exit Short,INTRADAY_SExit,2021-03-09 15:15,1510.00,1,-5692.50,-0.66,74175.00,-2.03,661.25,0.08,6296.25,0.73
34,Entry Long,BUY,2021-03-10 09:45,1530.45,1,-833.75,-0.09,73341.25,-0.3,4571.25,0.52,10062.50,1.14
34,Exit Long,INTRADAY_BExit,2021-03-10 15:15,1529.00,1,-833.75,-0.09,73341.25,-0.3,4571.25,0.52,10062.50,1.14
35,Entry Short,SELL,2021-03-12 14:00,1535.65,1,8538.75,0.97,81880.00,3.12,10148.75,1.15,258.75,0.03
35,Exit Short,SELL_TG_HIT,2021-03-12 14:15,1520.80,1,8538.75,0.97,81880.00,3.12,10148.75,1.15,258.75,0.03
36,Entry Long,BUY,2021-03-17 09:45,1485.15,1,-11241.25,-1.32,70638.75,-3.99,1897.50,0.22,11241.25,1.32
36,Exit Long,BUY_SL_HIT,2021-03-17 12:00,1465.60,1,-11241.25,-1.32,70638.75,-3.99,1897.50,0.22,11241.25,1.32
37,Entry Short,SELL,2021-03-17 12:30,1459.15,1,10206.25,1.22,80845.00,3.77,11816.25,1.41,488.75,0.06
