Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-15 04:35,1536.00,1,4312.50,0.49,4312.50,2.16,4973.75,0.56,3680.00,0.42
1,Exit Long,BUY_TG_HIT,2021-02-15 08:20,1543.50,1,4312.50,0.49,4312.50,2.16,4973.75,0.56,3680.00,0.42
2,Entry Long,BUY,2021-02-15 08:25,1541.45,1,-1926.25,-0.22,2386.25,-0.94,1408.75,0.16,2788.75,0.31
2,Exit Long,INTRADAY_BExit,2021-02-15 09:35,1538.10,1,-1926.25,-0.22,2386.25,-0.94,1408.75,0.16,2788.75,0.31
3,Entry Long,BUY,2021-02-16 04:30,1567.30,1,4715.00,0.52,7101.25,2.33,5577.50,0.62,2702.50,0.3
3,Exit Long,BUY_TG_HIT,2021-02-16 04:50,1575.50,1,4715.00,0.52,7101.25,2.33,5577.50,0.62,2702.50,0.3
4,Entry Short,SELL,2021-02-16 05:40,1561.75,1,5318.75,0.59,12420.00,2.57,5462.50,0.61,1638.75,0.18
4,Exit Short,SELL_TG_HIT,2021-02-16 07:35,1552.50,1,5318.75,0.59,12420.00,2.57,5462.50,0.61,1638.75,0.18
5,Entry Short,SELL,2021-02-16 07:40,1551.30,1,-948.75,-0.11,11471.25,-0.45,4628.75,0.52,3478.75,0.39
5,Exit Short,INTRADAY_SExit,2021-02-16 09:35,1552.95,1,-948.75,-0.11,11471.25,-0.45,4628.75,0.52,3478.75,0.39
6,Entry Long,BUY,2021-02-17 04:10,1553.75,1,4801.25,0.54,16272.50,2.27,4801.25,0.54,3162.50,0.35
6,Exit Long,BUY_TG_HIT,2021-02-17 05:20,1562.10,1,4801.25,0.54,16272.50,2.27,4801.25,0.54,3162.50,0.35
7,Entry Long,BUY,2021-02-17 05:25,1563.50,1,-5865.00,-0.65,10407.50,-2.71,2903.75,0.32,5865.00,0.65
7,Exit Long,SELL,2021-02-17 08:05,1553.30,1,-5865.00,-0.65,10407.50,-2.71,2903.75,0.32,5865.00,0.65
8,Entry Short,SELL,2021-02-17 08:05,1553.30,1,2041.25,0.23,12448.75,0.97,3967.50,0.44,977.50,0.11
8,Exit Short,INTRADAY_SExit,2021-02-17 09:35,1549.75,1,2041.25,0.23,12448.75,0.97,3967.50,0.44,977.50,0.11
9,Entry Long,BUY,2021-02-18 05:05,1551.50,1,-2702.50,-0.3,9746.25,-1.27,747.50,0.08,2702.50,0.3
9,Exit Long,SELL,2021-02-18 05:50,1546.80,1,-2702.50,-0.3,9746.25,-1.27,747.50,0.08,2702.50,0.3
10,Entry Short,SELL,2021-02-18 05:50,1546.80,1,5060.00,0.57,14806.25,2.41,5606.25,0.63,1523.75,0.17
10,Exit Short,SELL_TG_HIT,2021-02-18 06:15,1538.00,1,5060.00,0.57,14806.25,2.41,5606.25,0.63,1523.75,0.17
11,Entry Short,SELL,2021-02-18 06:20,1536.60,1,5203.75,0.59,20010.00,2.42,5203.75,0.59,402.50,0.05
11,Exit Short,SELL_TG_HIT,2021-02-18 06:40,1527.55,1,5203.75,0.59,20010.00,2.42,5203.75,0.59,402.50,0.05
12,Entry Long,BUY,2021-02-19 04:05,1537.85,1,-4513.75,-0.51,15496.25,-2.05,5261.25,0.59,4513.75,0.51
12,Exit Long,SELL,2021-02-19 05:30,1530.00,1,-4513.75,-0.51,15496.25,-2.05,5261.25,0.59,4513.75,0.51
13,Entry Short,SELL,2021-02-19 05:30,1530.00,1,4197.50,0.48,19693.75,1.95,4600.00,0.52,5347.50,0.61
13,Exit Short,SELL_TG_HIT,2021-02-19 07:40,1522.70,1,4197.50,0.48,19693.75,1.95,4600.00,0.52,5347.50,0.61
14,Entry Short,SELL,2021-02-19 07:45,1525.50,1,4312.50,0.49,24006.25,1.96,4887.50,0.56,0,0
14,Exit Short,SELL_TG_HIT,2021-02-19 08:00,1518.00,1,4312.50,0.49,24006.25,1.96,4887.50,0.56,0,0
15,Entry Short,SELL,2021-02-22 04:25,1482.15,1,9890.00,1.16,33896.25,4.42,10091.25,1.18,833.75,0.1
15,Exit Short,SELL_TG_HIT,2021-02-22 04:40,1464.95,1,9890.00,1.16,33896.25,4.42,10091.25,1.18,833.75,0.1
16,Entry Long,BUY,2021-02-23 04:05,1480.75,1,4657.50,0.55,38553.75,1.99,4657.50,0.55,6440.00,0.76
16,Exit Long,BUY_TG_HIT,2021-02-23 04:40,1488.85,1,4657.50,0.55,38553.75,1.99,4657.50,0.55,6440.00,0.76
17,Entry Long,BUY,2021-02-23 04:45,1487.15,1,4283.75,0.5,42837.50,1.8,4858.75,0.57,0,0
17,Exit Long,BUY_TG_HIT,2021-02-23 05:15,1494.60,1,4283.75,0.5,42837.50,1.8,4858.75,0.57,0,0
18,Entry Long,BUY,2021-02-23 07:35,1490.25,1,-3335.00,-0.39,39502.50,-1.37,3306.25,0.39,3536.25,0.41
18,Exit Long,SELL,2021-02-23 08:10,1484.45,1,-3335.00,-0.39,39502.50,-1.37,3306.25,0.39,3536.25,0.41
19,Entry Short,SELL,2021-02-23 08:10,1484.45,1,-3191.25,-0.37,36311.25,-1.33,0,0,3421.25,0.4
19,Exit Short,BUY,2021-02-23 08:25,1490.00,1,-3191.25,-0.37,36311.25,-1.33,0,0,3421.25,0.4
20,Entry Long,BUY,2021-02-23 08:25,1490.00,1,-3047.50,-0.36,33263.75,-1.29,1121.25,0.13,3363.75,0.39
20,Exit Long,SELL,2021-02-23 08:40,1484.70,1,-3047.50,-0.36,33263.75,-1.29,1121.25,0.13,3363.75,0.39
21,Entry Short,SELL,2021-02-23 08:40,1484.70,1,-86.25,-0.01,33177.50,-0.04,4312.50,0.51,2702.50,0.32
21,Exit Short,INTRADAY_SExit,2021-02-23 09:35,1484.85,1,-86.25,-0.01,33177.50,-0.04,4312.50,0.51,2702.50,0.32
22,Entry Long,BUY,2021-02-24 04:05,1498.75,1,5031.25,0.58,38208.75,2.16,5520.00,0.64,3335.00,0.39
22,Exit Long,BUY_TG_HIT,2021-02-24 04:55,1507.50,1,5031.25,0.58,38208.75,2.16,5520.00,0.64,3335.00,0.39
23,Entry Long,BUY,2021-02-24 05:00,1506.75,1,4945.00,0.57,43153.75,2.08,4945.00,0.57,143.75,0.02
23,Exit Long,BUY_TG_HIT,2021-02-24 05:30,1515.35,1,4945.00,0.57,43153.75,2.08,4945.00,0.57,143.75,0.02
24,Entry Short,SELL,2021-02-25 04:10,1536.00,1,4053.75,0.46,47207.50,1.67,4140.00,0.47,1322.50,0.15
24,Exit Short,SELL_TG_HIT,2021-02-25 05:15,1528.95,1,4053.75,0.46,47207.50,1.67,4140.00,0.47,1322.50,0.15
25,Entry Short,SELL,2021-02-25 05:20,1526.65,1,6382.50,0.73,53590.00,2.58,6871.25,0.78,1840.00,0.21
25,Exit Short,INTRADAY_SExit,2021-02-25 09:35,1515.55,1,6382.50,0.73,53590.00,2.58,6871.25,0.78,1840.00,0.21
26,Entry Long,BUY,2021-02-26 04:30,1492.40,1,-1811.25,-0.21,51778.75,-0.71,5261.25,0.61,2415.00,0.28
26,Exit Long,SELL,2021-02-26 05:25,1489.25,1,-1811.25,-0.21,51778.75,-0.71,5261.25,0.61,2415.00,0.28
27,Entry Short,SELL,2021-02-26 05:25,1489.25,1,6353.75,0.74,58132.50,2.52,6928.75,0.81,201.25,0.02
27,Exit Short,SELL_TG_HIT,2021-02-26 05:40,1478.20,1,6353.75,0.74,58132.50,2.52,6928.75,0.81,201.25,0.02
28,Entry Short,SELL,2021-02-26 05:45,1479.50,1,4830.00,0.57,62962.50,1.87,6037.50,0.71,0,0
28,Exit Short,SELL_TG_HIT,2021-02-26 05:55,1471.10,1,4830.00,0.57,62962.50,1.87,6037.50,0.71,0,0
29,Entry Long,BUY,2021-03-01 04:05,1459.15,1,4858.75,0.58,67821.25,1.85,4858.75,0.58,2041.25,0.24
29,Exit Long,BUY_TG_HIT,2021-03-01 04:30,1467.60,1,4858.75,0.58,67821.25,1.85,4858.75,0.58,2041.25,0.24
30,Entry Short,SELL,2021-03-02 05:20,1477.20,1,-4341.25,-0.51,63480.00,-1.62,517.50,0.06,4916.25,0.58
30,Exit Short,BUY,2021-03-02 05:35,1484.75,1,-4341.25,-0.51,63480.00,-1.62,517.50,0.06,4916.25,0.58
31,Entry Long,BUY,2021-03-02 05:35,1484.75,1,-2558.75,-0.3,60921.25,-0.97,28.75,0,2558.75,0.3
31,Exit Long,SELL,2021-03-02 05:45,1480.30,1,-2558.75,-0.3,60921.25,-0.97,28.75,0,2558.75,0.3
