Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-01 04:15,1340.65,100,2115.00,1.58,2115.00,2.11,2115.00,1.58,165.00,0.12
1,Exit Long,BUY_TG_HIT,2021-02-01 04:45,1361.80,100,2115.00,1.58,2115.00,2.11,2115.00,1.58,165.00,0.12
2,Entry Short,SELL,2021-02-02 05:15,1514.00,100,-645.00,-0.43,1470.00,-0.63,1000.00,0.66,2220.00,1.47
2,Exit Short,INTRADAY_SExit,2021-02-02 09:45,1520.45,100,-645.00,-0.43,1470.00,-0.63,1000.00,0.66,2220.00,1.47
3,Entry Long,BUY,2021-02-03 04:45,1534.35,100,1505.00,0.98,2975.00,1.48,1855.00,1.21,35.00,0.02
3,Exit Long,BUY_TG_HIT,2021-02-03 05:00,1549.40,100,1505.00,0.98,2975.00,1.48,1855.00,1.21,35.00,0.02
4,Entry Short,SELL,2021-02-03 09:00,1539.65,100,865.00,0.56,3840.00,0.84,1620.00,1.05,360.00,0.23
4,Exit Short,INTRADAY_SExit,2021-02-03 09:45,1531.00,100,865.00,0.56,3840.00,0.84,1620.00,1.05,360.00,0.23
5,Entry Long,BUY,2021-02-04 06:00,1540.55,100,-1090.00,-0.71,2750.00,-1.05,945.00,0.61,1200.00,0.78
5,Exit Long,INTRADAY_BExit,2021-02-04 09:45,1529.65,100,-1090.00,-0.71,2750.00,-1.05,945.00,0.61,1200.00,0.78
6,Entry Short,SELL,2021-02-05 04:15,1528.00,100,-1595.00,-1.04,1155.00,-1.55,800.00,0.52,1640.00,1.07
6,Exit Short,BUY,2021-02-05 06:00,1543.95,100,-1595.00,-1.04,1155.00,-1.55,800.00,0.52,1640.00,1.07
7,Entry Long,BUY,2021-02-05 06:00,1543.95,100,-1445.00,-0.94,-290.00,-1.43,305.00,0.2,1495.00,0.97
7,Exit Long,BUY_SL_HIT,2021-02-05 07:00,1529.50,100,-1445.00,-0.94,-290.00,-1.43,305.00,0.2,1495.00,0.97
8,Entry Short,SELL,2021-02-05 07:15,1528.45,100,1380.00,0.9,1090.00,1.38,1735.00,1.14,30.00,0.02
8,Exit Short,INTRADAY_SExit,2021-02-05 09:45,1514.65,100,1380.00,0.9,1090.00,1.38,1735.00,1.14,30.00,0.02
9,Entry Long,BUY,2021-02-08 05:15,1547.90,100,1730.00,1.12,2820.00,1.71,1780.00,1.15,390.00,0.25
9,Exit Long,BUY_TG_HIT,2021-02-08 06:45,1565.20,100,1730.00,1.12,2820.00,1.71,1780.00,1.15,390.00,0.25
10,Entry Short,SELL,2021-02-08 09:30,1552.20,100,-100.00,-0.06,2720.00,-0.1,200.00,0.13,250.00,0.16
10,Exit Short,INTRADAY_SExit,2021-02-08 09:45,1553.20,100,-100.00,-0.06,2720.00,-0.1,200.00,0.13,250.00,0.16
11,Entry Long,BUY,2021-02-09 06:15,1558.95,100,1305.00,0.84,4025.00,1.27,1390.00,0.89,370.00,0.24
11,Exit Long,BUY_TG_HIT,2021-02-09 08:45,1572.00,100,1305.00,0.84,4025.00,1.27,1390.00,0.89,370.00,0.24
12,Entry Short,SELL,2021-02-10 04:15,1558.65,100,1485.00,0.95,5510.00,1.43,1815.00,1.16,275.00,0.18
12,Exit Short,SELL_TG_HIT,2021-02-10 06:00,1543.80,100,1485.00,0.95,5510.00,1.43,1815.00,1.16,275.00,0.18
13,Entry Long,BUY,2021-02-10 09:00,1545.90,100,720.00,0.47,6230.00,0.68,910.00,0.59,445.00,0.29
13,Exit Long,INTRADAY_BExit,2021-02-10 09:45,1553.10,100,720.00,0.47,6230.00,0.68,910.00,0.59,445.00,0.29
14,Entry Short,SELL,2021-02-11 05:30,1540.60,100,1165.00,0.76,7395.00,1.1,1405.00,0.91,70.00,0.05
14,Exit Short,INTRADAY_SExit,2021-02-11 09:45,1528.95,100,1165.00,0.76,7395.00,1.1,1405.00,0.91,70.00,0.05
15,Entry Long,BUY,2021-02-12 04:30,1533.95,100,-605.00,-0.39,6790.00,-0.56,1005.00,0.66,870.00,0.57
15,Exit Long,SELL,2021-02-12 08:15,1527.90,100,-605.00,-0.39,6790.00,-0.56,1005.00,0.66,870.00,0.57
16,Entry Short,SELL,2021-02-12 08:15,1527.90,100,590.00,0.39,7380.00,0.55,1180.00,0.77,115.00,0.08
16,Exit Short,INTRADAY_SExit,2021-02-12 09:45,1522.00,100,590.00,0.39,7380.00,0.55,1180.00,0.77,115.00,0.08
17,Entry Long,BUY,2021-02-15 05:15,1534.90,100,550.00,0.36,7930.00,0.51,910.00,0.59,620.00,0.4
17,Exit Long,INTRADAY_BExit,2021-02-15 09:45,1540.40,100,550.00,0.36,7930.00,0.51,910.00,0.59,620.00,0.4
18,Entry Long,BUY,2021-02-16 04:30,1565.35,100,-950.00,-0.61,6980.00,-0.88,865.00,0.55,1035.00,0.66
18,Exit Long,SELL,2021-02-16 07:15,1555.85,100,-950.00,-0.61,6980.00,-0.88,865.00,0.55,1035.00,0.66
19,Entry Short,SELL,2021-02-16 07:15,1555.85,100,525.00,0.34,7505.00,0.49,1335.00,0.86,315.00,0.2
19,Exit Short,INTRADAY_SExit,2021-02-16 09:45,1550.60,100,525.00,0.34,7505.00,0.49,1335.00,0.86,315.00,0.2
20,Entry Long,BUY,2021-02-17 05:00,1555.55,100,-160.00,-0.1,7345.00,-0.15,1145.00,0.74,355.00,0.23
20,Exit Long,SELL,2021-02-17 07:45,1553.95,100,-160.00,-0.1,7345.00,-0.15,1145.00,0.74,355.00,0.23
21,Entry Short,SELL,2021-02-17 07:45,1553.95,100,605.00,0.39,7950.00,0.56,855.00,0.55,170.00,0.11
21,Exit Short,INTRADAY_SExit,2021-02-17 09:45,1547.90,100,605.00,0.39,7950.00,0.56,855.00,0.55,170.00,0.11
22,Entry Short,SELL,2021-02-18 06:15,1533.75,100,1400.00,0.91,9350.00,1.3,1860.00,1.21,265.00,0.17
22,Exit Short,SELL_TG_HIT,2021-02-18 08:15,1519.75,100,1400.00,0.91,9350.00,1.3,1860.00,1.21,265.00,0.17
23,Entry Long,BUY,2021-02-19 04:15,1536.90,100,-1230.00,-0.8,8120.00,-1.12,1010.00,0.66,1290.00,0.84
23,Exit Long,SELL,2021-02-19 07:30,1524.60,100,-1230.00,-0.8,8120.00,-1.12,1010.00,0.66,1290.00,0.84
24,Entry Short,SELL,2021-02-19 07:30,1524.60,100,2310.00,1.52,10430.00,2.14,2575.00,1.69,520.00,0.34
24,Exit Short,SELL_TG_HIT,2021-02-19 09:30,1501.50,100,2310.00,1.52,10430.00,2.14,2575.00,1.69,520.00,0.34
25,Entry Long,BUY,2021-02-23 04:15,1479.40,100,1450.00,0.98,11880.00,1.31,1860.00,1.26,1140.00,0.77
25,Exit Long,BUY_TG_HIT,2021-02-23 06:00,1493.90,100,1450.00,0.98,11880.00,1.31,1860.00,1.26,1140.00,0.77
26,Entry Short,SELL,2021-02-23 08:45,1485.00,100,-285.00,-0.19,11595.00,-0.25,1000.00,0.67,300.00,0.2
26,Exit Short,INTRADAY_SExit,2021-02-23 09:45,1487.85,100,-285.00,-0.19,11595.00,-0.25,1000.00,0.67,300.00,0.2
27,Entry Long,BUY,2021-02-24 05:15,1509.45,100,-665.00,-0.44,10930.00,-0.6,945.00,0.63,1445.00,0.96
27,Exit Long,INTRADAY_BExit,2021-02-24 10:30,1502.80,100,-665.00,-0.44,10930.00,-0.6,945.00,0.63,1445.00,0.96
