Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-01 09:45,1295.45,100,-235.00,-0.18,-235.00,-0.23,965.00,0.74,405.00,0.31
1,Exit Short,BUY,2021-01-01 12:15,1297.80,100,-235.00,-0.18,-235.00,-0.23,965.00,0.74,405.00,0.31
2,Entry Long,BUY,2021-01-01 12:15,1297.80,100,-40.00,-0.03,-275.00,-0.04,215.00,0.17,475.00,0.37
2,Exit Long,INTRADAY_BExit,2021-01-01 15:15,1297.40,100,-40.00,-0.03,-275.00,-0.04,215.00,0.17,475.00,0.37
3,Entry Short,SELL,2021-01-04 11:30,1309.30,100,-660.00,-0.5,-935.00,-0.66,5.00,0,870.00,0.66
3,Exit Short,INTRADAY_SExit,2021-01-04 15:15,1315.90,100,-660.00,-0.5,-935.00,-0.66,5.00,0,870.00,0.66
4,Entry Long,BUY,2021-01-06 09:45,1314.10,100,1405.00,1.07,470.00,1.42,1590.00,1.21,705.00,0.54
4,Exit Long,BUY_TG_HIT,2021-01-06 11:15,1328.15,100,1405.00,1.07,470.00,1.42,1590.00,1.21,705.00,0.54
5,Entry Short,SELL,2021-01-06 14:00,1312.35,100,-260.00,-0.2,210.00,-0.26,1070.00,0.82,265.00,0.2
5,Exit Short,INTRADAY_SExit,2021-01-06 15:15,1314.95,100,-260.00,-0.2,210.00,-0.26,1070.00,0.82,265.00,0.2
6,Entry Long,BUY,2021-01-07 09:45,1339.85,100,-115.00,-0.09,95.00,-0.11,695.00,0.52,560.00,0.42
6,Exit Long,INTRADAY_BExit,2021-01-07 15:15,1338.70,100,-115.00,-0.09,95.00,-0.11,695.00,0.52,560.00,0.42
7,Entry Short,SELL,2021-01-11 09:45,1364.30,100,1280.00,0.94,1375.00,1.28,1300.00,0.95,255.00,0.19
7,Exit Short,SELL_TG_HIT,2021-01-11 11:15,1351.50,100,1280.00,0.94,1375.00,1.28,1300.00,0.95,255.00,0.19
8,Entry Long,BUY,2021-01-12 09:45,1361.65,100,-1165.00,-0.86,210.00,-1.15,520.00,0.38,1265.00,0.93
8,Exit Long,SELL,2021-01-12 11:15,1350.00,100,-1165.00,-0.86,210.00,-1.15,520.00,0.38,1265.00,0.93
9,Entry Short,SELL,2021-01-12 11:15,1350.00,100,-95.00,-0.07,115.00,-0.09,595.00,0.44,265.00,0.2
9,Exit Short,INTRADAY_SExit,2021-01-12 15:15,1350.95,100,-95.00,-0.07,115.00,-0.09,595.00,0.44,265.00,0.2
10,Entry Long,BUY,2021-01-13 09:45,1368.90,100,-1195.00,-0.87,-1080.00,-1.19,110.00,0.08,1335.00,0.98
10,Exit Long,SELL,2021-01-13 11:15,1356.95,100,-1195.00,-0.87,-1080.00,-1.19,110.00,0.08,1335.00,0.98
11,Entry Short,SELL,2021-01-13 11:15,1356.95,100,395.00,0.29,-685.00,0.4,1265.00,0.93,45.00,0.03
11,Exit Short,INTRADAY_SExit,2021-01-13 15:15,1353.00,100,395.00,0.29,-685.00,0.4,1265.00,0.93,45.00,0.03
