Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-11 04:10,1367.90,100,1440.00,1.05,1440.00,1.44,1490.00,1.09,5.00,0
1,Exit Short,SELL_TG_HIT,2021-01-11 05:35,1353.50,100,1440.00,1.05,1440.00,1.44,1490.00,1.09,5.00,0
2,Entry Long,BUY,2021-01-12 04:20,1364.00,100,-850.00,-0.62,590.00,-0.84,285.00,0.21,900.00,0.66
2,Exit Long,SELL,2021-01-12 04:45,1355.50,100,-850.00,-0.62,590.00,-0.84,285.00,0.21,900.00,0.66
3,Entry Short,SELL,2021-01-12 04:45,1355.50,100,505.00,0.37,1095.00,0.5,1145.00,0.84,345.00,0.25
3,Exit Short,INTRADAY_SExit,2021-01-12 09:35,1350.45,100,505.00,0.37,1095.00,0.5,1145.00,0.84,345.00,0.25
4,Entry Long,BUY,2021-01-13 04:10,1368.75,100,-895.00,-0.65,200.00,-0.89,225.00,0.16,990.00,0.72
4,Exit Long,SELL,2021-01-13 04:25,1359.80,100,-895.00,-0.65,200.00,-0.89,225.00,0.16,990.00,0.72
5,Entry Short,SELL,2021-01-13 04:25,1359.80,100,1385.00,1.02,1585.00,1.38,1550.00,1.14,740.00,0.54
5,Exit Short,SELL_TG_HIT,2021-01-13 08:40,1345.95,100,1385.00,1.02,1585.00,1.38,1550.00,1.14,740.00,0.54
6,Entry Short,SELL,2021-01-13 08:45,1349.80,100,-405.00,-0.3,1180.00,-0.4,180.00,0.13,420.00,0.31
6,Exit Short,INTRADAY_SExit,2021-01-13 09:35,1353.85,100,-405.00,-0.3,1180.00,-0.4,180.00,0.13,420.00,0.31
7,Entry Short,SELL,2021-01-14 04:10,1358.50,100,-850.00,-0.63,330.00,-0.84,75.00,0.06,1350.00,0.99
7,Exit Short,BUY,2021-01-14 04:50,1367.00,100,-850.00,-0.63,330.00,-0.84,75.00,0.06,1350.00,0.99
8,Entry Long,BUY,2021-01-14 04:50,1367.00,100,1950.00,1.43,2280.00,1.94,2130.00,1.56,80.00,0.06
8,Exit Long,BUY_TG_HIT,2021-01-14 05:35,1386.50,100,1950.00,1.43,2280.00,1.94,2130.00,1.56,80.00,0.06
9,Entry Short,SELL,2021-01-14 06:50,1374.00,100,-680.00,-0.49,1600.00,-0.66,295.00,0.21,785.00,0.57
9,Exit Short,BUY,2021-01-14 08:05,1380.80,100,-680.00,-0.49,1600.00,-0.66,295.00,0.21,785.00,0.57
10,Entry Long,BUY,2021-01-14 08:05,1380.80,100,-805.00,-0.58,795.00,-0.79,105.00,0.08,880.00,0.64
10,Exit Long,SELL,2021-01-14 09:15,1372.75,100,-805.00,-0.58,795.00,-0.79,105.00,0.08,880.00,0.64
11,Entry Short,SELL,2021-01-14 09:15,1372.75,100,-375.00,-0.27,420.00,-0.37,75.00,0.05,455.00,0.33
11,Exit Short,INTRADAY_SExit,2021-01-14 09:35,1376.50,100,-375.00,-0.27,420.00,-0.37,75.00,0.05,455.00,0.33
12,Entry Short,SELL,2021-01-15 04:05,1374.15,100,1425.00,1.04,1845.00,1.42,1600.00,1.16,540.00,0.39
12,Exit Short,SELL_TG_HIT,2021-01-15 05:55,1359.90,100,1425.00,1.04,1845.00,1.42,1600.00,1.16,540.00,0.39
13,Entry Short,SELL,2021-01-15 06:00,1358.90,100,1340.00,0.99,3185.00,1.32,1385.00,1.02,560.00,0.41
13,Exit Short,SELL_TG_HIT,2021-01-15 08:50,1345.50,100,1340.00,0.99,3185.00,1.32,1385.00,1.02,560.00,0.41
14,Entry Short,SELL,2021-01-18 04:05,1331.75,100,-1115.00,-0.84,2070.00,-1.08,510.00,0.38,1195.00,0.9
14,Exit Short,BUY,2021-01-18 05:05,1342.90,100,-1115.00,-0.84,2070.00,-1.08,510.00,0.38,1195.00,0.9
15,Entry Long,BUY,2021-01-18 05:05,1342.90,100,-665.00,-0.5,1405.00,-0.65,680.00,0.51,675.00,0.5
15,Exit Long,SELL,2021-01-18 05:50,1336.25,100,-665.00,-0.5,1405.00,-0.65,680.00,0.51,675.00,0.5
16,Entry Short,SELL,2021-01-18 05:50,1336.25,100,-475.00,-0.36,930.00,-0.47,320.00,0.24,560.00,0.42
16,Exit Short,BUY,2021-01-18 07:20,1341.00,100,-475.00,-0.36,930.00,-0.47,320.00,0.24,560.00,0.42
17,Entry Long,BUY,2021-01-18 07:20,1341.00,100,150.00,0.11,1080.00,0.15,995.00,0.74,205.00,0.15
17,Exit Long,INTRADAY_BExit,2021-01-18 09:35,1342.50,100,150.00,0.11,1080.00,0.15,995.00,0.74,205.00,0.15
