Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 09:45,736.70,1,4445.00,0.86,4445.00,2.22,5250.00,1.02,1890.00,0.37
1,Exit Long,BUY_TG_HIT,2021-01-01 10:15,743.05,1,4445.00,0.86,4445.00,2.22,5250.00,1.02,1890.00,0.37
2,Entry Short,SELL,2021-01-04 09:45,735.15,1,-4235.00,-0.82,210.00,-2.07,3535.00,0.69,4445.00,0.86
2,Exit Short,BUY,2021-01-04 12:45,741.20,1,-4235.00,-0.82,210.00,-2.07,3535.00,0.69,4445.00,0.86
3,Entry Long,BUY,2021-01-04 12:45,741.20,1,3570.00,0.69,3780.00,1.78,4585.00,0.88,1085.00,0.21
3,Exit Long,BUY_TG_HIT,2021-01-04 14:45,746.30,1,3570.00,0.69,3780.00,1.78,4585.00,0.88,1085.00,0.21
4,Entry Short,SELL,2021-01-05 09:45,738.00,1,-2345.00,-0.45,1435.00,-1.15,3990.00,0.77,3150.00,0.61
4,Exit Short,BUY,2021-01-05 13:00,741.35,1,-2345.00,-0.45,1435.00,-1.15,3990.00,0.77,3150.00,0.61
5,Entry Long,BUY,2021-01-05 13:00,741.35,1,1120.00,0.22,2555.00,0.56,1365.00,0.26,3570.00,0.69
5,Exit Long,INTRADAY_BExit,2021-01-05 15:15,742.95,1,1120.00,0.22,2555.00,0.56,1365.00,0.26,3570.00,0.69
6,Entry Short,SELL,2021-01-06 13:45,738.10,1,-1435.00,-0.28,1120.00,-0.71,3990.00,0.77,2275.00,0.44
6,Exit Short,INTRADAY_SExit,2021-01-06 15:15,740.15,1,-1435.00,-0.28,1120.00,-0.71,3990.00,0.77,2275.00,0.44
7,Entry Long,BUY,2021-01-07 09:45,746.85,1,4270.00,0.82,5390.00,2.12,4795.00,0.92,0,0
7,Exit Long,BUY_TG_HIT,2021-01-07 10:00,752.95,1,4270.00,0.82,5390.00,2.12,4795.00,0.92,0,0
8,Entry Long,BUY,2021-01-08 10:00,755.80,1,4130.00,0.78,9520.00,2.01,4620.00,0.87,0,0
8,Exit Long,BUY_TG_HIT,2021-01-08 11:15,761.70,1,4130.00,0.78,9520.00,2.01,4620.00,0.87,0,0
9,Entry Short,SELL,2021-01-11 10:45,770.70,1,-5565.00,-1.03,3955.00,-2.66,1435.00,0.27,6580.00,1.22
9,Exit Short,SELL_SL_HIT,2021-01-11 12:45,778.65,1,-5565.00,-1.03,3955.00,-2.66,1435.00,0.27,6580.00,1.22
10,Entry Long,BUY,2021-01-11 13:00,782.10,1,3500.00,0.64,7455.00,1.72,5110.00,0.93,1225.00,0.22
10,Exit Long,BUY_TG_HIT,2021-01-11 13:45,787.10,1,3500.00,0.64,7455.00,1.72,5110.00,0.93,1225.00,0.22
11,Entry Short,SELL,2021-01-12 13:15,787.20,1,2590.00,0.47,10045.00,1.25,3185.00,0.58,1645.00,0.3
11,Exit Short,INTRADAY_SExit,2021-01-12 15:15,783.50,1,2590.00,0.47,10045.00,1.25,3185.00,0.58,1645.00,0.3
12,Entry Long,BUY,2021-01-13 09:45,798.95,1,-5005.00,-0.89,5040.00,-2.38,3150.00,0.56,5145.00,0.92
12,Exit Long,BUY_SL_HIT,2021-01-13 10:30,791.80,1,-5005.00,-0.89,5040.00,-2.38,3150.00,0.56,5145.00,0.92
13,Entry Short,SELL,2021-01-14 13:15,831.15,1,175.00,0.03,5215.00,0.09,1085.00,0.19,3850.00,0.66
13,Exit Short,INTRADAY_SExit,2021-01-14 15:15,830.90,1,175.00,0.03,5215.00,0.09,1085.00,0.19,3850.00,0.66
14,Entry Long,BUY,2021-01-15 10:15,832.45,1,-4760.00,-0.82,455.00,-2.32,1435.00,0.25,4830.00,0.83
14,Exit Long,BUY_SL_HIT,2021-01-15 12:00,825.65,1,-4760.00,-0.82,455.00,-2.32,1435.00,0.25,4830.00,0.83
15,Entry Short,SELL,2021-01-15 12:15,822.50,1,-4130.00,-0.72,-3675.00,-2.06,840.00,0.15,4620.00,0.8
15,Exit Short,SELL_SL_HIT,2021-01-15 13:45,828.40,1,-4130.00,-0.72,-3675.00,-2.06,840.00,0.15,4620.00,0.8
