Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:15,748.55,1,-8015.00,-1.53,-8015.00,-4.01,1750.00,0.33,10710.00,2.04
1,Exit Short,BUY,2021-02-01 05:00,760.00,1,-8015.00,-1.53,-8015.00,-4.01,1750.00,0.33,10710.00,2.04
2,Entry Long,BUY,2021-02-01 05:00,760.00,1,12215.00,2.3,4200.00,6.36,18200.00,3.42,770.00,0.14
2,Exit Long,BUY_TG_HIT,2021-02-01 06:45,777.45,1,12215.00,2.3,4200.00,6.36,18200.00,3.42,770.00,0.14
3,Entry Short,SELL,2021-02-02 06:30,822.55,1,3115.00,0.54,7315.00,1.53,4585.00,0.8,5145.00,0.89
3,Exit Short,INTRADAY_SExit,2021-02-02 09:45,818.10,1,3115.00,0.54,7315.00,1.53,4585.00,0.8,5145.00,0.89
4,Entry Long,BUY,2021-02-03 04:15,837.20,1,13055.00,2.23,20370.00,6.3,14175.00,2.42,0,0
4,Exit Long,BUY_TG_HIT,2021-02-03 05:30,855.85,1,13055.00,2.23,20370.00,6.3,14175.00,2.42,0,0
5,Entry Short,SELL,2021-02-03 08:30,844.10,1,6440.00,1.09,26810.00,2.92,7035.00,1.19,2170.00,0.37
5,Exit Short,INTRADAY_SExit,2021-02-03 09:45,834.90,1,6440.00,1.09,26810.00,2.92,7035.00,1.19,2170.00,0.37
6,Entry Long,BUY,2021-02-04 04:15,881.05,1,-6860.00,-1.11,19950.00,-3.02,11025.00,1.79,8190.00,1.33
6,Exit Long,SELL,2021-02-04 06:45,871.25,1,-6860.00,-1.11,19950.00,-3.02,11025.00,1.79,8190.00,1.33
7,Entry Short,SELL,2021-02-04 06:45,871.25,1,2170.00,0.36,22120.00,0.99,4550.00,0.75,2555.00,0.42
7,Exit Short,INTRADAY_SExit,2021-02-04 09:45,868.15,1,2170.00,0.36,22120.00,0.99,4550.00,0.75,2555.00,0.42
8,Entry Long,BUY,2021-02-05 07:00,860.95,1,4305.00,0.71,26425.00,1.94,15540.00,2.58,13125.00,2.18
8,Exit Long,INTRADAY_BExit,2021-02-05 09:45,867.10,1,4305.00,0.71,26425.00,1.94,15540.00,2.58,13125.00,2.18
9,Entry Short,SELL,2021-02-08 07:30,922.10,1,-7070.00,-1.1,19355.00,-3.12,1470.00,0.23,9625.00,1.49
9,Exit Short,BUY,2021-02-08 09:30,932.20,1,-7070.00,-1.1,19355.00,-3.12,1470.00,0.23,9625.00,1.49
10,Entry Long,BUY,2021-02-08 09:30,932.20,1,490.00,0.08,19845.00,0.22,1575.00,0.24,2240.00,0.34
10,Exit Long,INTRADAY_BExit,2021-02-08 09:45,932.90,1,490.00,0.08,19845.00,0.22,1575.00,0.24,2240.00,0.34
11,Entry Short,SELL,2021-02-09 04:30,918.00,1,13685.00,2.13,33530.00,6.22,19775.00,3.08,280.00,0.04
11,Exit Short,INTRADAY_SExit,2021-02-09 09:45,898.45,1,13685.00,2.13,33530.00,6.22,19775.00,3.08,280.00,0.04
12,Entry Long,BUY,2021-02-10 05:30,909.50,1,5180.00,0.81,38710.00,2.22,6195.00,0.97,3465.00,0.54
12,Exit Long,INTRADAY_BExit,2021-02-10 09:45,916.90,1,5180.00,0.81,38710.00,2.22,6195.00,0.97,3465.00,0.54
13,Entry Short,SELL,2021-02-11 06:30,909.50,1,-2380.00,-0.37,36330.00,-1,945.00,0.15,3780.00,0.59
13,Exit Short,BUY,2021-02-11 08:00,912.90,1,-2380.00,-0.37,36330.00,-1,945.00,0.15,3780.00,0.59
14,Entry Long,BUY,2021-02-11 08:00,912.90,1,-1400.00,-0.22,34930.00,-0.59,3010.00,0.47,2730.00,0.43
14,Exit Long,SELL,2021-02-11 09:15,910.90,1,-1400.00,-0.22,34930.00,-0.59,3010.00,0.47,2730.00,0.43
15,Entry Short,SELL,2021-02-11 09:15,910.90,1,-1120.00,-0.18,33810.00,-0.48,1015.00,0.16,1470.00,0.23
15,Exit Short,INTRADAY_SExit,2021-02-11 09:45,912.50,1,-1120.00,-0.18,33810.00,-0.48,1015.00,0.16,1470.00,0.23
16,Entry Short,SELL,2021-02-12 06:00,914.90,1,-1505.00,-0.23,32305.00,-0.64,2380.00,0.37,1855.00,0.29
16,Exit Short,BUY,2021-02-12 07:30,917.05,1,-1505.00,-0.23,32305.00,-0.64,2380.00,0.37,1855.00,0.29
17,Entry Long,BUY,2021-02-12 07:30,917.05,1,-5320.00,-0.83,26985.00,-2.29,875.00,0.14,6335.00,0.99
17,Exit Long,SELL,2021-02-12 08:30,909.45,1,-5320.00,-0.83,26985.00,-2.29,875.00,0.14,6335.00,0.99
18,Entry Short,SELL,2021-02-12 08:30,909.45,1,-1610.00,-0.25,25375.00,-0.71,1575.00,0.25,3185.00,0.5
18,Exit Short,INTRADAY_SExit,2021-02-12 09:45,911.75,1,-1610.00,-0.25,25375.00,-0.71,1575.00,0.25,3185.00,0.5
19,Entry Long,BUY,2021-02-15 05:00,916.30,1,-1400.00,-0.22,23975.00,-0.62,4340.00,0.68,3115.00,0.49
19,Exit Long,INTRADAY_BExit,2021-02-15 09:45,914.30,1,-1400.00,-0.22,23975.00,-0.62,4340.00,0.68,3115.00,0.49
20,Entry Long,BUY,2021-02-16 05:00,918.05,1,-2835.00,-0.44,21140.00,-1.27,4270.00,0.66,2835.00,0.44
20,Exit Long,SELL,2021-02-16 07:00,914.00,1,-2835.00,-0.44,21140.00,-1.27,4270.00,0.66,2835.00,0.44
21,Entry Short,SELL,2021-02-16 07:00,914.00,1,-1015.00,-0.16,20125.00,-0.46,6615.00,1.03,3360.00,0.53
21,Exit Short,INTRADAY_SExit,2021-02-16 09:45,915.45,1,-1015.00,-0.16,20125.00,-0.46,6615.00,1.03,3360.00,0.53
22,Entry Long,BUY,2021-02-17 04:15,919.35,1,-6020.00,-0.94,14105.00,-2.73,280.00,0.04,6825.00,1.06
