Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:15,743.60,100,-1105.00,-1.49,-1105.00,-1.1,150.00,0.2,1105.00,1.49
1,Exit Short,SELL_SL_HIT,2021-02-01 04:45,754.65,100,-1105.00,-1.49,-1105.00,-1.1,150.00,0.2,1105.00,1.49
2,Entry Long,BUY,2021-02-01 05:00,757.80,100,860.00,1.13,-245.00,0.87,1150.00,1.52,280.00,0.37
2,Exit Long,BUY_TG_HIT,2021-02-01 06:00,766.40,100,860.00,1.13,-245.00,0.87,1150.00,1.52,280.00,0.37
3,Entry Long,BUY,2021-02-02 04:15,824.00,100,-425.00,-0.52,-670.00,-0.43,1340.00,1.63,1000.00,1.21
3,Exit Long,SELL,2021-02-02 05:30,819.75,100,-425.00,-0.52,-670.00,-0.43,1340.00,1.63,1000.00,1.21
4,Entry Short,SELL,2021-02-02 05:30,819.75,100,470.00,0.57,-200.00,0.47,685.00,0.84,745.00,0.91
4,Exit Short,INTRADAY_SExit,2021-02-02 09:45,815.05,100,470.00,0.57,-200.00,0.47,685.00,0.84,745.00,0.91
5,Entry Long,BUY,2021-02-03 04:15,835.00,100,1430.00,1.71,1230.00,1.43,1680.00,2.01,0,0
5,Exit Long,BUY_TG_HIT,2021-02-03 04:45,849.30,100,1430.00,1.71,1230.00,1.43,1680.00,2.01,0,0
6,Entry Short,SELL,2021-02-03 08:30,840.45,100,785.00,0.93,2015.00,0.78,900.00,1.07,395.00,0.47
6,Exit Short,INTRADAY_SExit,2021-02-03 09:45,832.60,100,785.00,0.93,2015.00,0.78,900.00,1.07,395.00,0.47
7,Entry Long,BUY,2021-02-04 04:15,877.95,100,1370.00,1.56,3385.00,1.34,1560.00,1.78,475.00,0.54
7,Exit Long,BUY_TG_HIT,2021-02-04 04:45,891.65,100,1370.00,1.56,3385.00,1.34,1560.00,1.78,475.00,0.54
8,Entry Long,BUY,2021-02-04 06:00,874.60,100,-690.00,-0.79,2695.00,-0.67,190.00,0.22,760.00,0.87
8,Exit Long,SELL,2021-02-04 06:45,867.70,100,-690.00,-0.79,2695.00,-0.67,190.00,0.22,760.00,0.87
9,Entry Short,SELL,2021-02-04 06:45,867.70,100,125.00,0.14,2820.00,0.12,700.00,0.81,465.00,0.54
9,Exit Short,INTRADAY_SExit,2021-02-04 09:45,866.45,100,125.00,0.14,2820.00,0.12,700.00,0.81,465.00,0.54
10,Entry Long,BUY,2021-02-05 07:00,858.80,100,970.00,1.13,3790.00,0.94,1055.00,1.23,290.00,0.34
10,Exit Long,BUY_TG_HIT,2021-02-05 07:45,868.50,100,970.00,1.13,3790.00,0.94,1055.00,1.23,290.00,0.34
11,Entry Short,SELL,2021-02-05 08:00,845.70,100,-2895.00,-3.42,895.00,-2.79,450.00,0.53,3070.00,3.63
11,Exit Short,SELL_SL_HIT,2021-02-05 08:30,874.65,100,-2895.00,-3.42,895.00,-2.79,450.00,0.53,3070.00,3.63
12,Entry Long,BUY,2021-02-08 04:15,939.50,100,-980.00,-1.04,-85.00,-0.97,150.00,0.16,1130.00,1.2
12,Exit Long,BUY_SL_HIT,2021-02-08 04:30,929.70,100,-980.00,-1.04,-85.00,-0.97,150.00,0.16,1130.00,1.2
13,Entry Short,SELL,2021-02-08 07:30,919.35,100,-945.00,-1.03,-1030.00,-0.95,235.00,0.26,1265.00,1.38
13,Exit Short,INTRADAY_SExit,2021-02-08 09:45,928.80,100,-945.00,-1.03,-1030.00,-0.95,235.00,0.26,1265.00,1.38
14,Entry Short,SELL,2021-02-09 04:30,914.45,100,890.00,0.97,-140.00,0.9,935.00,1.02,25.00,0.03
14,Exit Short,SELL_TG_HIT,2021-02-09 05:30,905.55,100,890.00,0.97,-140.00,0.9,935.00,1.02,25.00,0.03
15,Entry Long,BUY,2021-02-10 05:30,906.65,100,795.00,0.88,655.00,0.8,935.00,1.03,475.00,0.52
15,Exit Long,INTRADAY_BExit,2021-02-10 09:45,914.60,100,795.00,0.88,655.00,0.8,935.00,1.03,475.00,0.52
16,Entry Short,SELL,2021-02-11 06:30,908.60,100,-590.00,-0.65,65.00,-0.59,185.00,0.2,690.00,0.76
16,Exit Short,BUY,2021-02-11 08:30,914.50,100,-590.00,-0.65,65.00,-0.59,185.00,0.2,690.00,0.76
17,Entry Long,BUY,2021-02-11 08:30,914.50,100,-490.00,-0.54,-425.00,-0.49,50.00,0.05,650.00,0.71
17,Exit Long,SELL,2021-02-11 09:15,909.60,100,-490.00,-0.54,-425.00,-0.49,50.00,0.05,650.00,0.71
18,Entry Short,SELL,2021-02-11 09:15,909.60,100,-175.00,-0.19,-600.00,-0.18,150.00,0.16,240.00,0.26
18,Exit Short,INTRADAY_SExit,2021-02-11 09:45,911.35,100,-175.00,-0.19,-600.00,-0.18,150.00,0.16,240.00,0.26
19,Entry Short,SELL,2021-02-12 05:15,911.65,100,-330.00,-0.36,-930.00,-0.33,435.00,0.48,335.00,0.37
19,Exit Short,BUY,2021-02-12 07:30,914.95,100,-330.00,-0.36,-930.00,-0.33,435.00,0.48,335.00,0.37
20,Entry Long,BUY,2021-02-12 07:30,914.95,100,-745.00,-0.81,-1675.00,-0.75,5.00,0.01,955.00,1.04
20,Exit Long,SELL,2021-02-12 08:30,907.50,100,-745.00,-0.81,-1675.00,-0.75,5.00,0.01,955.00,1.04
21,Entry Short,SELL,2021-02-12 08:30,907.50,100,-115.00,-0.13,-1790.00,-0.12,250.00,0.28,370.00,0.41
21,Exit Short,INTRADAY_SExit,2021-02-12 09:45,908.65,100,-115.00,-0.13,-1790.00,-0.12,250.00,0.28,370.00,0.41
22,Entry Long,BUY,2021-02-15 05:00,914.50,100,-300.00,-0.33,-2090.00,-0.31,550.00,0.6,400.00,0.44
22,Exit Long,SELL,2021-02-15 09:30,911.50,100,-300.00,-0.33,-2090.00,-0.31,550.00,0.6,400.00,0.44
23,Entry Short,SELL,2021-02-15 09:30,911.50,100,-200.00,-0.22,-2290.00,-0.2,50.00,0.05,250.00,0.27
23,Exit Short,INTRADAY_SExit,2021-02-15 09:45,913.50,100,-200.00,-0.22,-2290.00,-0.2,50.00,0.05,250.00,0.27
24,Entry Long,BUY,2021-02-16 05:30,917.60,100,-590.00,-0.64,-2880.00,-0.6,245.00,0.27,635.00,0.69
24,Exit Long,SELL,2021-02-16 07:00,911.70,100,-590.00,-0.64,-2880.00,-0.6,245.00,0.27,635.00,0.69
25,Entry Short,SELL,2021-02-16 07:00,911.70,100,-25.00,-0.03,-2905.00,-0.03,960.00,1.05,380.00,0.42
25,Exit Short,INTRADAY_SExit,2021-02-16 09:45,911.95,100,-25.00,-0.03,-2905.00,-0.03,960.00,1.05,380.00,0.42
26,Entry Long,BUY,2021-02-17 04:15,917.30,100,-670.00,-0.73,-3575.00,-0.69,145.00,0.16,825.00,0.9
26,Exit Long,SELL,2021-02-17 07:30,910.60,100,-670.00,-0.73,-3575.00,-0.69,145.00,0.16,825.00,0.9
27,Entry Short,SELL,2021-02-17 07:30,910.60,100,-410.00,-0.45,-3985.00,-0.43,180.00,0.2,460.00,0.51
27,Exit Short,BUY,2021-02-17 08:45,914.70,100,-410.00,-0.45,-3985.00,-0.43,180.00,0.2,460.00,0.51
28,Entry Long,BUY,2021-02-17 08:45,914.70,100,-190.00,-0.21,-4175.00,-0.2,60.00,0.07,265.00,0.29
28,Exit Long,SELL,2021-02-17 09:15,912.80,100,-190.00,-0.21,-4175.00,-0.2,60.00,0.07,265.00,0.29
29,Entry Short,SELL,2021-02-17 09:15,912.80,100,-200.00,-0.22,-4375.00,-0.21,80.00,0.09,310.00,0.34
29,Exit Short,INTRADAY_SExit,2021-02-17 09:45,914.80,100,-200.00,-0.22,-4375.00,-0.21,80.00,0.09,310.00,0.34
30,Entry Short,SELL,2021-02-18 04:15,901.95,100,705.00,0.78,-3670.00,0.74,795.00,0.88,260.00,0.29
30,Exit Short,INTRADAY_SExit,2021-02-18 09:45,894.90,100,705.00,0.78,-3670.00,0.74,795.00,0.88,260.00,0.29
31,Entry Long,BUY,2021-02-19 04:30,899.45,100,-1145.00,-1.27,-4815.00,-1.19,620.00,0.69,1245.00,1.38
31,Exit Long,SELL,2021-02-19 07:45,888.00,100,-1145.00,-1.27,-4815.00,-1.19,620.00,0.69,1245.00,1.38
