Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 09:45,733.50,100,440.00,0.6,440.00,0.44,950.00,1.3,245.00,0.33
1,Exit Long,SELL,2021-01-01 12:30,737.90,100,440.00,0.6,440.00,0.44,950.00,1.3,245.00,0.33
2,Entry Short,SELL,2021-01-01 12:30,737.90,100,-555.00,-0.75,-115.00,-0.55,0,0,685.00,0.93
2,Exit Short,BUY,2021-01-01 12:45,743.45,100,-555.00,-0.75,-115.00,-0.55,0,0,685.00,0.93
3,Entry Long,BUY,2021-01-01 12:45,743.45,100,-765.00,-1.03,-880.00,-0.77,105.00,0.14,905.00,1.22
3,Exit Long,SELL,2021-01-01 15:00,735.80,100,-765.00,-1.03,-880.00,-0.77,105.00,0.14,905.00,1.22
4,Entry Short,SELL,2021-01-01 15:00,735.80,100,200.00,0.27,-680.00,0.2,570.00,0.77,50.00,0.07
4,Exit Short,INTRADAY_SExit,2021-01-01 15:15,733.80,100,200.00,0.27,-680.00,0.2,570.00,0.77,50.00,0.07
5,Entry Long,BUY,2021-01-04 11:45,736.20,100,1360.00,1.85,680.00,1.37,1375.00,1.87,75.00,0.1
5,Exit Long,INTRADAY_BExit,2021-01-04 15:15,749.80,100,1360.00,1.85,680.00,1.37,1375.00,1.87,75.00,0.1
6,Entry Short,SELL,2021-01-05 09:45,735.70,100,-70.00,-0.1,610.00,-0.07,570.00,0.77,120.00,0.16
6,Exit Short,BUY,2021-01-05 11:00,736.40,100,-70.00,-0.1,610.00,-0.07,570.00,0.77,120.00,0.16
7,Entry Long,BUY,2021-01-05 11:00,736.40,100,25.00,0.03,635.00,0.02,445.00,0.6,330.00,0.45
7,Exit Long,SELL,2021-01-05 14:30,736.65,100,25.00,0.03,635.00,0.02,445.00,0.6,330.00,0.45
8,Entry Short,SELL,2021-01-05 14:30,736.65,100,-435.00,-0.59,200.00,-0.43,155.00,0.21,530.00,0.72
8,Exit Short,INTRADAY_SExit,2021-01-05 15:15,741.00,100,-435.00,-0.59,200.00,-0.43,155.00,0.21,530.00,0.72
9,Entry Long,BUY,2021-01-06 09:45,743.35,100,-770.00,-1.04,-570.00,-0.77,310.00,0.42,805.00,1.08
9,Exit Long,SELL,2021-01-06 13:30,735.65,100,-770.00,-1.04,-570.00,-0.77,310.00,0.42,805.00,1.08
10,Entry Short,SELL,2021-01-06 13:30,735.65,100,-265.00,-0.36,-835.00,-0.27,520.00,0.71,380.00,0.52
10,Exit Short,INTRADAY_SExit,2021-01-06 15:15,738.30,100,-265.00,-0.36,-835.00,-0.27,520.00,0.71,380.00,0.52
11,Entry Long,BUY,2021-01-07 09:45,745.00,100,295.00,0.4,-540.00,0.3,1000.00,1.34,50.00,0.07
11,Exit Long,SELL,2021-01-07 12:15,747.95,100,295.00,0.4,-540.00,0.3,1000.00,1.34,50.00,0.07
12,Entry Short,SELL,2021-01-07 12:15,747.95,100,325.00,0.43,-215.00,0.33,575.00,0.77,205.00,0.27
12,Exit Short,INTRADAY_SExit,2021-01-07 15:15,744.70,100,325.00,0.43,-215.00,0.33,575.00,0.77,205.00,0.27
13,Entry Long,BUY,2021-01-08 09:45,753.90,100,1610.00,2.14,1395.00,1.61,1710.00,2.27,190.00,0.25
13,Exit Long,BUY_TG_HIT,2021-01-08 14:00,770.00,100,1610.00,2.14,1395.00,1.61,1710.00,2.27,190.00,0.25
14,Entry Long,BUY,2021-01-11 09:45,777.80,100,-350.00,-0.45,1045.00,-0.35,65.00,0.08,500.00,0.64
14,Exit Long,SELL,2021-01-11 10:00,774.30,100,-350.00,-0.45,1045.00,-0.35,65.00,0.08,500.00,0.64
15,Entry Short,SELL,2021-01-11 10:00,774.30,100,75.00,0.1,1120.00,0.07,1110.00,1.43,270.00,0.35
15,Exit Short,BUY,2021-01-11 11:15,773.55,100,75.00,0.1,1120.00,0.07,1110.00,1.43,270.00,0.35
16,Entry Long,BUY,2021-01-11 11:15,773.55,100,1635.00,2.11,2755.00,1.62,1645.00,2.13,555.00,0.72
16,Exit Long,BUY_TG_HIT,2021-01-11 14:45,789.90,100,1635.00,2.11,2755.00,1.62,1645.00,2.13,555.00,0.72
17,Entry Short,SELL,2021-01-12 10:15,786.10,100,215.00,0.27,2970.00,0.21,870.00,1.11,540.00,0.69
17,Exit Short,BUY,2021-01-12 13:15,783.95,100,215.00,0.27,2970.00,0.21,870.00,1.11,540.00,0.69
18,Entry Long,BUY,2021-01-12 13:15,783.95,100,-445.00,-0.57,2525.00,-0.43,200.00,0.26,510.00,0.65
18,Exit Long,INTRADAY_BExit,2021-01-12 15:15,779.50,100,-445.00,-0.57,2525.00,-0.43,200.00,0.26,510.00,0.65
19,Entry Long,BUY,2021-01-13 09:45,797.55,100,-565.00,-0.71,1960.00,-0.55,385.00,0.48,605.00,0.76
19,Exit Long,SELL,2021-01-13 10:15,791.90,100,-565.00,-0.71,1960.00,-0.55,385.00,0.48,605.00,0.76
20,Entry Short,SELL,2021-01-13 10:15,791.90,100,-585.00,-0.74,1375.00,-0.57,170.00,0.21,810.00,1.02
20,Exit Short,BUY,2021-01-13 10:45,797.75,100,-585.00,-0.74,1375.00,-0.57,170.00,0.21,810.00,1.02
21,Entry Long,BUY,2021-01-13 10:45,797.75,100,1790.00,2.24,3165.00,1.77,1925.00,2.41,290.00,0.36
21,Exit Long,BUY_TG_HIT,2021-01-13 11:45,815.65,100,1790.00,2.24,3165.00,1.77,1925.00,2.41,290.00,0.36
22,Entry Long,BUY,2021-01-14 09:45,834.70,100,-5.00,-0.01,3160.00,0,915.00,1.1,500.00,0.6
22,Exit Long,SELL,2021-01-14 12:15,834.65,100,-5.00,-0.01,3160.00,0,915.00,1.1,500.00,0.6
23,Entry Short,SELL,2021-01-14 12:15,834.65,100,505.00,0.61,3665.00,0.49,635.00,0.76,110.00,0.13
23,Exit Short,INTRADAY_SExit,2021-01-14 15:15,829.60,100,505.00,0.61,3665.00,0.49,635.00,0.76,110.00,0.13
24,Entry Long,BUY,2021-01-15 10:00,835.15,100,-465.00,-0.56,3200.00,-0.45,285.00,0.34,715.00,0.86
24,Exit Long,SELL,2021-01-15 10:45,830.50,100,-465.00,-0.56,3200.00,-0.45,285.00,0.34,715.00,0.86
25,Entry Short,SELL,2021-01-15 10:45,830.50,100,640.00,0.77,3840.00,0.62,1130.00,1.36,100.00,0.12
25,Exit Short,BUY,2021-01-15 13:15,824.10,100,640.00,0.77,3840.00,0.62,1130.00,1.36,100.00,0.12
26,Entry Long,BUY,2021-01-15 13:15,824.10,100,-340.00,-0.41,3500.00,-0.33,180.00,0.22,675.00,0.82
26,Exit Long,SELL,2021-01-15 14:00,820.70,100,-340.00,-0.41,3500.00,-0.33,180.00,0.22,675.00,0.82
27,Entry Short,SELL,2021-01-15 14:00,820.70,100,165.00,0.2,3665.00,0.16,535.00,0.65,130.00,0.16
27,Exit Short,INTRADAY_SExit,2021-01-15 15:15,819.05,100,165.00,0.2,3665.00,0.16,535.00,0.65,130.00,0.16
28,Entry Long,BUY,2021-01-18 10:45,811.90,100,190.00,0.23,3855.00,0.18,890.00,1.1,290.00,0.36
28,Exit Long,SELL,2021-01-18 13:00,813.80,100,190.00,0.23,3855.00,0.18,890.00,1.1,290.00,0.36
29,Entry Short,SELL,2021-01-18 13:00,813.80,100,370.00,0.45,4225.00,0.36,760.00,0.93,540.00,0.66
29,Exit Short,INTRADAY_SExit,2021-01-18 15:15,810.10,100,370.00,0.45,4225.00,0.36,760.00,0.93,540.00,0.66
30,Entry Long,BUY,2021-01-19 09:45,807.00,100,-250.00,-0.31,3975.00,-0.24,15.00,0.02,545.00,0.68
30,Exit Long,SELL,2021-01-19 10:00,804.50,100,-250.00,-0.31,3975.00,-0.24,15.00,0.02,545.00,0.68
31,Entry Short,SELL,2021-01-19 10:00,804.50,100,-590.00,-0.73,3385.00,-0.57,150.00,0.19,705.00,0.88
31,Exit Short,BUY,2021-01-19 12:30,810.40,100,-590.00,-0.73,3385.00,-0.57,150.00,0.19,705.00,0.88
32,Entry Long,BUY,2021-01-19 12:30,810.40,100,145.00,0.18,3530.00,0.14,860.00,1.06,170.00,0.21
32,Exit Long,SELL,2021-01-19 15:00,811.85,100,145.00,0.18,3530.00,0.14,860.00,1.06,170.00,0.21
33,Entry Short,SELL,2021-01-19 15:00,811.85,100,210.00,0.26,3740.00,0.2,535.00,0.66,5.00,0.01
33,Exit Short,INTRADAY_SExit,2021-01-19 15:15,809.75,100,210.00,0.26,3740.00,0.2,535.00,0.66,5.00,0.01
34,Entry Long,BUY,2021-01-20 11:00,809.40,100,1925.00,2.38,5665.00,1.86,2060.00,2.55,130.00,0.16
34,Exit Long,BUY_TG_HIT,2021-01-20 12:45,828.65,100,1925.00,2.38,5665.00,1.86,2060.00,2.55,130.00,0.16
35,Entry Short,SELL,2021-01-20 15:00,823.80,100,-235.00,-0.29,5430.00,-0.22,30.00,0.04,275.00,0.33
35,Exit Short,INTRADAY_SExit,2021-01-20 15:15,826.15,100,-235.00,-0.29,5430.00,-0.22,30.00,0.04,275.00,0.33
36,Entry Long,BUY,2021-01-21 09:45,827.00,100,180.00,0.22,5610.00,0.17,800.00,0.97,495.00,0.6
36,Exit Long,SELL,2021-01-21 13:00,828.80,100,180.00,0.22,5610.00,0.17,800.00,0.97,495.00,0.6
37,Entry Short,SELL,2021-01-21 13:00,828.80,100,1985.00,2.4,7595.00,1.88,2350.00,2.84,0,0
37,Exit Short,SELL_TG_HIT,2021-01-21 15:00,808.95,100,1985.00,2.4,7595.00,1.88,2350.00,2.84,0,0
38,Entry Long,BUY,2021-01-22 09:45,812.30,100,295.00,0.36,7890.00,0.27,1440.00,1.77,30.00,0.04
38,Exit Long,SELL,2021-01-22 10:45,815.25,100,295.00,0.36,7890.00,0.27,1440.00,1.77,30.00,0.04
39,Entry Short,SELL,2021-01-22 10:45,815.25,100,795.00,0.98,8685.00,0.74,1720.00,2.11,325.00,0.4
39,Exit Short,BUY,2021-01-22 14:30,807.30,100,795.00,0.98,8685.00,0.74,1720.00,2.11,325.00,0.4
40,Entry Long,BUY,2021-01-22 14:30,807.30,100,-865.00,-1.07,7820.00,-0.8,385.00,0.48,900.00,1.11
40,Exit Long,INTRADAY_BExit,2021-01-22 15:15,798.65,100,-865.00,-1.07,7820.00,-0.8,385.00,0.48,900.00,1.11
41,Entry Short,SELL,2021-01-25 09:45,795.30,100,165.00,0.21,7985.00,0.15,1105.00,1.39,470.00,0.59
41,Exit Short,BUY,2021-01-25 12:45,793.65,100,165.00,0.21,7985.00,0.15,1105.00,1.39,470.00,0.59
42,Entry Long,BUY,2021-01-25 12:45,793.65,100,35.00,0.04,8020.00,0.03,315.00,0.4,420.00,0.53
42,Exit Long,INTRADAY_BExit,2021-01-25 15:15,794.00,100,35.00,0.04,8020.00,0.03,315.00,0.4,420.00,0.53
43,Entry Short,SELL,2021-01-27 10:30,804.00,100,1670.00,2.08,9690.00,1.55,1760.00,2.19,500.00,0.62
43,Exit Short,SELL_TG_HIT,2021-01-27 14:00,787.30,100,1670.00,2.08,9690.00,1.55,1760.00,2.19,500.00,0.62
44,Entry Long,BUY,2021-01-28 11:15,770.40,100,-595.00,-0.77,9095.00,-0.54,770.00,1,690.00,0.9
44,Exit Long,SELL,2021-01-28 14:30,764.45,100,-595.00,-0.77,9095.00,-0.54,770.00,1,690.00,0.9
45,Entry Short,SELL,2021-01-28 14:30,764.45,100,-155.00,-0.2,8940.00,-0.14,645.00,0.84,305.00,0.4
45,Exit Short,INTRADAY_SExit,2021-01-28 15:15,766.00,100,-155.00,-0.2,8940.00,-0.14,645.00,0.84,305.00,0.4
46,Entry Long,BUY,2021-01-29 09:45,780.95,100,465.00,0.6,9405.00,0.43,1900.00,2.43,25.00,0.03
46,Exit Long,SELL,2021-01-29 12:00,785.60,100,465.00,0.6,9405.00,0.43,1900.00,2.43,25.00,0.03
47,Entry Short,SELL,2021-01-29 12:00,785.60,100,1685.00,2.14,11090.00,1.54,1860.00,2.37,100.00,0.13
47,Exit Short,SELL_TG_HIT,2021-01-29 12:45,768.75,100,1685.00,2.14,11090.00,1.54,1860.00,2.37,100.00,0.13
48,Entry Long,BUY,2021-02-01 10:15,754.65,100,1705.00,2.26,12795.00,1.53,1935.00,2.56,0,0
48,Exit Long,BUY_TG_HIT,2021-02-01 12:00,771.70,100,1705.00,2.26,12795.00,1.53,1935.00,2.56,0,0
49,Entry Long,BUY,2021-02-02 09:45,824.00,100,-425.00,-0.52,12370.00,-0.38,1340.00,1.63,1000.00,1.21
49,Exit Long,SELL,2021-02-02 11:00,819.75,100,-425.00,-0.52,12370.00,-0.38,1340.00,1.63,1000.00,1.21
50,Entry Short,SELL,2021-02-02 11:00,819.75,100,470.00,0.57,12840.00,0.42,685.00,0.84,745.00,0.91
50,Exit Short,INTRADAY_SExit,2021-02-02 15:15,815.05,100,470.00,0.57,12840.00,0.42,685.00,0.84,745.00,0.91
51,Entry Long,BUY,2021-02-03 09:45,835.00,100,1800.00,2.16,14640.00,1.6,1935.00,2.32,0,0
51,Exit Long,BUY_TG_HIT,2021-02-03 11:00,853.00,100,1800.00,2.16,14640.00,1.6,1935.00,2.32,0,0
52,Entry Short,SELL,2021-02-03 13:15,845.45,100,1285.00,1.52,15925.00,1.12,1400.00,1.66,315.00,0.37
52,Exit Short,INTRADAY_SExit,2021-02-03 15:15,832.60,100,1285.00,1.52,15925.00,1.12,1400.00,1.66,315.00,0.37
53,Entry Long,BUY,2021-02-04 09:45,877.95,100,265.00,0.3,16190.00,0.23,1560.00,1.78,475.00,0.54
53,Exit Long,SELL,2021-02-04 10:30,880.60,100,265.00,0.3,16190.00,0.23,1560.00,1.78,475.00,0.54
54,Entry Short,SELL,2021-02-04 10:30,880.60,100,1810.00,2.06,18000.00,1.56,1990.00,2.26,50.00,0.06
54,Exit Short,SELL_TG_HIT,2021-02-04 13:00,862.50,100,1810.00,2.06,18000.00,1.56,1990.00,2.26,50.00,0.06
55,Entry Long,BUY,2021-02-04 14:15,870.15,100,-370.00,-0.43,17630.00,-0.31,220.00,0.25,695.00,0.8
55,Exit Long,INTRADAY_BExit,2021-02-04 15:15,866.45,100,-370.00,-0.43,17630.00,-0.31,220.00,0.25,695.00,0.8
56,Entry Short,SELL,2021-02-05 09:45,853.70,100,65.00,0.08,17695.00,0.06,1155.00,1.35,200.00,0.23
56,Exit Short,BUY,2021-02-05 10:45,853.05,100,65.00,0.08,17695.00,0.06,1155.00,1.35,200.00,0.23
57,Entry Long,BUY,2021-02-05 10:45,853.05,100,-735.00,-0.86,16960.00,-0.62,2005.00,2.35,765.00,0.9
