Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-15 06:45,7631.05,1,830.00,0.11,830.00,0.42,2695.00,0.35,305.00,0.04
1,Exit Long,SELL,2021-02-15 08:00,7639.35,1,830.00,0.11,830.00,0.42,2695.00,0.35,305.00,0.04
2,Entry Short,SELL,2021-02-15 08:00,7639.35,1,2590.00,0.34,3420.00,1.29,4720.00,0.62,65.00,0.01
2,Exit Short,INTRADAY_SExit,2021-02-15 09:35,7613.45,1,2590.00,0.34,3420.00,1.29,4720.00,0.62,65.00,0.01
3,Entry Long,BUY,2021-02-16 04:05,7669.70,1,9330.00,1.22,12750.00,4.59,9430.00,1.23,1700.00,0.22
3,Exit Long,BUY_TG_HIT,2021-02-16 05:15,7763.00,1,9330.00,1.22,12750.00,4.59,9430.00,1.23,1700.00,0.22
4,Entry Short,SELL,2021-02-16 07:15,7761.00,1,10650.00,1.37,23400.00,5.01,10650.00,1.37,1185.00,0.15
4,Exit Short,SELL_TG_HIT,2021-02-16 08:30,7654.50,1,10650.00,1.37,23400.00,5.01,10650.00,1.37,1185.00,0.15
5,Entry Long,BUY,2021-02-16 08:50,7713.25,1,1870.00,0.24,25270.00,0.84,3420.00,0.44,0,0
5,Exit Long,INTRADAY_BExit,2021-02-16 09:35,7731.95,1,1870.00,0.24,25270.00,0.84,3420.00,0.44,0,0
6,Entry Short,SELL,2021-02-17 04:05,7667.15,1,3315.00,0.43,28585.00,1.47,6695.00,0.87,1285.00,0.17
6,Exit Short,BUY,2021-02-17 05:05,7634.00,1,3315.00,0.43,28585.00,1.47,6695.00,0.87,1285.00,0.17
7,Entry Long,BUY,2021-02-17 05:05,7634.00,1,-1640.00,-0.21,26945.00,-0.72,2055.00,0.27,2010.00,0.26
7,Exit Long,SELL,2021-02-17 06:25,7617.60,1,-1640.00,-0.21,26945.00,-0.72,2055.00,0.27,2010.00,0.26
8,Entry Short,SELL,2021-02-17 06:25,7617.60,1,9650.00,1.27,36595.00,4.25,10170.00,1.34,50.00,0.01
8,Exit Short,SELL_TG_HIT,2021-02-17 07:35,7521.10,1,9650.00,1.27,36595.00,4.25,10170.00,1.34,50.00,0.01
9,Entry Short,SELL,2021-02-17 08:05,7502.00,1,-240.00,-0.03,36355.00,-0.1,3000.00,0.4,375.00,0.05
9,Exit Short,BUY,2021-02-17 08:20,7504.40,1,-240.00,-0.03,36355.00,-0.1,3000.00,0.4,375.00,0.05
10,Entry Long,BUY,2021-02-17 08:20,7504.40,1,2130.00,0.28,38485.00,0.9,2555.00,0.34,815.00,0.11
10,Exit Long,INTRADAY_BExit,2021-02-17 09:35,7525.70,1,2130.00,0.28,38485.00,0.9,2555.00,0.34,815.00,0.11
11,Entry Long,BUY,2021-02-18 04:35,7549.00,1,380.00,0.05,38865.00,0.16,3100.00,0.41,685.00,0.09
11,Exit Long,SELL,2021-02-18 05:30,7552.80,1,380.00,0.05,38865.00,0.16,3100.00,0.41,685.00,0.09
12,Entry Short,SELL,2021-02-18 05:30,7552.80,1,7960.00,1.05,46825.00,3.33,8155.00,1.08,205.00,0.03
12,Exit Short,SELL_TG_HIT,2021-02-18 06:15,7473.20,1,7960.00,1.05,46825.00,3.33,8155.00,1.08,205.00,0.03
13,Entry Long,BUY,2021-02-18 07:25,7497.40,1,2660.00,0.35,49485.00,1.08,4975.00,0.66,740.00,0.1
13,Exit Long,SELL,2021-02-18 09:25,7524.00,1,2660.00,0.35,49485.00,1.08,4975.00,0.66,740.00,0.1
14,Entry Short,SELL,2021-02-18 09:25,7524.00,1,760.00,0.1,50245.00,0.3,1400.00,0.19,870.00,0.12
14,Exit Short,INTRADAY_SExit,2021-02-18 09:35,7516.40,1,760.00,0.1,50245.00,0.3,1400.00,0.19,870.00,0.12
15,Entry Short,SELL,2021-02-19 05:35,7404.00,1,-720.00,-0.1,49525.00,-0.29,4200.00,0.57,2000.00,0.27
15,Exit Short,BUY,2021-02-19 06:00,7411.20,1,-720.00,-0.1,49525.00,-0.29,4200.00,0.57,2000.00,0.27
