Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-15 13:45,7615.40,1,195.00,0.03,195.00,0.1,2325.00,0.31,1060.00,0.14
1,Exit Short,INTRADAY_SExit,2021-02-15 15:05,7613.45,1,195.00,0.03,195.00,0.1,2325.00,0.31,1060.00,0.14
2,Entry Long,BUY,2021-02-16 09:35,7669.70,1,6750.00,0.88,6945.00,3.37,7030.00,0.92,1700.00,0.22
2,Exit Long,BUY_TG_HIT,2021-02-16 10:35,7737.20,1,6750.00,0.88,6945.00,3.37,7030.00,0.92,1700.00,0.22
3,Entry Short,SELL,2021-02-16 13:05,7714.00,1,-1795.00,-0.23,5150.00,-0.87,5950.00,0.77,2455.00,0.32
3,Exit Short,BUY,2021-02-16 14:30,7731.95,1,-1795.00,-0.23,5150.00,-0.87,5950.00,0.77,2455.00,0.32
4,Entry Long,BUY,2021-02-16 14:30,7731.95,1,0,0,5150.00,0,1550.00,0.2,1795.00,0.23
4,Exit Long,INTRADAY_BExit,2021-02-16 15:05,7731.95,1,0,0,5150.00,0,1550.00,0.2,1795.00,0.23
5,Entry Short,SELL,2021-02-17 09:35,7667.15,1,5880.00,0.77,11030.00,2.87,6695.00,0.87,1285.00,0.17
5,Exit Short,SELL_TG_HIT,2021-02-17 10:25,7608.35,1,5880.00,0.77,11030.00,2.87,6695.00,0.87,1285.00,0.17
6,Entry Long,BUY,2021-02-18 09:35,7538.60,1,-2835.00,-0.38,8195.00,-1.34,4140.00,0.55,3070.00,0.41
6,Exit Long,SELL,2021-02-18 11:30,7510.25,1,-2835.00,-0.38,8195.00,-1.34,4140.00,0.55,3070.00,0.41
7,Entry Short,SELL,2021-02-18 11:30,7510.25,1,1025.00,0.14,9220.00,0.49,4930.00,0.66,2075.00,0.28
7,Exit Short,BUY,2021-02-18 13:20,7500.00,1,1025.00,0.14,9220.00,0.49,4930.00,0.66,2075.00,0.28
8,Entry Long,BUY,2021-02-18 13:20,7500.00,1,1640.00,0.22,10860.00,0.78,4715.00,0.63,95.00,0.01
8,Exit Long,INTRADAY_BExit,2021-02-18 15:05,7516.40,1,1640.00,0.22,10860.00,0.78,4715.00,0.63,95.00,0.01
9,Entry Short,SELL,2021-02-19 09:35,7396.05,1,-4995.00,-0.68,5865.00,-2.37,1085.00,0.15,5735.00,0.78
9,Exit Short,SELL_SL_HIT,2021-02-19 10:15,7446.00,1,-4995.00,-0.68,5865.00,-2.37,1085.00,0.15,5735.00,0.78
10,Entry Short,SELL,2021-02-23 09:40,7006.05,1,2100.00,0.3,7965.00,1.02,5235.00,0.75,4125.00,0.59
10,Exit Short,INTRADAY_SExit,2021-02-23 15:05,6985.05,1,2100.00,0.3,7965.00,1.02,5235.00,0.75,4125.00,0.59
11,Entry Long,BUY,2021-02-24 10:00,7032.00,1,-7000.00,-1,965.00,-3.37,2000.00,0.28,7430.00,1.06
11,Exit Long,BUY_SL_HIT,2021-02-24 10:20,6962.00,1,-7000.00,-1,965.00,-3.37,2000.00,0.28,7430.00,1.06
12,Entry Short,SELL,2021-02-24 10:25,6956.20,1,-6100.00,-0.88,-5135.00,-3.04,570.00,0.08,8315.00,1.2
