Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-11 04:05,7961.95,100,-3480.00,-0.44,-3480.00,-3.48,7955.00,1,3605.00,0.45
1,Exit Short,BUY,2021-01-11 05:30,7996.75,100,-3480.00,-0.44,-3480.00,-3.48,7955.00,1,3605.00,0.45
2,Entry Long,BUY,2021-01-11 05:30,7996.75,100,19115.00,2.39,15635.00,19.8,19115.00,2.39,40.00,0.01
2,Exit Long,BUY_TG_HIT,2021-01-11 07:15,8187.90,100,19115.00,2.39,15635.00,19.8,19115.00,2.39,40.00,0.01
3,Entry Long,BUY,2021-01-11 07:20,8216.00,100,2300.00,0.28,17935.00,1.99,7200.00,0.88,1600.00,0.19
3,Exit Long,INTRADAY_BExit,2021-01-11 09:35,8239.00,100,2300.00,0.28,17935.00,1.99,7200.00,0.88,1600.00,0.19
4,Entry Short,SELL,2021-01-12 04:30,8160.15,100,-5685.00,-0.7,12250.00,-4.82,1805.00,0.22,5890.00,0.72
4,Exit Short,BUY,2021-01-12 05:05,8217.00,100,-5685.00,-0.7,12250.00,-4.82,1805.00,0.22,5890.00,0.72
5,Entry Long,BUY,2021-01-12 05:05,8217.00,100,-200.00,-0.02,12050.00,-0.18,11200.00,1.36,3195.00,0.39
5,Exit Long,SELL,2021-01-12 07:30,8215.00,100,-200.00,-0.02,12050.00,-0.18,11200.00,1.36,3195.00,0.39
6,Entry Short,SELL,2021-01-12 07:30,8215.00,100,-3005.00,-0.37,9045.00,-2.68,3500.00,0.43,3500.00,0.43
6,Exit Short,BUY,2021-01-12 08:50,8245.05,100,-3005.00,-0.37,9045.00,-2.68,3500.00,0.43,3500.00,0.43
7,Entry Long,BUY,2021-01-12 08:50,8245.05,100,-3455.00,-0.42,5590.00,-3.17,1255.00,0.15,4340.00,0.53
7,Exit Long,INTRADAY_BExit,2021-01-12 09:35,8210.50,100,-3455.00,-0.42,5590.00,-3.17,1255.00,0.15,4340.00,0.53
8,Entry Long,BUY,2021-01-13 04:10,8242.00,100,-5700.00,-0.69,-110.00,-5.4,40.00,0,6200.00,0.75
