Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-01 05:00,199.2,1,500.00,0.2,500.00,0.17,2250.00,0.9,1000.00,0.4
1,Exit Long,SELL,2021-02-01 10:45,199.6,1,500.00,0.2,500.00,0.17,2250.00,0.9,1000.00,0.4
2,Entry Short,SELL,2021-02-01 10:45,199.6,1,-2000.00,-0.8,-1500.00,-0.67,250.00,0.1,2125.00,0.85
2,Exit Short,SELL_SL_HIT,2021-02-01 12:00,201.2,1,-2000.00,-0.8,-1500.00,-0.67,250.00,0.1,2125.00,0.85
3,Entry Long,BUY,2021-02-01 12:15,202.2,1,3250.00,1.29,1750.00,1.09,3875.00,1.53,875.00,0.35
3,Exit Long,BUY_TG_HIT,2021-02-01 14:15,204.8,1,3250.00,1.29,1750.00,1.09,3875.00,1.53,875.00,0.35
4,Entry Long,BUY,2021-02-01 17:15,207.5,1,2875.00,1.11,4625.00,0.95,3375.00,1.3,125.00,0.05
4,Exit Long,INTRADAY_BExit,2021-02-01 17:45,209.8,1,2875.00,1.11,4625.00,0.95,3375.00,1.3,125.00,0.05
5,Entry Short,SELL,2021-02-02 06:15,207.7,1,-4250.00,-1.64,375.00,-1.4,2625.00,1.01,4250.00,1.64
5,Exit Short,SELL_SL_HIT,2021-02-02 07:15,211.1,1,-4250.00,-1.64,375.00,-1.4,2625.00,1.01,4250.00,1.64
6,Entry Long,BUY,2021-02-02 07:30,214.5,1,4625.00,1.72,5000.00,1.54,4625.00,1.72,500.00,0.19
6,Exit Long,BUY_TG_HIT,2021-02-02 09:45,218.2,1,4625.00,1.72,5000.00,1.54,4625.00,1.72,500.00,0.19
7,Entry Short,SELL,2021-02-02 12:30,216.9,1,2625.00,0.97,7625.00,0.86,3125.00,1.15,2750.00,1.01
