Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 09:30,186.0,1,-375.00,-0.16,-375.00,-0.12,1000.00,0.43,1125.00,0.48
1,Exit Long,SELL,2021-01-01 15:30,185.7,1,-375.00,-0.16,-375.00,-0.12,1000.00,0.43,1125.00,0.48
2,Entry Short,SELL,2021-01-01 15:30,185.7,1,-7750.00,-3.34,-8125.00,-2.59,2750.00,1.18,8750.00,3.77
2,Exit Short,INTRADAY_SExit,2021-01-04 09:15,191.9,1,-7750.00,-3.34,-8125.00,-2.59,2750.00,1.18,8750.00,3.77
3,Entry Long,BUY,2021-01-04 09:30,192.0,1,750.00,0.31,-7375.00,0.26,2000.00,0.83,375.00,0.16
3,Exit Long,SELL,2021-01-04 13:00,192.6,1,750.00,0.31,-7375.00,0.26,2000.00,0.83,375.00,0.16
4,Entry Short,SELL,2021-01-04 13:00,192.6,1,875.00,0.36,-6500.00,0.3,2000.00,0.83,250.00,0.1
4,Exit Short,BUY,2021-01-04 15:45,191.9,1,875.00,0.36,-6500.00,0.3,2000.00,0.83,250.00,0.1
5,Entry Long,BUY,2021-01-04 15:45,191.9,1,-1250.00,-0.52,-7750.00,-0.43,875.00,0.36,2000.00,0.83
5,Exit Long,SELL,2021-01-04 17:45,190.9,1,-1250.00,-0.52,-7750.00,-0.43,875.00,0.36,2000.00,0.83
6,Entry Short,SELL,2021-01-04 17:45,190.9,1,-3250.00,-1.36,-11000.00,-1.11,1000.00,0.42,4375.00,1.83
6,Exit Short,BUY,2021-01-04 19:00,193.5,1,-3250.00,-1.36,-11000.00,-1.11,1000.00,0.42,4375.00,1.83
7,Entry Long,BUY,2021-01-04 19:00,193.5,1,-1500.00,-0.62,-12500.00,-0.52,2500.00,1.03,1625.00,0.67
7,Exit Long,SELL,2021-01-04 20:00,192.3,1,-1500.00,-0.62,-12500.00,-0.52,2500.00,1.03,1625.00,0.67
8,Entry Short,SELL,2021-01-04 20:00,192.3,1,3125.00,1.3,-9375.00,1.09,4000.00,1.66,1500.00,0.62
8,Exit Short,SELL_TG_HIT,2021-01-04 21:45,189.8,1,3125.00,1.3,-9375.00,1.09,4000.00,1.66,1500.00,0.62
9,Entry Long,BUY,2021-01-05 09:30,191.4,1,2375.00,0.99,-7000.00,0.82,2375.00,0.99,125.00,0.05
9,Exit Long,BUY_TG_HIT,2021-01-05 11:15,193.3,1,2375.00,0.99,-7000.00,0.82,2375.00,0.99,125.00,0.05
10,Entry Short,SELL,2021-01-05 17:45,196.8,1,-500.00,-0.2,-7500.00,-0.17,1375.00,0.56,1375.00,0.56
10,Exit Short,BUY,2021-01-05 18:45,197.2,1,-500.00,-0.2,-7500.00,-0.17,1375.00,0.56,1375.00,0.56
11,Entry Long,BUY,2021-01-05 18:45,197.2,1,2375.00,0.96,-5125.00,0.81,3125.00,1.27,750.00,0.3
11,Exit Long,BUY_TG_HIT,2021-01-05 19:45,199.1,1,2375.00,0.96,-5125.00,0.81,3125.00,1.27,750.00,0.3
12,Entry Long,BUY,2021-01-05 20:45,199.5,1,-250.00,-0.1,-5375.00,-0.08,1125.00,0.45,1125.00,0.45
12,Exit Long,SELL,2021-01-05 22:15,199.3,1,-250.00,-0.1,-5375.00,-0.08,1125.00,0.45,1125.00,0.45
13,Entry Short,SELL,2021-01-05 22:15,199.3,1,2375.00,0.95,-3000.00,0.81,2625.00,1.05,0,0
13,Exit Short,SELL_TG_HIT,2021-01-05 23:00,197.4,1,2375.00,0.95,-3000.00,0.81,2625.00,1.05,0,0
14,Entry Short,SELL,2021-01-06 09:30,197.2,1,2375.00,0.96,-625.00,0.8,2375.00,0.96,500.00,0.2
14,Exit Short,SELL_TG_HIT,2021-01-06 11:00,195.3,1,2375.00,0.96,-625.00,0.8,2375.00,0.96,500.00,0.2
15,Entry Short,SELL,2021-01-06 12:45,192.7,1,125.00,0.05,-500.00,0.04,1875.00,0.78,1250.00,0.52
15,Exit Short,BUY,2021-01-06 14:15,192.6,1,125.00,0.05,-500.00,0.04,1875.00,0.78,1250.00,0.52
16,Entry Long,BUY,2021-01-06 14:15,192.6,1,4750.00,1.97,4250.00,1.59,5125.00,2.13,1000.00,0.42
16,Exit Long,BUY_TG_HIT,2021-01-06 19:00,196.4,1,4750.00,1.97,4250.00,1.59,5125.00,2.13,1000.00,0.42
17,Entry Long,BUY,2021-01-06 20:30,197.3,1,3125.00,1.27,7375.00,1.03,3375.00,1.37,625.00,0.25
17,Exit Long,BUY_TG_HIT,2021-01-06 22:00,199.8,1,3125.00,1.27,7375.00,1.03,3375.00,1.37,625.00,0.25
18,Entry Short,SELL,2021-01-07 09:30,199.0,1,-1500.00,-0.6,5875.00,-0.49,500.00,0.2,1750.00,0.7
18,Exit Short,BUY,2021-01-07 11:00,200.2,1,-1500.00,-0.6,5875.00,-0.49,500.00,0.2,1750.00,0.7
19,Entry Long,BUY,2021-01-07 11:00,200.2,1,875.00,0.35,6750.00,0.29,1500.00,0.6,500.00,0.2
19,Exit Long,SELL,2021-01-07 12:45,200.9,1,875.00,0.35,6750.00,0.29,1500.00,0.6,500.00,0.2
20,Entry Short,SELL,2021-01-07 12:45,200.9,1,3750.00,1.49,10500.00,1.22,4000.00,1.59,250.00,0.1
20,Exit Short,SELL_TG_HIT,2021-01-07 13:00,197.9,1,3750.00,1.49,10500.00,1.22,4000.00,1.59,250.00,0.1
21,Entry Long,BUY,2021-01-07 16:45,196.9,1,2250.00,0.91,12750.00,0.72,2375.00,0.96,875.00,0.36
21,Exit Long,BUY_TG_HIT,2021-01-07 17:30,198.7,1,2250.00,0.91,12750.00,0.72,2375.00,0.96,875.00,0.36
22,Entry Short,SELL,2021-01-07 18:30,198.5,1,375.00,0.15,13125.00,0.12,625.00,0.25,1250.00,0.5
22,Exit Short,BUY,2021-01-07 19:00,198.2,1,375.00,0.15,13125.00,0.12,625.00,0.25,1250.00,0.5
23,Entry Long,BUY,2021-01-07 19:00,198.2,1,2250.00,0.91,15375.00,0.72,5500.00,2.22,750.00,0.3
