Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 04:00,186.0,1,-500.00,-0.22,-500.00,-0.17,0,0,500.00,0.22
1,Exit Long,SELL,2021-01-01 05:15,185.6,1,-500.00,-0.22,-500.00,-0.17,0,0,500.00,0.22
2,Entry Short,SELL,2021-01-01 05:15,185.6,1,-500.00,-0.22,-1000.00,-0.17,0,0,500.00,0.22
2,Exit Short,BUY,2021-01-01 06:00,186.0,1,-500.00,-0.22,-1000.00,-0.17,0,0,500.00,0.22
3,Entry Long,BUY,2021-01-01 06:00,186.0,1,-875.00,-0.38,-1875.00,-0.29,1000.00,0.43,1125.00,0.48
3,Exit Long,SELL,2021-01-01 09:45,185.3,1,-875.00,-0.38,-1875.00,-0.29,1000.00,0.43,1125.00,0.48
4,Entry Short,SELL,2021-01-01 09:45,185.3,1,-8250.00,-3.56,-10125.00,-2.77,2250.00,0.97,9250.00,3.99
4,Exit Short,INTRADAY_SExit,2021-01-04 03:45,191.9,1,-8250.00,-3.56,-10125.00,-2.77,2250.00,0.97,9250.00,3.99
5,Entry Long,BUY,2021-01-04 04:15,192.5,1,-1375.00,-0.57,-11500.00,-0.47,1375.00,0.57,1625.00,0.68
5,Exit Long,SELL,2021-01-04 08:45,191.4,1,-1375.00,-0.57,-11500.00,-0.47,1375.00,0.57,1625.00,0.68
6,Entry Short,SELL,2021-01-04 08:45,191.4,1,-2625.00,-1.1,-14125.00,-0.91,1625.00,0.68,3750.00,1.57
6,Exit Short,BUY,2021-01-04 13:30,193.5,1,-2625.00,-1.1,-14125.00,-0.91,1625.00,0.68,3750.00,1.57
7,Entry Long,BUY,2021-01-04 13:30,193.5,1,-1625.00,-0.67,-15750.00,-0.57,2500.00,1.03,1750.00,0.72
7,Exit Long,SELL,2021-01-04 15:00,192.2,1,-1625.00,-0.67,-15750.00,-0.57,2500.00,1.03,1750.00,0.72
8,Entry Short,SELL,2021-01-04 15:00,192.2,1,3125.00,1.3,-12625.00,1.1,4875.00,2.03,625.00,0.26
8,Exit Short,INTRADAY_SExit,2021-01-04 17:45,189.7,1,3125.00,1.3,-12625.00,1.1,4875.00,2.03,625.00,0.26
9,Entry Long,BUY,2021-01-05 04:45,192.2,1,6000.00,2.5,-6625.00,2.09,6250.00,2.6,250.00,0.1
9,Exit Long,BUY_TG_HIT,2021-01-05 07:45,197.0,1,6000.00,2.5,-6625.00,2.09,6250.00,2.6,250.00,0.1
10,Entry Short,SELL,2021-01-06 04:15,196.9,1,5250.00,2.13,-1375.00,1.79,5375.00,2.18,875.00,0.36
10,Exit Short,SELL_TG_HIT,2021-01-06 07:15,192.7,1,5250.00,2.13,-1375.00,1.79,5375.00,2.18,875.00,0.36
11,Entry Short,SELL,2021-01-06 07:30,191.5,1,-6125.00,-2.56,-7500.00,-2.05,375.00,0.16,6500.00,2.72
11,Exit Short,BUY,2021-01-06 13:30,196.4,1,-6125.00,-2.56,-7500.00,-2.05,375.00,0.16,6500.00,2.72
12,Entry Long,BUY,2021-01-06 13:30,196.4,1,5375.00,2.19,-2125.00,1.84,5500.00,2.24,2125.00,0.87
12,Exit Long,BUY_TG_HIT,2021-01-06 17:00,200.7,1,5375.00,2.19,-2125.00,1.84,5500.00,2.24,2125.00,0.87
13,Entry Long,BUY,2021-01-06 17:15,201.9,1,-1375.00,-0.54,-3500.00,-0.46,625.00,0.25,1375.00,0.54
13,Exit Long,INTRADAY_BExit,2021-01-06 17:45,200.8,1,-1375.00,-0.54,-3500.00,-0.46,625.00,0.25,1375.00,0.54
14,Entry Long,BUY,2021-01-07 05:15,199.9,1,-2500.00,-1,-6000.00,-0.84,1875.00,0.75,2750.00,1.1
14,Exit Long,SELL,2021-01-07 07:30,197.9,1,-2500.00,-1,-6000.00,-0.84,1875.00,0.75,2750.00,1.1
15,Entry Short,SELL,2021-01-07 07:30,197.9,1,-2500.00,-1.01,-8500.00,-0.85,2750.00,1.11,3125.00,1.26
15,Exit Short,BUY,2021-01-07 14:30,199.9,1,-2500.00,-1.01,-8500.00,-0.85,2750.00,1.11,3125.00,1.26
16,Entry Long,BUY,2021-01-07 14:30,199.9,1,1125.00,0.45,-7375.00,0.39,3375.00,1.35,2625.00,1.05
16,Exit Long,INTRADAY_BExit,2021-01-07 17:45,200.8,1,1125.00,0.45,-7375.00,0.39,3375.00,1.35,2625.00,1.05
17,Entry Short,SELL,2021-01-08 04:30,197.9,1,5375.00,2.17,-2000.00,1.84,5750.00,2.32,625.00,0.25
17,Exit Short,SELL_TG_HIT,2021-01-08 11:15,193.6,1,5375.00,2.17,-2000.00,1.84,5750.00,2.32,625.00,0.25
18,Entry Short,SELL,2021-01-08 11:30,193.6,1,-6375.00,-2.63,-8375.00,-2.14,1875.00,0.77,6750.00,2.79
18,Exit Short,BUY,2021-01-08 15:45,198.7,1,-6375.00,-2.63,-8375.00,-2.14,1875.00,0.77,6750.00,2.79
19,Entry Long,BUY,2021-01-08 15:45,198.7,1,-1750.00,-0.7,-10125.00,-0.6,750.00,0.3,3500.00,1.41
19,Exit Long,INTRADAY_BExit,2021-01-08 17:45,197.3,1,-1750.00,-0.7,-10125.00,-0.6,750.00,0.3,3500.00,1.41
20,Entry Short,SELL,2021-01-11 04:45,192.9,1,-1250.00,-0.52,-11375.00,-0.43,0,0,1375.00,0.57
20,Exit Short,BUY,2021-01-11 05:30,193.9,1,-1250.00,-0.52,-11375.00,-0.43,0,0,1375.00,0.57
21,Entry Long,BUY,2021-01-11 05:30,193.9,1,-2750.00,-1.13,-14125.00,-0.95,125.00,0.05,3500.00,1.44
21,Exit Long,SELL,2021-01-11 07:30,191.7,1,-2750.00,-1.13,-14125.00,-0.95,125.00,0.05,3500.00,1.44
22,Entry Short,SELL,2021-01-11 07:30,191.7,1,-2500.00,-1.04,-16625.00,-0.87,1500.00,0.63,3375.00,1.41
22,Exit Short,BUY,2021-01-11 12:15,193.7,1,-2500.00,-1.04,-16625.00,-0.87,1500.00,0.63,3375.00,1.41
23,Entry Long,BUY,2021-01-11 12:15,193.7,1,4500.00,1.86,-12125.00,1.59,5125.00,2.12,750.00,0.31
23,Exit Long,INTRADAY_BExit,2021-01-11 17:45,197.3,1,4500.00,1.86,-12125.00,1.59,5125.00,2.12,750.00,0.31
24,Entry Long,BUY,2021-01-12 04:00,206.8,1,5375.00,2.08,-6750.00,1.87,5875.00,2.27,750.00,0.29
24,Exit Long,BUY_TG_HIT,2021-01-12 13:00,211.1,1,5375.00,2.08,-6750.00,1.87,5875.00,2.27,750.00,0.29
25,Entry Long,BUY,2021-01-12 13:15,210.1,1,-4500.00,-1.71,-11250.00,-1.53,3250.00,1.24,6250.00,2.38
